date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2011,Murray St.,3-0,3.0,0,45.0,10.0,106.0,0.33,41.0,9.0,8.0,54.0,0.0,10.0,0.0,59.0,0.0,Murray St.,3,15.0,3.333333333333333,35.333333333333336,13.666666666666666,3.0,2.6666666666666665,18.0,0.0,3.333333333333333,0.0,19.666666666666668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2011,Western Ky.,1-3,4.0,0,40.0,24.0,145.0,0.11,39.0,6.0,7.0,64.0,1.0,2.0,1.0,48.0,0.0,Western Ky.,4,10.0,6.0,36.25,9.75,1.5,1.75,16.0,0.25,0.5,0.25,12.0,,7.5,,1.6666666666666665,,17.666666666666668,,0.165,,6.833333333333333,,1.5,,1.3333333333333333,,9.0,,0.0,,1.6666666666666665,,0.0,,9.833333333333334
08/27/2011,Sacramento St.,1-3,4.0,0,54.0,31.0,193.0,0.119,49.0,7.0,12.0,107.0,0.0,6.0,1.0,64.0,0.0,Sacramento St.,4,13.5,7.75,48.25,12.25,1.75,3.0,26.75,0.0,1.5,0.25,16.0,,8.333333333333334,,3.1111111111111107,,23.861111111111114,,0.14666666666666667,,7.8055555555555545,,1.5,,1.472222222222222,,11.333333333333334,,0.08333333333333333,,1.2777777777777777,,0.08333333333333333,,10.555555555555555
08/30/2011,@ Chattanooga,3-0,3.0,0,41.0,12.0,100.0,0.29,36.0,7.0,15.0,43.0,3.0,4.0,2.0,53.0,1.0,Chattanooga,3,13.666666666666666,4.0,33.333333333333336,12.0,2.333333333333333,5.0,14.333333333333334,1.0,1.3333333333333333,0.6666666666666666,17.666666666666668,12.833333333333334,9.625,5.694444444444444,4.270833333333333,39.94444444444445,29.958333333333336,0.18633333333333335,0.13974999999999999,11.888888888888888,8.916666666666666,2.0833333333333335,1.5625,2.472222222222222,1.8541666666666665,20.25,15.1875,0.08333333333333333,0.0625,1.7777777777777777,1.3333333333333333,0.16666666666666666,0.125,15.888888888888891,11.916666666666668
09/02/2011,@ Kansas,1-3,4.0,0,48.0,33.0,161.0,0.093,46.0,3.0,6.0,69.0,1.0,11.0,0.0,57.5,2.0,Kansas,4,12.0,8.25,40.25,11.5,0.75,1.5,17.25,0.25,2.75,0.0,14.375,12.388888888888888,10.433333333333334,5.916666666666667,4.216666666666667,39.27777777777778,30.633333333333336,0.17299999999999996,0.1698,11.333333333333334,9.533333333333333,1.861111111111111,1.7166666666666663,3.25,2.4833333333333334,19.02777777777778,15.016666666666666,0.4166666666666667,0.25,1.111111111111111,1.3333333333333333,0.38888888888888884,0.2333333333333333,15.222222222222223,13.066666666666668
09/02/2011,"South Dakota St. @ Lawrence, Kan.",1-3,4.0,0,60.0,25.0,148.0,0.236,56.0,8.0,15.0,60.0,1.0,14.0,0.0,76.0,0.0,South Dakota St.,4,15.0,6.25,37.0,14.0,2.0,3.75,15.0,0.25,3.5,0.0,19.0,13.055555555555555,10.694444444444443,6.666666666666667,4.888888888888888,40.611111111111114,32.236111111111114,0.16733333333333333,0.157,11.916666666666666,9.86111111111111,1.611111111111111,1.5555555555555554,3.1666666666666665,2.319444444444444,19.444444444444446,15.388888888888888,0.4166666666666667,0.25,1.861111111111111,1.5694444444444444,0.3055555555555555,0.19444444444444442,16.01388888888889,13.284722222222223
09/03/2011,"App State @ Lawrence, Kan.",0-3,3.0,0,29.0,18.0,92.0,0.12,26.0,8.0,6.0,31.0,0.0,6.0,2.0,40.0,0.0,App State,3,9.666666666666666,6.0,30.666666666666668,8.666666666666666,2.6666666666666665,2.0,10.333333333333334,0.0,2.0,0.6666666666666666,13.333333333333334,13.555555555555555,11.309523809523808,6.166666666666667,5.083333333333333,36.861111111111114,32.91666666666667,0.20633333333333334,0.1682857142857143,12.5,10.45238095238095,1.6944444444444444,1.6190476190476188,3.4166666666666665,2.5238095238095233,15.527777777777779,15.333333333333332,0.5,0.25,2.5277777777777777,1.8452380952380951,0.2222222222222222,0.16666666666666666,17.01388888888889,14.101190476190478
09/06/2011,Tennessee Tech,3-0,3.0,0,45.0,9.0,98.0,0.367,45.0,11.0,10.0,50.0,0.0,2.0,1.0,57.0,0.0,Tennessee Tech,3,15.0,3.0,32.666666666666664,15.0,3.6666666666666665,3.333333333333333,16.666666666666668,0.0,0.6666666666666666,0.3333333333333333,19.0,12.222222222222223,11.104166666666666,6.833333333333333,5.197916666666666,35.97222222222222,32.63541666666667,0.14966666666666664,0.16225,11.388888888888891,10.229166666666666,1.8055555555555554,1.7499999999999998,2.4166666666666665,2.458333333333333,14.194444444444445,14.708333333333332,0.16666666666666666,0.21875,2.75,1.8645833333333333,0.2222222222222222,0.22916666666666663,15.569444444444443,14.005208333333334
09/09/2011,"Montana St. @ Kansas City, Mo.",3-0,3.0,0,47.0,17.0,118.0,0.254,44.0,7.0,6.0,53.0,3.0,8.0,2.0,61.0,2.0,Montana St.,3,15.666666666666666,5.666666666666667,39.333333333333336,14.666666666666666,2.333333333333333,2.0,17.666666666666668,1.0,2.6666666666666665,0.6666666666666666,20.33333333333333,13.222222222222223,11.537037037037036,5.083333333333333,4.953703703703703,33.44444444444444,32.63888888888889,0.241,0.185,12.555555555555557,10.75925925925926,2.7777777777777772,1.9629629629629628,3.0277777777777772,2.5555555555555554,14.0,14.925925925925924,0.08333333333333333,0.19444444444444445,2.055555555555556,1.7314814814814814,0.3333333333333333,0.24074074074074073,17.11111111111111,14.560185185185187
09/10/2011,@ Kansas City,3-0,3.0,0,42.0,15.0,121.0,0.223,38.0,6.0,12.0,48.0,1.0,4.0,4.0,51.0,0.0,Kansas City,3,14.0,5.0,40.333333333333336,12.666666666666666,2.0,4.0,16.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,17.0,13.444444444444445,11.95,4.888888888888889,5.0249999999999995,34.22222222222222,33.30833333333334,0.247,0.19190000000000002,12.777777777777779,11.15,2.888888888888889,1.9999999999999996,2.444444444444444,2.4999999999999996,14.888888888888891,15.199999999999998,0.3333333333333333,0.275,1.7777777777777777,1.825,0.5555555555555555,0.2833333333333333,17.555555555555554,15.1375
09/10/2011,"UT Martin @ Kansas City, Mo.",3-2,5.0,0,55.0,25.0,186.0,0.161,51.0,11.0,8.0,85.0,0.0,14.0,1.0,73.0,1.0,UT Martin,5,11.0,5.0,37.2,10.2,2.2,1.6,17.0,0.0,2.8,0.2,14.6,14.888888888888888,12.136363636363637,4.555555555555556,5.0227272727272725,37.44444444444444,33.946969696969695,0.2813333333333333,0.19472727272727272,14.111111111111109,11.287878787878789,2.6666666666666665,1.9999999999999998,3.1111111111111107,2.6363636363636362,16.777777777777775,15.27272727272727,0.4444444444444444,0.28030303030303033,1.5555555555555554,1.7803030303030303,0.7777777777777777,0.37878787878787873,18.777777777777775,15.306818181818182
09/13/2011,Evansville,1-3,4.0,0,61.0,25.0,181.0,0.199,59.0,3.0,9.0,98.0,2.0,10.0,2.0,71.0,0.0,Evansville,4,15.25,6.25,45.25,14.75,0.75,2.25,24.5,0.5,2.5,0.5,17.75,13.555555555555555,12.041666666666666,5.222222222222222,5.020833333333333,38.955555555555556,34.21805555555556,0.21266666666666667,0.19191666666666665,12.511111111111111,11.197222222222223,2.1777777777777776,2.016666666666666,2.533333333333333,2.55,16.88888888888889,15.416666666666664,0.4444444444444444,0.2569444444444445,2.266666666666666,1.8652777777777778,0.7333333333333334,0.3638888888888889,17.31111111111111,15.247916666666667
09/16/2011,"Lamar University @ New Orleans, La.",3-0,3.0,0,43.0,11.0,86.0,0.372,38.0,6.0,6.0,34.0,2.0,6.0,2.0,54.0,1.0,Lamar University,3,14.333333333333334,3.6666666666666665,28.666666666666668,12.666666666666666,2.0,2.0,11.333333333333334,0.6666666666666666,2.0,0.6666666666666666,18.0,13.416666666666666,12.288461538461538,5.416666666666667,5.115384615384615,40.92777777777778,35.06666666666667,0.19433333333333333,0.19246153846153843,12.53888888888889,11.470512820512822,1.6500000000000001,1.9192307692307689,2.6166666666666667,2.5269230769230764,19.166666666666668,16.115384615384613,0.27777777777777773,0.27564102564102566,2.211111111111111,1.914102564102564,0.6777777777777777,0.3743589743589743,16.45,15.440384615384614
09/16/2011,@ Tulane,3-2,5.0,0,51.0,32.0,173.0,0.11,45.0,14.0,6.0,74.0,2.0,19.0,5.0,76.5,0.0,Tulane,5,10.2,6.4,34.6,9.0,2.8,1.2,14.8,0.4,3.8,1.0,15.3,13.527777777777779,12.43452380952381,4.972222222222222,5.011904761904762,37.03888888888889,34.609523809523814,0.244,0.20528571428571427,12.53888888888889,11.55595238095238,1.6500000000000001,1.9249999999999996,1.95,2.489285714285714,17.61111111111111,15.773809523809522,0.38888888888888884,0.30357142857142855,2.433333333333333,1.9202380952380953,0.45555555555555555,0.3952380952380952,16.783333333333335,15.623214285714285
09/17/2011,"South Alabama @ New Orleans, La.",3-0,3.0,0,46.0,11.0,120.0,0.292,44.0,6.0,6.0,63.0,3.0,5.0,1.0,57.5,2.0,South Alabama,3,15.333333333333334,3.6666666666666665,40.0,14.666666666666666,2.0,2.0,21.0,1.0,1.6666666666666667,0.3333333333333333,19.166666666666668,13.261111111111111,12.285555555555556,5.43888888888889,5.104444444444445,36.172222222222224,34.60888888888889,0.227,0.1989333333333333,12.138888888888888,11.385555555555555,1.8499999999999999,1.9833333333333332,1.8166666666666667,2.4033333333333333,16.877777777777776,15.708888888888888,0.5222222222222223,0.31,2.766666666666666,2.0455555555555556,0.7222222222222223,0.43555555555555553,17.016666666666666,15.601666666666667
09/23/2011,@ Kennesaw St.,3-1,4.0,0,59.0,12.0,134.0,0.351,56.0,8.0,8.0,60.0,0.0,4.0,1.0,69.0,1.0,Kennesaw St.,4,14.75,3.0,33.5,14.0,2.0,2.0,15.0,0.0,1.0,0.25,17.25,13.28888888888889,12.476041666666667,4.577777777777778,5.014583333333334,34.422222222222224,34.94583333333333,0.258,0.20474999999999996,12.111111111111109,11.590625,2.2666666666666666,1.9843749999999998,1.7333333333333332,2.378125,15.711111111111114,16.039583333333333,0.6888888888888888,0.353125,2.4888888888888885,2.021875,0.6666666666666666,0.42916666666666664,17.48888888888889,15.824479166666666
09/24/2011,@ Mercer,3-1,4.0,0,58.0,21.0,143.0,0.259,55.0,8.0,10.0,64.0,0.0,10.0,2.0,71.0,3.0,Mercer,4,14.5,5.25,35.75,13.75,2.0,2.5,16.0,0.0,2.5,0.5,17.75,13.427777777777777,12.609803921568627,4.355555555555555,4.89607843137255,36.03333333333333,34.86078431372549,0.25099999999999995,0.21335294117647055,12.555555555555557,11.73235294117647,2.2666666666666666,1.9852941176470589,1.7333333333333332,2.355882352941176,16.933333333333334,15.97843137254902,0.46666666666666673,0.33235294117647063,2.1555555555555554,1.961764705882353,0.5277777777777778,0.4186274509803921,17.23888888888889,15.908333333333333
09/30/2011,ETSU,3-1,4.0,0,44.0,25.0,146.0,0.13,39.0,5.0,7.0,82.0,3.0,12.0,1.0,58.0,0.0,ETSU,4,11.0,6.25,36.5,9.75,1.25,1.75,20.5,0.75,3.0,0.25,14.5,14.861111111111112,12.714814814814815,3.972222222222222,4.915740740740741,36.416666666666664,34.910185185185185,0.30066666666666664,0.21588888888888885,14.138888888888891,11.844444444444443,2.0,1.9861111111111112,2.1666666666666665,2.363888888888889,17.333333333333332,15.97962962962963,0.3333333333333333,0.3138888888888889,1.722222222222222,1.9916666666666667,0.36111111111111116,0.4231481481481481,18.055555555555557,16.01064814814815
