date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,"Xavier @ Houston, Texas",0-3,3.0,0,32.0,17.0,85.0,0.176,27.0,4.0,8.0,18.0,1.0,4.0,1.0,39.0,1.0,Xavier
08/27/2011,"Lipscomb @ Houston, Texas",3-2,5.0,0,59.0,22.0,164.0,0.226,53.0,7.0,7.0,64.0,1.0,14.0,1.0,74.0,3.0,Lipscomb
08/27/2011,@ Houston,1-3,4.0,0,44.0,31.0,126.0,0.103,38.0,5.0,9.0,32.0,2.0,6.0,3.0,54.0,0.0,Houston
09/02/2011,@ Texas Tech,0-3,3.0,0,25.0,22.0,101.0,0.03,24.0,3.0,11.0,32.0,0.0,6.0,1.0,31.0,0.0,Texas Tech
09/02/2011,"UNLV @ Lubbock, Texas",0-3,3.0,0,28.0,24.0,109.0,0.037,28.0,3.0,8.0,38.0,2.0,4.0,1.0,35.0,0.0,UNLV
09/03/2011,"Morehead St. @ Lubbock, Texas",0-3,3.0,0,28.0,24.0,106.0,0.038,27.0,5.0,11.0,47.0,2.0,12.0,0.0,41.0,2.0,Morehead St.
09/09/2011,"Northwestern @ Oxford, Miss.",3-2,5.0,0,50.0,31.0,183.0,0.104,48.0,5.0,9.0,86.0,2.0,24.0,0.0,69.0,0.0,Northwestern
09/09/2011,"Little Rock @ Oxford, Miss.",3-2,5.0,0,65.0,23.0,139.0,0.302,63.0,8.0,11.0,41.0,3.0,6.0,1.0,79.0,2.0,Little Rock
09/10/2011,@ Ole Miss,0-3,3.0,0,26.0,18.0,102.0,0.078,26.0,4.0,5.0,36.0,3.0,4.0,0.0,35.0,1.0,Ole Miss
09/15/2011,@ Northwestern St.,3-2,5.0,0,57.0,22.0,145.0,0.241,54.0,7.0,11.0,75.0,4.0,12.0,0.0,74.0,0.0,Northwestern St.
09/16/2011,"Arkansas St. @ Natchitoches, La.",0-3,3.0,0,29.0,18.0,105.0,0.105,25.0,7.0,8.0,37.0,2.0,4.0,2.0,40.0,2.0,Arkansas St.
09/17/2011,"Alcorn @ Natchitoches, La.",3-0,3.0,0,39.0,10.0,72.0,0.403,37.0,16.0,4.0,28.0,2.0,0.0,1.0,57.0,0.0,Alcorn
09/22/2011,@ Sam Houston,2-3,5.0,0,56.0,25.0,177.0,0.175,55.0,7.0,17.0,85.0,3.0,8.0,1.0,70.0,0.0,Sam Houston
09/24/2011,@ SFA,3-1,4.0,0,53.0,18.0,139.0,0.252,48.0,12.0,9.0,56.0,2.0,6.0,1.0,70.0,2.0,SFA
09/29/2011,@ Nicholls,3-0,3.0,0,50.0,16.0,147.0,0.231,50.0,7.0,7.0,76.0,0.0,6.0,1.0,60.0,1.0,Nicholls
09/30/2011,@ Southeastern La.,3-0,3.0,0,46.0,13.0,127.0,0.26,43.0,4.0,6.0,65.0,3.0,4.0,1.0,55.0,0.0,Southeastern La.
10/04/2011,Ark.-Pine Bluff,3-0,3.0,0,41.0,15.0,95.0,0.274,37.0,9.0,10.0,43.0,0.0,4.0,0.0,52.0,0.0,Ark.-Pine Bluff
10/05/2011,Northwestern St.,1-3,4.0,0,52.0,23.0,147.0,0.197,47.0,6.0,8.0,60.0,3.0,8.0,3.0,65.0,3.0,Northwestern St.
10/08/2011,UT Arlington,3-1,4.0,0,69.0,22.0,163.0,0.288,65.0,5.0,12.0,51.0,3.0,2.0,0.0,78.0,0.0,UT Arlington
10/13/2011,McNeese,3-2,5.0,0,68.0,24.0,167.0,0.263,63.0,4.0,17.0,54.0,7.0,18.0,0.0,88.0,0.0,McNeese
10/15/2011,Lamar University,3-1,4.0,0,63.0,19.0,158.0,0.278,58.0,9.0,9.0,71.0,3.0,2.0,0.0,76.0,0.0,Lamar University
10/17/2011,@ Missouri,0-3,3.0,0,42.0,22.0,119.0,0.168,40.0,3.0,9.0,43.0,2.0,6.0,0.0,50.0,0.0,Missouri
10/19/2011,@ Ark.-Pine Bluff,3-0,3.0,0,39.0,10.0,81.0,0.358,29.0,7.0,3.0,29.0,0.0,6.0,1.0,49.0,0.0,Ark.-Pine Bluff
10/22/2011,@ Texas St.,1-3,4.0,0,47.0,30.0,154.0,0.11,45.0,5.0,9.0,53.0,2.0,6.0,1.0,57.0,2.0,Texas St.
10/27/2011,A&M-Corpus Christi,3-2,5.0,0,66.0,35.0,203.0,0.153,64.0,9.0,15.0,82.0,2.0,16.0,4.0,85.0,2.0,A&M-Corpus Christi
10/29/2011,UTSA,0-3,3.0,0,34.0,17.0,105.0,0.162,34.0,1.0,2.0,32.0,2.0,6.0,1.0,40.0,1.0,UTSA
11/03/2011,@ McNeese,1-3,4.0,0,69.0,14.0,158.0,0.348,62.0,6.0,10.0,69.0,0.0,6.0,0.0,78.0,0.0,McNeese
11/05/2011,@ Lamar University,1-3,4.0,0,43.0,18.0,118.0,0.212,39.0,2.0,7.0,34.0,2.0,6.0,3.0,50.0,0.0,Lamar University
11/10/2011,Nicholls,3-0,3.0,0,56.0,18.0,130.0,0.292,53.0,2.0,12.0,58.0,2.0,12.0,1.0,66.0,1.0,Nicholls
11/12/2011,Southeastern La.,3-2,5.0,0,72.0,36.0,205.0,0.176,71.0,9.0,12.0,74.0,0.0,8.0,0.0,85.0,1.0,Southeastern La.
11/18/2011,Lamar University,3-1,4.0,0,52.0,22.0,134.0,0.224,50.0,2.0,12.0,55.0,2.0,4.0,1.0,58.0,2.0,Lamar University
11/19/2011,Texas St.,2-3,5.0,0,72.0,34.0,191.0,0.199,66.0,5.0,11.0,69.0,1.0,4.0,0.0,80.0,1.0,Texas St.
