date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,@ Holy Cross,0-3,3.0,0,37.0,27.0,126.0,0.079,33.0,3.0,5.0,65.0,1.0,8.0,1.0,45.0,0.0,Holy Cross
08/27/2011,@ Northeastern,1-3,4.0,0,44.0,23.0,159.0,0.132,40.0,2.0,6.0,58.0,3.0,6.0,0.0,52.0,0.0,Northeastern
08/27/2011,"FDU @ Boston, Mass.",3-0,3.0,0,32.0,12.0,98.0,0.204,30.0,1.0,4.0,53.0,2.0,16.0,0.0,43.0,0.0,FDU
09/02/2011,"N.C. Central @ Washington, DC",3-0,3.0,0,33.0,16.0,88.0,0.193,31.0,5.0,4.0,42.0,0.0,6.0,0.0,41.0,1.0,N.C. Central
09/03/2011,@ George Washington,0-3,3.0,0,30.0,14.0,93.0,0.172,29.0,4.0,4.0,45.0,1.0,12.0,0.0,41.0,2.0,George Washington
09/03/2011,"UNCW @ Washington, DC",1-3,4.0,0,51.0,28.0,131.0,0.176,46.0,7.0,6.0,52.0,1.0,6.0,0.0,62.0,0.0,UNCW
09/09/2011,Saint Peter's,3-0,3.0,0,35.0,5.0,67.0,0.448,31.0,16.0,5.0,32.0,0.0,8.0,0.0,55.0,0.0,Saint Peter's
09/10/2011,Stony Brook,3-1,4.0,0,58.0,14.0,141.0,0.312,55.0,4.0,5.0,80.0,6.0,14.0,0.0,75.0,0.0,Stony Brook
09/10/2011,Bucknell,3-2,5.0,0,68.0,26.0,188.0,0.223,61.0,8.0,7.0,72.0,1.0,16.0,2.0,85.0,0.0,Bucknell
09/16/2011,"Delaware St. @ Hanover, N.H.",3-0,3.0,0,45.0,13.0,106.0,0.302,43.0,4.0,7.0,54.0,1.0,8.0,1.0,54.0,0.0,Delaware St.
09/17/2011,@ Dartmouth,0-3,3.0,0,36.0,17.0,110.0,0.173,34.0,1.0,4.0,50.0,0.0,4.0,1.0,39.0,0.0,Dartmouth
09/17/2011,"Providence @ Hanover, N.H.",3-1,4.0,0,64.0,33.0,174.0,0.178,63.0,7.0,4.0,101.0,2.0,14.0,3.0,80.0,0.0,Providence
09/21/2011,Holy Cross,3-0,3.0,0,50.0,16.0,112.0,0.304,47.0,5.0,7.0,63.0,0.0,10.0,0.0,60.0,0.0,Holy Cross
09/24/2011,Bryant,3-1,4.0,0,61.0,20.0,147.0,0.279,60.0,3.0,6.0,63.0,4.0,12.0,1.0,74.0,0.0,Bryant
09/25/2011,Quinnipiac,3-1,4.0,0,49.0,17.0,141.0,0.227,49.0,5.0,5.0,63.0,1.0,22.0,2.0,66.0,0.0,Quinnipiac
10/01/2011,LIU,1-3,4.0,0,59.0,26.0,144.0,0.229,56.0,3.0,3.0,52.0,1.0,12.0,0.0,69.0,0.0,LIU
10/02/2011,Sacred Heart,1-3,4.0,0,40.0,16.0,125.0,0.192,36.0,2.0,3.0,51.0,0.0,20.0,4.0,52.0,0.0,Sacred Heart
10/08/2011,@ Saint Francis (PA),3-2,5.0,0,48.0,23.0,155.0,0.161,42.0,8.0,2.0,72.0,0.0,26.0,0.0,69.0,0.0,Saint Francis 
10/09/2011,@ Robert Morris,3-1,4.0,0,61.0,23.0,168.0,0.226,57.0,6.0,1.0,78.0,2.0,16.0,4.0,77.0,1.0,Robert Morris
10/15/2011,FDU,3-0,3.0,0,40.0,14.0,92.0,0.283,38.0,2.0,5.0,51.0,0.0,16.0,0.0,50.0,0.0,FDU
10/16/2011,St. Francis Brooklyn,3-1,4.0,0,61.0,15.0,120.0,0.383,55.0,4.0,7.0,57.0,0.0,12.0,5.0,71.0,0.0,St. Francis Brooklyn
10/22/2011,@ Sacred Heart,1-3,4.0,0,32.0,16.0,115.0,0.139,30.0,1.0,4.0,48.0,0.0,14.0,1.0,40.0,1.0,Sacred Heart
10/23/2011,@ Bryant,1-3,4.0,0,42.0,30.0,148.0,0.081,39.0,2.0,5.0,59.0,0.0,14.0,1.0,51.0,0.0,Bryant
10/26/2011,Hartford,3-2,5.0,0,56.0,33.0,201.0,0.114,51.0,5.0,4.0,82.0,2.0,14.0,5.0,70.0,0.0,Hartford
10/29/2011,@ FDU,3-1,4.0,0,51.0,18.0,143.0,0.231,49.0,3.0,2.0,72.0,2.0,18.0,1.0,65.0,0.0,FDU
10/30/2011,@ Quinnipiac,3-2,5.0,0,63.0,29.0,208.0,0.163,60.0,3.0,6.0,114.0,0.0,14.0,15.0,73.0,2.0,Quinnipiac
11/05/2011,Saint Francis (PA),3-0,3.0,0,38.0,9.0,88.0,0.33,37.0,9.0,1.0,36.0,1.0,12.0,3.0,54.0,0.0,Saint Francis 
11/06/2011,Robert Morris,3-1,4.0,0,65.0,25.0,174.0,0.23,60.0,1.0,4.0,68.0,1.0,14.0,8.0,74.0,0.0,Robert Morris
11/12/2011,@ St. Francis Brooklyn,3-2,5.0,0,63.0,20.0,167.0,0.257,58.0,7.0,6.0,77.0,3.0,22.0,0.0,84.0,0.0,St. Francis Brooklyn
11/13/2011,@ LIU,0-3,3.0,0,35.0,18.0,108.0,0.157,34.0,4.0,3.0,45.0,0.0,10.0,2.0,44.0,0.0,LIU
11/19/2011,"Sacred Heart @ Brooklyn, N.Y.",1-3,4.0,0,49.0,17.0,146.0,0.219,45.0,5.0,3.0,54.0,0.0,23.0,3.0,65.5,2.0,Sacred Heart
