date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2011,"Coppin St. @ Terre Haute, Ind.",2-3,5.0,0,49.0,24.0,155.0,0.161,45.0,9.0,16.0,62.0,3.0,2.0,1.0,62.0,0.0,Coppin St.,5,9.8,4.8,31.0,9.0,1.8,3.2,12.4,0.6,0.4,0.2,12.4
08/26/2011,@ Indiana St.,0-3,3.0,0,14.0,22.0,73.0,-0.11,13.0,3.0,4.0,23.0,0.0,0.0,0.0,17.0,1.0,Indiana St.,3,4.666666666666667,7.333333333333333,24.333333333333332,4.333333333333333,1.0,1.3333333333333333,7.666666666666667,0.0,0.0,0.0,5.666666666666667
08/27/2011,"Miami (OH) @ Terre Haute, Ind.",0-3,3.0,0,26.0,14.0,100.0,0.12,22.0,2.0,4.0,41.0,2.0,0.0,2.0,30.0,1.0,Miami ,3,8.666666666666666,4.666666666666667,33.333333333333336,7.333333333333333,0.6666666666666666,1.3333333333333333,13.666666666666666,0.6666666666666666,0.0,0.6666666666666666,10.0
08/27/2011,"Eastern Ill. @ Terre Haute, Ind.",0-3,3.0,0,27.0,22.0,105.0,0.048,25.0,3.0,4.0,39.0,3.0,4.0,0.0,35.0,2.0,Eastern Ill.,3,9.0,7.333333333333333,35.0,8.333333333333334,1.0,1.3333333333333333,13.0,1.0,1.3333333333333333,0.0,11.666666666666666
08/30/2011,@ Judson (IL),3-0,3.0,0,43.0,20.0,111.0,0.207,42.0,5.0,4.0,58.0,5.0,2.0,2.0,54.0,0.0,Judson ,3,14.333333333333334,6.666666666666667,37.0,14.0,1.6666666666666667,1.3333333333333333,19.333333333333332,1.6666666666666667,0.6666666666666666,0.6666666666666666,18.0
09/02/2011,"Kansas City @ Radford, Va.",1-3,4.0,0,46.0,30.0,129.0,0.124,44.0,3.0,4.0,48.0,2.0,10.0,0.0,56.0,0.0,Kansas City,4,11.5,7.5,32.25,11.0,0.75,1.0,12.0,0.5,2.5,0.0,14.0
09/03/2011,@ Radford,0-3,3.0,0,28.0,19.0,85.0,0.106,26.0,3.0,6.0,29.0,0.0,6.0,0.0,34.0,0.0,Radford,3,9.333333333333334,6.333333333333333,28.333333333333332,8.666666666666666,1.0,2.0,9.666666666666666,0.0,2.0,0.0,11.333333333333334
09/03/2011,"USC Upstate @ Radford, Va",0-3,3.0,0,39.0,23.0,109.0,0.147,33.0,4.0,4.0,42.0,0.0,4.0,2.0,45.0,0.0,USC Upstate,3,13.0,7.666666666666667,36.333333333333336,11.0,1.3333333333333333,1.3333333333333333,14.0,0.0,1.3333333333333333,0.6666666666666666,15.0
09/06/2011,@ Butler,0-3,3.0,0,21.0,19.0,105.0,0.019,20.0,0.0,2.0,45.0,1.0,2.0,1.0,23.0,2.0,Butler,3,7.0,6.333333333333333,35.0,6.666666666666667,0.0,0.6666666666666666,15.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,7.666666666666667
09/09/2011,@ Iowa,0-3,3.0,0,24.0,26.0,99.0,-0.02,24.0,1.0,4.0,36.0,1.0,4.0,0.0,28.0,0.0,Iowa,3,8.0,8.666666666666666,33.0,8.0,0.3333333333333333,1.3333333333333333,12.0,0.3333333333333333,1.3333333333333333,0.0,9.333333333333334
