date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
09/02/2011,@ San Francisco,0-3,3.0,0,21.0,19.0,101.0,0.02,21.0,2.0,4.0,40.0,0.0,12.0,0.0,29.0,0.0,San Francisco,3,7.0,6.333333333333333,33.666666666666664,7.0,0.6666666666666666,1.3333333333333333,13.333333333333334,0.0,4.0,0.0,9.666666666666666
09/03/2011,"Memphis @ San Francisco, Calif",3-1,4.0,0,63.0,14.0,143.0,0.343,56.0,2.0,5.0,61.0,2.0,8.0,1.0,71.0,0.0,Memphis,4,15.75,3.5,35.75,14.0,0.5,1.25,15.25,0.5,2.0,0.25,17.75
09/03/2011,"Providence @ San Francisco, Calif",3-0,3.0,0,42.0,8.0,102.0,0.333,40.0,7.0,10.0,52.0,3.0,16.0,0.0,60.0,0.0,Providence,3,14.0,2.6666666666666665,34.0,13.333333333333334,2.3333333333333335,3.3333333333333335,17.333333333333332,1.0,5.333333333333333,0.0,20.0
09/09/2011,@ Rhode Island,3-2,5.0,0,48.0,23.0,158.0,0.158,46.0,4.0,10.0,69.0,16.0,2.0,4.0,69.0,0.0,Rhode Island,5,9.6,4.6,31.6,9.2,0.8,2.0,13.8,3.2,0.4,0.8,13.8
09/10/2011,"Boston College @ Kingston, R.I.",2-3,5.0,0,64.0,29.0,193.0,0.181,59.0,3.0,7.0,95.0,2.0,20.0,1.0,79.0,0.0,Boston College,5,12.8,5.8,38.6,11.8,0.6,1.4,19.0,0.4,4.0,0.2,15.8
09/10/2011,"Wisconsin @ Kingston, R.I.",0-3,3.0,0,29.0,10.0,88.0,0.216,28.0,1.0,6.0,29.0,2.0,4.0,0.0,34.0,0.0,Wisconsin,3,9.666666666666666,3.3333333333333335,29.333333333333332,9.333333333333334,0.3333333333333333,2.0,9.666666666666666,0.6666666666666666,1.3333333333333333,0.0,11.333333333333334
09/16/2011,Iowa,1-3,4.0,0,45.0,17.0,140.0,0.2,44.0,5.0,11.0,52.0,0.0,18.0,2.0,59.0,3.0,Iowa,4,11.25,4.25,35.0,11.0,1.25,2.75,13.0,0.0,4.5,0.5,14.75
09/16/2011,Binghamton,3-0,3.0,0,38.0,8.0,105.0,0.286,36.0,3.0,2.0,62.0,2.0,4.0,0.0,45.0,3.0,Binghamton,3,12.666666666666666,2.6666666666666665,35.0,12.0,1.0,0.6666666666666666,20.666666666666668,0.6666666666666666,1.3333333333333333,0.0,15.0
09/17/2011,St. John's (NY),3-1,4.0,0,62.0,27.0,160.0,0.219,59.0,4.0,8.0,53.0,4.0,16.0,3.0,78.0,0.0,St. John's ,4,15.5,6.75,40.0,14.75,1.0,2.0,13.25,1.0,4.0,0.75,19.5
09/17/2011,St. Francis Brooklyn,3-0,3.0,0,40.0,3.0,91.0,0.407,38.0,6.0,8.0,55.0,1.0,16.0,1.0,55.0,0.0,St. Francis Brooklyn,3,13.333333333333334,1.0,30.333333333333332,12.666666666666666,2.0,2.6666666666666665,18.333333333333332,0.3333333333333333,5.333333333333333,0.3333333333333333,18.333333333333332
09/24/2011,@ Cornell,3-2,5.0,0,58.0,23.0,189.0,0.185,56.0,3.0,3.0,94.0,2.0,24.0,0.0,75.0,1.0,Cornell,5,11.6,4.6,37.8,11.2,0.6,0.6,18.8,0.4,4.8,0.0,15.0
09/30/2011,@ Brown,3-1,4.0,0,49.0,20.0,169.0,0.172,40.0,1.0,7.0,76.0,6.0,20.0,0.0,66.0,0.0,Brown,4,12.25,5.0,42.25,10.0,0.25,1.75,19.0,1.5,5.0,0.0,16.5
10/01/2011,@ Yale,2-3,5.0,0,63.0,21.0,185.0,0.227,54.0,6.0,5.0,110.0,4.0,12.0,0.0,79.0,1.0,Yale,5,12.6,4.2,37.0,10.8,1.2,1.0,22.0,0.8,2.4,0.0,15.8
10/07/2011,Princeton,3-0,3.0,0,45.0,13.0,101.0,0.317,40.0,5.0,4.0,42.0,1.0,10.0,0.0,56.0,0.0,Princeton,3,15.0,4.333333333333333,33.666666666666664,13.333333333333334,1.6666666666666667,1.3333333333333333,14.0,0.3333333333333333,3.3333333333333335,0.0,18.666666666666668
10/08/2011,Penn,3-2,5.0,0,64.0,20.0,213.0,0.207,56.0,3.0,9.0,94.0,2.0,16.0,1.0,77.0,0.0,Penn,5,12.8,4.0,42.6,11.2,0.6,1.8,18.8,0.4,3.2,0.2,15.4
10/14/2011,@ Dartmouth,3-2,5.0,0,67.0,23.0,187.0,0.235,64.0,1.0,6.0,97.0,4.0,18.0,4.0,81.0,0.0,Dartmouth,5,13.4,4.6,37.4,12.8,0.2,1.2,19.4,0.8,3.6,0.8,16.2
10/15/2011,@ Harvard,0-3,3.0,0,34.0,17.0,108.0,0.157,31.0,3.0,6.0,61.0,1.0,16.0,0.0,46.0,0.0,Harvard,3,11.333333333333334,5.666666666666667,36.0,10.333333333333334,1.0,2.0,20.333333333333332,0.3333333333333333,5.333333333333333,0.0,15.333333333333334
10/22/2011,Cornell,3-0,3.0,0,49.0,18.0,124.0,0.25,48.0,5.0,3.0,73.0,2.0,8.0,1.0,60.0,2.0,Cornell,3,16.333333333333332,6.0,41.333333333333336,16.0,1.6666666666666667,1.0,24.333333333333332,0.6666666666666666,2.6666666666666665,0.3333333333333333,20.0
10/28/2011,Yale,1-3,4.0,0,54.0,18.0,166.0,0.217,51.0,2.0,6.0,64.0,2.0,6.0,3.0,61.0,0.0,Yale,4,13.5,4.5,41.5,12.75,0.5,1.5,16.0,0.5,1.5,0.75,15.25
10/29/2011,Brown,3-0,3.0,0,42.0,9.0,101.0,0.327,40.0,4.0,6.0,49.0,1.0,6.0,0.0,50.0,0.0,Brown,3,14.0,3.0,33.666666666666664,13.333333333333334,1.3333333333333333,2.0,16.333333333333332,0.3333333333333333,2.0,0.0,16.666666666666668
11/04/2011,Harvard,3-0,3.0,0,46.0,16.0,133.0,0.226,42.0,8.0,3.0,73.0,2.0,2.0,0.0,57.0,0.0,Harvard,3,15.333333333333334,5.333333333333333,44.333333333333336,14.0,2.6666666666666665,1.0,24.333333333333332,0.6666666666666666,0.6666666666666666,0.0,19.0
11/05/2011,Dartmouth,3-2,5.0,0,54.0,20.0,170.0,0.2,52.0,5.0,3.0,78.0,1.0,14.0,3.0,67.0,3.0,Dartmouth,5,10.8,4.0,34.0,10.4,1.0,0.6,15.6,0.2,2.8,0.6,13.4
11/08/2011,Sacred Heart,0-3,3.0,0,22.0,15.0,101.0,0.069,17.0,0.0,5.0,29.0,2.0,16.0,2.0,32.0,0.0,Sacred Heart,3,7.333333333333333,5.0,33.666666666666664,5.666666666666667,0.0,1.6666666666666667,9.666666666666666,0.6666666666666666,5.333333333333333,0.6666666666666666,10.666666666666666
11/11/2011,@ Penn,2-3,5.0,0,66.0,26.0,191.0,0.209,59.0,4.0,6.0,94.0,0.0,10.0,0.0,75.0,2.0,Penn,5,13.2,5.2,38.2,11.8,0.8,1.2,18.8,0.0,2.0,0.0,15.0
11/12/2011,@ Princeton,2-3,5.0,0,59.0,18.0,172.0,0.238,56.0,8.0,5.0,94.0,8.0,12.0,1.0,81.0,1.0,Princeton,5,11.8,3.6,34.4,11.2,1.6,1.0,18.8,1.6,2.4,0.2,16.2
