date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,"Stony Brook @ Philadelphia, Pa.",3-1,4.0,0,57.0,17.0,139.0,0.288,52.0,6.0,6.0,59.0,1.0,10.0,5.0,69.0,2.0,Stony Brook
08/26/2011,"South Carolina @ Philadelphia, Pa.",0-3,3.0,0,42.0,21.0,149.0,0.141,42.0,0.0,9.0,75.0,2.0,8.0,1.0,48.0,3.0,South Carolina
09/02/2011,@ North Dakota,0-3,3.0,0,21.0,23.0,93.0,-0.022,21.0,3.0,4.0,38.0,0.0,2.0,2.0,25.0,0.0,North Dakota
09/03/2011,"Southern Utah @ Grand Forks, N.D.",3-2,5.0,0,60.0,25.0,163.0,0.215,58.0,8.0,7.0,63.0,1.0,10.0,0.0,74.0,0.0,Southern Utah
09/03/2011,"Green Bay @ Grand Forks, N.D.",3-2,5.0,0,63.0,31.0,184.0,0.174,63.0,3.0,10.0,79.0,2.0,16.0,2.0,76.0,2.0,Green Bay
09/09/2011,South Dakota,0-3,3.0,0,24.0,18.0,77.0,0.078,22.0,2.0,6.0,38.0,2.0,8.0,2.0,32.0,0.0,South Dakota
09/09/2011,Cal St. Fullerton,1-3,4.0,0,45.0,24.0,119.0,0.176,44.0,7.0,8.0,44.0,1.0,14.0,3.0,60.0,0.0,Cal St. Fullerton
09/10/2011,Idaho,0-3,3.0,0,35.0,21.0,123.0,0.114,33.0,0.0,6.0,47.0,0.0,10.0,3.0,40.0,3.0,Idaho
09/15/2011,@ Northern Colo.,0-3,3.0,0,33.0,20.0,94.0,0.138,30.0,1.0,7.0,29.0,1.0,6.0,4.0,38.0,0.0,Northern Colo.
09/17/2011,@ Northern Ariz.,1-3,4.0,0,50.0,26.0,140.0,0.171,47.0,2.0,5.0,49.0,0.0,20.0,1.0,62.0,2.0,Northern Ariz.
09/23/2011,Portland St.,2-3,5.0,0,63.0,31.0,194.0,0.165,54.0,1.0,4.0,85.0,3.0,16.0,1.0,75.0,1.0,Portland St.
09/24/2011,Eastern Wash.,2-3,5.0,0,60.0,32.0,197.0,0.142,57.0,4.0,4.0,91.0,3.0,12.0,1.0,73.0,0.0,Eastern Wash.
09/30/2011,@ Montana St.,3-0,3.0,0,42.0,12.0,113.0,0.265,40.0,1.0,7.0,55.0,1.0,18.0,1.0,53.0,0.0,Montana St.
10/07/2011,@ Weber St.,3-1,4.0,0,52.0,27.0,137.0,0.182,48.0,5.0,8.0,54.0,2.0,8.0,1.0,63.0,0.0,Weber St.
10/08/2011,@ Idaho St.,1-3,4.0,0,63.0,17.0,155.0,0.297,62.0,2.0,4.0,75.0,2.0,4.0,3.0,69.0,3.0,Idaho St.
10/14/2011,Sacramento St.,3-1,4.0,0,51.0,29.0,163.0,0.135,49.0,2.0,4.0,81.0,2.0,30.0,1.0,70.0,1.0,Sacramento St.
10/21/2011,Northern Ariz.,3-1,4.0,0,49.0,17.0,126.0,0.254,47.0,5.0,8.0,57.0,3.0,14.0,1.0,64.0,0.0,Northern Ariz.
10/22/2011,Northern Colo.,3-2,5.0,0,65.0,19.0,169.0,0.272,63.0,0.0,5.0,78.0,4.0,22.0,3.0,80.0,1.0,Northern Colo.
10/28/2011,@ Eastern Wash.,2-3,5.0,0,51.0,23.0,174.0,0.161,46.0,5.0,6.0,85.0,1.0,18.0,4.0,66.0,0.0,Eastern Wash.
10/29/2011,@ Portland St.,1-3,4.0,0,44.0,22.0,153.0,0.144,42.0,6.0,7.0,63.0,2.0,10.0,6.0,57.0,0.0,Portland St.
11/04/2011,Montana St.,3-2,5.0,0,62.0,32.0,187.0,0.16,57.0,2.0,4.0,85.0,3.0,20.0,1.0,77.0,1.0,Montana St.
11/12/2011,@ Sacramento St.,0-3,3.0,0,31.0,18.0,119.0,0.109,25.0,4.0,3.0,50.0,3.0,10.0,2.0,43.0,1.0,Sacramento St.
11/18/2011,Idaho St.,3-2,5.0,0,66.0,36.0,176.0,0.17,60.0,9.0,7.0,68.0,4.0,18.0,3.0,88.0,0.0,Idaho St.
11/19/2011,Weber St.,3-1,4.0,0,57.0,18.0,128.0,0.305,52.0,5.0,8.0,43.0,2.0,20.0,0.0,74.0,1.0,Weber St.
