date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2011,"Auburn @ Gainesville, Fla.",3-0,3.0,0,38.0,22.0,117.0,0.137,31.0,6.0,10.0,46.0,0.0,10.0,0.0,49.0,0.0,Auburn,3,12.666666666666666,7.333333333333333,39.0,10.333333333333334,2.0,3.333333333333333,15.333333333333334,0.0,3.333333333333333,0.0,16.333333333333332,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2011,@ Florida,0-3,3.0,0,28.0,13.0,93.0,0.161,27.0,2.0,12.0,38.0,0.0,8.0,0.0,34.0,2.0,Florida,3,9.333333333333334,4.333333333333333,31.0,9.0,0.6666666666666666,4.0,12.666666666666666,0.0,2.6666666666666665,0.0,11.333333333333334,,6.333333333333333,,3.6666666666666665,,19.5,,0.0685,,5.166666666666667,,1.0,,1.6666666666666665,,7.666666666666667,,0.0,,1.6666666666666665,,0.0,,8.166666666666666
09/02/2011,@ Western Mich.,3-0,3.0,0,44.0,9.0,92.0,0.38,41.0,5.0,7.0,37.0,2.0,8.0,3.0,55.0,0.0,Western Mich.,3,14.666666666666666,3.0,30.666666666666668,13.666666666666666,1.6666666666666667,2.333333333333333,12.333333333333334,0.6666666666666666,2.6666666666666665,1.0,18.33333333333333,,7.333333333333333,,3.888888888888889,,23.333333333333332,,0.09933333333333334,,6.4444444444444455,,0.8888888888888888,,2.444444444444444,,9.333333333333334,,0.0,,2.0,,0.0,,9.222222222222221
09/03/2011,"Liberty @ Kalamazoo, Mich.",3-1,4.0,0,70.0,20.0,158.0,0.316,68.0,6.0,7.0,73.0,0.0,8.0,4.0,80.0,0.0,Liberty,4,17.5,5.0,39.5,17.0,1.5,1.75,18.25,0.0,2.0,1.0,20.0,12.222222222222221,9.166666666666666,4.888888888888888,3.6666666666666665,33.55555555555556,25.166666666666668,0.226,0.1695,11.0,8.25,1.4444444444444446,1.0833333333333333,3.222222222222222,2.4166666666666665,13.444444444444445,10.083333333333334,0.2222222222222222,0.16666666666666666,2.888888888888889,2.1666666666666665,0.3333333333333333,0.25,15.33333333333333,11.499999999999998
09/03/2011,"Seton Hall @ Kalamazoo, Mich.",3-0,3.0,0,51.0,8.0,97.0,0.443,45.0,3.0,7.0,41.0,3.0,8.0,3.0,61.0,0.0,Seton Hall,3,17.0,2.6666666666666665,32.333333333333336,15.0,1.0,2.333333333333333,13.666666666666666,1.0,2.6666666666666665,1.0,20.33333333333333,13.833333333333334,10.833333333333332,4.111111111111111,3.9333333333333327,33.72222222222222,28.03333333333334,0.2856666666666667,0.1988,13.222222222222221,10.0,1.277777777777778,1.1666666666666665,2.694444444444444,2.283333333333333,14.416666666666666,11.716666666666667,0.2222222222222222,0.13333333333333333,2.444444444444444,2.1333333333333333,0.6666666666666666,0.4,16.555555555555554,13.2
09/09/2011,San Diego,0-3,3.0,0,36.0,21.0,103.0,0.146,34.0,2.0,7.0,38.0,2.0,8.0,0.0,44.0,1.0,San Diego,3,12.0,7.0,34.333333333333336,11.333333333333334,0.6666666666666666,2.333333333333333,12.666666666666666,0.6666666666666666,2.6666666666666665,0.0,14.666666666666666,16.38888888888889,11.861111111111109,3.5555555555555554,3.722222222222222,34.166666666666664,28.750000000000004,0.37966666666666665,0.23950000000000002,15.222222222222221,10.833333333333334,1.388888888888889,1.1388888888888888,2.138888888888889,2.2916666666666665,14.75,12.041666666666666,0.5555555555555555,0.27777777777777773,2.444444444444444,2.222222222222222,1.0,0.5,19.555555555555554,14.388888888888888
09/10/2011,Arizona St.,3-0,3.0,0,52.0,10.0,93.0,0.452,52.0,1.0,4.0,48.0,1.0,16.0,3.0,62.0,2.0,Arizona St.,3,17.333333333333332,3.333333333333333,31.0,17.333333333333332,0.3333333333333333,1.3333333333333333,16.0,0.3333333333333333,5.333333333333333,1.0,20.666666666666668,15.5,11.88095238095238,4.888888888888888,4.190476190476191,35.38888888888889,29.547619047619055,0.3016666666666667,0.22614285714285715,14.444444444444445,10.904761904761903,1.0555555555555556,1.0714285714285714,2.138888888888889,2.2976190476190474,14.861111111111109,12.130952380952381,0.5555555555555555,0.3333333333333333,2.444444444444444,2.2857142857142856,0.6666666666666666,0.42857142857142855,18.333333333333332,14.428571428571429
09/10/2011,Ga. Southern,3-0,3.0,0,47.0,8.0,96.0,0.406,41.0,2.0,6.0,35.0,1.0,8.0,1.0,54.0,0.0,Ga. Southern,3,15.666666666666666,2.6666666666666665,32.0,13.666666666666666,0.6666666666666666,2.0,11.666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,18.0,15.444444444444443,12.562499999999998,4.333333333333333,4.083333333333333,32.55555555555556,29.72916666666667,0.347,0.254375,14.555555555555555,11.708333333333332,0.6666666666666666,0.9791666666666666,1.9999999999999998,2.177083333333333,14.111111111111109,12.614583333333334,0.6666666666666666,0.3333333333333333,3.5555555555555554,2.6666666666666665,0.6666666666666666,0.5,18.555555555555554,15.208333333333334
09/16/2011,Tulsa,1-3,4.0,0,62.0,19.0,162.0,0.265,59.0,2.0,9.0,73.0,0.0,16.0,1.0,72.0,5.0,Tulsa,4,15.5,4.75,40.5,14.75,0.5,2.25,18.25,0.0,4.0,0.25,18.0,15.0,12.907407407407407,4.333333333333333,3.9259259259259256,32.44444444444445,29.981481481481485,0.33466666666666667,0.27122222222222225,14.111111111111109,11.925925925925926,0.5555555555555555,0.9444444444444444,1.8888888888888886,2.157407407407407,13.444444444444445,12.50925925925926,0.4444444444444444,0.3333333333333333,3.5555555555555554,2.6666666666666665,0.4444444444444444,0.48148148148148145,17.777777777777775,15.51851851851852
09/17/2011,Saint Louis,3-0,3.0,0,43.0,11.0,111.0,0.288,38.0,8.0,6.0,49.0,3.0,12.0,4.0,60.0,1.0,Saint Louis,3,14.333333333333334,3.6666666666666665,37.0,12.666666666666666,2.6666666666666665,2.0,16.333333333333332,1.0,4.0,1.3333333333333333,20.0,16.166666666666668,13.166666666666666,3.5833333333333335,4.008333333333333,34.5,31.03333333333334,0.37433333333333335,0.27060000000000006,15.249999999999998,12.208333333333332,0.5,0.9,1.861111111111111,2.1666666666666665,15.305555555555557,13.083333333333334,0.2222222222222222,0.3,4.0,2.8,0.5277777777777778,0.4583333333333333,18.88888888888889,15.76666666666667
