date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2011,"Niagara @ Toledo, OH",3-2,5.0,0,56.0,21.0,189.0,0.185,52.0,3.0,5.0,82.0,2.0,9.0,3.0,65.5,0.0,Niagara,5,11.2,4.2,37.8,10.4,0.6,1.0,16.4,0.4,1.8,0.6,13.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2011,@ Toledo,1-3,4.0,0,48.0,14.0,135.0,0.252,43.0,6.0,6.0,55.0,2.0,22.0,2.0,67.0,4.0,Toledo,4,12.0,3.5,33.75,10.75,1.5,1.5,13.75,0.5,5.5,0.5,16.75,,5.6,,2.1,,18.9,,0.0925,,5.2,,0.3,,0.5,,8.2,,0.2,,0.9,,0.3,,6.55
08/27/2011,Wright St. @ Toledo,3-1,4.0,0,63.0,15.0,142.0,0.338,59.0,4.0,7.0,59.0,0.0,19.0,0.0,76.5,2.0,Wright St.,4,15.75,3.75,35.5,14.75,1.0,1.75,14.75,0.0,4.75,0.0,19.125,,7.733333333333333,,2.566666666666667,,23.849999999999998,,0.14566666666666667,,7.05,,0.7000000000000001,,0.8333333333333334,,10.049999999999999,,0.3,,2.433333333333333,,0.3666666666666667,,9.950000000000001
08/31/2011,@ Eastern Mich.,0-3,3.0,0,32.0,19.0,124.0,0.105,30.0,1.0,8.0,60.0,1.0,8.0,1.0,38.0,0.0,Eastern Mich.,3,10.666666666666666,6.333333333333333,41.333333333333336,10.0,0.3333333333333333,2.6666666666666665,20.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,12.666666666666666,12.983333333333334,9.7375,3.8166666666666664,2.8625,35.68333333333333,26.7625,0.25833333333333336,0.19375,11.966666666666667,8.975,1.0333333333333334,0.775,1.4166666666666667,1.0625,14.966666666666667,11.225,0.3,0.225,4.016666666666667,3.0125,0.3666666666666667,0.275,16.325,12.24375
09/02/2011,Central Mich.,3-2,5.0,0,57.0,23.0,139.0,0.245,53.0,1.0,11.0,49.0,1.0,23.0,2.0,70.5,5.0,Central Mich.,5,11.4,4.6,27.8,10.6,0.2,2.2,9.8,0.2,4.6,0.4,14.1,12.805555555555555,9.923333333333334,4.527777777777778,3.556666666666666,36.861111111111114,29.676666666666666,0.2316666666666667,0.176,11.833333333333334,9.18,0.9444444444444445,0.6866666666666668,1.972222222222222,1.3833333333333333,16.166666666666668,12.98,0.27777777777777773,0.24666666666666667,4.305555555555555,2.9433333333333334,0.27777777777777773,0.2866666666666667,16.180555555555554,12.328333333333333
09/03/2011,Wright St.,3-0,3.0,0,46.0,7.0,100.0,0.39,38.0,5.0,7.0,47.0,0.0,8.0,4.0,55.0,1.0,Wright St.,3,15.333333333333334,2.333333333333333,33.333333333333336,12.666666666666666,1.6666666666666667,2.333333333333333,15.666666666666666,0.0,2.6666666666666665,1.3333333333333333,18.33333333333333,12.605555555555554,10.169444444444444,4.894444444444445,3.7305555555555556,34.87777777777778,29.36388888888889,0.2293333333333333,0.1875,11.783333333333333,9.416666666666666,0.5111111111111111,0.6055555555555556,2.2055555555555557,1.5194444444444446,14.85,12.450000000000001,0.17777777777777778,0.2388888888888889,4.0055555555555555,3.2194444444444446,0.24444444444444446,0.3055555555555556,15.297222222222222,12.62361111111111
09/09/2011,"Loyola Chicago @ Iowa City, Iowa",2-3,5.0,0,62.0,37.0,180.0,0.139,59.0,5.0,7.0,75.0,0.0,16.0,2.0,75.0,1.0,Loyola Chicago,5,12.4,7.4,36.0,11.8,1.0,1.4,15.0,0.0,3.2,0.4,15.0,12.466666666666667,10.907142857142857,4.422222222222222,3.530952380952381,34.15555555555556,29.930952380952384,0.24666666666666667,0.21642857142857144,11.088888888888889,9.880952380952381,0.7333333333333334,0.7571428571428572,2.4,1.6357142857142857,15.155555555555557,12.90952380952381,0.17777777777777778,0.20476190476190476,3.3111111111111113,3.1404761904761904,0.6888888888888888,0.45238095238095244,15.033333333333331,13.439285714285713
09/10/2011,@ Iowa,2-3,5.0,0,60.0,26.0,165.0,0.206,56.0,4.0,7.0,67.0,1.0,12.0,0.0,71.0,0.0,Iowa,5,12.0,5.2,33.0,11.2,0.8,1.4,13.4,0.2,2.4,0.0,14.2,13.044444444444446,11.09375,4.777777777777778,4.014583333333333,32.37777777777777,30.689583333333335,0.258,0.20675000000000002,11.68888888888889,10.120833333333334,0.9555555555555557,0.7875000000000001,1.9777777777777779,1.60625,13.488888888888889,13.170833333333334,0.06666666666666667,0.17916666666666667,3.488888888888889,3.1479166666666667,0.7111111111111111,0.44583333333333336,15.81111111111111,13.634374999999999
09/10/2011,"Chicago St. @ Iowa City, Iowa",3-0,3.0,0,41.0,13.0,94.0,0.298,36.0,5.0,4.0,45.0,0.0,20.0,0.0,56.0,0.0,Chicago St.,3,13.666666666666666,4.333333333333333,31.33333333333333,12.0,1.6666666666666667,1.3333333333333333,15.0,0.0,6.666666666666667,0.0,18.666666666666668,13.244444444444445,11.194444444444445,4.977777777777778,4.146296296296296,34.111111111111114,30.946296296296296,0.245,0.20666666666666667,11.888888888888888,10.24074074074074,1.1555555555555557,0.788888888888889,1.711111111111111,1.5833333333333333,14.688888888888888,13.196296296296298,0.06666666666666667,0.18148148148148147,2.755555555555556,3.064814814814815,0.5777777777777778,0.3962962962962963,15.844444444444443,13.697222222222221
09/17/2011,@ Purdue Fort Wayne,3-1,4.0,0,52.0,23.0,145.0,0.2,51.0,4.0,10.0,64.0,2.0,18.0,1.0,67.0,3.0,Purdue Fort Wayne,4,13.0,5.75,36.25,12.75,1.0,2.5,16.0,0.5,4.5,0.25,16.75,12.688888888888888,11.441666666666666,5.644444444444445,4.165000000000001,33.444444444444436,30.984999999999996,0.21433333333333335,0.2158,11.666666666666666,10.416666666666668,1.1555555555555557,0.8766666666666667,1.3777777777777775,1.5583333333333333,14.466666666666669,13.376666666666669,0.06666666666666667,0.16333333333333333,4.0888888888888895,3.425,0.13333333333333333,0.3566666666666667,15.955555555555556,14.194166666666666
