date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
09/02/2011,Temple,3-1,4.0,0,51.0,22.0,138.0,0.21,44.0,5.0,10.0,75.0,4.0,16.0,4.0,68.0,1.0,Temple
09/03/2011,@ La Salle,3-0,3.0,0,44.0,15.0,104.0,0.279,41.0,6.0,6.0,44.0,1.0,10.0,4.0,56.0,0.0,La Salle
09/03/2011,Villanova,1-3,4.0,0,41.0,19.0,122.0,0.18,40.0,3.0,9.0,44.0,1.0,16.0,2.0,53.0,0.0,Villanova
09/09/2011,"Ohio St. @ Toledo, OH",1-3,4.0,0,43.0,22.0,137.0,0.153,40.0,2.0,9.0,53.0,0.0,8.0,0.0,49.0,1.0,Ohio St.
09/10/2011,"Alabama @ Toledo, OH",2-3,5.0,0,55.0,26.0,178.0,0.163,52.0,7.0,6.0,81.0,5.0,6.0,0.0,70.0,3.0,Alabama
09/10/2011,@ Toledo,2-3,5.0,0,55.0,27.0,173.0,0.162,52.0,9.0,7.0,72.0,4.0,14.0,0.0,75.0,3.0,Toledo
09/16/2011,Rhode Island,3-0,3.0,0,51.0,18.0,124.0,0.266,46.0,3.0,3.0,61.0,2.0,14.0,3.0,63.0,1.0,Rhode Island
09/17/2011,William & Mary,1-3,4.0,0,53.0,23.0,141.0,0.213,52.0,5.0,8.0,58.0,2.0,2.0,2.0,61.0,4.0,William & Mary
09/17/2011,UMBC,3-1,4.0,0,57.0,21.0,160.0,0.225,55.0,2.0,3.0,91.0,1.0,14.0,1.0,67.0,3.0,UMBC
09/23/2011,@ Princeton,2-3,5.0,0,63.0,28.0,170.0,0.206,61.0,5.0,7.0,68.0,3.0,20.0,1.0,81.0,5.0,Princeton
09/24/2011,Delaware,0-3,3.0,0,41.0,23.0,137.0,0.131,38.0,0.0,1.0,71.0,1.0,8.0,3.0,46.0,2.0,Delaware
09/30/2011,Dartmouth,3-0,3.0,0,45.0,18.0,137.0,0.197,38.0,2.0,5.0,63.0,1.0,14.0,1.0,55.0,0.0,Dartmouth
10/01/2011,Harvard,2-3,5.0,0,71.0,34.0,222.0,0.167,66.0,3.0,4.0,116.0,2.0,8.0,5.0,80.0,2.0,Harvard
10/07/2011,@ Cornell,3-1,4.0,0,50.0,25.0,193.0,0.13,43.0,6.0,2.0,85.0,3.0,12.0,0.0,65.0,5.0,Cornell
10/08/2011,@ Columbia,2-3,5.0,0,77.0,32.0,225.0,0.2,72.0,2.0,4.0,112.0,1.0,16.0,4.0,88.0,5.0,Columbia
10/14/2011,Brown,2-3,5.0,0,63.0,22.0,191.0,0.215,60.0,2.0,8.0,86.0,2.0,18.0,5.0,76.0,4.0,Brown
10/15/2011,Yale,0-3,3.0,0,37.0,21.0,123.0,0.13,31.0,2.0,3.0,52.0,1.0,10.0,0.0,45.0,0.0,Yale
10/21/2011,Princeton,0-3,3.0,0,37.0,26.0,130.0,0.085,36.0,5.0,5.0,70.0,2.0,14.0,3.0,51.0,2.0,Princeton
10/28/2011,@ Harvard,1-3,4.0,0,44.0,29.0,176.0,0.085,43.0,3.0,8.0,99.0,3.0,6.0,2.0,53.0,0.0,Harvard
10/29/2011,@ Dartmouth,3-2,5.0,0,59.0,29.0,187.0,0.16,55.0,4.0,8.0,88.0,0.0,14.0,3.0,70.0,1.0,Dartmouth
11/04/2011,@ Yale,0-3,3.0,0,30.0,17.0,135.0,0.096,29.0,0.0,5.0,74.0,2.0,4.0,0.0,34.0,3.0,Yale
11/05/2011,@ Brown,3-1,4.0,0,57.0,32.0,167.0,0.15,55.0,5.0,4.0,90.0,1.0,8.0,0.0,67.0,0.0,Brown
11/11/2011,Columbia,3-2,5.0,0,72.0,20.0,194.0,0.268,63.0,2.0,5.0,93.0,4.0,14.0,0.0,85.0,0.0,Columbia
11/12/2011,Cornell,3-0,3.0,0,44.0,14.0,101.0,0.297,38.0,7.0,4.0,49.0,0.0,10.0,3.0,56.0,1.0,Cornell
