date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2011,Wright St.,3-0,3.0,0,48.0,8.0,98.0,0.408,46.0,6.0,5.0,48.0,5.0,4.0,3.0,61.0,1.0,Wright St.,3,16.0,2.6666666666666665,32.666666666666664,15.333333333333334,2.0,1.6666666666666667,16.0,1.6666666666666667,1.3333333333333333,1.0,20.333333333333332
08/27/2011,Oakland,3-1,4.0,0,68.0,26.0,156.0,0.269,66.0,5.0,6.0,68.0,0.0,14.0,4.0,80.0,0.0,Oakland,4,17.0,6.5,39.0,16.5,1.25,1.5,17.0,0.0,3.5,1.0,20.0
08/27/2011,Niagara,3-0,3.0,0,47.0,11.0,104.0,0.346,43.0,3.0,4.0,53.0,2.0,4.0,2.0,54.0,0.0,Niagara,3,15.666666666666666,3.6666666666666665,34.666666666666664,14.333333333333334,1.0,1.3333333333333333,17.666666666666668,0.6666666666666666,1.3333333333333333,0.6666666666666666,18.0
09/02/2011,"Cleveland St. @ East Lansing, Mich.",0-3,3.0,0,35.0,21.0,92.0,0.152,33.0,1.0,3.0,30.0,1.0,6.0,5.0,40.0,0.0,Cleveland St.,3,11.666666666666666,7.0,30.666666666666668,11.0,0.3333333333333333,1.0,10.0,0.3333333333333333,2.0,1.6666666666666667,13.333333333333334
09/03/2011,"St. John's (NY) @ East Lansing, Mich.",1-3,4.0,0,49.0,28.0,130.0,0.162,46.0,5.0,4.0,48.0,1.0,14.0,4.0,62.0,0.0,St. John's ,4,12.25,7.0,32.5,11.5,1.25,1.0,12.0,0.25,3.5,1.0,15.5
09/03/2011,@ Michigan St.,0-3,3.0,0,41.0,20.0,102.0,0.206,38.0,4.0,4.0,23.0,4.0,2.0,2.0,50.0,0.0,Michigan St.,3,13.666666666666666,6.666666666666667,34.0,12.666666666666666,1.3333333333333333,1.3333333333333333,7.666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,16.666666666666668
09/09/2011,Alabama,1-3,4.0,0,58.0,25.0,165.0,0.2,52.0,1.0,9.0,74.0,3.0,10.0,1.0,67.0,1.0,Alabama,4,14.5,6.25,41.25,13.0,0.25,2.25,18.5,0.75,2.5,0.25,16.75
09/10/2011,Ohio St.,1-3,4.0,0,63.0,16.0,153.0,0.307,57.0,1.0,6.0,59.0,1.0,2.0,6.0,66.0,0.0,Ohio St.,4,15.75,4.0,38.25,14.25,0.25,1.5,14.75,0.25,0.5,1.5,16.5
09/10/2011,Penn,3-2,5.0,0,58.0,27.0,166.0,0.187,53.0,1.0,6.0,79.0,5.0,16.0,4.0,72.0,0.0,Penn,5,11.6,5.4,33.2,10.6,0.2,1.2,15.8,1.0,3.2,0.8,14.4
09/16/2011,"Texas A&M @ Ann Arbor, Mich.",0-3,3.0,0,38.0,18.0,121.0,0.165,34.0,2.0,3.0,52.0,1.0,2.0,0.0,42.0,1.0,Texas A&M,3,12.666666666666666,6.0,40.333333333333336,11.333333333333334,0.6666666666666666,1.0,17.333333333333332,0.3333333333333333,0.6666666666666666,0.0,14.0
09/16/2011,@ Michigan,1-3,4.0,0,36.0,23.0,121.0,0.107,34.0,7.0,3.0,49.0,3.0,12.0,0.0,52.0,1.0,Michigan,4,9.0,5.75,30.25,8.5,1.75,0.75,12.25,0.75,3.0,0.0,13.0
09/17/2011,"Xavier @ Ann Arbor, MI",3-2,5.0,0,44.0,33.0,163.0,0.067,44.0,8.0,7.0,70.0,0.0,18.0,3.0,61.0,0.0,Xavier,5,8.8,6.6,32.6,8.8,1.6,1.4,14.0,0.0,3.6,0.6,12.2
09/22/2011,@ Ball St.,1-3,4.0,0,44.0,20.0,140.0,0.171,44.0,10.0,8.0,62.0,2.0,12.0,1.0,62.0,0.0,Ball St.,4,11.0,5.0,35.0,11.0,2.5,2.0,15.5,0.5,3.0,0.25,15.5
09/24/2011,@ Buffalo,3-0,3.0,0,39.0,13.0,80.0,0.325,36.0,2.0,4.0,33.0,2.0,6.0,4.0,46.0,0.0,Buffalo,3,13.0,4.333333333333333,26.666666666666668,12.0,0.6666666666666666,1.3333333333333333,11.0,0.6666666666666666,2.0,1.3333333333333333,15.333333333333334
09/30/2011,Western Mich.,0-3,3.0,0,35.0,22.0,118.0,0.11,33.0,4.0,10.0,45.0,2.0,8.0,2.0,45.0,1.0,Western Mich.,3,11.666666666666666,7.333333333333333,39.333333333333336,11.0,1.3333333333333333,3.3333333333333335,15.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,15.0
10/01/2011,NIU,1-3,4.0,0,46.0,13.0,126.0,0.262,44.0,5.0,4.0,49.0,3.0,6.0,4.0,57.0,0.0,NIU,4,11.5,3.25,31.5,11.0,1.25,1.0,12.25,0.75,1.5,1.0,14.25
10/07/2011,@ Eastern Mich.,0-3,3.0,0,20.0,28.0,107.0,-0.075,20.0,1.0,3.0,56.0,1.0,4.0,0.0,24.0,1.0,Eastern Mich.,3,6.666666666666667,9.333333333333334,35.666666666666664,6.666666666666667,0.3333333333333333,1.0,18.666666666666668,0.3333333333333333,1.3333333333333333,0.0,8.0
10/08/2011,@ Central Mich.,2-3,5.0,0,59.0,34.0,173.0,0.145,53.0,4.0,7.0,57.0,0.0,18.0,3.0,72.0,0.0,Central Mich.,5,11.8,6.8,34.6,10.6,0.8,1.4,11.4,0.0,3.6,0.6,14.4
10/14/2011,@ Kent St.,3-0,3.0,0,42.0,12.0,94.0,0.319,39.0,1.0,6.0,50.0,3.0,6.0,0.0,49.0,0.0,Kent St.,3,14.0,4.0,31.333333333333332,13.0,0.3333333333333333,2.0,16.666666666666668,1.0,2.0,0.0,16.333333333333332
10/15/2011,@ Ohio,0-3,3.0,0,44.0,30.0,130.0,0.108,39.0,3.0,3.0,56.0,2.0,0.0,0.0,49.0,3.0,Ohio,3,14.666666666666666,10.0,43.333333333333336,13.0,1.0,1.0,18.666666666666668,0.6666666666666666,0.0,0.0,16.333333333333332
10/21/2011,Bowling Green,1-3,4.0,0,55.0,16.0,151.0,0.258,49.0,2.0,4.0,59.0,1.0,12.0,3.0,64.0,0.0,Bowling Green,4,13.75,4.0,37.75,12.25,0.5,1.0,14.75,0.25,3.0,0.75,16.0
10/22/2011,Miami (OH),3-2,5.0,0,66.0,32.0,174.0,0.195,64.0,2.0,9.0,84.0,2.0,24.0,2.0,82.0,1.0,Miami ,5,13.2,6.4,34.8,12.8,0.4,1.8,16.8,0.4,4.8,0.4,16.4
10/27/2011,Ball St.,2-3,5.0,0,70.0,25.0,190.0,0.237,69.0,8.0,8.0,75.0,3.0,12.0,0.0,87.0,0.0,Ball St.,5,14.0,5.0,38.0,13.8,1.6,1.6,15.0,0.6,2.4,0.0,17.4
10/29/2011,Akron,3-1,4.0,0,68.0,27.0,151.0,0.272,67.0,5.0,6.0,70.0,1.0,14.0,2.0,81.0,1.0,Akron,4,17.0,6.75,37.75,16.75,1.25,1.5,17.5,0.25,3.5,0.5,20.25
11/04/2011,@ NIU,0-3,3.0,0,36.0,13.0,90.0,0.256,34.0,3.0,3.0,34.0,0.0,10.0,2.0,44.0,1.0,NIU,3,12.0,4.333333333333333,30.0,11.333333333333334,1.0,1.0,11.333333333333334,0.0,3.3333333333333335,0.6666666666666666,14.666666666666666
11/05/2011,@ Western Mich.,2-3,5.0,0,64.0,35.0,182.0,0.159,57.0,7.0,8.0,66.0,0.0,12.0,0.0,77.0,2.0,Western Mich.,5,12.8,7.0,36.4,11.4,1.4,1.6,13.2,0.0,2.4,0.0,15.4
11/11/2011,Central Mich.,1-3,4.0,0,47.0,13.0,121.0,0.281,42.0,3.0,7.0,45.0,0.0,8.0,0.0,54.0,0.0,Central Mich.,4,11.75,3.25,30.25,10.5,0.75,1.75,11.25,0.0,2.0,0.0,13.5
11/12/2011,Eastern Mich.,3-2,5.0,0,70.0,33.0,200.0,0.185,67.0,3.0,6.0,99.0,1.0,22.0,1.0,85.0,2.0,Eastern Mich.,5,14.0,6.6,40.0,13.4,0.6,1.2,19.8,0.2,4.4,0.2,17.0
