date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
09/02/2011,"Bethune-Cookman @ Tampa, Fla.",1-3,4.0,0,49.0,19.0,129.0,0.233,45.0,5.0,10.0,42.0,3.0,8.0,3.0,61.0,2.0,Bethune-Cookman
09/03/2011,@ South Fla.,3-2,5.0,0,54.0,27.0,145.0,0.186,51.0,0.0,13.0,51.0,3.0,8.0,2.0,61.0,0.0,South Fla.
09/03/2011,"Bowling Green @ Tampa, Fla.",2-3,5.0,0,53.0,32.0,144.0,0.146,46.0,8.0,10.0,47.0,4.0,14.0,1.0,72.0,3.0,Bowling Green
09/04/2011,"Eastern Ky. @ Tampa, Fla.",0-3,3.0,0,30.0,17.0,100.0,0.13,28.0,1.0,7.0,37.0,0.0,6.0,3.0,34.0,0.0,Eastern Ky.
09/09/2011,@ Bryant,3-1,4.0,0,57.0,27.0,159.0,0.189,56.0,9.0,9.0,73.0,3.0,22.0,1.0,80.0,3.0,Bryant
09/10/2011,"Holy Cross @ Smithfield, R.I.",0-3,3.0,0,44.0,20.0,135.0,0.178,42.0,7.0,9.0,63.0,0.0,16.0,3.0,59.0,2.0,Holy Cross
09/10/2011,"Harvard @ Smithfield, RI",3-0,3.0,0,39.0,10.0,94.0,0.309,39.0,7.0,11.0,45.0,2.0,21.0,0.0,58.5,0.0,Harvard
09/16/2011,"Bryant @ Providecne, R.I.",3-2,5.0,0,63.0,20.0,144.0,0.299,57.0,7.0,12.0,54.0,2.0,18.0,0.0,81.0,0.0,Bryant
09/17/2011,@ Brown,3-2,5.0,0,48.0,28.0,140.0,0.143,48.0,10.0,13.0,52.0,5.0,13.0,0.0,69.5,0.0,Brown
09/17/2011,"Fordham @ Providence, R.I.",1-3,4.0,0,60.0,26.0,157.0,0.217,52.0,4.0,9.0,54.0,1.0,12.0,0.0,71.0,0.0,Fordham
09/24/2011,"Campbell @ High Point, NC",2-3,5.0,0,65.0,33.0,210.0,0.152,62.0,7.0,16.0,89.0,0.0,15.0,2.0,79.5,1.0,Campbell
09/24/2011,@ High Point,3-1,4.0,0,59.0,22.0,149.0,0.248,52.0,9.0,7.0,63.0,1.0,12.0,1.0,75.0,2.0,High Point
09/30/2011,Alabama St.,3-0,3.0,0,38.0,8.0,67.0,0.448,31.0,5.0,12.0,21.0,1.0,7.0,1.0,47.5,0.0,Alabama St.
10/01/2011,N.C. Central,3-0,3.0,0,38.0,9.0,77.0,0.377,35.0,12.0,13.0,25.0,1.0,12.0,1.0,57.0,2.0,N.C. Central
10/01/2011,CSU Bakersfield,3-1,4.0,0,49.0,16.0,118.0,0.28,46.0,9.0,8.0,43.0,3.0,10.0,3.0,66.0,0.0,CSU Bakersfield
10/04/2011,Delaware St.,3-0,3.0,0,42.0,11.0,85.0,0.365,35.0,11.0,5.0,42.0,3.0,10.0,0.0,61.0,2.0,Delaware St.
10/07/2011,@ Coppin St.,3-1,4.0,0,46.0,16.0,110.0,0.273,42.0,5.0,12.0,37.0,2.0,23.0,2.0,64.5,0.0,Coppin St.
10/09/2011,@ Morgan St.,3-0,3.0,0,38.0,11.0,84.0,0.321,36.0,4.0,9.0,31.0,3.0,8.0,0.0,49.0,0.0,Morgan St.
10/14/2011,@ Hampton,3-0,3.0,0,38.0,9.0,76.0,0.382,36.0,4.0,7.0,34.0,3.0,8.0,1.0,49.0,0.0,Hampton
10/16/2011,@ Norfolk St.,3-0,3.0,0,37.0,12.0,86.0,0.291,31.0,5.0,7.0,40.0,0.0,10.0,1.0,47.0,0.0,Norfolk St.
10/21/2011,@ Delaware St.,3-0,3.0,0,40.0,18.0,81.0,0.272,33.0,13.0,8.0,19.0,0.0,6.0,1.0,56.0,0.0,Delaware St.
10/23/2011,Howard,3-1,4.0,0,48.0,13.0,96.0,0.365,44.0,5.0,4.0,30.0,3.0,9.0,0.0,60.5,3.0,Howard
10/28/2011,@ Howard,3-0,3.0,0,40.0,20.0,119.0,0.168,37.0,4.0,8.0,40.0,1.0,14.0,1.0,52.0,0.0,Howard
11/04/2011,Morgan St.,3-1,4.0,0,56.0,19.0,121.0,0.306,50.0,8.0,6.0,36.0,2.0,16.0,1.0,74.0,1.0,Morgan St.
11/06/2011,Coppin St.,3-0,3.0,0,48.0,10.0,94.0,0.404,44.0,0.0,10.0,42.0,1.0,20.0,1.0,59.0,1.0,Coppin St.
11/11/2011,Norfolk St.,3-0,3.0,0,43.0,12.0,83.0,0.373,41.0,8.0,8.0,35.0,3.0,10.0,0.0,59.0,2.0,Norfolk St.
11/13/2011,Hampton,3-1,4.0,0,53.0,21.0,148.0,0.216,47.0,10.0,16.0,45.0,4.0,30.0,1.0,82.0,0.0,Hampton
11/18/2011,"N.C. Central @ Baltimore, MD",3-2,5.0,0,57.0,20.0,115.0,0.322,50.0,12.0,10.0,42.0,1.0,10.0,0.0,75.0,1.0,N.C. Central
11/19/2011,"Hampton @ Baltimore, MD",3-0,3.0,0,39.0,11.0,82.0,0.341,38.0,10.0,6.0,47.0,1.0,11.0,0.0,55.5,1.0,Hampton
11/20/2011,"Florida A&M @ Baltimore, MD",3-2,5.0,0,60.0,23.0,151.0,0.245,54.0,12.0,9.0,44.0,2.0,16.0,0.0,82.0,0.0,Florida A&M
12/02/2011,@ UCLA,0-3,3.0,0,16.0,21.0,73.0,-0.068,16.0,2.0,7.0,19.0,1.0,10.0,0.0,24.0,0.0,UCLA
