date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2011,Western Mich.,1-3,4.0,0,52.0,17.0,153.0,0.229,47.0,2.0,11.0,65.0,1.0,10.0,2.0,60.0,1.0,Western Mich.,4,13.0,4.25,38.25,11.75,0.5,2.75,16.25,0.25,2.5,0.5,15.0
08/27/2011,USC Upstate,3-0,3.0,0,39.0,14.0,106.0,0.236,38.0,8.0,11.0,55.0,3.0,7.0,0.0,53.5,2.0,USC Upstate,3,13.0,4.666666666666667,35.333333333333336,12.666666666666666,2.6666666666666665,3.6666666666666665,18.333333333333332,1.0,2.3333333333333335,0.0,17.833333333333332
08/27/2011,Western Caro.,3-0,3.0,0,43.0,11.0,95.0,0.337,37.0,6.0,9.0,52.0,1.0,6.0,2.0,53.0,0.0,Western Caro.,3,14.333333333333334,3.6666666666666665,31.666666666666668,12.333333333333334,2.0,3.0,17.333333333333332,0.3333333333333333,2.0,0.6666666666666666,17.666666666666668
09/02/2011,California,0-3,3.0,0,35.0,25.0,123.0,0.081,31.0,2.0,4.0,50.0,1.0,5.0,4.0,40.5,0.0,California,3,11.666666666666666,8.333333333333334,41.0,10.333333333333334,0.6666666666666666,1.3333333333333333,16.666666666666668,0.3333333333333333,1.6666666666666667,1.3333333333333333,13.5
09/02/2011,East Carolina,3-0,3.0,0,55.0,17.0,111.0,0.342,49.0,1.0,9.0,54.0,0.0,9.0,3.0,60.5,1.0,East Carolina,3,18.333333333333332,5.666666666666667,37.0,16.333333333333332,0.3333333333333333,3.0,18.0,0.0,3.0,1.0,20.166666666666668
09/03/2011,LIU,3-0,3.0,0,39.0,15.0,108.0,0.222,37.0,9.0,6.0,45.0,3.0,12.0,3.0,57.0,1.0,LIU,3,13.0,5.0,36.0,12.333333333333334,3.0,2.0,15.0,1.0,4.0,1.0,19.0
09/09/2011,"Marshall @ Athens, Ohio",3-0,3.0,0,47.0,13.0,111.0,0.306,43.0,2.0,6.0,51.0,1.0,12.0,0.0,56.0,0.0,Marshall,3,15.666666666666666,4.333333333333333,37.0,14.333333333333334,0.6666666666666666,2.0,17.0,0.3333333333333333,4.0,0.0,18.666666666666668
09/10/2011,Louisville @ Athens Ohio,1-3,4.0,0,50.0,22.0,161.0,0.174,45.0,4.0,2.0,75.0,3.0,8.0,0.0,61.0,3.0,Louisville,4,12.5,5.5,40.25,11.25,1.0,0.5,18.75,0.75,2.0,0.0,15.25
09/11/2011,@ Ohio,3-1,4.0,0,69.0,17.0,155.0,0.335,64.0,3.0,4.0,73.0,2.0,14.0,0.0,81.0,4.0,Ohio,4,17.25,4.25,38.75,16.0,0.75,1.0,18.25,0.5,3.5,0.0,20.25
09/16/2011,@ Virginia Tech,1-3,4.0,0,48.0,20.0,161.0,0.174,45.0,2.0,14.0,74.0,1.0,17.0,1.0,59.5,0.0,Virginia Tech,4,12.0,5.0,40.25,11.25,0.5,3.5,18.5,0.25,4.25,0.25,14.875
09/17/2011,"UConn @ Blacksburg, Va.",1-3,4.0,0,56.0,25.0,143.0,0.217,53.0,5.0,9.0,52.0,0.0,13.0,3.0,67.5,0.0,UConn,4,14.0,6.25,35.75,13.25,1.25,2.25,13.0,0.0,3.25,0.75,16.875
09/23/2011,Florida St.,0-3,3.0,0,40.0,15.0,116.0,0.216,40.0,5.0,5.0,42.0,1.0,4.0,2.0,48.0,1.0,Florida St.,3,13.333333333333334,5.0,38.666666666666664,13.333333333333334,1.6666666666666667,1.6666666666666667,14.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,16.0
09/25/2011,Miami (FL),0-3,3.0,0,41.0,12.0,113.0,0.257,40.0,3.0,5.0,43.0,0.0,6.0,2.0,47.0,1.0,Miami ,3,13.666666666666666,4.0,37.666666666666664,13.333333333333334,1.0,1.6666666666666667,14.333333333333334,0.0,2.0,0.6666666666666666,15.666666666666666
09/30/2011,@ Maryland,2-3,5.0,0,59.0,20.0,197.0,0.198,55.0,7.0,4.0,93.0,5.0,8.0,0.0,75.0,2.0,Maryland,5,11.8,4.0,39.4,11.0,1.4,0.8,18.6,1.0,1.6,0.0,15.0
10/02/2011,@ Boston College,1-3,4.0,0,49.0,23.0,146.0,0.178,46.0,3.0,9.0,52.0,0.0,26.0,0.0,65.0,0.0,Boston College,4,12.25,5.75,36.5,11.5,0.75,2.25,13.0,0.0,6.5,0.0,16.25
10/07/2011,Wake Forest,3-1,4.0,0,67.0,20.0,145.0,0.324,61.0,4.0,5.0,48.0,2.0,14.0,4.0,80.0,0.0,Wake Forest,4,16.75,5.0,36.25,15.25,1.0,1.25,12.0,0.5,3.5,1.0,20.0
10/08/2011,Duke,2-3,5.0,0,63.0,21.0,177.0,0.237,58.0,5.0,6.0,64.0,1.0,18.0,4.0,78.0,1.0,Duke,5,12.6,4.2,35.4,11.6,1.0,1.2,12.8,0.2,3.6,0.8,15.6
10/14/2011,@ North Carolina,0-3,3.0,0,33.0,17.0,110.0,0.145,29.0,2.0,5.0,51.0,2.0,10.0,1.0,42.0,2.0,North Carolina,3,11.0,5.666666666666667,36.666666666666664,9.666666666666666,0.6666666666666666,1.6666666666666667,17.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,14.0
10/15/2011,@ NC State,3-1,4.0,0,54.0,22.0,125.0,0.256,53.0,4.0,3.0,57.0,1.0,30.0,2.0,74.0,2.0,NC State,4,13.5,5.5,31.25,13.25,1.0,0.75,14.25,0.25,7.5,0.5,18.5
10/21/2011,Clemson,1-3,4.0,0,61.0,20.0,163.0,0.252,54.0,4.0,11.0,59.0,2.0,12.0,3.0,73.0,0.0,Clemson,4,15.25,5.0,40.75,13.5,1.0,2.75,14.75,0.5,3.0,0.75,18.25
10/22/2011,Georgia Tech,1-3,4.0,0,36.0,19.0,113.0,0.15,32.0,8.0,8.0,37.0,2.0,16.0,3.0,54.0,1.0,Georgia Tech,4,9.0,4.75,28.25,8.0,2.0,2.0,9.25,0.5,4.0,0.75,13.5
10/28/2011,@ Miami (FL),0-3,3.0,0,29.0,14.0,122.0,0.123,26.0,3.0,3.0,47.0,3.0,4.0,2.0,37.0,2.0,Miami ,3,9.666666666666666,4.666666666666667,40.666666666666664,8.666666666666666,1.0,1.0,15.666666666666666,1.0,1.3333333333333333,0.6666666666666666,12.333333333333334
10/30/2011,@ Florida St.,0-3,3.0,0,32.0,16.0,96.0,0.167,31.0,3.0,5.0,33.0,0.0,4.0,0.0,37.0,0.0,Florida St.,3,10.666666666666666,5.333333333333333,32.0,10.333333333333334,1.0,1.6666666666666667,11.0,0.0,1.3333333333333333,0.0,12.333333333333334
11/04/2011,@ Duke,1-3,4.0,0,39.0,25.0,160.0,0.088,36.0,2.0,8.0,59.0,1.0,17.0,3.0,50.5,0.0,Duke,4,9.75,6.25,40.0,9.0,0.5,2.0,14.75,0.25,4.25,0.75,12.625
11/05/2011,@ Wake Forest,2-3,5.0,0,56.0,21.0,160.0,0.219,51.0,5.0,8.0,58.0,0.0,16.0,3.0,69.0,1.0,Wake Forest,5,11.2,4.2,32.0,10.2,1.0,1.6,11.6,0.0,3.2,0.6,13.8
11/11/2011,Boston College,3-0,3.0,0,48.0,13.0,122.0,0.287,45.0,5.0,10.0,53.0,1.0,18.0,2.0,63.0,2.0,Boston College,3,16.0,4.333333333333333,40.666666666666664,15.0,1.6666666666666667,3.3333333333333335,17.666666666666668,0.3333333333333333,6.0,0.6666666666666666,21.0
