date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,"Santa Clara @ Seattle, WA",3-1,4.0,0,52.0,13.0,118.0,0.331,47.0,11.0,9.0,53.0,2.0,22.0,3.0,76.0,2.0,Santa Clara
08/27/2011,@ Seattle U,3-2,5.0,0,54.0,25.0,151.0,0.192,53.0,9.0,3.0,71.0,1.0,12.0,0.0,70.0,0.0,Seattle U
08/27/2011,"Eastern Wash. @ Seattle, WA",2-3,5.0,0,53.0,26.0,156.0,0.173,52.0,6.0,10.0,67.0,0.0,8.0,4.0,63.0,1.0,Eastern Wash.
09/02/2011,@ Portland,3-2,5.0,0,61.0,14.0,141.0,0.333,60.0,5.0,12.0,53.0,2.0,16.0,7.0,76.0,0.0,Portland
09/02/2011,"Nevada @ Portland, Ore.",3-0,3.0,0,34.0,14.0,90.0,0.222,33.0,8.0,10.0,33.0,2.0,12.0,1.0,50.0,0.0,Nevada
09/03/2011,"Butler @ Portland, Ore.",3-1,4.0,0,60.0,22.0,140.0,0.271,55.0,7.0,11.0,63.0,0.0,10.0,3.0,72.0,0.0,Butler
09/03/2011,"Texas A&M @ Portland, Ore.",0-3,3.0,0,28.0,17.0,99.0,0.111,26.0,4.0,7.0,33.0,1.0,10.0,2.0,38.0,0.0,Texas A&M
09/09/2011,Manhattan,3-0,3.0,0,41.0,18.0,97.0,0.237,37.0,5.0,8.0,38.0,0.0,16.0,3.0,54.0,0.0,Manhattan
09/09/2011,San Francisco,3-2,5.0,0,56.0,29.0,145.0,0.186,49.0,7.0,12.0,52.0,1.0,18.0,0.0,73.0,0.0,San Francisco
09/10/2011,Sam Houston,3-1,4.0,0,55.0,22.0,130.0,0.254,51.0,6.0,10.0,55.0,3.0,10.0,0.0,69.0,0.0,Sam Houston
09/16/2011,UCLA,0-3,3.0,0,27.0,27.0,89.0,0.0,26.0,1.0,5.0,21.0,1.0,13.0,0.0,35.5,0.0,UCLA
09/17/2011,Southern California,0-3,3.0,0,26.0,12.0,83.0,0.169,26.0,1.0,7.0,27.0,1.0,10.0,0.0,33.0,0.0,Southern California
09/23/2011,@ Arizona St.,3-2,5.0,0,61.0,25.0,162.0,0.222,57.0,5.0,11.0,73.0,5.0,8.0,3.0,75.0,2.0,Arizona St.
09/25/2011,@ Arizona,0-3,3.0,0,29.0,16.0,91.0,0.143,25.0,2.0,8.0,28.0,0.0,10.0,2.0,36.0,0.0,Arizona
09/30/2011,Oregon St.,3-0,3.0,0,44.0,18.0,101.0,0.257,38.0,5.0,8.0,44.0,2.0,8.0,0.0,55.0,0.0,Oregon St.
10/01/2011,Oregon,1-3,4.0,0,54.0,18.0,149.0,0.242,50.0,3.0,8.0,57.0,6.0,14.0,3.0,70.0,1.0,Oregon
10/07/2011,Utah,1-3,4.0,0,50.0,31.0,166.0,0.114,47.0,2.0,11.0,69.0,2.0,4.0,0.0,56.0,1.0,Utah
10/08/2011,Colorado,3-0,3.0,0,34.0,13.0,94.0,0.223,29.0,5.0,4.0,41.0,7.0,16.0,2.0,54.0,1.0,Colorado
10/14/2011,@ Stanford,0-3,3.0,0,28.0,16.0,94.0,0.128,27.0,1.0,4.0,33.0,0.0,10.0,4.0,34.0,0.0,Stanford
10/15/2011,@ California,0-3,3.0,0,30.0,23.0,94.0,0.074,25.0,5.0,4.0,31.0,1.0,8.0,3.0,40.0,1.0,California
10/21/2011,@ Oregon,2-3,5.0,0,46.0,23.0,143.0,0.161,44.0,3.0,10.0,57.0,1.0,20.0,5.0,60.0,1.0,Oregon
10/22/2011,@ Oregon St.,2-3,5.0,0,54.0,31.0,156.0,0.147,53.0,3.0,3.0,69.0,2.0,16.0,3.0,67.0,2.0,Oregon St.
10/28/2011,Arizona,1-3,4.0,0,49.0,16.0,129.0,0.256,42.0,2.0,8.0,41.0,2.0,9.0,2.0,57.5,0.0,Arizona
10/29/2011,Arizona St.,3-0,3.0,0,47.0,11.0,103.0,0.35,46.0,3.0,7.0,43.0,1.0,10.0,1.0,56.0,0.0,Arizona St.
11/04/2011,@ Southern California,0-3,3.0,0,23.0,18.0,88.0,0.057,20.0,2.0,6.0,29.0,0.0,7.0,5.0,28.5,1.0,Southern California
11/06/2011,@ UCLA,0-3,3.0,0,30.0,17.0,93.0,0.14,28.0,3.0,6.0,29.0,0.0,12.0,3.0,39.0,1.0,UCLA
11/11/2011,California,0-3,3.0,0,40.0,17.0,109.0,0.211,39.0,5.0,7.0,39.0,1.0,6.0,1.0,49.0,1.0,California
11/13/2011,Stanford,1-3,4.0,0,48.0,26.0,129.0,0.171,46.0,5.0,8.0,42.0,4.0,10.0,1.0,62.0,1.0,Stanford
11/18/2011,@ Colorado,2-3,5.0,0,60.0,23.0,151.0,0.245,57.0,7.0,3.0,45.0,1.0,18.0,2.0,77.0,0.0,Colorado
11/19/2011,@ Utah,1-3,4.0,0,40.0,21.0,131.0,0.145,37.0,4.0,5.0,48.0,3.0,16.0,2.0,55.0,0.0,Utah
11/22/2011,@ Washington,0-3,3.0,0,33.0,13.0,76.0,0.263,33.0,3.0,5.0,25.0,0.0,0.0,5.0,36.0,1.0,Washington
11/25/2011,Washington,2-3,5.0,0,67.0,28.0,149.0,0.262,62.0,1.0,7.0,56.0,3.0,10.0,6.0,76.0,0.0,Washington
