date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2011,"Charleston So. @ Durham, N.C.",3-0,3.0,0,40.0,15.0,86.0,0.291,38.0,9.0,8.0,35.0,1.0,12.0,1.0,56.0,0.0,Charleston So.
08/27/2011,"Furman @ Durham, N.C.",1-3,4.0,0,53.0,29.0,165.0,0.145,51.0,4.0,6.0,70.0,0.0,10.0,1.0,62.0,1.0,Furman
08/27/2011,@ Duke,2-3,5.0,0,59.0,26.0,160.0,0.206,55.0,7.0,7.0,70.0,3.0,16.0,0.0,77.0,0.0,Duke
09/02/2011,@ NC State,2-3,5.0,0,51.0,30.0,171.0,0.123,49.0,6.0,4.0,88.0,9.0,17.0,2.0,74.5,1.0,NC State
09/02/2011,"Campbell @ Raleigh, N.C.",3-0,3.0,0,48.0,13.0,93.0,0.376,45.0,5.0,3.0,44.0,3.0,16.0,2.0,64.0,2.0,Campbell
09/03/2011,"Western Caro. @ Raleigh, N.C.",3-0,3.0,0,40.0,10.0,100.0,0.3,33.0,4.0,5.0,48.0,1.0,16.0,1.0,53.0,0.0,Western Caro.
09/09/2011,"Boston College @ Kingston, R.I.",3-0,3.0,0,50.0,16.0,114.0,0.298,43.0,3.0,8.0,39.0,5.0,0.0,1.0,58.0,0.0,Boston College
09/09/2011,@ Rhode Island,3-0,3.0,0,44.0,13.0,106.0,0.292,42.0,3.0,6.0,48.0,5.0,22.0,1.0,63.0,0.0,Rhode Island
09/10/2011,"Columbia @ Kingston, R.I.",3-0,3.0,0,53.0,14.0,101.0,0.386,50.0,3.0,10.0,46.0,1.0,10.0,2.0,62.0,0.0,Columbia
09/16/2011,South Fla.,3-0,3.0,0,48.0,13.0,99.0,0.354,41.0,4.0,3.0,47.0,3.0,10.0,1.0,60.0,0.0,South Fla.
09/17/2011,Notre Dame,0-3,3.0,0,42.0,22.0,111.0,0.18,40.0,4.0,5.0,54.0,2.0,0.0,2.0,48.0,0.0,Notre Dame
09/17/2011,Western Mich.,3-1,4.0,0,59.0,16.0,145.0,0.297,57.0,4.0,6.0,67.0,2.0,17.0,4.0,73.5,0.0,Western Mich.
09/23/2011,Northwestern,3-0,3.0,0,43.0,16.0,108.0,0.25,39.0,3.0,4.0,50.0,1.0,16.0,2.0,55.0,1.0,Northwestern
09/25/2011,Illinois,0-3,3.0,0,37.0,22.0,113.0,0.133,35.0,0.0,9.0,54.0,1.0,11.0,0.0,43.5,0.0,Illinois
09/30/2011,@ Penn St.,0-3,3.0,0,32.0,22.0,95.0,0.105,30.0,4.0,3.0,42.0,1.0,13.0,3.0,43.5,1.0,Penn St.
10/02/2011,@ Ohio St.,3-1,4.0,0,61.0,19.0,144.0,0.292,59.0,5.0,6.0,70.0,2.0,6.0,1.0,71.0,2.0,Ohio St.
10/07/2011,@ Michigan St.,1-3,4.0,0,63.0,26.0,170.0,0.218,55.0,3.0,11.0,58.0,3.0,14.0,4.0,76.0,0.0,Michigan St.
10/08/2011,@ Michigan,3-1,4.0,0,53.0,18.0,135.0,0.259,48.0,4.0,6.0,59.0,6.0,20.0,3.0,73.0,0.0,Michigan
10/14/2011,Nebraska,0-3,3.0,0,43.0,22.0,117.0,0.179,40.0,1.0,4.0,50.0,2.0,6.0,3.0,49.0,0.0,Nebraska
10/16/2011,Iowa,3-0,3.0,0,47.0,14.0,115.0,0.287,45.0,3.0,7.0,57.0,2.0,12.0,3.0,58.0,0.0,Iowa
10/19/2011,Minnesota,2-3,5.0,0,55.0,21.0,175.0,0.194,51.0,3.0,6.0,92.0,1.0,26.0,1.0,72.0,2.0,Minnesota
10/22/2011,@ Indiana,3-1,4.0,0,53.0,13.0,113.0,0.354,49.0,0.0,10.0,39.0,1.0,18.0,0.0,63.0,0.0,Indiana
10/28/2011,@ Illinois,1-3,4.0,0,52.0,26.0,158.0,0.165,50.0,5.0,4.0,65.0,1.0,6.0,1.0,61.0,0.0,Illinois
10/29/2011,@ Northwestern,2-3,5.0,0,48.0,32.0,173.0,0.092,47.0,5.0,7.0,65.0,2.0,10.0,1.0,60.0,1.0,Northwestern
11/04/2011,Ohio St.,1-3,4.0,0,44.0,30.0,143.0,0.098,43.0,5.0,6.0,54.0,2.0,19.0,3.0,60.5,0.0,Ohio St.
11/06/2011,Penn St.,3-2,5.0,0,59.0,28.0,179.0,0.173,57.0,2.0,3.0,86.0,6.0,16.0,2.0,75.0,1.0,Penn St.
11/11/2011,Michigan,3-1,4.0,0,69.0,19.0,146.0,0.342,63.0,4.0,4.0,52.0,1.0,21.0,4.0,84.5,1.0,Michigan
11/12/2011,Michigan St.,1-3,4.0,0,55.0,28.0,144.0,0.188,53.0,6.0,4.0,52.0,1.0,2.0,0.0,63.0,0.0,Michigan St.
11/18/2011,@ Iowa,3-0,3.0,0,46.0,10.0,124.0,0.29,41.0,2.0,3.0,67.0,1.0,13.0,1.0,55.5,3.0,Iowa
11/19/2011,@ Nebraska,1-3,4.0,0,45.0,29.0,138.0,0.116,42.0,3.0,8.0,60.0,1.0,12.0,3.0,55.0,1.0,Nebraska
11/23/2011,@ Minnesota,0-3,3.0,0,43.0,17.0,140.0,0.186,41.0,4.0,2.0,64.0,1.0,15.0,2.0,55.5,3.0,Minnesota
11/25/2011,Purdue,0-3,3.0,0,36.0,22.0,113.0,0.124,30.0,1.0,3.0,42.0,2.0,7.0,4.0,42.5,1.0,Purdue
