date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2011,"Siena @ Syracuse, NY",2-3,5.0,0,58.0,34.0,181.0,0.133,54.0,6.0,18.0,73.0,3.0,18.0,2.0,76.0,1.0,Siena,5,11.6,6.8,36.2,10.8,1.2,3.6,14.6,0.6,3.6,0.4,15.2
08/27/2011,"Sacred Heart @ Syracuse, N.Y.",0-3,3.0,0,21.0,15.0,95.0,0.063,19.0,6.0,10.0,44.0,0.0,22.0,2.0,38.0,4.0,Sacred Heart,3,7.0,5.0,31.666666666666668,6.333333333333333,2.0,3.3333333333333335,14.666666666666666,0.0,7.333333333333333,0.6666666666666666,12.666666666666666
08/27/2011,@ Syracuse,2-3,5.0,0,50.0,34.0,171.0,0.094,46.0,3.0,17.0,78.0,0.0,21.0,1.0,63.5,3.0,Syracuse,5,10.0,6.8,34.2,9.2,0.6,3.4,15.6,0.0,4.2,0.2,12.7
08/30/2011,@ Kent St.,2-3,5.0,0,46.0,23.0,124.0,0.185,44.0,9.0,10.0,48.0,0.0,12.0,0.0,61.0,3.0,Kent St.,5,9.2,4.6,24.8,8.8,1.8,2.0,9.6,0.0,2.4,0.0,12.2
09/02/2011,"Buffalo @ Bloomington, Ind.",1-3,4.0,0,47.0,15.0,114.0,0.281,45.0,10.0,17.0,37.0,3.0,13.0,2.0,66.5,2.0,Buffalo,4,11.75,3.75,28.5,11.25,2.5,4.25,9.25,0.75,3.25,0.5,16.625
09/03/2011,"Southeast Mo. St. @ Bloomington, Ind.",2-3,5.0,0,78.0,31.0,194.0,0.242,67.0,5.0,14.0,65.0,2.0,12.0,0.0,91.0,5.0,Southeast Mo. St.,5,15.6,6.2,38.8,13.4,1.0,2.8,13.0,0.4,2.4,0.0,18.2
09/03/2011,@ Indiana,0-3,3.0,0,34.0,19.0,81.0,0.185,30.0,3.0,9.0,20.0,0.0,6.0,0.0,40.0,1.0,Indiana,3,11.333333333333334,6.333333333333333,27.0,10.0,1.0,3.0,6.666666666666667,0.0,2.0,0.0,13.333333333333334
09/06/2011,Eastern Mich.,1-3,4.0,0,51.0,26.0,154.0,0.162,49.0,5.0,11.0,64.0,1.0,12.0,1.0,63.0,4.0,Eastern Mich.,4,12.75,6.5,38.5,12.25,1.25,2.75,16.0,0.25,3.0,0.25,15.75
09/09/2011,@ UMBC,1-3,4.0,0,49.0,24.0,146.0,0.171,45.0,7.0,9.0,53.0,0.0,18.0,5.0,65.0,2.0,UMBC,4,12.25,6.0,36.5,11.25,1.75,2.25,13.25,0.0,4.5,1.25,16.25
09/10/2011,"Norfolk St. @ Baltimore, Md.",2-3,5.0,0,56.0,32.0,143.0,0.168,51.0,8.0,13.0,32.0,1.0,18.0,5.0,74.0,0.0,Norfolk St.,5,11.2,6.4,28.6,10.2,1.6,2.6,6.4,0.2,3.6,1.0,14.8
09/10/2011,"FDU @ Baltimore, Md.",3-0,3.0,0,41.0,16.0,107.0,0.234,34.0,5.0,9.0,37.0,0.0,8.0,3.0,50.0,1.0,FDU,3,13.666666666666666,5.333333333333333,35.666666666666664,11.333333333333334,1.6666666666666667,3.0,12.333333333333334,0.0,2.6666666666666665,1.0,16.666666666666668
09/16/2011,@ Wright St.,0-3,3.0,0,30.0,24.0,103.0,0.058,29.0,7.0,8.0,46.0,0.0,6.0,3.0,40.0,2.0,Wright St.,3,10.0,8.0,34.333333333333336,9.666666666666666,2.3333333333333335,2.6666666666666665,15.333333333333334,0.0,2.0,1.0,13.333333333333334
09/17/2011,@ Butler,0-3,3.0,0,37.0,15.0,106.0,0.208,34.0,4.0,6.0,45.0,1.0,6.0,0.0,45.0,0.0,Butler,3,12.333333333333334,5.0,35.333333333333336,11.333333333333334,1.3333333333333333,2.0,15.0,0.3333333333333333,2.0,0.0,15.0
09/20/2011,Robert Morris,1-3,4.0,0,44.0,33.0,134.0,0.082,40.0,5.0,7.0,45.0,0.0,16.0,1.0,57.0,2.0,Robert Morris,4,11.0,8.25,33.5,10.0,1.25,1.75,11.25,0.0,4.0,0.25,14.25
09/23/2011,Cleveland St.,0-3,3.0,0,31.0,17.0,105.0,0.133,26.0,5.0,5.0,43.0,2.0,2.0,1.0,39.0,1.0,Cleveland St.,3,10.333333333333334,5.666666666666667,35.0,8.666666666666666,1.6666666666666667,1.6666666666666667,14.333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,13.0
10/01/2011,Milwaukee,0-3,3.0,0,28.0,30.0,111.0,-0.018,28.0,2.0,3.0,48.0,0.0,8.0,1.0,34.0,2.0,Milwaukee,3,9.333333333333334,10.0,37.0,9.333333333333334,0.6666666666666666,1.0,16.0,0.0,2.6666666666666665,0.3333333333333333,11.333333333333334
10/04/2011,@ Loyola Chicago,3-1,4.0,0,50.0,16.0,122.0,0.279,46.0,11.0,5.0,58.0,1.0,12.0,1.0,68.0,0.0,Loyola Chicago,4,12.5,4.0,30.5,11.5,2.75,1.25,14.5,0.25,3.0,0.25,17.0
10/05/2011,@ Green Bay,0-3,3.0,0,28.0,29.0,105.0,-0.01,25.0,3.0,9.0,37.0,2.0,4.0,0.0,35.0,3.0,Green Bay,3,9.333333333333334,9.666666666666666,35.0,8.333333333333334,1.0,3.0,12.333333333333334,0.6666666666666666,1.3333333333333333,0.0,11.666666666666666
10/08/2011,@ UIC,0-3,3.0,0,35.0,17.0,107.0,0.168,32.0,9.0,6.0,35.0,2.0,4.0,0.0,48.0,0.0,UIC,3,11.666666666666666,5.666666666666667,35.666666666666664,10.666666666666666,3.0,2.0,11.666666666666666,0.6666666666666666,1.3333333333333333,0.0,16.0
10/09/2011,@ Valparaiso,0-3,3.0,0,33.0,24.0,118.0,0.076,31.0,1.0,6.0,45.0,0.0,8.0,3.0,38.0,2.0,Valparaiso,3,11.0,8.0,39.333333333333336,10.333333333333334,0.3333333333333333,2.0,15.0,0.0,2.6666666666666665,1.0,12.666666666666666
