date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/24/2012,Alabama A&M,3-0,3.0,0,41.0,13.0,116.0,0.241,40.0,7.0,11.0,47.0,1.0,8.0,0.0,53.0,0.0,Alabama A&M
08/25/2012,Northern Colo.,0-3,3.0,0,32.0,20.0,109.0,0.11,32.0,2.0,7.0,41.0,2.0,0.0,0.0,36.0,0.0,Northern Colo.
08/25/2012,TCU,0-3,3.0,0,31.0,24.0,100.0,0.07,29.0,3.0,8.0,43.0,1.0,2.0,2.0,36.0,2.0,TCU
08/30/2012,@ UTSA,0-3,3.0,0,27.0,15.0,110.0,0.109,27.0,5.0,4.0,39.0,1.0,4.0,0.0,35.0,1.0,UTSA
08/31/2012,"UTEP @ San Antonio, Texas",0-3,3.0,0,37.0,10.0,116.0,0.0,34.0,2.0,6.0,57.0,0.0,8.0,0.0,43.0,0.0,UTEP
09/01/2012,@ UTSA,1-3,4.0,0,42.0,19.0,165.0,0.0,37.0,4.0,8.0,68.0,2.0,12.0,0.0,54.0,3.0,UTSA
09/06/2012,"Montana St. @ Athens, Ohio",0-3,3.0,0,33.0,17.0,105.0,0.0,30.0,2.0,7.0,42.0,1.0,2.0,0.0,37.0,3.0,Montana St.
09/06/2012,@ Ohio,0-3,3.0,0,24.0,18.0,92.0,0.0,24.0,0.0,8.0,35.0,1.0,6.0,0.0,28.0,1.0,Ohio
09/07/2012,"Niagara @ Athens, Ohio",3-0,3.0,0,39.0,15.0,111.0,0.0,39.0,9.0,13.0,50.0,0.0,2.0,0.0,49.0,1.0,Niagara
09/11/2012,@ Evansville,3-2,5.0,0,74.0,25.0,197.0,0.0,68.0,5.0,11.0,81.0,3.0,14.0,4.0,89.0,0.0,Evansville
09/14/2012,@ Memphis,1-3,4.0,0,47.0,21.0,141.0,0.0,44.0,3.0,12.0,57.0,2.0,8.0,0.0,56.0,1.0,Memphis
09/14/2012,"Louisiana @ Memphis, Tenn.",0-3,3.0,0,32.0,23.0,114.0,0.0,31.0,3.0,10.0,52.0,1.0,8.0,0.0,40.0,3.0,Louisiana
09/15/2012,"UIC @ Memphis, Tenn.",3-1,4.0,0,51.0,21.0,168.0,0.0,47.0,8.0,14.0,85.0,1.0,18.0,1.0,69.0,1.0,UIC
09/18/2012,Western Ky.,0-3,3.0,0,34.0,17.0,128.0,0.0,33.0,3.0,9.0,57.0,1.0,10.0,3.0,43.0,1.0,Western Ky.
09/21/2012,@ Morehead St.,0-3,3.0,0,26.0,11.0,86.0,0.0,25.0,2.0,8.0,37.0,0.0,10.0,3.0,33.0,0.0,Morehead St.
09/22/2012,@ Eastern Ky.,3-0,3.0,0,50.0,16.0,138.0,0.0,46.0,3.0,14.0,56.0,1.0,4.0,0.0,56.0,0.0,Eastern Ky.
09/25/2012,Tennessee St.,2-3,5.0,0,56.0,25.0,151.0,0.0,54.0,6.0,9.0,76.0,4.0,12.0,1.0,72.0,0.0,Tennessee St.
09/29/2012,SIUE,3-0,3.0,0,43.0,7.0,103.0,0.0,42.0,1.0,7.0,59.0,2.0,8.0,0.0,50.0,0.0,SIUE
10/05/2012,Jacksonville St.,3-0,3.0,0,48.0,12.0,128.0,0.0,46.0,6.0,14.0,66.0,1.0,6.0,2.0,58.0,0.0,Jacksonville St.
10/06/2012,Tennessee Tech,3-0,3.0,0,46.0,14.0,110.0,0.0,40.0,1.0,11.0,47.0,1.0,10.0,0.0,53.0,1.0,Tennessee Tech
10/12/2012,@ Southeast Mo. St.,2-3,5.0,0,66.0,24.0,204.0,0.0,63.0,7.0,13.0,94.0,3.0,12.0,2.0,82.0,0.0,Southeast Mo. St.
10/13/2012,@ UT Martin,2-3,5.0,0,56.0,26.0,185.0,0.0,53.0,6.0,13.0,71.0,1.0,20.0,10.0,73.0,0.0,UT Martin
10/19/2012,@ Tennessee Tech,3-2,5.0,0,59.0,31.0,186.0,0.0,58.0,4.0,11.0,80.0,0.0,8.0,1.0,67.0,4.0,Tennessee Tech
10/20/2012,@ Jacksonville St.,3-0,3.0,0,50.0,17.0,143.0,0.0,48.0,3.0,6.0,71.0,2.0,6.0,1.0,58.0,0.0,Jacksonville St.
10/23/2012,Austin Peay,3-1,4.0,0,58.0,23.0,150.0,0.0,56.0,4.0,10.0,71.0,0.0,8.0,1.0,66.0,2.0,Austin Peay
10/25/2012,Murray St.,3-0,3.0,0,54.0,20.0,135.0,0.0,52.0,6.0,6.0,57.0,2.0,8.0,2.0,66.0,0.0,Murray St.
11/02/2012,Eastern Ky.,3-1,4.0,0,56.0,25.0,177.0,0.0,54.0,9.0,10.0,95.0,0.0,12.0,0.0,71.0,1.0,Eastern Ky.
11/03/2012,Morehead St.,1-3,4.0,0,42.0,20.0,147.0,0.0,42.0,3.0,8.0,57.0,1.0,10.0,4.0,51.0,0.0,Morehead St.
11/06/2012,@ Tennessee St.,3-0,3.0,0,42.0,15.0,121.0,0.0,38.0,1.0,3.0,60.0,1.0,12.0,2.0,50.0,0.0,Tennessee St.
11/09/2012,@ Eastern Ill.,3-2,5.0,0,56.0,19.0,158.0,0.0,54.0,9.0,12.0,57.0,2.0,16.0,5.0,75.0,1.0,Eastern Ill.
11/15/2012,"Eastern Ill. @ Morehead, Ky.",3-1,4.0,0,60.0,20.0,164.0,0.0,58.0,2.0,11.0,68.0,4.0,16.0,4.0,74.0,2.0,Eastern Ill.
11/16/2012,"Southeast Mo. St. @ Morehead, Ky.",3-2,5.0,0,74.0,20.0,185.0,0.0,71.0,4.0,8.0,91.0,3.0,10.0,3.0,86.0,1.0,Southeast Mo. St.
11/17/2012,@ Morehead St.,3-1,4.0,0,53.0,18.0,154.0,0.0,52.0,2.0,11.0,71.0,0.0,26.0,0.0,68.0,3.0,Morehead St.
11/23/2012,@ Louisville,0-3,3.0,0,37.0,19.0,122.0,0.0,34.0,4.0,3.0,49.0,2.0,10.0,0.0,48.0,2.0,Louisville
11/29/2012,@ Louisville,1-3,4.0,0,53.0,22.0,162.0,0.0,51.0,0.0,13.0,72.0,0.0,12.0,0.0,59.0,3.0,Louisville
