date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2012,"Utah Valley @ Tucson, Ariz.",1-3,4.0,0,51.0,21.0,142.0,0.211,49.0,3.0,12.0,61.0,0.0,12.0,4.0,60.0,0.0,Utah Valley,4,12.75,5.25,35.5,12.25,0.75,3.0,15.25,0.0,3.0,1.0,15.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/24/2012,@ Arizona,3-2,5.0,0,63.0,15.0,171.0,0.281,59.0,3.0,8.0,74.0,1.0,16.0,0.0,75.0,1.0,Arizona,5,12.6,3.0,34.2,11.8,0.6,1.6,14.8,0.2,3.2,0.0,15.0,0.2,,6.375,,2.625,,17.75,,0.1055,,6.125,,0.375,,1.5,,7.625,,1.5,,0.5,,7.5,,0.0
08/25/2012,"Evansville @ Tucson, Ariz.",3-0,3.0,0,48.0,16.0,101.0,0.317,43.0,3.0,4.0,44.0,0.0,26.0,1.0,64.0,0.0,Evansville,3,16.0,5.333333333333333,33.666666666666664,14.333333333333334,1.0,1.3333333333333333,14.666666666666666,0.0,8.666666666666666,0.3333333333333333,21.33333333333333,0.0,,8.450000000000001,,2.75,,23.233333333333334,,0.164,,8.016666666666667,,0.45,,1.5333333333333332,,10.016666666666667,,2.066666666666667,,0.3333333333333333,,10.0,,0.06666666666666667
08/31/2012,"Wisconsin @ Long Beach, Calif.",1-3,4.0,0,42.0,23.0,136.0,0.0,41.0,3.0,5.0,58.0,1.0,18.0,4.0,55.0,0.0,Wisconsin,4,10.5,5.75,34.0,10.25,0.75,1.25,14.5,0.25,4.5,1.0,13.75,0.0,13.783333333333333,10.3375,4.527777777777778,3.395833333333333,34.455555555555556,25.84166666666667,0.26966666666666667,0.20224999999999999,12.794444444444444,9.595833333333333,0.7833333333333333,0.5875,1.9777777777777779,1.4833333333333332,14.905555555555557,11.179166666666667,4.955555555555556,3.716666666666667,0.4444444444444444,0.3333333333333333,17.11111111111111,12.833333333333332,0.06666666666666667,0.05
09/01/2012,"James Madison @ Long Beach, Calif.",3-0,3.0,0,41.0,17.0,127.0,0.0,40.0,2.0,9.0,63.0,2.0,16.0,0.0,53.0,0.0,James Madison,3,13.666666666666666,5.666666666666667,42.333333333333336,13.333333333333334,0.6666666666666666,3.0,21.0,0.6666666666666666,5.333333333333333,0.0,17.666666666666668,0.0,13.033333333333333,10.370000000000001,4.694444444444444,3.8666666666666663,33.955555555555556,27.473333333333336,0.19933333333333336,0.1618,12.127777777777778,9.726666666666667,0.7833333333333333,0.62,1.3944444444444446,1.4366666666666665,14.655555555555557,11.843333333333334,5.455555555555556,3.8733333333333335,0.4444444444444444,0.4666666666666666,16.694444444444443,13.016666666666666,0.06666666666666667,0.04
09/03/2012,Idaho,3-1,4.0,0,66.0,16.0,157.0,0.0,62.0,6.0,6.0,73.0,0.0,16.0,2.0,80.0,0.0,Idaho,4,16.5,4.0,39.25,15.5,1.5,1.5,18.25,0.0,4.0,0.5,20.0,0.0,13.388888888888888,10.919444444444444,5.583333333333333,4.166666666666667,36.666666666666664,29.950000000000003,0.10566666666666667,0.13483333333333333,12.638888888888891,10.327777777777778,0.8055555555555555,0.6277777777777778,1.8611111111111114,1.6972222222222222,16.722222222222225,13.369444444444445,6.166666666666667,4.116666666666666,0.4444444444444444,0.38888888888888884,17.583333333333332,13.791666666666666,0.0,0.03333333333333333
09/07/2012,"La Salle @ San Francisco, CA",3-0,3.0,0,43.0,7.0,99.0,0.0,36.0,7.0,7.0,46.0,2.0,10.0,0.0,57.0,0.0,La Salle,3,14.333333333333334,2.333333333333333,33.0,12.0,2.333333333333333,2.333333333333333,15.333333333333334,0.6666666666666666,3.333333333333333,0.0,19.0,0.0,13.555555555555555,11.716666666666667,5.138888888888889,4.142857142857143,38.52777777777778,31.278571428571432,0.0,0.11557142857142856,13.027777777777777,11.066666666666666,0.9722222222222222,0.7523809523809524,1.9166666666666667,1.6690476190476191,17.916666666666668,14.066666666666666,4.611111111111111,4.1,0.5,0.4047619047619047,17.13888888888889,14.678571428571429,0.0,0.028571428571428574
09/08/2012,"LIU @ San Francicso, Calif",3-2,5.0,0,59.0,22.0,176.0,0.0,55.0,6.0,11.0,76.0,3.0,32.0,0.0,84.0,0.0,LIU,5,11.8,4.4,35.2,11.0,1.2,2.2,15.2,0.6,6.4,0.0,16.8,0.0,14.833333333333334,12.04375,4.0,3.9166666666666665,38.19444444444445,31.493750000000002,0.0,0.10112499999999999,13.611111111111109,11.183333333333334,1.5,0.95,2.277777777777778,1.7520833333333332,18.194444444444446,14.225,4.222222222222221,4.004166666666666,0.16666666666666666,0.35416666666666663,18.88888888888889,15.21875,0.0,0.025
09/08/2012,@ San Francisco,0-3,3.0,0,40.0,22.0,124.0,0.0,36.0,0.0,7.0,54.0,1.0,11.0,0.0,46.5,0.0,San Francisco,3,13.333333333333334,7.333333333333333,41.333333333333336,12.0,0.0,2.333333333333333,18.0,0.3333333333333333,3.6666666666666665,0.0,15.5,0.0,14.21111111111111,12.016666666666666,3.577777777777778,3.9703703703703703,35.81666666666667,31.90555555555556,0.0,0.08988888888888888,12.833333333333334,11.162962962962963,1.6777777777777778,0.9777777777777776,2.011111111111111,1.8018518518518516,16.261111111111113,14.333333333333334,4.577777777777777,4.27037037037037,0.16666666666666666,0.31481481481481477,18.599999999999998,15.394444444444446,0.0,0.022222222222222223
09/14/2012,@ Rice,3-0,3.0,0,45.0,17.0,118.0,0.0,43.0,3.0,6.0,46.0,2.0,14.0,2.0,57.0,1.0,Rice,3,15.0,5.666666666666667,39.333333333333336,14.333333333333334,1.0,2.0,15.333333333333334,0.6666666666666666,4.666666666666667,0.6666666666666666,19.0,0.3333333333333333,13.155555555555557,12.148333333333332,4.688888888888889,4.306666666666667,36.51111111111111,32.848333333333336,0.0,0.0809,11.666666666666666,11.246666666666666,1.1777777777777778,0.8799999999999999,2.288888888888889,1.8549999999999998,16.17777777777778,14.7,4.466666666666666,4.209999999999999,0.0,0.2833333333333333,17.099999999999998,15.405000000000001,0.0,0.02
