date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/31/2012,@ Colorado,0-3,3.0,0,29.0,22.0,93.0,0.0,26.0,6.0,8.0,24.0,3.0,8.0,1.0,42.0,2.0,Colorado,3,9.666666666666666,7.333333333333333,31.0,8.666666666666666,2.0,2.6666666666666665,8.0,1.0,2.6666666666666665,0.3333333333333333,14.0,0.6666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/31/2012,"Fresno St. @ Boulder, Colorado",0-3,3.0,0,24.0,16.0,78.0,0.103,20.0,3.0,9.0,24.0,2.0,16.0,3.0,37.0,3.0,Fresno St.,3,8.0,5.333333333333333,26.0,6.666666666666667,1.0,3.0,8.0,0.6666666666666666,5.333333333333333,1.0,12.333333333333334,1.0,,4.833333333333333,,3.6666666666666665,,15.5,,0.0,,4.333333333333333,,1.0,,1.3333333333333333,,4.0,,1.3333333333333333,,0.16666666666666666,,7.0,,0.3333333333333333
09/01/2012,"Northern Ariz. @ Boulder, Colorado",0-3,3.0,0,32.0,20.0,98.0,0.0,32.0,1.0,10.0,33.0,2.0,14.0,0.0,42.0,3.0,Northern Ariz.,3,10.666666666666666,6.666666666666667,32.666666666666664,10.666666666666666,0.3333333333333333,3.333333333333333,11.0,0.6666666666666666,4.666666666666667,0.0,14.0,1.0,,5.888888888888888,,4.222222222222222,,19.0,,0.034333333333333334,,5.111111111111111,,1.0,,1.8888888888888886,,5.333333333333333,,2.6666666666666665,,0.4444444444444444,,8.777777777777779,,0.5555555555555555
09/07/2012,"Bucknell @ Bronx,NY",3-2,5.0,0,48.0,27.0,141.0,0.0,43.0,13.0,16.0,44.0,0.0,10.0,0.0,66.0,1.0,Bucknell,5,9.6,5.4,28.2,8.6,2.6,3.2,8.8,0.0,2.0,0.0,13.2,0.2,9.444444444444445,7.083333333333332,6.444444444444444,4.833333333333333,29.888888888888886,22.416666666666664,0.034333333333333334,0.02575,8.666666666666666,6.5,1.1111111111111112,0.8333333333333334,3.0,2.25,9.0,6.75,4.222222222222222,3.166666666666667,0.4444444444444444,0.3333333333333333,13.444444444444445,10.083333333333334,0.8888888888888888,0.6666666666666666
09/07/2012,@ Fordham,2-3,5.0,0,49.0,23.0,137.0,0.0,43.0,9.0,20.0,44.0,3.0,8.0,3.0,65.0,0.0,Fordham,5,9.8,4.6,27.4,8.6,1.8,4.0,8.8,0.6,1.6,0.6,13.0,0.0,9.422222222222222,7.586666666666666,5.800000000000001,4.946666666666667,28.955555555555552,23.57333333333333,0.034333333333333334,0.0206,8.644444444444446,6.92,1.3111111111111111,1.1866666666666668,3.1777777777777776,2.44,9.266666666666667,7.159999999999999,4.0,2.9333333333333336,0.3333333333333333,0.26666666666666666,13.177777777777777,10.706666666666667,0.7333333333333334,0.5733333333333334
09/08/2012,@ NJIT,2-3,5.0,0,64.0,33.0,196.0,0.0,56.0,6.0,9.0,74.0,0.0,26.0,5.0,83.0,2.0,NJIT,5,12.8,6.6,39.2,11.2,1.2,1.8,14.8,0.0,5.2,1.0,16.6,0.4,10.02222222222222,7.955555555555556,5.555555555555556,4.888888888888889,29.42222222222222,24.21111111111111,0.0,0.017166666666666667,9.28888888888889,7.2,1.5777777777777777,1.288888888888889,3.511111111111111,2.6999999999999997,9.533333333333333,7.433333333333333,2.755555555555555,2.7111111111111117,0.19999999999999998,0.3222222222222222,13.399999999999999,11.088888888888889,0.39999999999999997,0.4777777777777778
09/08/2012,@ Stony Brook,0-3,3.0,0,25.0,15.0,96.0,0.0,23.0,5.0,12.0,37.0,1.0,4.0,2.0,33.0,1.0,Stony Brook,3,8.333333333333334,5.0,32.0,7.666666666666667,1.6666666666666667,4.0,12.333333333333334,0.3333333333333333,1.3333333333333333,0.6666666666666666,11.0,0.3333333333333333,10.733333333333334,8.647619047619047,5.533333333333332,5.133333333333334,31.600000000000005,26.352380952380948,0.0,0.014714285714285713,9.466666666666667,7.771428571428572,1.866666666666667,1.2761904761904763,3.0,2.5714285714285716,10.800000000000002,8.485714285714284,2.9333333333333336,3.066666666666667,0.5333333333333333,0.419047619047619,14.266666666666666,11.876190476190475,0.20000000000000004,0.4666666666666667
09/15/2012,@ Temple,0-3,3.0,0,36.0,18.0,118.0,0.0,35.0,7.0,6.0,40.0,2.0,6.0,6.0,48.0,0.0,Temple,3,12.0,6.0,39.333333333333336,11.666666666666666,2.333333333333333,2.0,13.333333333333334,0.6666666666666666,2.0,2.0,16.0,0.0,10.311111111111112,8.608333333333333,5.3999999999999995,5.116666666666667,32.86666666666667,27.05833333333333,0.0,0.012875,9.155555555555555,7.758333333333334,1.5555555555555556,1.325,3.266666666666667,2.75,11.97777777777778,8.966666666666665,2.711111111111111,2.85,0.7555555555555555,0.44999999999999996,13.533333333333333,11.766666666666666,0.24444444444444446,0.45
09/15/2012,"Central Conn. St. @ Philadelphia, Pa.",3-1,4.0,0,60.0,17.0,141.0,0.0,58.0,11.0,8.0,58.0,2.0,14.0,0.0,80.0,1.0,Central Conn. St.,4,15.0,4.25,35.25,14.5,2.75,2.0,14.5,0.5,3.5,0.0,20.0,0.25,11.044444444444444,8.985185185185184,5.866666666666666,5.214814814814815,36.84444444444445,28.42222222222222,0.0,0.011444444444444445,10.177777777777777,8.192592592592593,1.7333333333333334,1.4370370370370371,2.6,2.6666666666666665,13.488888888888889,9.451851851851849,2.8444444444444446,2.7555555555555555,1.222222222222222,0.6222222222222222,14.533333333333333,12.237037037037036,0.24444444444444446,0.4
09/22/2012,@ Columbia,0-3,3.0,0,37.0,22.0,105.0,0.0,36.0,3.0,10.0,40.0,1.0,8.0,7.0,45.0,0.0,Columbia,3,12.333333333333334,7.333333333333333,35.0,12.0,1.0,3.333333333333333,13.333333333333334,0.3333333333333333,2.6666666666666665,2.333333333333333,15.0,0.0,11.777777777777779,9.586666666666666,5.083333333333333,5.118333333333334,35.52777777777778,29.104999999999997,0.0,0.0103,11.277777777777777,8.823333333333334,2.25,1.5683333333333334,2.6666666666666665,2.6,13.388888888888891,9.956666666666665,2.2777777777777772,2.83,0.8888888888888888,0.5599999999999999,15.666666666666666,13.013333333333332,0.19444444444444442,0.385
