date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,"Hampton @ Durham, NC",2-3,5.0,0,57.0,22.0,158.0,0.222,53.0,9.0,13.0,67.0,3.0,2.0,1.0,70.0,0.0,Hampton,5,11.4,4.4,31.6,10.6,1.8,2.6,13.4,0.6,0.4,0.2,14.0,0.0
08/24/2012,"Bradley @ Durham, NC",0-3,3.0,0,31.0,13.0,76.0,0.237,29.0,2.0,9.0,23.0,0.0,2.0,0.0,34.0,0.0,Bradley,3,10.333333333333334,4.333333333333333,25.333333333333332,9.666666666666666,0.6666666666666666,3.0,7.666666666666667,0.0,0.6666666666666666,0.0,11.333333333333334,0.0
08/25/2012,"Liberty @ Durham, NC",0-3,3.0,0,37.0,13.0,87.0,0.276,36.0,2.0,11.0,25.0,0.0,6.0,0.0,42.0,1.0,Liberty,3,12.333333333333334,4.333333333333333,29.0,12.0,0.6666666666666666,3.6666666666666665,8.333333333333334,0.0,2.0,0.0,14.0,0.3333333333333333
08/29/2012,N.C. A&T,3-0,3.0,0,31.0,22.0,101.0,0.0,28.0,6.0,12.0,29.0,0.0,12.0,2.0,43.0,1.0,N.C. A&T,3,10.333333333333334,7.333333333333333,33.666666666666664,9.333333333333334,2.0,4.0,9.666666666666666,0.0,4.0,0.6666666666666666,14.333333333333334,0.3333333333333333
08/31/2012,Gardner-Webb,3-0,3.0,0,40.0,14.0,97.0,0.0,34.0,3.0,8.0,40.0,0.0,8.0,0.0,47.0,0.0,Gardner-Webb,3,13.333333333333334,4.666666666666667,32.333333333333336,11.333333333333334,1.0,2.6666666666666665,13.333333333333334,0.0,2.6666666666666665,0.0,15.666666666666666,0.0
09/01/2012,Alabama,0-3,3.0,0,28.0,17.0,104.0,0.0,28.0,2.0,5.0,34.0,0.0,4.0,2.0,32.0,0.0,Alabama,3,9.333333333333334,5.666666666666667,34.666666666666664,9.333333333333334,0.6666666666666666,1.6666666666666667,11.333333333333334,0.0,1.3333333333333333,0.6666666666666666,10.666666666666666,0.0
09/01/2012,N.C. Central,3-0,3.0,0,38.0,8.0,90.0,0.0,35.0,3.0,12.0,31.0,0.0,8.0,1.0,45.0,0.0,N.C. Central,3,12.666666666666666,2.6666666666666665,30.0,11.666666666666666,1.0,4.0,10.333333333333334,0.0,2.6666666666666665,0.3333333333333333,15.0,0.0
09/04/2012,@ Radford,3-2,5.0,0,58.0,32.0,168.0,0.0,52.0,4.0,7.0,71.0,2.0,24.0,3.0,76.0,0.0,Radford,5,11.6,6.4,33.6,10.4,0.8,1.4,14.2,0.4,4.8,0.6,15.2,0.0
09/07/2012,@ Duke,0-3,3.0,0,29.0,19.0,104.0,0.0,26.0,0.0,6.0,39.0,0.0,10.0,2.0,34.0,2.0,Duke,3,9.666666666666666,6.333333333333333,34.666666666666664,8.666666666666666,0.0,2.0,13.0,0.0,3.3333333333333335,0.6666666666666666,11.333333333333334,0.6666666666666666
09/08/2012,"Northeastern @ Durham, N.C.",0-3,3.0,0,33.0,20.0,116.0,0.0,29.0,3.0,9.0,43.0,2.0,12.0,3.0,44.0,2.0,Northeastern,3,11.0,6.666666666666667,38.666666666666664,9.666666666666666,1.0,3.0,14.333333333333334,0.6666666666666666,4.0,1.0,14.666666666666666,0.6666666666666666
09/08/2012,"East Carolina @ Durham, N.C.",3-1,4.0,0,55.0,30.0,132.0,0.0,53.0,6.0,11.0,55.0,1.0,14.0,1.0,69.0,1.0,East Carolina,4,13.75,7.5,33.0,13.25,1.5,2.75,13.75,0.25,3.5,0.25,17.25,0.25
09/11/2012,High Point,1-3,4.0,0,35.0,22.0,121.0,0.0,31.0,2.0,7.0,44.0,1.0,11.0,5.0,43.5,1.0,High Point,4,8.75,5.5,30.25,7.75,0.5,1.75,11.0,0.25,2.75,1.25,10.875,0.25
09/14/2012,@ William & Mary,1-3,4.0,0,44.0,28.0,138.0,0.0,44.0,2.0,10.0,50.0,0.0,14.0,1.0,53.0,0.0,William & Mary,4,11.0,7.0,34.5,11.0,0.5,2.5,12.5,0.0,3.5,0.25,13.25,0.0
09/15/2012,"Hampton @ Williamsburg, Va.",3-0,3.0,0,44.0,12.0,111.0,0.0,40.0,5.0,5.0,48.0,1.0,8.0,1.0,54.0,0.0,Hampton,3,14.666666666666666,4.0,37.0,13.333333333333334,1.6666666666666667,1.6666666666666667,16.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,18.0,0.0
09/15/2012,"Howard @ Williamsburg, Va.",3-0,3.0,0,36.0,15.0,92.0,0.0,33.0,6.0,6.0,40.0,1.0,8.0,2.0,47.0,0.0,Howard,3,12.0,5.0,30.666666666666668,11.0,2.0,2.0,13.333333333333334,0.3333333333333333,2.6666666666666665,0.6666666666666666,15.666666666666666,0.0
09/20/2012,UNC Greensboro,2-3,5.0,0,56.0,23.0,170.0,0.0,52.0,7.0,13.0,59.0,0.0,16.0,2.0,71.0,3.0,UNC Greensboro,5,11.2,4.6,34.0,10.4,1.4,2.6,11.8,0.0,3.2,0.4,14.2,0.6
09/22/2012,Col. of Charleston,0-3,3.0,0,31.0,16.0,97.0,0.0,30.0,3.0,6.0,31.0,0.0,4.0,2.0,36.0,0.0,Col. of Charleston,3,10.333333333333334,5.333333333333333,32.333333333333336,10.0,1.0,2.0,10.333333333333334,0.0,1.3333333333333333,0.6666666666666666,12.0,0.0
09/28/2012,@ Western Caro.,3-0,3.0,0,49.0,22.0,153.0,0.0,45.0,4.0,3.0,75.0,2.0,6.0,3.0,58.0,0.0,Western Caro.,3,16.333333333333332,7.333333333333333,51.0,15.0,1.3333333333333333,1.0,25.0,0.6666666666666666,2.0,1.0,19.333333333333332,0.0
09/29/2012,@ App State,1-3,4.0,0,46.0,32.0,170.0,0.0,40.0,5.0,6.0,77.0,0.0,26.0,1.0,64.0,3.0,App State,4,11.5,8.0,42.5,10.0,1.25,1.5,19.25,0.0,6.5,0.25,16.0,0.75
