date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/24/2012,@ Tennessee,3-0,3.0,0,35.0,10.0,85.0,0.294,34.0,0.0,7.0,33.0,4.0,16.0,1.0,47.0,0.0,Tennessee
08/25/2012,"Cincinnati @ Knoxville, Tenn.",3-0,3.0,0,38.0,11.0,85.0,0.318,35.0,5.0,6.0,33.0,4.0,6.0,0.0,50.0,0.0,Cincinnati
08/25/2012,"Iowa St. @ Knoxville, Tenn.",3-2,5.0,0,76.0,28.0,180.0,0.267,69.0,2.0,5.0,69.0,1.0,24.0,2.0,91.0,0.0,Iowa St.
08/31/2012,FIU,3-0,3.0,0,43.0,10.0,77.0,0.0,39.0,5.0,6.0,34.0,4.0,12.0,2.0,58.0,0.0,FIU
09/01/2012,@ Florida A&M,3-0,3.0,0,44.0,7.0,104.0,0.0,41.0,4.0,3.0,59.0,1.0,20.0,3.0,59.0,0.0,Florida A&M
09/01/2012,Georgia,3-1,4.0,0,57.0,17.0,136.0,0.0,50.0,5.0,7.0,54.0,2.0,30.0,2.0,79.0,1.0,Georgia
09/07/2012,@ Miami (FL),1-3,4.0,0,49.0,25.0,155.0,0.0,44.0,1.0,3.0,69.0,5.0,8.0,4.0,59.0,0.0,Miami 
09/14/2012,"Pepperdine @ Houston, Texas",0-3,3.0,0,37.0,18.0,113.0,0.0,34.0,5.0,3.0,37.0,0.0,18.0,3.0,51.0,0.0,Pepperdine
09/14/2012,@ Houston,3-0,3.0,0,44.0,13.0,107.0,0.0,44.0,6.0,5.0,51.0,2.0,14.0,1.0,59.0,0.0,Houston
09/15/2012,"Ohio St. @ Houston, Texas",3-1,4.0,0,65.0,14.0,136.0,0.0,60.0,5.0,2.0,59.0,2.0,10.0,2.0,77.0,0.0,Ohio St.
09/21/2012,@ Virginia Tech,3-2,5.0,0,65.0,30.0,177.0,0.0,61.0,2.0,4.0,80.0,4.0,22.0,1.0,82.0,2.0,Virginia Tech
09/22/2012,@ Virginia,3-1,4.0,0,62.0,9.0,128.0,0.0,58.0,3.0,6.0,68.0,4.0,18.0,3.0,78.0,0.0,Virginia
09/28/2012,Wake Forest,3-1,4.0,0,61.0,22.0,127.0,0.0,58.0,7.0,3.0,55.0,0.0,10.0,0.0,73.0,0.0,Wake Forest
09/30/2012,Duke,3-1,4.0,0,56.0,18.0,126.0,0.0,51.0,4.0,6.0,50.0,2.0,22.0,3.0,73.0,2.0,Duke
10/05/2012,North Carolina,3-0,3.0,0,50.0,15.0,120.0,0.0,45.0,1.0,0.0,52.0,1.0,16.0,1.0,60.0,1.0,North Carolina
10/07/2012,NC State,3-0,3.0,0,49.0,12.0,110.0,0.0,43.0,4.0,6.0,43.0,1.0,8.0,0.0,58.0,1.0,NC State
10/12/2012,@ Boston College,3-0,3.0,0,43.0,13.0,113.0,0.0,37.0,2.0,3.0,57.0,1.0,10.0,0.0,51.0,0.0,Boston College
10/14/2012,@ Maryland,3-1,4.0,0,61.0,13.0,132.0,0.0,54.0,6.0,2.0,57.0,4.0,12.0,2.0,77.0,0.0,Maryland
10/19/2012,@ Georgia Tech,3-2,5.0,0,58.0,26.0,140.0,0.0,53.0,7.0,2.0,55.0,3.0,27.0,0.0,81.5,0.0,Georgia Tech
10/21/2012,@ Clemson,3-0,3.0,0,55.0,16.0,133.0,0.0,50.0,1.0,1.0,63.0,1.0,14.0,2.0,64.0,0.0,Clemson
10/24/2012,Florida,3-0,3.0,0,42.0,16.0,117.0,0.0,37.0,3.0,2.0,56.0,2.0,8.0,1.0,51.0,0.0,Florida
10/26/2012,Virginia,3-0,3.0,0,44.0,12.0,92.0,0.0,41.0,3.0,2.0,44.0,2.0,10.0,2.0,54.0,0.0,Virginia
10/28/2012,Virginia Tech,3-0,3.0,0,41.0,16.0,94.0,0.0,36.0,5.0,2.0,37.0,2.0,16.0,3.0,56.0,0.0,Virginia Tech
11/02/2012,@ NC State,3-0,3.0,0,42.0,12.0,99.0,0.0,39.0,6.0,2.0,38.0,3.0,18.0,2.0,60.0,0.0,NC State
11/03/2012,@ North Carolina,1-3,4.0,0,56.0,19.0,148.0,0.0,54.0,2.0,1.0,65.0,2.0,24.0,3.0,72.0,0.0,North Carolina
11/08/2012,@ Duke,3-0,3.0,0,42.0,19.0,119.0,0.0,35.0,6.0,3.0,56.0,1.0,18.0,1.0,58.0,0.0,Duke
11/10/2012,@ Wake Forest,3-1,4.0,0,57.0,27.0,149.0,0.0,55.0,1.0,9.0,54.0,1.0,18.0,2.0,68.0,1.0,Wake Forest
11/16/2012,Maryland,3-0,3.0,0,36.0,8.0,92.0,0.0,33.0,4.0,4.0,41.0,1.0,14.0,1.0,48.0,0.0,Maryland
11/18/2012,Boston College,3-0,3.0,0,46.0,12.0,114.0,0.0,43.0,2.0,5.0,60.0,1.0,10.0,1.0,54.0,1.0,Boston College
11/23/2012,Miami (FL),3-1,4.0,0,58.0,22.0,157.0,0.0,56.0,7.0,3.0,72.0,4.0,16.0,0.0,77.0,0.0,Miami 
11/30/2012,"Hofstra @ Tallahassee, Fla.",3-0,3.0,0,38.0,8.0,84.0,0.0,35.0,5.0,2.0,35.0,0.0,16.0,1.0,51.0,0.0,Hofstra
12/01/2012,"Purdue @ Tallahassee, Fla.",2-3,5.0,0,58.0,28.0,178.0,0.0,52.0,3.0,1.0,69.0,1.0,12.0,1.0,68.0,0.0,Purdue
