date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/25/2012,@ Rider,0-3,3.0,0,14.0,23.0,96.0,-0.094,13.0,1.0,11.0,36.0,0.0,0.0,0.0,15.0,3.0,Rider
08/31/2012,Butler,0-3,3.0,0,21.0,17.0,78.0,0.0,21.0,2.0,8.0,32.0,2.0,2.0,0.0,26.0,1.0,Butler
09/01/2012,@ Pittsburgh,0-3,3.0,0,21.0,18.0,84.0,0.0,20.0,0.0,5.0,36.0,1.0,2.0,1.0,23.0,2.0,Pittsburgh
09/01/2012,"Coastal Carolina @ Pittsburgh, PA",0-3,3.0,0,13.0,18.0,77.0,0.0,12.0,1.0,7.0,34.0,1.0,4.0,1.0,17.0,2.0,Coastal Carolina
09/07/2012,"James Madison @ Baltimore, Md.",1-3,4.0,0,40.0,21.0,133.0,0.0,36.0,0.0,13.0,65.0,0.0,8.0,2.0,44.0,6.0,James Madison
09/07/2012,"Robert Morris @ Baltimore, Md.",0-3,3.0,0,34.0,20.0,110.0,0.0,31.0,3.0,7.0,49.0,2.0,2.0,3.0,40.0,1.0,Robert Morris
09/08/2012,@ UMBC,0-3,3.0,0,19.0,19.0,69.0,0.0,18.0,4.0,6.0,18.0,1.0,0.0,2.0,24.0,2.0,UMBC
09/08/2012,"Colorado @ Baltimore, Md.",0-3,3.0,0,13.0,23.0,64.0,0.0,13.0,5.0,9.0,17.0,1.0,6.0,1.0,22.0,4.0,Colorado
09/14/2012,"Hampton @ Williamsburg, Va.",0-3,3.0,0,27.0,14.0,82.0,0.0,26.0,5.0,5.0,30.0,0.0,8.0,0.0,36.0,0.0,Hampton
09/15/2012,"Elon @ Williamsburg, Va.",0-3,3.0,0,28.0,15.0,88.0,0.0,25.0,3.0,15.0,39.0,2.0,4.0,2.0,35.0,0.0,Elon
09/15/2012,@ William & Mary,0-3,3.0,0,30.0,14.0,83.0,0.0,30.0,4.0,8.0,35.0,0.0,12.0,4.0,40.0,0.0,William & Mary
09/28/2012,Delaware St.,0-3,3.0,0,18.0,22.0,86.0,0.0,17.0,9.0,13.0,16.0,0.0,0.0,0.0,27.0,0.0,Delaware St.
09/30/2012,UMES,2-3,5.0,0,40.0,20.0,132.0,0.0,37.0,3.0,17.0,48.0,1.0,20.0,0.0,54.0,3.0,UMES
10/05/2012,@ Hampton,0-3,3.0,0,21.0,26.0,92.0,0.0,21.0,6.0,15.0,30.0,1.0,0.0,1.0,28.0,1.0,Hampton
10/07/2012,@ Norfolk St.,2-3,5.0,0,46.0,24.0,155.0,0.0,41.0,5.0,15.0,52.0,2.0,6.0,3.0,56.0,3.0,Norfolk St.
10/12/2012,@ Coppin St.,0-3,3.0,0,34.0,20.0,99.0,0.0,27.0,3.0,3.0,19.0,0.0,6.0,2.0,40.0,0.0,Coppin St.
10/14/2012,@ Morgan St.,0-3,3.0,0,37.0,32.0,113.0,0.0,34.0,6.0,11.0,37.0,0.0,8.0,0.0,47.0,0.0,Morgan St.
10/17/2012,American,0-3,3.0,0,37.0,23.0,103.0,0.0,33.0,3.0,14.0,35.0,0.0,2.0,2.0,41.0,3.0,American
10/26/2012,@ UMES,0-3,3.0,0,27.0,12.0,87.0,0.0,24.0,2.0,6.0,29.0,0.0,4.0,2.0,31.0,0.0,UMES
10/28/2012,@ Delaware St.,2-3,5.0,0,52.0,32.0,144.0,0.0,42.0,6.0,10.0,40.0,2.0,8.0,1.0,64.0,0.0,Delaware St.
11/02/2012,Norfolk St.,1-3,4.0,0,35.0,22.0,121.0,0.0,26.0,5.0,14.0,44.0,2.0,14.0,1.0,49.0,2.0,Norfolk St.
11/04/2012,Hampton,0-3,3.0,0,31.0,16.0,93.0,0.0,28.0,7.0,8.0,43.0,2.0,6.0,1.0,43.0,1.0,Hampton
11/09/2012,Morgan St.,3-1,4.0,0,49.0,11.0,126.0,0.0,45.0,12.0,11.0,58.0,4.0,6.0,1.0,68.0,4.0,Morgan St.
11/11/2012,Coppin St.,2-3,5.0,0,54.0,31.0,140.0,0.0,46.0,7.0,16.0,50.0,0.0,2.0,0.0,62.0,0.0,Coppin St.
