date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/28/2012,@ Lamar University,0-3,3.0,0,27.0,14.0,85.0,0,26.0,1.0,11.0,29.0,0.0,4.0,4.0,30.0,3.0,Lamar University
08/31/2012,Texas Southern,2-3,5.0,0,61.0,31.0,175.0,0,48.0,10.0,18.0,77.0,2.0,4.0,0.0,75.0,0.0,Texas Southern
08/31/2012,Mississippi Val. @ Houston TX,3-0,3.0,0,48.0,15.0,108.0,0,34.0,6.0,13.0,46.0,1.0,10.0,1.0,60.0,0.0,Mississippi Val.
09/01/2012,"Prairie View @ Houston, Texas",3-2,5.0,0,63.0,29.0,179.0,0,54.0,3.0,11.0,65.0,3.0,4.0,1.0,71.0,1.0,Prairie View
09/05/2012,@ Alcorn,3-0,3.0,0,35.0,9.0,80.0,0,30.0,14.0,9.0,51.0,2.0,3.0,0.0,52.5,0.0,Alcorn
09/07/2012,"UConn @ Springfield, Mo.",0-3,3.0,0,26.0,20.0,91.0,0,26.0,0.0,4.0,30.0,0.0,4.0,0.0,28.0,0.0,UConn
09/07/2012,"NIU @ Springfield, Mo.",0-3,3.0,0,20.0,17.0,83.0,0,19.0,4.0,4.0,29.0,0.0,4.0,1.0,26.0,0.0,NIU
09/08/2012,"Omaha @ Springfield, Mo.",0-3,3.0,0,29.0,15.0,113.0,0,27.0,0.0,9.0,47.0,0.0,6.0,3.0,32.0,5.0,Omaha
09/08/2012,@ Missouri St.,0-3,3.0,0,23.0,17.0,94.0,0,22.0,1.0,5.0,35.0,1.0,2.0,1.0,26.0,0.0,Missouri St.
09/11/2012,@ Nicholls,2-3,5.0,0,45.0,35.0,157.0,0,45.0,2.0,11.0,66.0,0.0,8.0,5.0,51.0,2.0,Nicholls
09/18/2012,McNeese,1-3,4.0,0,41.0,24.0,122.0,0,36.0,3.0,7.0,31.0,0.0,8.0,2.0,48.0,1.0,McNeese
09/23/2012,Houston Christian,0-3,3.0,0,26.0,18.0,89.0,0,25.0,5.0,5.0,28.0,1.0,2.0,2.0,33.0,5.0,Houston Christian
09/25/2012,@ Jackson St.,0-3,3.0,0,21.0,19.0,66.0,0,17.0,7.0,12.0,22.0,2.0,2.0,0.0,31.0,2.0,Jackson St.
09/26/2012,Southern U.,3-0,3.0,0,50.0,20.0,124.0,0,44.0,6.0,7.0,54.0,0.0,2.0,2.0,57.0,1.0,Southern U.
10/02/2012,Nicholls,1-3,4.0,0,39.0,21.0,132.0,0,37.0,4.0,5.0,55.0,4.0,8.0,5.0,51.0,3.0,Nicholls
10/04/2012,Alcorn,3-0,3.0,0,37.0,13.0,79.0,0,34.0,8.0,13.0,44.0,1.0,2.0,0.0,47.0,1.0,Alcorn
10/08/2012,Ark.-Pine Bluff,3-0,3.0,0,45.0,15.0,100.0,0,35.0,5.0,9.0,48.0,0.0,6.0,2.0,53.0,1.0,Ark.-Pine Bluff
10/10/2012,@ Southern U.,3-1,4.0,0,54.0,26.0,145.0,0,51.0,10.0,9.0,59.0,1.0,16.0,0.0,73.0,2.0,Southern U.
10/13/2012,@ Houston Christian,0-3,3.0,0,23.0,15.0,86.0,0,23.0,1.0,6.0,31.0,1.0,10.0,4.0,30.0,1.0,Houston Christian
10/16/2012,Louisiana,0-3,3.0,0,23.0,19.0,97.0,0,21.0,6.0,4.0,26.0,1.0,10.0,2.0,35.0,0.0,Louisiana
10/25/2012,@ McNeese,0-3,3.0,0,25.0,20.0,100.0,0,21.0,3.0,6.0,27.0,0.0,2.0,2.0,29.0,0.0,McNeese
11/07/2012,@ Louisiana,0-3,3.0,0,19.0,17.0,95.0,0,17.0,3.0,4.0,38.0,1.0,6.0,3.0,26.0,3.0,Louisiana
11/08/2012,Centenary (LA),3-1,4.0,0,59.0,24.0,154.0,0,56.0,14.0,9.0,71.0,3.0,6.0,3.0,79.0,1.0,Centenary 
