date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/24/2012,"The Citadel @ Las Vegas, Nev.",3-0,3.0,0,40.0,9.0,84.0,0.369,37.0,4.0,7.0,34.0,1.0,8.0,0.0,49.0,2.0,The Citadel
08/25/2012,"CSU Bakersfield @ Las Vegas, Nev.",3-1,4.0,0,54.0,14.0,116.0,0.0,51.0,6.0,9.0,40.0,1.0,10.0,2.0,66.0,0.0,CSU Bakersfield
08/25/2012,@ UNLV,3-1,4.0,0,56.0,10.0,129.0,0.357,52.0,4.0,9.0,48.0,2.0,16.0,0.0,70.0,0.0,UNLV
08/31/2012,"Fresno St. @ Boulder, Colorado",3-1,4.0,0,53.0,23.0,166.0,0.0,50.0,3.0,1.0,79.0,1.0,32.0,1.0,73.0,1.0,Fresno St.
09/01/2012,@ Colorado,3-1,4.0,0,60.0,25.0,161.0,0.0,57.0,5.0,1.0,67.0,2.0,16.0,1.0,75.0,1.0,Colorado
09/01/2012,"Cornell @ Boulder, Colorado",3-0,3.0,0,37.0,15.0,91.0,0.0,36.0,4.0,3.0,38.0,2.0,4.0,1.0,45.0,0.0,Cornell
09/07/2012,"UC Riverside @ Berkeley, Calif.",3-0,3.0,0,43.0,8.0,105.0,0.0,39.0,5.0,6.0,41.0,0.0,16.0,0.0,56.0,0.0,UC Riverside
09/08/2012,@ California,1-3,4.0,0,52.0,26.0,165.0,0.0,50.0,8.0,5.0,76.0,0.0,18.0,0.0,69.0,1.0,California
09/08/2012,"Penn @ Berkeley, Calif.",3-1,4.0,0,56.0,14.0,171.0,0.0,53.0,4.0,8.0,85.0,2.0,18.0,1.0,71.0,1.0,Penn
09/14/2012,@ Idaho St.,1-3,4.0,0,55.0,17.0,133.0,0.0,49.0,5.0,3.0,42.0,0.0,12.0,0.0,66.0,0.0,Idaho St.
09/15/2012,@ Weber St.,3-0,3.0,0,38.0,8.0,80.0,0.0,38.0,3.0,3.0,39.0,2.0,18.0,1.0,52.0,0.0,Weber St.
09/20/2012,Sacramento St.,3-1,4.0,0,50.0,20.0,150.0,0.0,49.0,5.0,3.0,65.0,2.0,28.0,3.0,71.0,0.0,Sacramento St.
09/24/2012,@ Southern Utah,3-1,4.0,0,57.0,20.0,164.0,0.0,53.0,6.0,1.0,80.0,3.0,8.0,4.0,70.0,0.0,Southern Utah
09/27/2012,@ Portland St.,0-3,3.0,0,31.0,13.0,128.0,0.0,28.0,1.0,4.0,52.0,3.0,4.0,2.0,37.0,0.0,Portland St.
09/28/2012,@ Eastern Wash.,3-1,4.0,0,56.0,24.0,178.0,0.0,53.0,3.0,5.0,83.0,6.0,16.0,2.0,73.0,0.0,Eastern Wash.
10/04/2012,Montana St.,3-0,3.0,0,40.0,14.0,110.0,0.0,39.0,2.0,2.0,45.0,2.0,16.0,1.0,52.0,0.0,Montana St.
10/06/2012,Montana,3-0,3.0,0,46.0,5.0,87.0,0.0,44.0,9.0,5.0,36.0,2.0,18.0,0.0,66.0,0.0,Montana
10/11/2012,@ Northern Colo.,3-1,4.0,0,56.0,19.0,158.0,0.0,53.0,3.0,3.0,63.0,1.0,16.0,1.0,68.0,1.0,Northern Colo.
10/13/2012,@ North Dakota,3-0,3.0,0,42.0,13.0,118.0,0.0,38.0,6.0,4.0,62.0,3.0,14.0,3.0,58.0,0.0,North Dakota
10/18/2012,Weber St.,3-2,5.0,0,56.0,23.0,145.0,0.0,46.0,4.0,6.0,59.0,1.0,28.0,1.0,75.0,0.0,Weber St.
10/20/2012,Idaho St.,3-1,4.0,0,45.0,20.0,163.0,0.0,40.0,4.0,3.0,63.0,1.0,32.0,5.0,66.0,0.0,Idaho St.
10/27/2012,@ Sacramento St.,2-3,5.0,0,70.0,20.0,191.0,0.0,67.0,4.0,4.0,91.0,2.0,18.0,2.0,85.0,2.0,Sacramento St.
10/29/2012,Southern Utah,3-0,3.0,0,51.0,13.0,114.0,0.0,48.0,3.0,6.0,44.0,0.0,20.0,1.0,64.0,0.0,Southern Utah
11/01/2012,Eastern Wash.,2-3,5.0,0,69.0,20.0,189.0,0.0,69.0,9.0,6.0,73.0,3.0,10.0,4.0,86.0,2.0,Eastern Wash.
11/03/2012,Portland St.,3-1,4.0,0,52.0,19.0,143.0,0.0,48.0,2.0,5.0,55.0,2.0,14.0,5.0,63.0,2.0,Portland St.
11/09/2012,@ Montana,3-0,3.0,0,44.0,12.0,120.0,0.0,43.0,6.0,3.0,63.0,2.0,8.0,2.0,56.0,0.0,Montana
11/10/2012,@ Montana St.,3-2,5.0,0,57.0,22.0,165.0,0.0,55.0,6.0,6.0,72.0,0.0,28.0,2.0,77.0,0.0,Montana St.
11/15/2012,North Dakota,3-2,5.0,0,59.0,28.0,166.0,0.0,55.0,3.0,6.0,70.0,3.0,16.0,1.0,73.0,3.0,North Dakota
11/17/2012,Northern Colo.,0-3,3.0,0,40.0,19.0,117.0,0.0,36.0,1.0,5.0,35.0,0.0,6.0,4.0,44.0,1.0,Northern Colo.
11/23/2012,"Idaho St. @ Greeley, Colo.",1-3,4.0,0,62.0,25.0,183.0,0.0,56.0,3.0,2.0,75.0,1.0,20.0,1.0,76.0,1.0,Idaho St.
11/23/2012,"Montana St. @ Greeley, Colo.",3-0,3.0,0,38.0,11.0,110.0,0.0,33.0,6.0,2.0,49.0,1.0,4.0,0.0,47.0,3.0,Montana St.
