date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/24/2012,"TCU @ Nashville, Tenn.",3-1,4.0,0,49.0,30.0,161.0,0.0,46.0,8.0,3.0,82.0,1.0,26.0,2.0,71.0,0.0,TCU
08/25/2012,@ Belmont,3-0,3.0,0,40.0,12.0,98.0,0.286,36.0,5.0,6.0,47.0,0.0,8.0,1.0,49.0,0.0,Belmont
08/25/2012,"Alabama A&M @ Nashville, Tenn.",3-0,3.0,0,43.0,9.0,95.0,0.358,38.0,7.0,4.0,44.0,1.0,10.0,0.0,56.0,2.0,Alabama A&M
08/31/2012,Oklahoma,3-2,5.0,0,67.0,24.0,180.0,0.0,64.0,2.0,9.0,76.0,1.0,14.0,4.0,77.0,4.0,Oklahoma
09/01/2012,North Dakota St.,3-0,3.0,0,37.0,14.0,110.0,0.0,35.0,6.0,3.0,54.0,0.0,10.0,1.0,48.0,1.0,North Dakota St.
09/01/2012,Air Force,3-1,4.0,0,50.0,11.0,121.0,0.0,49.0,4.0,8.0,67.0,0.0,20.0,2.0,64.0,0.0,Air Force
09/07/2012,Tulsa,2-3,5.0,0,57.0,25.0,169.0,0.0,51.0,2.0,5.0,76.0,1.0,21.0,4.0,70.5,1.0,Tulsa
09/08/2012,Creighton,0-3,3.0,0,40.0,23.0,115.0,0.0,39.0,4.0,4.0,54.0,0.0,2.0,0.0,45.0,0.0,Creighton
09/08/2012,Ball St.,3-1,4.0,0,60.0,22.0,155.0,0.0,56.0,6.0,7.0,61.0,1.0,16.0,2.0,75.0,0.0,Ball St.
09/13/2012,Montana,3-1,4.0,0,57.0,19.0,139.0,0.0,51.0,5.0,9.0,56.0,3.0,16.0,1.0,73.0,1.0,Montana
09/15/2012,Montana St.,3-1,4.0,0,53.0,17.0,122.0,0.0,48.0,5.0,8.0,46.0,2.0,14.0,3.0,67.0,0.0,Montana St.
09/21/2012,@ Idaho St.,2-3,5.0,0,63.0,28.0,183.0,0.0,60.0,5.0,7.0,80.0,1.0,24.0,2.0,81.0,1.0,Idaho St.
09/22/2012,@ Weber St.,3-0,3.0,0,40.0,8.0,84.0,0.0,38.0,4.0,8.0,33.0,5.0,10.0,1.0,54.0,1.0,Weber St.
09/27/2012,Sacramento St.,3-0,3.0,0,42.0,19.0,122.0,0.0,37.0,3.0,5.0,61.0,1.0,12.0,2.0,52.0,1.0,Sacramento St.
10/01/2012,@ North Dakota,3-2,5.0,0,55.0,18.0,132.0,0.0,53.0,7.0,10.0,54.0,2.0,19.0,7.0,73.5,0.0,North Dakota
10/04/2012,@ Portland St.,0-3,3.0,0,36.0,11.0,95.0,0.0,32.0,4.0,5.0,38.0,0.0,12.0,1.0,46.0,0.0,Portland St.
10/05/2012,@ Eastern Wash.,3-0,3.0,0,50.0,20.0,124.0,0.0,46.0,3.0,9.0,58.0,0.0,13.0,1.0,59.5,1.0,Eastern Wash.
10/11/2012,Northern Ariz.,1-3,4.0,0,56.0,30.0,158.0,0.0,54.0,3.0,2.0,72.0,1.0,20.0,1.0,70.0,0.0,Northern Ariz.
10/13/2012,Southern Utah,3-0,3.0,0,53.0,12.0,129.0,0.0,48.0,5.0,5.0,60.0,0.0,12.0,2.0,64.0,0.0,Southern Utah
10/19/2012,@ Montana St.,3-0,3.0,0,49.0,18.0,122.0,0.0,46.0,5.0,4.0,52.0,1.0,16.0,0.0,63.0,2.0,Montana St.
10/20/2012,@ Montana,1-3,4.0,0,66.0,19.0,148.0,0.0,63.0,5.0,5.0,68.0,2.0,6.0,4.0,76.0,3.0,Montana
10/23/2012,@ Denver,0-3,3.0,0,43.0,20.0,106.0,0.0,39.0,3.0,5.0,36.0,0.0,6.0,2.0,49.0,1.0,Denver
10/25/2012,Weber St.,3-0,3.0,0,40.0,11.0,87.0,0.0,39.0,8.0,3.0,47.0,1.0,12.0,1.0,55.0,0.0,Weber St.
10/27/2012,Idaho St.,0-3,3.0,0,49.0,17.0,117.0,0.0,43.0,4.0,5.0,49.0,1.0,6.0,3.0,57.0,0.0,Idaho St.
11/01/2012,@ Sacramento St.,3-2,5.0,0,71.0,15.0,176.0,0.0,68.0,5.0,12.0,100.0,3.0,16.0,1.0,87.0,5.0,Sacramento St.
11/05/2012,North Dakota,3-2,5.0,0,64.0,22.0,164.0,0.0,60.0,9.0,11.0,69.0,0.0,14.0,2.0,80.0,2.0,North Dakota
11/08/2012,Eastern Wash.,3-0,3.0,0,53.0,20.0,121.0,0.0,51.0,1.0,4.0,50.0,4.0,8.0,1.0,62.0,1.0,Eastern Wash.
11/10/2012,Portland St.,2-3,5.0,0,61.0,32.0,188.0,0.0,51.0,6.0,5.0,86.0,1.0,20.0,3.0,78.0,1.0,Portland St.
11/13/2012,Colorado St.,1-3,4.0,0,54.0,20.0,146.0,0.0,50.0,4.0,10.0,61.0,4.0,12.0,1.0,68.0,0.0,Colorado St.
11/15/2012,@ Southern Utah,3-0,3.0,0,39.0,13.0,93.0,0.0,38.0,2.0,3.0,45.0,0.0,6.0,1.0,44.0,1.0,Southern Utah
11/17/2012,@ Northern Ariz.,3-0,3.0,0,47.0,12.0,95.0,0.0,47.0,3.0,1.0,50.0,2.0,18.0,2.0,61.0,3.0,Northern Ariz.
11/23/2012,@ Portland St.,3-0,3.0,0,39.0,16.0,109.0,0.0,38.0,4.0,9.0,59.0,4.0,10.0,1.0,52.0,0.0,Portland St.
11/23/2012,North Dakota,3-0,3.0,0,44.0,10.0,89.0,0.0,42.0,6.0,4.0,51.0,0.0,6.0,1.0,53.0,2.0,North Dakota
11/24/2012,Idaho St.,3-2,5.0,0,56.0,16.0,134.0,0.0,53.0,4.0,11.0,60.0,3.0,27.0,0.0,76.5,0.0,Idaho St.
11/30/2012,@ Oregon,0-3,3.0,0,27.0,16.0,103.0,0.0,22.0,3.0,3.0,42.0,0.0,6.0,2.0,33.0,0.0,Oregon
