date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,@ Western Caro.,3-1,4.0,0,74.0,20.0,172.0,0.0,72.0,4.0,15.0,85.0,1.0,14.0,0.0,86.0,0.0,Western Caro.,4,18.5,5.0,43.0,18.0,1.0,3.75,21.25,0.25,3.5,0.0,21.5,0.0
08/24/2012,"Saint Peter's @ Cullowhee, N.C.",3-0,3.0,0,41.0,10.0,84.0,0.369,37.0,15.0,4.0,42.0,2.0,4.0,0.0,60.0,0.0,Saint Peter's,3,13.666666666666666,3.3333333333333335,28.0,12.333333333333334,5.0,1.3333333333333333,14.0,0.6666666666666666,1.3333333333333333,0.0,20.0,0.0
08/25/2012,"N.C. A&T @ Cullowhee, N.C.",3-1,4.0,0,50.0,17.0,115.0,0.287,42.0,8.0,10.0,45.0,0.0,6.0,0.0,61.0,0.0,N.C. A&T,4,12.5,4.25,28.75,10.5,2.0,2.5,11.25,0.0,1.5,0.0,15.25,0.0
08/28/2012,@ Wright St.,3-0,3.0,0,52.0,16.0,133.0,0.271,46.0,3.0,9.0,52.0,0.0,12.0,3.0,61.0,0.0,Wright St.,3,17.333333333333332,5.333333333333333,44.333333333333336,15.333333333333334,1.0,3.0,17.333333333333332,0.0,4.0,1.0,20.333333333333332,0.0
08/31/2012,@ Morehead St.,3-1,4.0,0,48.0,21.0,150.0,0.18,44.0,4.0,9.0,58.0,1.0,10.0,1.0,58.0,3.0,Morehead St.,4,12.0,5.25,37.5,11.0,1.0,2.25,14.5,0.25,2.5,0.25,14.5,0.75
08/31/2012,"Alabama A&M @ Morehead, Ky.",3-0,3.0,0,47.0,23.0,134.0,0.0,44.0,7.0,8.0,48.0,0.0,6.0,0.0,57.0,0.0,Alabama A&M,3,15.666666666666666,7.666666666666667,44.666666666666664,14.666666666666666,2.3333333333333335,2.6666666666666665,16.0,0.0,2.0,0.0,19.0,0.0
09/01/2012,"Evansville @ Morehead, Ky.",3-1,4.0,0,55.0,23.0,167.0,0.0,50.0,10.0,11.0,65.0,2.0,12.0,5.0,73.0,0.0,Evansville,4,13.75,5.75,41.75,12.5,2.5,2.75,16.25,0.5,3.0,1.25,18.25,0.0
09/07/2012,"Providence @ Cambridge, Mass.",3-0,3.0,0,44.0,11.0,87.0,0.0,44.0,9.0,7.0,37.0,0.0,4.0,0.0,55.0,0.0,Providence,3,14.666666666666666,3.6666666666666665,29.0,14.666666666666666,3.0,2.3333333333333335,12.333333333333334,0.0,1.3333333333333333,0.0,18.333333333333332,0.0
09/08/2012,"Manhattan @ Cambridge, Mass.",2-3,5.0,0,66.0,34.0,218.0,0.0,62.0,7.0,13.0,94.0,0.0,20.0,8.0,83.0,0.0,Manhattan,5,13.2,6.8,43.6,12.4,1.4,2.6,18.8,0.0,4.0,1.6,16.6,0.0
09/08/2012,@ Harvard,3-0,3.0,0,45.0,13.0,114.0,0.0,38.0,7.0,7.0,48.0,1.0,12.0,1.0,59.0,0.0,Harvard,3,15.0,4.333333333333333,38.0,12.666666666666666,2.3333333333333335,2.3333333333333335,16.0,0.3333333333333333,4.0,0.3333333333333333,19.666666666666668,0.0
