date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,Houston,3-0,3.0,0,46.0,12.0,106.0,0.321,45.0,5.0,7.0,36.0,6.0,6.0,0.0,60.0,1.0,Houston,3,15.333333333333334,4.0,35.333333333333336,15.0,1.6666666666666667,2.3333333333333335,12.0,2.0,2.0,0.0,20.0,0.3333333333333333
08/25/2012,Oregon,2-3,5.0,0,59.0,21.0,159.0,0.239,56.0,2.0,13.0,57.0,6.0,10.0,0.0,72.0,1.0,Oregon,5,11.8,4.2,31.8,11.2,0.4,2.6,11.4,1.2,2.0,0.0,14.4,0.2
08/25/2012,Toledo,3-0,3.0,0,42.0,10.0,88.0,0.364,40.0,6.0,9.0,37.0,2.0,6.0,1.0,53.0,0.0,Toledo,3,14.0,3.3333333333333335,29.333333333333332,13.333333333333334,2.0,3.0,12.333333333333334,0.6666666666666666,2.0,0.3333333333333333,17.666666666666668,0.0
08/31/2012,"Binghamton @ College Park, Md.",3-0,3.0,0,42.0,7.0,89.0,0.0,36.0,6.0,6.0,40.0,5.0,8.0,3.0,57.0,0.0,Binghamton,3,14.0,2.3333333333333335,29.666666666666668,12.0,2.0,2.0,13.333333333333334,1.6666666666666667,2.6666666666666665,1.0,19.0,0.0
09/01/2012,"Seton Hall @ College Park, Md.",3-0,3.0,0,56.0,19.0,111.0,0.0,55.0,4.0,3.0,41.0,2.0,6.0,2.0,65.0,2.0,Seton Hall,3,18.666666666666668,6.333333333333333,37.0,18.333333333333332,1.3333333333333333,1.0,13.666666666666666,0.6666666666666666,2.0,0.6666666666666666,21.666666666666668,0.6666666666666666
09/01/2012,@ Maryland,3-2,5.0,0,60.0,21.0,153.0,0.0,59.0,3.0,4.0,65.0,7.0,8.0,7.0,74.0,2.0,Maryland,5,12.0,4.2,30.6,11.8,0.6,0.8,13.0,1.4,1.6,1.4,14.8,0.4
09/07/2012,"Dayton @ Bowling Green, Ky.",3-2,5.0,0,68.0,24.0,167.0,0.0,62.0,5.0,8.0,64.0,1.0,14.0,0.0,81.0,1.0,Dayton,5,13.6,4.8,33.4,12.4,1.0,1.6,12.8,0.2,2.8,0.0,16.2,0.2
09/07/2012,IUPUI,3-1,4.0,0,64.0,23.0,144.0,0.0,60.0,5.0,9.0,60.0,4.0,10.0,3.0,78.0,0.0,IUPUI,4,16.0,5.75,36.0,15.0,1.25,2.25,15.0,1.0,2.5,0.75,19.5,0.0
09/08/2012,@ Western Ky.,3-1,4.0,0,49.0,22.0,130.0,0.0,46.0,2.0,9.0,56.0,8.0,16.0,1.0,67.0,0.0,Western Ky.,4,12.25,5.5,32.5,11.5,0.5,2.25,14.0,2.0,4.0,0.25,16.75,0.0
09/14/2012,"Pepperdine @ Houston, Texas",0-3,3.0,0,39.0,18.0,123.0,0.0,36.0,6.0,2.0,48.0,1.0,6.0,3.0,49.0,1.0,Pepperdine,3,13.0,6.0,41.0,12.0,2.0,0.6666666666666666,16.0,0.3333333333333333,2.0,1.0,16.333333333333332,0.3333333333333333
09/15/2012,"Florida St. @ Houston, Texas",1-3,4.0,0,47.0,21.0,136.0,0.0,47.0,4.0,2.0,53.0,0.0,20.0,6.0,61.0,1.0,Florida St.,4,11.75,5.25,34.0,11.75,1.0,0.5,13.25,0.0,5.0,1.5,15.25,0.25
09/15/2012,@ Houston,3-1,4.0,0,60.0,18.0,134.0,0.0,57.0,9.0,10.0,67.0,1.0,12.0,2.0,76.0,0.0,Houston,4,15.0,4.5,33.5,14.25,2.25,2.5,16.75,0.25,3.0,0.5,19.0,0.0
