date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,@ Army West Point,0-3,3.0,0,18.0,16.0,89.0,0.022,18.0,1.0,9.0,42.0,0.0,4.0,2.0,21.0,0.0,Army West Point,3,6.0,5.333333333333333,29.666666666666668,6.0,0.3333333333333333,3.0,14.0,0.0,1.3333333333333333,0.6666666666666666,7.0,0.0
08/25/2012,"Indiana @ West Point, N.Y.",0-3,3.0,0,11.0,14.0,69.0,-0.043,10.0,2.0,3.0,21.0,1.0,6.0,3.0,17.0,0.0,Indiana,3,3.6666666666666665,4.666666666666667,23.0,3.3333333333333335,0.6666666666666666,1.0,7.0,0.3333333333333333,2.0,1.0,5.666666666666667,0.0
08/25/2012,"Stony Brook @ West Point, N.Y.",0-3,3.0,0,16.0,23.0,82.0,0.0,15.0,5.0,4.0,23.0,2.0,2.0,2.0,24.0,1.0,Stony Brook,3,5.333333333333333,7.666666666666667,27.333333333333332,5.0,1.6666666666666667,1.3333333333333333,7.666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,8.0,0.3333333333333333
08/31/2012,"Montana St. @ Akron, Ohio",0-3,3.0,0,25.0,20.0,85.0,0.0,22.0,0.0,4.0,27.0,2.0,4.0,0.0,29.0,0.0,Montana St.,3,8.333333333333334,6.666666666666667,28.333333333333332,7.333333333333333,0.0,1.3333333333333333,9.0,0.6666666666666666,1.3333333333333333,0.0,9.666666666666666,0.0
08/31/2012,@ Akron,0-3,3.0,0,18.0,19.0,77.0,0.0,17.0,2.0,2.0,19.0,2.0,6.0,3.0,25.0,0.0,Akron,3,6.0,6.333333333333333,25.666666666666668,5.666666666666667,0.6666666666666666,0.6666666666666666,6.333333333333333,0.6666666666666666,2.0,1.0,8.333333333333334,0.0
09/05/2012,@ Fairfield,0-3,3.0,0,15.0,12.0,82.0,0.0,15.0,1.0,8.0,33.0,1.0,8.0,2.0,21.0,3.0,Fairfield,3,5.0,4.0,27.333333333333332,5.0,0.3333333333333333,2.6666666666666665,11.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,7.0,1.0
09/14/2012,"Providence @ Lewisburg, Pa.",3-2,5.0,0,54.0,29.0,178.0,0.0,46.0,6.0,11.0,72.0,0.0,22.0,2.0,71.0,0.0,Providence,5,10.8,5.8,35.6,9.2,1.2,2.2,14.4,0.0,4.4,0.4,14.2,0.0
09/15/2012,"Fordham @ Lewisburg, Pa.",1-3,4.0,0,21.0,28.0,90.0,0.0,21.0,2.0,9.0,31.0,1.0,10.0,2.0,29.0,0.0,Fordham,4,5.25,7.0,22.5,5.25,0.5,2.25,7.75,0.25,2.5,0.5,7.25,0.0
09/15/2012,@ Bucknell,0-3,3.0,0,32.0,25.0,90.0,0.0,29.0,2.0,8.0,27.0,0.0,12.0,0.0,40.0,0.0,Bucknell,3,10.666666666666666,8.333333333333334,30.0,9.666666666666666,0.6666666666666666,2.6666666666666665,9.0,0.0,4.0,0.0,13.333333333333334,0.0
09/22/2012,@ FDU,0-3,3.0,0,30.0,11.0,87.0,0.0,22.0,4.0,7.0,27.0,1.0,4.0,3.0,37.0,0.0,FDU,3,10.0,3.6666666666666665,29.0,7.333333333333333,1.3333333333333333,2.3333333333333335,9.0,0.3333333333333333,1.3333333333333333,1.0,12.333333333333334,0.0
09/23/2012,@ LIU,0-3,3.0,0,12.0,16.0,80.0,0.0,9.0,1.0,3.0,20.0,0.0,6.0,3.0,16.0,1.0,LIU,3,4.0,5.333333333333333,26.666666666666668,3.0,0.3333333333333333,1.0,6.666666666666667,0.0,2.0,1.0,5.333333333333333,0.3333333333333333
09/29/2012,Saint Francis (PA),0-3,3.0,0,27.0,17.0,74.0,0.0,27.0,4.0,11.0,21.0,1.0,2.0,0.0,33.0,0.0,Saint Francis ,3,9.0,5.666666666666667,24.666666666666668,9.0,1.3333333333333333,3.6666666666666665,7.0,0.3333333333333333,0.6666666666666666,0.0,11.0,0.0
09/30/2012,Robert Morris,0-3,3.0,0,24.0,23.0,90.0,0.0,22.0,3.0,5.0,30.0,1.0,8.0,2.0,32.0,0.0,Robert Morris,3,8.0,7.666666666666667,30.0,7.333333333333333,1.0,1.6666666666666667,10.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,10.666666666666666,0.0
10/06/2012,Sacred Heart,0-3,3.0,0,25.0,20.0,100.0,0.0,24.0,4.0,10.0,47.0,1.0,14.0,0.0,37.0,0.0,Sacred Heart,3,8.333333333333334,6.666666666666667,33.333333333333336,8.0,1.3333333333333333,3.3333333333333335,15.666666666666666,0.3333333333333333,4.666666666666667,0.0,12.333333333333334,0.0
10/07/2012,@ Central Conn. St.,0-3,3.0,0,33.0,28.0,100.0,0.0,31.0,1.0,7.0,30.0,1.0,4.0,1.0,37.0,0.0,Central Conn. St.,3,11.0,9.333333333333334,33.333333333333336,10.333333333333334,0.3333333333333333,2.3333333333333335,10.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,12.333333333333334,0.0
10/13/2012,@ St. Francis Brooklyn,1-3,4.0,0,36.0,19.0,127.0,0.0,33.0,4.0,17.0,56.0,1.0,22.0,2.0,52.0,3.0,St. Francis Brooklyn,4,9.0,4.75,31.75,8.25,1.0,4.25,14.0,0.25,5.5,0.5,13.0,0.75
10/17/2012,@ Bryant,1-3,4.0,0,32.0,28.0,146.0,0.0,29.0,9.0,3.0,66.0,1.0,13.0,2.0,48.5,0.0,Bryant,4,8.0,7.0,36.5,7.25,2.25,0.75,16.5,0.25,3.25,0.5,12.125,0.0
10/20/2012,FDU,0-3,3.0,0,28.0,16.0,97.0,0.0,25.0,5.0,9.0,32.0,1.0,4.0,0.0,36.0,1.0,FDU,3,9.333333333333334,5.333333333333333,32.333333333333336,8.333333333333334,1.6666666666666667,3.0,10.666666666666666,0.3333333333333333,1.3333333333333333,0.0,12.0,0.3333333333333333
10/21/2012,LIU,0-3,3.0,0,30.0,14.0,100.0,0.0,27.0,3.0,7.0,39.0,1.0,8.0,2.0,38.0,0.0,LIU,3,10.0,4.666666666666667,33.333333333333336,9.0,1.0,2.3333333333333335,13.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,12.666666666666666,0.0
10/27/2012,@ Saint Francis (PA),2-3,5.0,0,37.0,27.0,149.0,0.0,35.0,9.0,12.0,58.0,2.0,6.0,0.0,51.0,0.0,Saint Francis ,5,7.4,5.4,29.8,7.0,1.8,2.4,11.6,0.4,1.2,0.0,10.2,0.0
10/28/2012,@ Robert Morris,0-3,3.0,0,19.0,25.0,98.0,0.0,19.0,1.0,7.0,34.0,1.0,8.0,1.0,25.0,1.0,Robert Morris,3,6.333333333333333,8.333333333333334,32.666666666666664,6.333333333333333,0.3333333333333333,2.3333333333333335,11.333333333333334,0.3333333333333333,2.6666666666666665,0.3333333333333333,8.333333333333334,0.3333333333333333
11/01/2012,Bryant,0-3,3.0,0,24.0,23.0,94.0,0.0,22.0,3.0,8.0,24.0,0.0,9.0,4.0,31.5,0.0,Bryant,3,8.0,7.666666666666667,31.333333333333332,7.333333333333333,1.0,2.6666666666666665,8.0,0.0,3.0,1.3333333333333333,10.5,0.0
11/04/2012,St. Francis Brooklyn,3-0,3.0,0,42.0,8.0,89.0,0.0,40.0,8.0,18.0,40.0,2.0,4.0,0.0,54.0,0.0,St. Francis Brooklyn,3,14.0,2.6666666666666665,29.666666666666668,13.333333333333334,2.6666666666666665,6.0,13.333333333333334,0.6666666666666666,1.3333333333333333,0.0,18.0,0.0
11/10/2012,@ Sacred Heart,0-3,3.0,0,19.0,21.0,87.0,0.0,17.0,2.0,3.0,34.0,0.0,16.0,2.0,29.0,2.0,Sacred Heart,3,6.333333333333333,7.0,29.0,5.666666666666667,0.6666666666666666,1.0,11.333333333333334,0.0,5.333333333333333,0.6666666666666666,9.666666666666666,0.6666666666666666
11/11/2012,Central Conn. St.,0-3,3.0,0,25.0,27.0,97.0,0.0,24.0,3.0,9.0,29.0,2.0,4.0,2.0,32.0,0.0,Central Conn. St.,3,8.333333333333334,9.0,32.333333333333336,8.0,1.0,3.0,9.666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,10.666666666666666,0.0
