date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,Wisconsin,0-3,3.0,0,39.0,24.0,117.0,0.128,37.0,1.0,3.0,56.0,1.0,16.0,6.0,49.0,0.0,Wisconsin,3,13.0,8.0,39.0,12.333333333333334,0.3333333333333333,1.0,18.666666666666668,0.3333333333333333,5.333333333333333,2.0,16.333333333333332,0.0
08/25/2012,Creighton,0-3,3.0,0,41.0,24.0,120.0,0.142,39.0,1.0,6.0,52.0,1.0,4.0,1.0,45.0,0.0,Creighton,3,13.666666666666666,8.0,40.0,13.0,0.3333333333333333,2.0,17.333333333333332,0.3333333333333333,1.3333333333333333,0.3333333333333333,15.0,0.0
08/26/2012,UCF,3-2,5.0,0,70.0,23.0,167.0,0.281,69.0,2.0,7.0,75.0,2.0,26.0,7.0,87.0,0.0,UCF,5,14.0,4.6,33.4,13.8,0.4,1.4,15.0,0.4,5.2,1.4,17.4,0.0
08/31/2012,@ NC State,1-3,4.0,0,55.0,18.0,146.0,0.0,50.0,6.0,9.0,65.0,1.0,16.0,3.0,70.0,7.0,NC State,4,13.75,4.5,36.5,12.5,1.5,2.25,16.25,0.25,4.0,0.75,17.5,1.75
09/01/2012,"Kent St. @ Raleigh, NC",2-3,5.0,0,60.0,36.0,167.0,0.0,56.0,7.0,6.0,74.0,5.0,10.0,2.0,77.0,0.0,Kent St.,5,12.0,7.2,33.4,11.2,1.4,1.2,14.8,1.0,2.0,0.4,15.4,0.0
09/01/2012,"VCU @ Raleigh, NC",3-0,3.0,0,37.0,13.0,78.0,0.0,32.0,8.0,7.0,27.0,0.0,12.0,1.0,51.0,3.0,VCU,3,12.333333333333334,4.333333333333333,26.0,10.666666666666666,2.6666666666666665,2.3333333333333335,9.0,0.0,4.0,0.3333333333333333,17.0,1.0
09/07/2012,"Southeast Mo. St. @ St. Louis, MO",2-3,5.0,0,68.0,32.0,191.0,0.0,66.0,9.0,9.0,85.0,3.0,4.0,6.0,82.0,3.0,Southeast Mo. St.,5,13.6,6.4,38.2,13.2,1.8,1.8,17.0,0.6,0.8,1.2,16.4,0.6
09/08/2012,@ Saint Louis,3-0,3.0,0,32.0,19.0,119.0,0.0,32.0,5.0,5.0,58.0,1.0,25.0,2.0,50.5,1.0,Saint Louis,3,10.666666666666666,6.333333333333333,39.666666666666664,10.666666666666666,1.6666666666666667,1.6666666666666667,19.333333333333332,0.3333333333333333,8.333333333333334,0.6666666666666666,16.833333333333332,0.3333333333333333
09/08/2012,"Evansville @ St. Louis, MO",3-1,4.0,0,58.0,24.0,161.0,0.0,54.0,9.0,9.0,79.0,2.0,12.0,1.0,75.0,3.0,Evansville,4,14.5,6.0,40.25,13.5,2.25,2.25,19.75,0.5,3.0,0.25,18.75,0.75
09/14/2012,James Madison,3-1,4.0,0,59.0,23.0,145.0,0.0,59.0,5.0,7.0,72.0,1.0,10.0,2.0,70.0,0.0,James Madison,4,14.75,5.75,36.25,14.75,1.25,1.75,18.0,0.25,2.5,0.5,17.5,0.0
09/15/2012,Bethune-Cookman,3-0,3.0,0,38.0,18.0,114.0,0.0,33.0,5.0,7.0,55.0,0.0,6.0,1.0,46.0,0.0,Bethune-Cookman,3,12.666666666666666,6.0,38.0,11.0,1.6666666666666667,2.3333333333333335,18.333333333333332,0.0,2.0,0.3333333333333333,15.333333333333334,0.0
09/16/2012,FIU,3-0,3.0,0,44.0,17.0,101.0,0.0,44.0,3.0,5.0,52.0,7.0,14.0,0.0,61.0,0.0,FIU,3,14.666666666666666,5.666666666666667,33.666666666666664,14.666666666666666,1.0,1.6666666666666667,17.333333333333332,2.333333333333333,4.666666666666667,0.0,20.333333333333332,0.0
09/18/2012,FGCU,3-1,4.0,0,53.0,26.0,151.0,0.0,48.0,7.0,6.0,66.0,3.0,12.0,2.0,69.0,0.0,FGCU,4,13.25,6.5,37.75,12.0,1.75,1.5,16.5,0.75,3.0,0.5,17.25,0.0
09/22/2012,@ Rutgers,3-1,4.0,0,64.0,25.0,171.0,0.0,60.0,1.0,6.0,81.0,2.0,24.0,0.0,79.0,2.0,Rutgers,4,16.0,6.25,42.75,15.0,0.25,1.5,20.25,0.5,6.0,0.0,19.75,0.5
09/23/2012,@ Seton Hall,1-3,4.0,0,58.0,22.0,151.0,0.0,52.0,4.0,7.0,66.0,6.0,12.0,6.0,74.0,1.0,Seton Hall,4,14.5,5.5,37.75,13.0,1.0,1.75,16.5,1.5,3.0,1.5,18.5,0.25
09/28/2012,Louisville,1-3,4.0,0,52.0,20.0,162.0,0.0,52.0,4.0,5.0,71.0,0.0,8.0,2.0,60.0,0.0,Louisville,4,13.0,5.0,40.5,13.0,1.0,1.25,17.75,0.0,2.0,0.5,15.0,0.0
09/30/2012,Cincinnati,3-2,5.0,0,63.0,25.0,185.0,0.0,60.0,8.0,6.0,90.0,1.0,12.0,2.0,78.0,0.0,Cincinnati,5,12.6,5.0,37.0,12.0,1.6,1.2,18.0,0.2,2.4,0.4,15.6,0.0
10/05/2012,@ Syracuse,2-3,5.0,0,57.0,27.0,150.0,0.0,54.0,8.0,2.0,55.0,3.0,26.0,0.0,81.0,0.0,Syracuse,5,11.4,5.4,30.0,10.8,1.6,0.4,11.0,0.6,5.2,0.0,16.2,0.0
10/07/2012,@ Marquette,2-3,5.0,0,61.0,19.0,148.0,0.0,59.0,4.0,10.0,65.0,0.0,12.0,3.0,71.0,2.0,Marquette,5,12.2,3.8,29.6,11.8,0.8,2.0,13.0,0.0,2.4,0.6,14.2,0.4
10/12/2012,Villanova,3-0,3.0,0,46.0,14.0,112.0,0.0,46.0,3.0,4.0,54.0,1.0,18.0,2.0,59.0,5.0,Villanova,3,15.333333333333334,4.666666666666667,37.333333333333336,15.333333333333334,1.0,1.3333333333333333,18.0,0.3333333333333333,6.0,0.6666666666666666,19.666666666666668,1.6666666666666667
10/14/2012,Georgetown,3-2,5.0,0,59.0,22.0,160.0,0.0,58.0,3.0,2.0,73.0,1.0,28.0,4.0,77.0,1.0,Georgetown,5,11.8,4.4,32.0,11.6,0.6,0.4,14.6,0.2,5.6,0.8,15.4,0.2
10/19/2012,UConn,2-3,5.0,0,71.0,28.0,184.0,0.0,67.0,4.0,4.0,90.0,0.0,18.0,2.0,84.0,3.0,UConn,5,14.2,5.6,36.8,13.4,0.8,0.8,18.0,0.0,3.6,0.4,16.8,0.6
10/21/2012,St. John's (NY),3-1,4.0,0,64.0,16.0,133.0,0.0,61.0,4.0,3.0,58.0,1.0,16.0,7.0,77.0,2.0,St. John's ,4,16.0,4.0,33.25,15.25,1.0,0.75,14.5,0.25,4.0,1.75,19.25,0.5
10/26/2012,@ DePaul,1-3,4.0,0,54.0,17.0,127.0,0.0,51.0,3.0,10.0,44.0,0.0,16.0,3.0,65.0,4.0,DePaul,4,13.5,4.25,31.75,12.75,0.75,2.5,11.0,0.0,4.0,0.75,16.25,1.0
10/28/2012,@ Notre Dame,0-3,3.0,0,33.0,20.0,109.0,0.0,33.0,2.0,3.0,38.0,2.0,10.0,1.0,42.0,0.0,Notre Dame,3,11.0,6.666666666666667,36.333333333333336,11.0,0.6666666666666666,1.0,12.666666666666666,0.6666666666666666,3.3333333333333335,0.3333333333333333,14.0,0.0
11/03/2012,@ Pittsburgh,3-2,5.0,0,59.0,20.0,153.0,0.0,55.0,5.0,5.0,54.0,6.0,30.0,3.0,85.0,3.0,Pittsburgh,5,11.8,4.0,30.6,11.0,1.0,1.0,10.8,1.2,6.0,0.6,17.0,0.6
11/06/2012,Florida A&M,3-0,3.0,0,48.0,20.0,127.0,0.0,48.0,6.0,3.0,63.0,1.0,18.0,3.0,64.0,2.0,Florida A&M,3,16.0,6.666666666666667,42.333333333333336,16.0,2.0,1.0,21.0,0.3333333333333333,6.0,1.0,21.333333333333332,0.6666666666666666
11/09/2012,@ UConn,1-3,4.0,0,54.0,23.0,150.0,0.0,53.0,5.0,6.0,60.0,0.0,16.0,0.0,67.0,1.0,UConn,4,13.5,5.75,37.5,13.25,1.25,1.5,15.0,0.0,4.0,0.0,16.75,0.25
11/11/2012,Georgetown,3-0,3.0,0,47.0,9.0,94.0,0.0,44.0,4.0,3.0,36.0,0.0,12.0,1.0,57.0,3.0,Georgetown,3,15.666666666666666,3.0,31.333333333333332,14.666666666666666,1.3333333333333333,1.0,12.0,0.0,4.0,0.3333333333333333,19.0,1.0
11/16/2012,"Notre Dame @ Milwaukee, Wis.",3-1,4.0,0,57.0,17.0,137.0,0.0,55.0,7.0,3.0,53.0,1.0,18.0,5.0,74.0,2.0,Notre Dame,4,14.25,4.25,34.25,13.75,1.75,0.75,13.25,0.25,4.5,1.25,18.5,0.5
11/17/2012,@ Marquette,1-3,4.0,0,53.0,31.0,155.0,0.0,48.0,6.0,8.0,53.0,0.0,20.0,4.0,69.0,3.0,Marquette,4,13.25,7.75,38.75,12.0,1.5,2.0,13.25,0.0,5.0,1.0,17.25,0.75
11/24/2012,Central Mich.,0-3,3.0,0,40.0,15.0,103.0,0.0,38.0,0.0,5.0,32.0,3.0,8.0,3.0,47.0,3.0,Central Mich.,3,13.333333333333334,5.0,34.333333333333336,12.666666666666666,0.0,1.6666666666666667,10.666666666666666,1.0,2.6666666666666665,1.0,15.666666666666666,1.0
