date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,"UIC @ Hamilton, NY",3-2,5.0,0,65.0,26.0,158.0,0,64.0,8.0,10.0,65.0,2.0,30.0,0.0,90.0,0.0,UIC,5,13.0,5.2,31.6,12.8,1.6,2.0,13.0,0.4,6.0,0.0,18.0,0.0
08/25/2012,"Bryant @ Hamilton, N.Y.",3-1,4.0,0,58.0,16.0,125.0,0,49.0,7.0,6.0,43.0,5.0,8.0,1.0,74.0,0.0,Bryant,4,14.5,4.0,31.25,12.25,1.75,1.5,10.75,1.25,2.0,0.25,18.5,0.0
08/25/2012,@ Colgate,3-1,4.0,0,56.0,15.0,139.0,0,52.0,6.0,9.0,61.0,1.0,20.0,0.0,73.0,0.0,Colgate,4,14.0,3.75,34.75,13.0,1.5,2.25,15.25,0.25,5.0,0.0,18.25,0.0
08/31/2012,@ Creighton,0-3,3.0,0,34.0,16.0,93.0,0,34.0,1.0,9.0,33.0,0.0,8.0,0.0,39.0,2.0,Creighton,3,11.333333333333334,5.333333333333333,31.0,11.333333333333334,0.3333333333333333,3.0,11.0,0.0,2.6666666666666665,0.0,13.0,0.6666666666666666
09/01/2012,"Kansas St. @ Omaha, Neb.",0-3,3.0,0,29.0,9.0,79.0,0,29.0,1.0,7.0,27.0,0.0,8.0,2.0,34.0,0.0,Kansas St.,3,9.666666666666666,3.0,26.333333333333332,9.666666666666666,0.3333333333333333,2.3333333333333335,9.0,0.0,2.6666666666666665,0.6666666666666666,11.333333333333334,0.0
09/01/2012,"Denver @ Omaha, Neb.",0-3,3.0,0,25.0,24.0,97.0,0,25.0,2.0,6.0,35.0,1.0,4.0,2.0,30.0,0.0,Denver,3,8.333333333333334,8.0,32.333333333333336,8.333333333333334,0.6666666666666666,2.0,11.666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,10.0,0.0
09/04/2012,@ Omaha,0-3,3.0,0,31.0,12.0,91.0,0,30.0,4.0,6.0,34.0,0.0,12.0,0.0,41.0,0.0,Omaha,3,10.333333333333334,4.0,30.333333333333332,10.0,1.3333333333333333,2.0,11.333333333333334,0.0,4.0,0.0,13.666666666666666,0.0
09/07/2012,"Iowa @ Ames, Iowa",2-3,5.0,0,57.0,24.0,159.0,0,56.0,5.0,6.0,72.0,3.0,10.0,2.0,70.0,1.0,Iowa,5,11.4,4.8,31.8,11.2,1.0,1.2,14.4,0.6,2.0,0.4,14.0,0.2
09/07/2012,"Eastern Wash. @ Ames, Iowa",3-0,3.0,0,49.0,13.0,100.0,0,43.0,7.0,2.0,40.0,0.0,15.0,4.0,63.5,0.0,Eastern Wash.,3,16.333333333333332,4.333333333333333,33.333333333333336,14.333333333333334,2.3333333333333335,0.6666666666666666,13.333333333333334,0.0,5.0,1.3333333333333333,21.166666666666668,0.0
09/08/2012,@ Iowa St.,3-2,5.0,0,63.0,29.0,167.0,0,58.0,5.0,5.0,61.0,3.0,28.0,3.0,85.0,2.0,Iowa St.,5,12.6,5.8,33.4,11.6,1.0,1.0,12.2,0.6,5.6,0.6,17.0,0.4
