date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2012,"USC Upstate @ Chattanooga, Tenn.",0-3,3.0,0,34.0,17.0,100.0,0.17,30.0,1.0,2.0,45.0,4.0,4.0,2.0,41.0,3.0,USC Upstate,3,11.333333333333334,5.666666666666667,33.333333333333336,10.0,0.3333333333333333,0.6666666666666666,15.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,13.666666666666666,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/25/2012,@ Chattanooga,0-3,3.0,0,38.0,14.0,128.0,0.0,36.0,1.0,8.0,58.0,2.0,12.0,2.0,47.0,0.0,Chattanooga,3,12.666666666666666,4.666666666666667,42.66666666666666,12.0,0.3333333333333333,2.6666666666666665,19.33333333333333,0.6666666666666666,4.0,0.6666666666666666,15.666666666666666,0.0,,5.666666666666667,,2.8333333333333335,,16.666666666666668,,0.085,,5.0,,0.16666666666666666,,0.3333333333333333,,7.5,,0.6666666666666666,,0.3333333333333333,,6.833333333333333,,0.5
08/25/2012,"Alcorn @ Chattanooga, Tenn.",3-0,3.0,0,38.0,11.0,77.0,0.351,34.0,14.0,6.0,36.0,1.0,4.0,0.0,55.0,1.0,Alcorn,3,12.666666666666666,3.6666666666666665,25.666666666666668,11.333333333333334,4.666666666666667,2.0,12.0,0.3333333333333333,1.3333333333333333,0.0,18.33333333333333,0.3333333333333333,,8.0,,3.4444444444444446,,25.333333333333332,,0.05666666666666667,,7.333333333333333,,0.2222222222222222,,1.111111111111111,,11.444444444444443,,1.7777777777777777,,0.4444444444444444,,9.777777777777777,,0.3333333333333333
08/31/2012,@ Xavier,0-3,3.0,0,26.0,18.0,89.0,0.0,26.0,1.0,3.0,43.0,3.0,4.0,1.0,32.0,1.0,Xavier,3,8.666666666666666,6.0,29.666666666666668,8.666666666666666,0.3333333333333333,1.0,14.333333333333334,1.0,1.3333333333333333,0.3333333333333333,10.666666666666666,0.3333333333333333,12.222222222222221,9.166666666666666,4.666666666666667,3.5,33.888888888888886,25.416666666666668,0.17366666666666666,0.13025,11.111111111111112,8.333333333333334,1.777777777777778,1.3333333333333335,1.7777777777777777,1.3333333333333333,15.444444444444443,11.583333333333332,2.222222222222222,1.6666666666666665,0.4444444444444444,0.3333333333333333,15.888888888888886,11.916666666666664,0.4444444444444444,0.3333333333333333
08/31/2012,"Marquette @ Cincinnati, Ohio",0-3,3.0,0,25.0,19.0,91.0,0.0,22.0,2.0,3.0,32.0,1.0,4.0,5.0,30.0,1.0,Marquette,3,8.333333333333334,6.333333333333333,30.33333333333333,7.333333333333333,0.6666666666666666,1.0,10.666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,10.0,0.3333333333333333,11.333333333333334,9.066666666666666,4.777777777777778,4.0,32.666666666666664,26.26666666666667,0.11699999999999999,0.1042,10.666666666666666,8.4,1.777777777777778,1.1333333333333333,1.8888888888888886,1.2666666666666666,15.222222222222221,12.133333333333333,2.222222222222222,1.5999999999999999,0.3333333333333333,0.3333333333333333,14.888888888888888,11.666666666666664,0.2222222222222222,0.3333333333333333
09/01/2012,"Ole Miss @ Cincinnati, Ohio",0-3,3.0,0,21.0,20.0,95.0,0.0,20.0,4.0,3.0,42.0,2.0,2.0,2.0,28.0,2.0,Ole Miss,3,7.0,6.666666666666667,31.666666666666668,6.666666666666667,1.3333333333333333,1.0,14.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.333333333333334,0.6666666666666666,9.888888888888888,8.944444444444445,5.333333333333333,4.388888888888888,28.555555555555554,26.944444444444446,0.11699999999999999,0.08683333333333333,9.11111111111111,8.222222222222223,1.888888888888889,1.0555555555555556,1.3333333333333333,1.222222222222222,12.333333333333334,11.888888888888888,1.3333333333333333,1.5555555555555554,0.6666666666666666,0.5555555555555555,12.999999999999998,11.388888888888886,0.3333333333333333,0.3333333333333333
09/07/2012,@ Western Ky.,0-3,3.0,0,24.0,15.0,90.0,0.0,23.0,1.0,5.0,26.0,4.0,10.0,2.0,34.0,0.0,Western Ky.,3,8.0,5.0,30.0,7.666666666666667,0.3333333333333333,1.6666666666666667,8.666666666666666,1.3333333333333333,3.333333333333333,0.6666666666666666,11.333333333333334,0.0,8.0,8.666666666666666,6.333333333333333,4.714285714285714,30.555555555555554,27.61904761904762,0.0,0.07442857142857143,7.5555555555555545,8.0,0.7777777777777777,1.0952380952380953,1.0,1.1904761904761902,13.0,12.19047619047619,1.1111111111111112,1.4285714285714284,0.888888888888889,0.5714285714285714,10.0,11.095238095238091,0.4444444444444444,0.38095238095238093
09/08/2012,"Dayton @ Bowling Green, Ky.",0-3,3.0,0,20.0,15.0,87.0,0.0,19.0,0.0,2.0,30.0,1.0,14.0,3.0,28.0,0.0,Dayton,3,6.666666666666667,5.0,29.0,6.333333333333333,0.0,0.6666666666666666,10.0,0.3333333333333333,4.666666666666667,1.0,9.333333333333334,0.0,7.777777777777779,8.583333333333332,6.0,4.75,30.666666666666668,27.916666666666668,0.0,0.065125,7.222222222222222,7.958333333333333,0.7777777777777778,1.0,1.2222222222222223,1.2499999999999998,11.111111111111109,11.75,1.7777777777777777,1.6666666666666665,1.0,0.5833333333333333,10.222222222222223,11.124999999999996,0.3333333333333333,0.3333333333333333
09/08/2012,@ IUPUI,0-3,3.0,0,27.0,17.0,115.0,0.0,24.0,2.0,3.0,51.0,0.0,16.0,4.0,37.0,0.0,IUPUI,3,9.0,5.666666666666667,38.333333333333336,8.0,0.6666666666666666,1.0,17.0,0.0,5.333333333333333,1.3333333333333333,12.333333333333334,0.0,7.222222222222222,8.37037037037037,5.555555555555556,4.777777777777778,30.222222222222225,28.037037037037038,0.0,0.05788888888888889,6.888888888888889,7.777777777777778,0.5555555555555555,0.8888888888888888,1.1111111111111112,1.185185185185185,10.888888888888888,11.555555555555555,2.8888888888888893,2.0,0.7777777777777778,0.6296296296296295,10.000000000000002,10.925925925925922,0.22222222222222218,0.2962962962962963
09/14/2012,"Gardner-Webb @ Birmingham, AL",1-3,4.0,0,38.0,25.0,140.0,0.0,33.0,8.0,6.0,43.0,9.0,10.0,5.0,60.0,0.0,Gardner-Webb,4,9.5,6.25,35.0,8.25,2.0,1.5,10.75,2.25,2.5,1.25,15.0,0.0,7.888888888888889,8.433333333333334,5.222222222222222,4.866666666666666,32.44444444444444,29.06666666666667,0.0,0.0521,7.333333333333333,7.8,0.3333333333333333,0.8666666666666666,1.1111111111111112,1.1666666666666665,11.888888888888888,12.1,4.444444444444445,2.333333333333333,1.0,0.7,11.0,11.066666666666663,0.0,0.26666666666666666
09/14/2012,@ Samford,0-3,3.0,0,15.0,21.0,99.0,0.0,15.0,1.0,4.0,36.0,1.0,4.0,1.0,19.0,0.0,Samford,3,5.0,7.0,33.0,5.0,0.3333333333333333,1.3333333333333333,12.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,6.333333333333333,0.0,8.38888888888889,8.53030303030303,5.638888888888889,4.992424242424242,34.11111111111111,29.60606060606061,0.0,0.047363636363636365,7.527777777777778,7.840909090909091,0.888888888888889,0.9696969696969696,1.0555555555555556,1.1969696969696968,12.583333333333334,11.977272727272727,4.166666666666667,2.348484848484848,1.1944444444444444,0.75,12.222222222222221,11.42424242424242,0.0,0.2424242424242424
09/15/2012,"Alcorn @ Birmingham, AL",3-0,3.0,0,37.0,10.0,95.0,0.0,36.0,11.0,6.0,45.0,1.0,14.0,1.0,56.0,0.0,Alcorn,3,12.333333333333334,3.333333333333333,31.666666666666668,12.0,3.6666666666666665,2.0,15.0,0.3333333333333333,4.666666666666667,0.3333333333333333,18.666666666666668,0.0,7.833333333333333,8.23611111111111,6.305555555555556,5.159722222222222,35.44444444444444,29.88888888888889,0.0,0.043416666666666666,7.083333333333333,7.604166666666667,1.0000000000000002,0.9166666666666666,1.277777777777778,1.2083333333333333,13.25,11.979166666666666,3.0555555555555554,2.263888888888889,0.9722222222222222,0.7152777777777778,11.222222222222221,10.999999999999998,0.0,0.2222222222222222
09/21/2012,@ Murray St.,0-3,3.0,0,27.0,12.0,97.0,0.0,27.0,2.0,7.0,31.0,2.0,12.0,1.0,37.0,2.0,Murray St.,3,9.0,4.0,32.333333333333336,9.0,0.6666666666666666,2.333333333333333,10.333333333333334,0.6666666666666666,4.0,0.3333333333333333,12.333333333333334,0.6666666666666666,8.944444444444445,8.551282051282051,5.527777777777778,5.019230769230769,33.22222222222222,30.02564102564103,0.0,0.04007692307692308,8.416666666666666,7.9423076923076925,2.0,1.1282051282051282,1.6111111111111114,1.2692307692307692,12.583333333333334,12.211538461538462,2.8333333333333335,2.4487179487179485,0.638888888888889,0.685897435897436,13.333333333333334,11.589743589743588,0.0,0.20512820512820512
