date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/24/2012,@ Kansas St.,0-3,3.0,0,24.0,24.0,110.0,0.0,24.0,1.0,3.0,43.0,1.0,8.0,4.0,30.0,1.0,Kansas St.,3,8.0,8.0,36.666666666666664,8.0,0.3333333333333333,1.0,14.333333333333334,0.3333333333333333,2.6666666666666665,1.3333333333333333,10.0,0.3333333333333333
08/25/2012,"Oregon St. @ Manhattan, Kan.",1-3,4.0,0,60.0,29.0,173.0,0.179,60.0,4.0,10.0,85.0,1.0,10.0,0.0,70.0,1.0,Oregon St.,4,15.0,7.25,43.25,15.0,1.0,2.5,21.25,0.25,2.5,0.0,17.5,0.25
08/25/2012,"Oakland @ Manhattan, Kan.",3-0,3.0,0,48.0,14.0,136.0,0.25,48.0,6.0,7.0,77.0,0.0,6.0,2.0,57.0,0.0,Oakland,3,16.0,4.666666666666667,45.333333333333336,16.0,2.0,2.3333333333333335,25.666666666666668,0.0,2.0,0.6666666666666666,19.0,0.0
08/31/2012,@ LMU (CA),0-3,3.0,0,28.0,21.0,90.0,0.0,24.0,4.0,9.0,32.0,0.0,8.0,5.0,36.0,0.0,LMU ,3,9.333333333333334,7.0,30.0,8.0,1.3333333333333333,3.0,10.666666666666666,0.0,2.6666666666666665,1.6666666666666667,12.0,0.0
08/31/2012,Arizona St.,2-3,5.0,0,52.0,18.0,178.0,0.0,48.0,2.0,7.0,91.0,1.0,26.0,4.0,68.0,0.0,Arizona St.,5,10.4,3.6,35.6,9.6,0.4,1.4,18.2,0.2,5.2,0.8,13.6,0.0
09/01/2012,Nebraska,0-3,3.0,0,38.0,13.0,99.0,0.0,37.0,1.0,5.0,39.0,0.0,2.0,3.0,40.0,0.0,Nebraska,3,12.666666666666666,4.333333333333333,33.0,12.333333333333334,0.3333333333333333,1.6666666666666667,13.0,0.0,0.6666666666666666,1.0,13.333333333333334,0.0
09/01/2012,Colgate,3-1,4.0,0,56.0,18.0,137.0,0.0,53.0,7.0,9.0,52.0,1.0,12.0,1.0,70.0,1.0,Colgate,4,14.0,4.5,34.25,13.25,1.75,2.25,13.0,0.25,3.0,0.25,17.5,0.25
09/07/2012,"San Jose St. @ Boise, Idaho",3-1,4.0,0,61.0,19.0,164.0,0.0,57.0,9.0,17.0,73.0,2.0,10.0,2.0,77.0,1.0,San Jose St.,4,15.25,4.75,41.0,14.25,2.25,4.25,18.25,0.5,2.5,0.5,19.25,0.25
09/07/2012,"Southern Utah @ Boise, Idaho",3-0,3.0,0,42.0,10.0,91.0,0.0,42.0,5.0,5.0,31.0,3.0,8.0,1.0,54.0,0.0,Southern Utah,3,14.0,3.3333333333333335,30.333333333333332,14.0,1.6666666666666667,1.6666666666666667,10.333333333333334,1.0,2.6666666666666665,0.3333333333333333,18.0,0.0
09/08/2012,@ Boise St.,1-3,4.0,0,49.0,21.0,175.0,0.0,45.0,6.0,10.0,79.0,0.0,18.0,2.0,64.0,2.0,Boise St.,4,12.25,5.25,43.75,11.25,1.5,2.5,19.75,0.0,4.5,0.5,16.0,0.5
