date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/24/2012,CSU Bakersfield,3-0,3.0,0,41.0,14.0,112.0,0.241,41.0,2.0,3.0,53.0,2.0,10.0,2.0,50.0,0.0,CSU Bakersfield,3,13.666666666666666,4.666666666666667,37.333333333333336,13.666666666666666,0.6666666666666666,1.0,17.666666666666668,0.6666666666666666,3.333333333333333,0.6666666666666666,16.666666666666668,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/25/2012,Northern Ariz.,1-3,4.0,0,59.0,31.0,150.0,0.187,55.0,2.0,5.0,53.0,1.0,8.0,0.0,66.0,0.0,Northern Ariz.,4,14.75,7.75,37.5,13.75,0.5,1.25,13.25,0.25,2.0,0.0,16.5,0.0,,6.833333333333333,,2.3333333333333335,,18.666666666666668,,0.1205,,6.833333333333333,,0.3333333333333333,,0.5,,8.833333333333334,,1.6666666666666665,,0.3333333333333333,,8.333333333333334,,0.0
08/25/2012,The Citadel,3-0,3.0,0,46.0,7.0,99.0,0.394,41.0,6.0,7.0,56.0,3.0,18.0,0.0,64.0,0.0,The Citadel,3,15.333333333333334,2.333333333333333,33.0,13.666666666666666,2.0,2.333333333333333,18.666666666666668,1.0,6.0,0.0,21.33333333333333,0.0,,9.472222222222221,,4.138888888888889,,24.944444444444446,,0.14266666666666666,,9.138888888888888,,0.38888888888888884,,0.75,,10.305555555555555,,1.7777777777777777,,0.2222222222222222,,11.055555555555557,,0.0
08/31/2012,"Idaho St. @ Portland, Ore.",1-3,4.0,0,45.0,20.0,118.0,0.0,44.0,5.0,9.0,39.0,0.0,22.0,2.0,61.0,0.0,Idaho St.,4,11.25,5.0,29.5,11.0,1.25,2.25,9.75,0.0,5.5,0.5,15.25,0.0,14.583333333333334,10.9375,4.916666666666667,3.6875,35.94444444444445,26.958333333333336,0.274,0.20550000000000002,13.694444444444443,10.270833333333332,1.0555555555555556,0.7916666666666666,1.5277777777777777,1.1458333333333333,16.52777777777778,12.395833333333334,3.7777777777777772,2.833333333333333,0.2222222222222222,0.16666666666666666,18.166666666666668,13.625,0.0,0.0
09/01/2012,"Tennessee St. @ Portland, Ore.",3-0,3.0,0,37.0,8.0,93.0,0.0,35.0,4.0,5.0,38.0,0.0,28.0,0.0,55.0,0.0,Tennessee St.,3,12.333333333333334,2.6666666666666665,31.0,11.666666666666666,1.3333333333333333,1.6666666666666667,12.666666666666666,0.0,9.333333333333334,0.0,18.33333333333333,0.0,13.777777777777779,11.0,5.027777777777778,3.95,33.333333333333336,27.46666666666667,0.19366666666666665,0.16440000000000002,12.805555555555557,10.416666666666666,1.25,0.8833333333333332,1.9444444444444444,1.3666666666666667,13.888888888888891,11.866666666666667,4.5,3.3666666666666663,0.16666666666666666,0.2333333333333333,17.694444444444443,13.95,0.0,0.0
09/01/2012,@ Portland,2-3,5.0,0,59.0,26.0,154.0,0.0,56.0,8.0,6.0,48.0,2.0,12.0,4.0,75.0,0.0,Portland,5,11.8,5.2,30.8,11.2,1.6,1.2,9.6,0.4,2.4,0.8,15.0,0.0,12.972222222222223,11.222222222222221,3.3333333333333335,3.736111111111111,31.166666666666668,28.055555555555557,0.13133333333333333,0.137,12.111111111111112,10.624999999999998,1.5277777777777777,0.9583333333333331,2.0833333333333335,1.4166666666666667,13.694444444444445,12.0,6.9444444444444455,4.361111111111111,0.16666666666666666,0.19444444444444442,18.305555555555554,14.680555555555555,0.0,0.0
09/07/2012,Prairie View,3-0,3.0,0,47.0,7.0,80.0,0.0,42.0,3.0,5.0,32.0,1.0,24.0,0.0,63.0,1.0,Prairie View,3,15.666666666666666,2.333333333333333,26.666666666666668,14.0,1.0,1.6666666666666667,10.666666666666666,0.3333333333333333,8.0,0.0,21.0,0.3333333333333333,11.794444444444444,11.304761904761904,4.288888888888889,3.9452380952380954,30.433333333333334,28.44761904761905,0.0,0.11742857142857144,11.28888888888889,10.707142857142856,1.3944444444444446,1.05,1.7055555555555557,1.3857142857142857,10.672222222222222,11.657142857142857,5.7444444444444445,4.080952380952381,0.43333333333333335,0.28095238095238095,16.194444444444443,14.726190476190476,0.0,0.0
09/08/2012,Gonzaga,3-1,4.0,0,59.0,22.0,153.0,0.0,55.0,6.0,6.0,63.0,5.0,18.0,0.0,79.0,2.0,Gonzaga,4,14.75,5.5,38.25,13.75,1.5,1.5,15.75,1.25,4.5,0.0,19.75,0.5,13.266666666666666,11.85,3.4,3.74375,29.48888888888889,28.225,0.0,0.10275000000000001,12.28888888888889,11.118749999999999,1.3111111111111111,1.04375,1.511111111111111,1.4208333333333332,10.977777777777776,11.533333333333333,6.577777777777778,4.570833333333333,0.26666666666666666,0.24583333333333332,18.11111111111111,15.510416666666666,0.1111111111111111,0.041666666666666664
09/08/2012,Texas Southern,3-0,3.0,0,49.0,17.0,103.0,0.0,44.0,5.0,2.0,37.0,1.0,4.0,1.0,57.0,0.0,Texas Southern,3,16.333333333333332,5.666666666666667,34.333333333333336,14.666666666666666,1.6666666666666667,0.6666666666666666,12.333333333333334,0.3333333333333333,1.3333333333333333,0.3333333333333333,19.0,0.0,14.072222222222223,12.172222222222222,4.344444444444444,3.938888888888889,31.905555555555555,29.33888888888889,0.0,0.09133333333333334,12.983333333333334,11.41111111111111,1.366666666666667,1.0944444444444443,1.4555555555555555,1.4296296296296296,12.005555555555555,12.001851851851852,4.966666666666667,4.562962962962962,0.26666666666666666,0.2185185185185185,18.583333333333332,15.98148148148148,0.27777777777777773,0.09259259259259259
09/14/2012,"Miami (FL) @ Louisville, Ky.",1-3,4.0,0,58.0,25.0,170.0,0.0,52.0,4.0,1.0,84.0,1.0,12.0,0.0,69.0,0.0,Miami ,4,14.5,6.25,42.5,13.0,1.0,0.25,21.0,0.25,3.0,0.0,17.25,0.0,15.583333333333334,12.588333333333333,4.5,4.111666666666666,33.083333333333336,29.83833333333333,0.0,0.08220000000000001,14.138888888888888,11.736666666666666,1.3888888888888886,1.1516666666666666,1.277777777777778,1.353333333333333,12.916666666666666,12.035,4.611111111111112,4.24,0.1111111111111111,0.22999999999999998,19.916666666666668,16.28333333333333,0.27777777777777773,0.08333333333333333
