date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,opponent
08/24/2012,"Eastern Ky. @ East Lansing, Mich.",2-3,5.0,0,50.0,28.0,151.0,0.146,49.0,11.0,18.0,56.0,3.0,12.0,0.0,70.0,1.0,Eastern Ky.
08/25/2012,@ Michigan St.,1-3,4.0,0,40.0,19.0,122.0,0.172,40.0,2.0,5.0,50.0,4.0,8.0,0.0,50.0,3.0,Michigan St.
08/25/2012,"McNeese @ East Lansing, Mich.",3-2,5.0,0,67.0,22.0,178.0,0.253,61.0,3.0,12.0,62.0,1.0,28.0,3.0,85.0,1.0,McNeese
08/31/2012,@ Coppin St.,3-1,4.0,0,52.0,24.0,126.0,0.0,50.0,5.0,14.0,53.0,1.0,10.0,0.0,63.0,4.0,Coppin St.
08/31/2012,"Bryant @ Baltimore, Md.",3-0,3.0,0,39.0,10.0,83.0,0.0,35.0,5.0,7.0,23.0,1.0,14.0,0.0,52.0,2.0,Bryant
09/01/2012,"N.C. A&T @ Baltimore, Md.",3-0,3.0,0,39.0,12.0,84.0,0.0,35.0,8.0,7.0,33.0,2.0,8.0,0.0,53.0,1.0,N.C. A&T
09/01/2012,"Chicago St. @ Baltimore, Md.",3-0,3.0,0,40.0,8.0,78.0,0.0,34.0,10.0,10.0,28.0,0.0,10.0,2.0,55.0,3.0,Chicago St.
09/04/2012,Robert Morris,3-0,3.0,0,45.0,14.0,102.0,0.0,39.0,5.0,5.0,50.0,1.0,16.0,3.0,59.0,2.0,Robert Morris
09/07/2012,"Binghamton @ Akron, Ohio",3-2,5.0,0,59.0,23.0,149.0,0.0,56.0,8.0,10.0,40.0,3.0,12.0,1.0,76.0,0.0,Binghamton
09/07/2012,"SIUE @ Akron, Ohio",3-1,4.0,0,52.0,21.0,154.0,0.0,47.0,8.0,4.0,56.0,3.0,18.0,0.0,72.0,0.0,SIUE
09/08/2012,@ Akron,1-3,4.0,0,53.0,22.0,143.0,0.0,52.0,3.0,6.0,57.0,5.0,12.0,0.0,67.0,0.0,Akron
09/14/2012,"Morehead St. @ Greensboro, N.C.",0-3,3.0,0,26.0,19.0,95.0,0.0,26.0,1.0,2.0,31.0,0.0,6.0,0.0,30.0,4.0,Morehead St.
09/15/2012,"UNCW @ Greensboro, N.C.",3-1,4.0,0,58.0,21.0,146.0,0.0,57.0,7.0,1.0,71.0,0.0,10.0,2.0,70.0,2.0,UNCW
09/15/2012,@ UNC Greensboro,3-1,4.0,0,56.0,15.0,129.0,0.0,54.0,3.0,7.0,71.0,0.0,22.0,1.0,70.0,2.0,UNC Greensboro
09/21/2012,@ Milwaukee,1-3,4.0,0,50.0,28.0,163.0,0.0,49.0,3.0,2.0,55.0,0.0,13.0,1.0,59.5,2.0,Milwaukee
09/22/2012,@ Green Bay,2-3,5.0,0,72.0,32.0,215.0,0.0,68.0,3.0,4.0,103.0,1.0,10.0,3.0,81.0,1.0,Green Bay
09/28/2012,UIC,3-2,5.0,0,64.0,20.0,187.0,0.0,61.0,5.0,8.0,88.0,2.0,34.0,4.0,88.0,3.0,UIC
09/29/2012,Loyola Chicago,1-3,4.0,0,48.0,25.0,128.0,0.0,47.0,8.0,3.0,41.0,0.0,14.0,1.0,63.0,2.0,Loyola Chicago
10/05/2012,@ Wright St.,3-0,3.0,0,43.0,19.0,124.0,0.0,42.0,3.0,5.0,68.0,2.0,19.0,2.0,57.5,3.0,Wright St.
10/06/2012,@ Valparaiso,1-3,4.0,0,54.0,27.0,163.0,0.0,54.0,2.0,2.0,61.0,0.0,18.0,5.0,65.0,4.0,Valparaiso
10/12/2012,Cleveland St.,0-3,3.0,0,25.0,19.0,98.0,0.0,25.0,1.0,8.0,29.0,0.0,2.0,0.0,27.0,5.0,Cleveland St.
10/19/2012,Green Bay,2-3,5.0,0,70.0,26.0,199.0,0.0,65.0,6.0,11.0,81.0,2.0,22.0,2.0,89.0,1.0,Green Bay
10/20/2012,Milwaukee,3-1,4.0,0,62.0,23.0,143.0,0.0,60.0,7.0,5.0,51.0,1.0,16.0,2.0,78.0,3.0,Milwaukee
10/26/2012,@ Loyola Chicago,3-2,5.0,0,62.0,24.0,152.0,0.0,56.0,5.0,8.0,50.0,1.0,23.0,1.0,79.5,3.0,Loyola Chicago
10/27/2012,@ UIC,0-3,3.0,0,38.0,17.0,124.0,0.0,31.0,0.0,9.0,37.0,2.0,10.0,0.0,45.0,0.0,UIC
11/02/2012,Valparaiso,1-3,4.0,0,62.0,23.0,178.0,0.0,61.0,2.0,8.0,84.0,0.0,24.0,1.0,76.0,4.0,Valparaiso
11/03/2012,Wright St.,3-0,3.0,0,48.0,22.0,134.0,0.0,47.0,5.0,4.0,59.0,0.0,21.0,0.0,63.5,1.0,Wright St.
11/08/2012,@ Cleveland St.,0-3,3.0,0,31.0,12.0,119.0,0.0,31.0,0.0,4.0,47.0,0.0,8.0,1.0,35.0,0.0,Cleveland St.
11/16/2012,"Valparaiso @ Cleveland, OH",0-3,3.0,0,38.0,20.0,127.0,0.0,36.0,2.0,3.0,63.0,0.0,6.0,1.0,43.0,4.0,Valparaiso
