date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,@ UT Arlington,2-3,5.0,0,47.0,38.0,175.0,0.051,44.0,6.0,8.0,79.0,3.0,0.0,29.0,0.0,67.5,5.0,UT Arlington
08/31/2013,"Louisiana Tech @ Arlington, Texas",3-2,5.0,0,50.0,24.0,113.0,0.23,46.0,7.0,8.0,42.0,6.0,1.0,22.0,1.0,69.0,0.0,Louisiana Tech
08/31/2013,"Grambling @ Arlington, Texas",3-0,3.0,0,39.0,16.0,95.0,0.242,32.0,3.0,8.0,54.0,0.0,1.0,16.0,2.0,51.0,1.0,Grambling
09/03/2013,@ Texas Tech,0-3,3.0,0,33.0,24.0,113.0,0.08,32.0,1.0,1.0,48.0,4.0,0.0,9.0,0.0,38.5,1.0,Texas Tech
09/10/2013,Texas Tech,3-1,4.0,0,48.0,16.0,140.0,0.229,45.0,4.0,6.0,86.0,4.0,4.0,10.0,1.0,61.0,5.0,Texas Tech
09/13/2013,"Northern Ariz. @ Albuquerque, N.M.",0-3,3.0,0,25.0,23.0,105.0,0.019,25.0,4.0,3.0,46.0,4.0,1.0,8.0,2.0,34.0,0.0,Northern Ariz.
09/14/2013,"Towson @ Albuquerque, N.M.",3-1,4.0,0,56.0,25.0,167.0,0.186,53.0,5.0,6.0,76.0,8.0,2.0,10.0,3.0,68.0,3.0,Towson
09/14/2013,@ New Mexico,0-3,3.0,0,23.0,28.0,93.0,-0.054,22.0,2.0,3.0,36.0,7.0,2.0,8.0,0.0,31.0,1.0,New Mexico
09/19/2013,@ Central Ark.,0-3,3.0,0,28.0,13.0,83.0,0.181,27.0,0.0,3.0,30.0,11.0,0.0,4.0,0.0,30.0,0.0,Central Ark.
09/21/2013,@ Oral Roberts,0-3,3.0,0,31.0,18.0,107.0,0.121,27.0,1.0,1.0,39.0,6.0,1.0,14.0,1.0,40.0,4.0,Oral Roberts
09/26/2013,McNeese,1-3,4.0,0,54.0,32.0,170.0,0.129,52.0,3.0,7.0,73.0,4.0,4.0,6.0,2.0,64.0,3.0,McNeese
09/28/2013,Nicholls,3-0,3.0,0,33.0,9.0,105.0,0.229,29.0,4.0,4.0,67.0,3.0,5.0,10.0,1.0,47.0,4.0,Nicholls
10/03/2013,@ Houston Christian,2-3,5.0,0,55.0,36.0,194.0,0.098,51.0,2.0,7.0,89.0,7.0,2.0,34.0,6.0,76.0,2.0,Houston Christian
10/05/2013,@ A&M-Corpus Christi,1-3,4.0,0,35.0,20.0,130.0,0.115,33.0,2.0,2.0,57.0,7.0,3.0,24.0,2.0,52.0,3.0,A&M-Corpus Christi
10/10/2013,Lamar University,0-3,3.0,0,34.0,20.0,102.0,0.137,30.0,1.0,5.0,33.0,6.0,3.0,4.0,1.0,40.0,5.0,Lamar University
10/12/2013,Sam Houston,2-3,5.0,0,59.0,25.0,204.0,0.167,57.0,2.0,8.0,92.0,5.0,4.0,16.0,1.0,73.0,3.0,Sam Houston
10/19/2013,UIW,0-3,3.0,0,32.0,16.0,101.0,0.158,30.0,3.0,4.0,36.0,5.0,1.0,10.0,1.0,41.0,1.0,UIW
10/24/2013,@ Southeastern La.,2-3,5.0,0,57.0,28.0,174.0,0.167,53.0,6.0,7.0,85.0,4.0,4.0,12.0,1.0,73.0,1.0,Southeastern La.
10/26/2013,@ New Orleans,3-0,3.0,0,40.0,20.0,115.0,0.174,37.0,3.0,4.0,50.0,5.0,4.0,18.0,0.0,56.0,0.0,New Orleans
10/31/2013,Northwestern St.,1-3,4.0,0,42.0,25.0,149.0,0.114,40.0,0.0,3.0,76.0,7.0,0.0,7.0,1.0,45.5,2.0,Northwestern St.
11/02/2013,SFA,1-3,4.0,0,36.0,17.0,135.0,0.141,33.0,2.0,5.0,60.0,6.0,9.0,8.0,0.0,51.0,4.0,SFA
11/08/2013,@ UIW,0-3,3.0,0,32.0,22.0,105.0,0.095,29.0,3.0,7.0,35.0,9.0,1.0,4.0,2.0,38.0,0.0,UIW
11/22/2013,@ Grand Canyon,1-3,4.0,0,41.0,23.0,164.0,0.11,38.0,5.0,2.0,75.0,4.0,0.0,6.0,0.0,49.0,1.0,Grand Canyon
11/23/2013,"UIW @ Phoenix, Arizona",0-3,3.0,0,45.0,23.0,149.0,0.148,38.0,3.0,1.0,78.0,7.0,0.0,14.0,3.0,55.0,4.0,UIW
