date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2013,Northwestern St.,3-0,3.0,0,41.0,18.0,105.0,0.219,35.0,3.0,5.0,38.0,1.0,0.0,16.0,4.0,52.0,0.0,Northwestern St.,3,13.666666666666666,6.0,35.0,11.666666666666666,1.0,1.6666666666666667,12.666666666666666,0.3333333333333333,0.0,5.333333333333333,1.3333333333333333,17.333333333333332,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2013,New Mexico,3-2,5.0,0,60.0,26.0,151.0,0.225,56.0,14.0,9.0,57.0,8.0,1.0,14.0,1.0,82.0,0.0,New Mexico,5,12.0,5.2,30.2,11.2,2.8,1.8,11.4,1.6,0.2,2.8,0.2,16.4,,6.833333333333333,,3.0,,17.5,,0.1095,,5.833333333333333,,0.5,,0.8333333333333334,,6.333333333333333,,0.0,,2.6666666666666665,,0.6666666666666666,,8.666666666666666
08/31/2013,Kansas City,3-0,3.0,0,56.0,27.0,127.0,0.228,51.0,4.0,9.0,42.0,2.0,0.0,10.0,1.0,65.0,1.0,Kansas City,3,18.666666666666668,9.0,42.333333333333336,17.0,1.3333333333333333,3.0,14.0,0.6666666666666666,0.0,3.333333333333333,0.3333333333333333,21.666666666666668,,8.555555555555555,,3.733333333333333,,21.733333333333334,,0.148,,7.622222222222223,,1.2666666666666666,,1.1555555555555557,,8.022222222222222,,0.06666666666666667,,2.711111111111111,,0.5111111111111111,,11.244444444444445
09/03/2013,@ Oklahoma,0-3,3.0,0,45.0,21.0,136.0,0.176,41.0,3.0,6.0,54.0,2.0,5.0,10.0,1.0,58.0,4.0,Oklahoma,3,15.0,7.0,45.333333333333336,13.666666666666666,1.0,2.0,18.0,0.6666666666666666,1.6666666666666667,3.333333333333333,0.3333333333333333,19.33333333333333,14.777777777777779,11.083333333333332,6.733333333333333,5.05,35.84444444444444,26.883333333333333,0.224,0.168,13.28888888888889,9.966666666666667,1.711111111111111,1.2833333333333332,2.1555555555555554,1.6166666666666667,12.688888888888888,9.516666666666666,0.06666666666666667,0.05,3.8222222222222215,2.8666666666666663,0.6222222222222222,0.4666666666666666,18.466666666666665,13.850000000000001
09/05/2013,Kansas,2-3,5.0,0,60.0,36.0,178.0,0.135,55.0,9.0,5.0,67.0,7.0,2.0,22.0,2.0,82.0,0.0,Kansas,5,12.0,7.2,35.6,11.0,1.8,1.0,13.4,1.4,0.4,4.4,0.4,16.4,15.222222222222223,11.866666666666665,7.066666666666666,5.4399999999999995,39.28888888888889,30.573333333333334,0.20966666666666667,0.16960000000000003,13.955555555555556,10.706666666666667,1.711111111111111,1.2266666666666666,2.2666666666666666,1.6933333333333334,14.466666666666669,11.213333333333333,0.6222222222222222,0.37333333333333335,3.155555555555555,2.9599999999999995,0.2888888888888889,0.43999999999999995,19.13333333333333,14.946666666666667
09/07/2013,@ Kansas,3-2,5.0,0,63.0,28.0,164.0,0.213,61.0,1.0,10.0,62.0,4.0,1.0,18.0,0.0,74.0,3.0,Kansas,5,12.6,5.6,32.8,12.2,0.2,2.0,12.4,0.8,0.2,3.6,0.0,14.8,15.222222222222223,11.888888888888888,7.733333333333333,5.733333333333333,41.08888888888889,31.41111111111111,0.17966666666666667,0.16383333333333336,13.888888888888888,10.755555555555555,1.3777777777777775,1.3222222222222222,2.0,1.5777777777777777,15.133333333333333,11.577777777777778,0.688888888888889,0.37777777777777777,3.6888888888888887,3.1999999999999993,0.35555555555555557,0.4333333333333333,19.133333333333333,15.188888888888888
09/13/2013,@ Tulsa,3-1,4.0,0,65.0,25.0,162.0,0.247,63.0,3.0,4.0,71.0,5.0,0.0,18.0,4.0,77.0,0.0,Tulsa,4,16.25,6.25,40.5,15.75,0.75,1.0,17.75,1.25,0.0,4.5,1.0,19.25,13.200000000000001,11.990476190476189,6.6000000000000005,5.714285714285714,37.91111111111111,31.609523809523807,0.17466666666666666,0.17085714285714287,12.28888888888889,10.961904761904762,1.0000000000000002,1.1619047619047618,1.6666666666666667,1.638095238095238,14.6,11.695238095238096,0.7555555555555555,0.3523809523809524,3.777777777777778,3.2571428571428567,0.24444444444444446,0.3714285714285714,16.844444444444445,15.133333333333331
09/14/2013,"Northern Colo. @ Tulsa, Okla.",3-0,3.0,0,45.0,14.0,100.0,0.31,41.0,7.0,6.0,33.0,5.0,1.0,18.0,1.0,62.0,2.0,Northern Colo.,3,15.0,4.666666666666667,33.333333333333336,13.666666666666666,2.333333333333333,2.0,11.0,1.6666666666666667,0.3333333333333333,6.0,0.3333333333333333,20.666666666666668,13.616666666666667,12.522916666666665,6.3500000000000005,5.78125,36.300000000000004,32.72083333333333,0.19833333333333333,0.180375,12.983333333333334,11.560416666666667,0.9166666666666666,1.1104166666666666,1.3333333333333333,1.5583333333333333,14.516666666666666,12.452083333333334,0.20000000000000004,0.30833333333333335,4.166666666666667,3.4124999999999996,0.46666666666666673,0.44999999999999996,16.816666666666666,15.647916666666665
09/14/2013,"Texas St. @ Tulsa, Okla.",0-3,3.0,0,28.0,27.0,105.0,0.01,27.0,5.0,5.0,31.0,4.0,1.0,30.0,1.0,49.0,0.0,Texas St.,3,9.333333333333334,9.0,35.0,9.0,1.6666666666666667,1.6666666666666667,10.333333333333334,1.3333333333333333,0.3333333333333333,10.0,0.3333333333333333,16.333333333333332,14.616666666666667,12.798148148148147,5.5055555555555555,5.657407407407407,35.544444444444444,32.788888888888884,0.25666666666666665,0.1947777777777778,13.872222222222222,11.794444444444444,1.0944444444444443,1.246296296296296,1.6666666666666667,1.6074074074074074,13.716666666666669,12.290740740740741,0.17777777777777778,0.3111111111111111,4.7,3.6999999999999997,0.4444444444444444,0.437037037037037,18.23888888888889,16.205555555555556
09/20/2013,Kansas St.,0-3,3.0,0,36.0,29.0,116.0,0.06,36.0,3.0,9.0,36.0,3.0,1.0,8.0,4.0,44.0,0.0,Kansas St.,3,12.0,9.666666666666666,38.66666666666666,12.0,1.0,3.0,12.0,1.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,14.666666666666666,13.527777777777779,12.451666666666664,6.638888888888888,5.991666666666666,36.27777777777778,33.01,0.18899999999999997,0.1763,12.805555555555555,11.515,1.5833333333333333,1.288333333333333,1.5555555555555556,1.6133333333333333,13.027777777777779,12.095,0.2222222222222222,0.31333333333333335,6.833333333333333,4.33,0.5555555555555557,0.42666666666666664,18.75,16.218333333333334
