date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,"Miami (FL) @ Tampa, Fla.",1-3,4.0,0,44.0,30.0,154.0,0.091,42.0,4.0,5.0,76.0,7.0,1.0,6.0,5.0,52.0,0.0,Miami 
08/30/2013,"Ball St. @ Tampa, Fla.",0-3,3.0,0,40.0,16.0,128.0,0.188,40.0,2.0,5.0,69.0,5.0,1.0,2.0,2.0,44.0,0.0,Ball St.
08/31/2013,@ South Fla.,1-3,4.0,0,43.0,31.0,162.0,0.074,40.0,2.0,6.0,75.0,4.0,2.0,12.0,4.0,53.0,1.0,South Fla.
08/31/2013,"The Citadel @ Tampa, Fla.",3-0,3.0,0,49.0,16.0,112.0,0.295,49.0,8.0,8.0,51.0,1.0,0.0,6.0,1.0,60.0,2.0,The Citadel
09/06/2013,"North Dakota @ Murfreesboro, Tenn.",3-2,5.0,0,71.0,24.0,168.0,0.28,65.0,5.0,7.0,68.0,4.0,4.0,8.0,4.0,84.0,3.0,North Dakota
09/06/2013,"Virginia Tech @ Murfreesboro, Tenn.",0-3,3.0,0,32.0,16.0,101.0,0.158,29.0,0.0,6.0,32.0,1.0,0.0,4.0,3.0,34.0,2.0,Virginia Tech
09/07/2013,"UAB @ Murfreesboro, Tenn.",0-3,3.0,0,39.0,20.0,87.0,0.218,38.0,4.0,4.0,28.0,5.0,2.0,6.0,2.0,48.0,3.0,UAB
09/07/2013,@ Middle Tenn.,2-3,5.0,0,56.0,24.0,131.0,0.244,51.0,3.0,5.0,46.0,8.0,2.0,6.0,1.0,64.0,8.0,Middle Tenn.
09/12/2013,@ Tennessee,0-3,3.0,0,28.0,28.0,120.0,0.0,27.0,3.0,3.0,55.0,1.0,0.0,6.0,3.0,34.0,0.0,Tennessee
09/13/2013,"VCU @ Knoxville, Tenn.",0-3,3.0,0,34.0,18.0,97.0,0.165,25.0,2.0,3.0,26.0,3.0,1.0,4.0,0.0,39.0,2.0,VCU
09/13/2013,"ETSU @ Knoxville, Tenn.",1-3,4.0,0,43.0,13.0,124.0,0.242,39.0,5.0,4.0,39.0,6.0,0.0,8.0,4.0,52.0,2.0,ETSU
09/14/2013,"Wichita St. @ Knoxville, Tenn.",0-3,3.0,0,18.0,25.0,94.0,-0.074,17.0,2.0,2.0,33.0,3.0,0.0,4.0,1.0,22.0,3.0,Wichita St.
09/20/2013,"Little Rock @ MEMPHIS, Tenn.",1-3,4.0,0,48.0,29.0,145.0,0.131,46.0,3.0,7.0,53.0,6.0,0.0,12.0,1.0,57.0,0.0,Little Rock
