date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,"St. John's (NY) @ Hamilton, N.Y.",1-3,4.0,0,45.0,21.0,129.0,0.186,38.0,2.0,9.0,42.0,9.0,1.0,4.0,2.0,50.0,0.0,St. John's 
08/31/2013,@ Colgate,1-3,4.0,0,46.0,28.0,138.0,0.13,44.0,7.0,7.0,49.0,9.0,1.0,15.0,0.0,61.5,2.0,Colgate
08/31/2013,Central Conn. St.,0-3,3.0,0,29.0,17.0,89.0,0.135,28.0,2.0,2.0,30.0,11.0,0.0,6.0,0.0,34.0,2.0,Central Conn. St.
09/06/2013,"Towson @ Raleigh,N.C.",2-3,5.0,0,55.0,33.0,156.0,0.141,51.0,10.0,6.0,65.0,4.0,0.0,10.0,4.0,70.0,0.0,Towson
09/07/2013,"App State @ Raleigh, N.C.",0-3,3.0,0,27.0,23.0,104.0,0.038,23.0,2.0,2.0,39.0,4.0,0.0,6.0,3.0,32.0,2.0,App State
09/07/2013,@ NC State,0-3,3.0,0,25.0,16.0,97.0,0.093,24.0,2.0,6.0,34.0,2.0,0.0,6.0,0.0,30.0,2.0,NC State
09/13/2013,Fordham @ New York,1-3,4.0,0,47.0,19.0,122.0,0.23,46.0,5.0,12.0,39.0,5.0,0.0,19.0,3.0,61.5,1.0,Fordham
09/14/2013,@ Columbia,3-2,5.0,0,68.0,34.0,197.0,0.173,64.0,7.0,5.0,81.0,3.0,2.0,14.0,7.0,84.0,0.0,Columbia
09/14/2013,"Boston College @ New York, N.Y.",0-3,3.0,0,29.0,20.0,100.0,0.09,27.0,5.0,8.0,46.0,8.0,0.0,13.0,2.0,40.5,0.0,Boston College
09/17/2013,Siena,3-0,3.0,0,39.0,17.0,89.0,0.247,35.0,9.0,9.0,38.0,3.0,3.0,4.0,0.0,53.0,1.0,Siena
09/20/2013,@ Kent St.,0-3,3.0,0,26.0,18.0,89.0,0.09,26.0,3.0,3.0,32.0,7.0,1.0,12.0,3.0,36.0,3.0,Kent St.
09/21/2013,"UIC @ Kent, Ohio",0-3,3.0,0,34.0,22.0,98.0,0.122,34.0,1.0,8.0,41.0,5.0,1.0,8.0,0.0,40.0,0.0,UIC
09/21/2013,"Eastern Ill. @ Kent, Ohio",1-3,4.0,0,51.0,25.0,139.0,0.187,50.0,3.0,2.0,50.0,5.0,0.0,8.0,5.0,58.0,4.0,Eastern Ill.
09/29/2013,@ UAlbany,0-3,3.0,0,36.0,26.0,120.0,0.083,34.0,2.0,9.0,46.0,3.0,0.0,6.0,2.0,41.0,0.0,UAlbany
10/04/2013,@ Providence,3-1,4.0,0,60.0,23.0,145.0,0.255,56.0,5.0,5.0,62.0,9.0,1.0,16.0,5.0,74.0,1.0,Providence
10/06/2013,@ Hartford,0-3,3.0,0,29.0,16.0,88.0,0.148,28.0,1.0,4.0,34.0,4.0,2.0,6.0,2.0,35.0,0.0,Hartford
10/11/2013,Stony Brook,2-3,5.0,0,49.0,28.0,138.0,0.152,39.0,9.0,12.0,47.0,10.0,1.0,14.0,0.0,66.0,2.0,Stony Brook
10/12/2013,UMBC,3-2,5.0,0,58.0,25.0,184.0,0.179,53.0,6.0,4.0,81.0,9.0,2.0,8.0,0.0,70.0,2.0,UMBC
10/15/2013,Cornell,2-3,5.0,0,49.0,30.0,165.0,0.115,40.0,5.0,5.0,67.0,9.0,1.0,10.0,5.0,60.0,0.0,Cornell
10/18/2013,New Hampshire,1-3,4.0,0,49.0,29.0,146.0,0.137,44.0,3.0,8.0,52.0,9.0,2.0,12.0,0.0,60.0,0.0,New Hampshire
10/20/2013,UMass Lowell,3-0,3.0,0,36.0,13.0,78.0,0.295,29.0,10.0,10.0,33.0,2.0,1.0,4.0,1.0,49.0,0.0,UMass Lowell
10/26/2013,UAlbany,3-0,3.0,0,43.0,6.0,104.0,0.356,36.0,9.0,2.0,53.0,3.0,1.0,12.0,3.0,59.0,0.0,UAlbany
11/01/2013,@ UMBC,1-3,4.0,0,60.0,26.0,185.0,0.184,58.0,5.0,6.0,78.0,1.0,0.0,14.0,3.0,72.0,2.0,UMBC
11/03/2013,@ Stony Brook,2-3,5.0,0,65.0,28.0,171.0,0.216,63.0,6.0,8.0,65.0,9.0,0.0,20.0,8.0,81.0,1.0,Stony Brook
11/08/2013,Hartford,3-0,3.0,0,39.0,11.0,99.0,0.283,36.0,5.0,5.0,42.0,2.0,0.0,18.0,0.0,53.0,1.0,Hartford
11/09/2013,Providence,3-0,3.0,0,49.0,11.0,105.0,0.362,42.0,7.0,4.0,49.0,5.0,1.0,8.0,2.0,61.0,1.0,Providence
11/15/2013,@ UMass Lowell,3-0,3.0,0,39.0,14.0,98.0,0.255,34.0,6.0,6.0,51.0,4.0,1.0,10.0,1.0,51.0,3.0,UMass Lowell
11/17/2013,@ New Hampshire,2-3,5.0,0,57.0,25.0,184.0,0.174,57.0,8.0,9.0,87.0,6.0,1.0,16.0,0.0,74.0,4.0,New Hampshire
