date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,Marquette,1-3,4.0,0,50.0,25.0,142.0,0.176,49.0,3.0,12.0,55.0,3.0,0.0,18.0,1.0,62.0,1.0,Marquette,4,12.5,6.25,35.5,12.25,0.75,3.0,13.75,0.75,0.0,4.5,0.25,15.5
08/31/2013,Creighton,0-3,3.0,0,44.0,20.0,116.0,0.207,43.0,6.0,4.0,49.0,4.0,2.0,14.0,4.0,59.0,1.0,Creighton,3,14.666666666666666,6.666666666666667,38.666666666666664,14.333333333333334,2.0,1.3333333333333333,16.333333333333332,1.3333333333333333,0.6666666666666666,4.666666666666667,1.3333333333333333,19.666666666666668
08/31/2013,BYU,3-2,5.0,0,64.0,32.0,167.0,0.192,60.0,6.0,8.0,69.0,5.0,1.0,28.0,1.0,85.0,2.0,BYU,5,12.8,6.4,33.4,12.0,1.2,1.6,13.8,1.0,0.2,5.6,0.2,17.0
09/06/2013,@ Notre Dame,1-3,4.0,0,56.0,30.0,149.0,0.174,54.0,1.0,9.0,56.0,5.0,1.0,18.0,3.0,67.0,0.0,Notre Dame,4,14.0,7.5,37.25,13.5,0.25,2.25,14.0,1.25,0.25,4.5,0.75,16.75
09/08/2013,"Purdue @ Notre Dame, Ind.",0-3,3.0,0,35.0,19.0,109.0,0.147,33.0,2.0,6.0,37.0,4.0,0.0,18.0,3.0,46.0,3.0,Purdue,3,11.666666666666666,6.333333333333333,36.333333333333336,11.0,0.6666666666666666,2.0,12.333333333333334,1.3333333333333333,0.0,6.0,1.0,15.333333333333334
09/13/2013,"Milwaukee @ Madison, Wis.",0-3,3.0,0,42.0,18.0,133.0,0.18,39.0,3.0,4.0,54.0,1.0,0.0,10.0,3.0,50.0,4.0,Milwaukee,3,14.0,6.0,44.333333333333336,13.0,1.0,1.3333333333333333,18.0,0.3333333333333333,0.0,3.3333333333333335,1.0,16.666666666666668
09/14/2013,"Kansas @ Madison, Wis.",2-3,5.0,0,66.0,35.0,196.0,0.158,63.0,2.0,5.0,86.0,3.0,0.0,18.0,5.0,77.0,1.0,Kansas,5,13.2,7.0,39.2,12.6,0.4,1.0,17.2,0.6,0.0,3.6,1.0,15.4
09/14/2013,@ Wisconsin,0-3,3.0,0,34.0,27.0,109.0,0.064,31.0,1.0,7.0,45.0,2.0,0.0,8.0,1.0,39.0,0.0,Wisconsin,3,11.333333333333334,9.0,36.333333333333336,10.333333333333334,0.3333333333333333,2.3333333333333335,15.0,0.6666666666666666,0.0,2.6666666666666665,0.3333333333333333,13.0
09/17/2013,Youngstown St.,3-0,3.0,0,46.0,14.0,111.0,0.288,44.0,6.0,7.0,53.0,5.0,1.0,20.0,1.0,63.0,1.0,Youngstown St.,3,15.333333333333334,4.666666666666667,37.0,14.666666666666666,2.0,2.3333333333333335,17.666666666666668,1.6666666666666667,0.3333333333333333,6.666666666666667,0.3333333333333333,21.0
09/21/2013,"Virginia Tech @ Louisville, Ky.",0-3,3.0,0,33.0,24.0,97.0,0.093,33.0,3.0,2.0,25.0,4.0,1.0,8.0,2.0,41.0,0.0,Virginia Tech,3,11.0,8.0,32.333333333333336,11.0,1.0,0.6666666666666666,8.333333333333334,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,13.666666666666666
09/21/2013,"Rice @ Louisville, Ky.",3-1,4.0,0,50.0,26.0,141.0,0.17,44.0,4.0,7.0,50.0,4.0,1.0,18.0,1.0,64.0,1.0,Rice,4,12.5,6.5,35.25,11.0,1.0,1.75,12.5,1.0,0.25,4.5,0.25,16.0
09/26/2013,@ Miami (OH),3-2,5.0,0,73.0,36.0,201.0,0.184,71.0,3.0,10.0,91.0,5.0,0.0,26.0,1.0,89.0,3.0,Miami ,5,14.6,7.2,40.2,14.2,0.6,2.0,18.2,1.0,0.0,5.2,0.2,17.8
09/28/2013,NIU,3-0,3.0,0,46.0,21.0,125.0,0.2,43.0,5.0,8.0,60.0,3.0,2.0,12.0,0.0,59.0,0.0,NIU,3,15.333333333333334,7.0,41.666666666666664,14.333333333333334,1.6666666666666667,2.6666666666666665,20.0,1.0,0.6666666666666666,4.0,0.0,19.666666666666668
10/04/2013,@ Kent St.,3-1,4.0,0,60.0,20.0,141.0,0.284,56.0,8.0,9.0,45.0,3.0,1.0,30.0,4.0,84.0,3.0,Kent St.,4,15.0,5.0,35.25,14.0,2.0,2.25,11.25,0.75,0.25,7.5,1.0,21.0
10/05/2013,@ Ohio,0-3,3.0,0,34.0,20.0,115.0,0.122,33.0,1.0,4.0,53.0,7.0,0.0,12.0,1.0,41.0,0.0,Ohio,3,11.333333333333334,6.666666666666667,38.333333333333336,11.0,0.3333333333333333,1.3333333333333333,17.666666666666668,2.333333333333333,0.0,4.0,0.3333333333333333,13.666666666666666
10/11/2013,Buffalo,3-2,5.0,0,68.0,28.0,186.0,0.215,66.0,4.0,7.0,88.0,5.0,1.0,26.0,2.0,86.0,4.0,Buffalo,5,13.6,5.6,37.2,13.2,0.8,1.4,17.6,1.0,0.2,5.2,0.4,17.2
10/12/2013,Akron,3-0,3.0,0,36.0,11.0,89.0,0.281,34.0,8.0,7.0,39.0,3.0,0.0,12.0,1.0,50.0,4.0,Akron,3,12.0,3.6666666666666665,29.666666666666668,11.333333333333334,2.6666666666666665,2.3333333333333335,13.0,1.0,0.0,4.0,0.3333333333333333,16.666666666666668
10/15/2013,@ Oakland,3-0,3.0,0,43.0,14.0,98.0,0.296,42.0,7.0,9.0,47.0,4.0,2.0,8.0,1.0,56.0,1.0,Oakland,3,14.333333333333334,4.666666666666667,32.666666666666664,14.0,2.3333333333333335,3.0,15.666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.3333333333333333,18.666666666666668
10/18/2013,Eastern Mich.,2-3,5.0,0,56.0,26.0,187.0,0.16,52.0,3.0,10.0,93.0,3.0,2.0,12.0,6.0,67.0,4.0,Eastern Mich.,5,11.2,5.2,37.4,10.4,0.6,2.0,18.6,0.6,0.4,2.4,1.2,13.4
10/19/2013,Central Mich.,3-1,4.0,0,53.0,21.0,132.0,0.242,48.0,5.0,9.0,63.0,5.0,1.0,22.0,2.0,70.0,0.0,Central Mich.,4,13.25,5.25,33.0,12.0,1.25,2.25,15.75,1.25,0.25,5.5,0.5,17.5
10/25/2013,@ Ball St.,3-1,4.0,0,53.0,23.0,151.0,0.199,51.0,3.0,6.0,67.0,0.0,2.0,27.0,5.0,71.5,5.0,Ball St.,4,13.25,5.75,37.75,12.75,0.75,1.5,16.75,0.0,0.5,6.75,1.25,17.875
10/26/2013,@ Toledo,1-3,4.0,0,58.0,25.0,154.0,0.214,55.0,3.0,7.0,66.0,3.0,2.0,16.0,3.0,71.0,2.0,Toledo,4,14.5,6.25,38.5,13.75,0.75,1.75,16.5,0.75,0.5,4.0,0.75,17.75
10/31/2013,Miami (OH),3-2,5.0,0,67.0,28.0,187.0,0.209,60.0,2.0,5.0,85.0,6.0,3.0,22.0,5.0,83.0,2.0,Miami ,5,13.4,5.6,37.4,12.0,0.4,1.0,17.0,1.2,0.6,4.4,1.0,16.6
11/02/2013,@ Western Mich.,1-3,4.0,0,54.0,30.0,153.0,0.157,52.0,2.0,6.0,63.0,4.0,1.0,10.0,3.0,62.0,5.0,Western Mich.,4,13.5,7.5,38.25,13.0,0.5,1.5,15.75,1.0,0.25,2.5,0.75,15.5
11/08/2013,Ohio,2-3,5.0,0,66.0,26.0,175.0,0.229,64.0,5.0,9.0,84.0,6.0,1.0,16.0,3.0,80.0,2.0,Ohio,5,13.2,5.2,35.0,12.8,1.0,1.8,16.8,1.2,0.2,3.2,0.6,16.0
11/09/2013,Kent St.,3-1,4.0,0,64.0,15.0,163.0,0.301,61.0,6.0,11.0,71.0,6.0,1.0,16.0,4.0,79.0,4.0,Kent St.,4,16.0,3.75,40.75,15.25,1.5,2.75,17.75,1.5,0.25,4.0,1.0,19.75
11/15/2013,@ Akron,3-1,4.0,0,59.0,20.0,154.0,0.253,57.0,6.0,7.0,69.0,2.0,4.0,12.0,4.0,75.0,0.0,Akron,4,14.75,5.0,38.5,14.25,1.5,1.75,17.25,0.5,1.0,3.0,1.0,18.75
