date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,"Kansas @ Tucson, Ariz.",3-1,4.0,0,59.0,23.0,178.0,0.202,55.0,0.0,9.0,70.0,3.0,4.0,8.0,0.0,67.0,1.0,Kansas
08/31/2013,@ Arizona,1-3,4.0,0,45.0,29.0,159.0,0.101,44.0,10.0,8.0,68.0,9.0,1.0,6.0,1.0,59.0,0.0,Arizona
08/31/2013,Morgan St.,3-0,3.0,0,39.0,13.0,82.0,0.317,36.0,8.0,10.0,34.0,4.0,1.0,4.0,1.0,50.0,0.0,Morgan St.
09/05/2013,Ark.-Pine Bluff,3-0,3.0,0,33.0,6.0,73.0,0.37,30.0,19.0,8.0,28.0,0.0,0.0,2.0,0.0,53.0,0.0,Ark.-Pine Bluff
09/06/2013,ULM,3-0,3.0,0,45.0,8.0,81.0,0.457,42.0,3.0,5.0,35.0,3.0,3.0,10.0,0.0,56.0,0.0,ULM
09/06/2013,Jackson St.,3-1,4.0,0,64.0,17.0,119.0,0.395,61.0,11.0,10.0,42.0,6.0,2.0,2.0,0.0,78.0,0.0,Jackson St.
09/07/2013,UTRGV,3-0,3.0,0,43.0,11.0,90.0,0.356,42.0,4.0,8.0,43.0,7.0,5.0,6.0,0.0,55.0,0.0,UTRGV
09/13/2013,@ FGCU,3-1,4.0,0,54.0,23.0,188.0,0.165,49.0,8.0,5.0,69.0,3.0,4.0,10.0,0.0,71.0,1.0,FGCU
09/14/2013,"Penn St. @ Fort Myers, Fla.",0-3,3.0,0,35.0,19.0,106.0,0.151,34.0,0.0,8.0,36.0,8.0,1.0,4.0,0.0,38.0,0.0,Penn St.
09/14/2013,"Marquette @ Fort Myers, Fla.",2-3,5.0,0,58.0,32.0,169.0,0.154,55.0,7.0,5.0,63.0,6.0,1.0,4.0,2.0,68.0,1.0,Marquette
09/19/2013,Abilene Christian,3-0,3.0,0,48.0,11.0,91.0,0.407,46.0,11.0,11.0,41.0,0.0,4.0,2.0,0.0,64.0,1.0,Abilene Christian
09/20/2013,Louisiana Tech,3-0,3.0,0,41.0,16.0,98.0,0.255,39.0,8.0,6.0,36.0,5.0,0.0,14.0,0.0,56.0,0.0,Louisiana Tech
09/21/2013,UIW,3-0,3.0,0,50.0,7.0,101.0,0.426,45.0,4.0,7.0,51.0,3.0,1.0,8.0,0.0,59.0,0.0,UIW
