date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,Central Conn. St.,3-0,3.0,0,51.0,12.0,114.0,0.342,45.0,6.0,6.0,56.0,3.0,0.0,4.0,0.0,59.0,0.0,Central Conn. St.
08/31/2013,@ St. John's (NY),3-0,3.0,0,44.0,6.0,103.0,0.369,40.0,3.0,9.0,48.0,3.0,4.0,10.0,0.0,56.0,0.0,St. John's 
08/31/2013,Binghamton,3-1,4.0,0,53.0,18.0,131.0,0.267,52.0,9.0,7.0,55.0,7.0,2.0,14.0,0.0,71.0,0.0,Binghamton
09/06/2013,"Seton Hall @ New Haven, CT",3-2,5.0,0,72.0,17.0,198.0,0.278,72.0,8.0,7.0,95.0,6.0,5.0,4.0,0.0,87.0,1.0,Seton Hall
09/07/2013,"Missouri @ New Haven, CT",0-3,3.0,0,28.0,12.0,104.0,0.154,28.0,3.0,5.0,44.0,6.0,4.0,0.0,0.0,35.0,0.0,Missouri
09/07/2013,@ Yale,0-3,3.0,0,31.0,14.0,109.0,0.156,30.0,7.0,5.0,44.0,4.0,3.0,4.0,0.0,43.0,2.0,Yale
09/13/2013,"Fairfield @ Brooklyn, N.Y.",3-1,4.0,0,54.0,16.0,179.0,0.212,49.0,7.0,14.0,88.0,6.0,2.0,18.0,4.0,72.0,0.0,Fairfield
09/14/2013,@ LIU,2-3,5.0,0,64.0,23.0,187.0,0.219,62.0,10.0,4.0,101.0,6.0,2.0,22.0,4.0,87.0,1.0,LIU
09/14/2013,"Cornell @ Brooklyn, N.Y.",3-0,3.0,0,39.0,7.0,92.0,0.348,35.0,5.0,4.0,41.0,5.0,2.0,12.0,1.0,52.0,0.0,Cornell
09/20/2013,"VCU @ Raleigh, N.C.",2-3,5.0,0,62.0,28.0,163.0,0.209,58.0,5.0,6.0,67.0,12.0,1.0,8.0,2.0,72.0,2.0,VCU
09/21/2013,"Wisconsin @ Raleigh, N.C.",0-3,3.0,0,23.0,12.0,110.0,0.1,22.0,2.0,3.0,47.0,6.0,1.0,0.0,0.0,26.0,0.0,Wisconsin
09/21/2013,@ NC State,3-2,5.0,0,63.0,23.0,187.0,0.214,61.0,5.0,3.0,94.0,6.0,1.0,10.0,3.0,74.0,2.0,NC State
09/27/2013,Army West Point,3-1,4.0,0,50.0,21.0,168.0,0.173,50.0,5.0,9.0,88.0,4.0,7.0,0.0,0.0,62.0,1.0,Army West Point
09/28/2013,Holy Cross,3-0,3.0,0,46.0,13.0,103.0,0.32,44.0,7.0,5.0,59.0,3.0,1.0,2.0,0.0,55.0,0.0,Holy Cross
10/04/2013,@ Lehigh,3-1,4.0,0,62.0,15.0,161.0,0.292,59.0,4.0,6.0,81.0,5.0,6.0,2.0,1.0,73.0,0.0,Lehigh
10/05/2013,@ Navy,3-1,4.0,0,57.0,31.0,157.0,0.166,52.0,4.0,5.0,61.0,3.0,6.0,4.0,3.0,69.0,0.0,Navy
10/11/2013,American,2-3,5.0,0,55.0,32.0,159.0,0.145,55.0,7.0,11.0,72.0,6.0,8.0,6.0,0.0,73.0,0.0,American
10/12/2013,Loyola Maryland,3-1,4.0,0,39.0,24.0,123.0,0.122,38.0,9.0,5.0,51.0,7.0,6.0,12.0,0.0,60.0,0.0,Loyola Maryland
10/16/2013,UAlbany,3-0,3.0,0,47.0,15.0,127.0,0.252,44.0,3.0,7.0,66.0,2.0,2.0,9.0,0.0,56.5,0.0,UAlbany
10/18/2013,@ Bucknell,3-0,3.0,0,48.0,14.0,105.0,0.324,43.0,6.0,7.0,38.0,6.0,4.0,8.0,0.0,62.0,0.0,Bucknell
10/19/2013,@ Lafayette,3-0,3.0,0,36.0,15.0,91.0,0.231,36.0,9.0,2.0,52.0,5.0,1.0,10.0,2.0,51.0,0.0,Lafayette
10/22/2013,Bucknell,3-0,3.0,0,41.0,8.0,78.0,0.423,37.0,7.0,5.0,36.0,1.0,3.0,6.0,0.0,54.0,0.0,Bucknell
10/26/2013,Lafayette,3-0,3.0,0,37.0,12.0,89.0,0.281,32.0,13.0,6.0,49.0,2.0,1.0,8.0,0.0,55.0,0.0,Lafayette
11/02/2013,@ Army West Point,3-0,3.0,0,40.0,11.0,114.0,0.254,39.0,7.0,6.0,58.0,1.0,0.0,4.0,2.0,49.0,0.0,Army West Point
11/03/2013,@ Holy Cross,3-0,3.0,0,38.0,17.0,95.0,0.221,37.0,8.0,4.0,50.0,8.0,5.0,6.0,3.0,54.0,0.0,Holy Cross
11/08/2013,Navy,3-2,5.0,0,67.0,31.0,190.0,0.189,65.0,7.0,11.0,84.0,3.0,1.0,29.0,0.0,89.5,0.0,Navy
11/09/2013,Lehigh,0-3,3.0,0,36.0,21.0,126.0,0.119,34.0,2.0,4.0,56.0,7.0,2.0,14.0,0.0,47.0,0.0,Lehigh
11/15/2013,@ Loyola Maryland,3-1,4.0,0,50.0,14.0,125.0,0.288,46.0,9.0,7.0,50.0,6.0,4.0,8.0,2.0,67.0,0.0,Loyola Maryland
11/16/2013,@ American,0-3,3.0,0,41.0,16.0,97.0,0.258,41.0,0.0,6.0,36.0,6.0,2.0,10.0,1.0,48.0,0.0,American
11/23/2013,"Army West Point @ Washington, D.C.",3-0,3.0,0,39.0,13.0,116.0,0.224,37.0,4.0,7.0,54.0,3.0,4.0,2.0,3.0,48.0,0.0,Army West Point
11/24/2013,@ American,0-3,3.0,0,45.0,16.0,133.0,0.218,43.0,4.0,2.0,58.0,3.0,2.0,8.0,1.0,55.0,0.0,American
