date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,@ Canisius,3-1,4.0,0,66.0,30.0,194.0,0.186,61.0,5.0,10.0,89.0,6.0,2.0,10.0,4.0,78.0,1.0,Canisius
08/30/2013,"Hartford @ Buffalo, N.Y.",3-2,5.0,0,55.0,17.0,172.0,0.221,55.0,7.0,9.0,80.0,5.0,2.0,22.0,4.0,75.0,0.0,Hartford
08/31/2013,"Cleveland St. @ Buffalo, N.Y.",1-3,4.0,0,53.0,24.0,171.0,0.17,47.0,5.0,6.0,63.0,9.0,1.0,10.0,5.0,64.0,1.0,Cleveland St.
09/04/2013,Oregon St.,2-3,5.0,0,56.0,27.0,200.0,0.145,53.0,9.0,10.0,82.0,3.0,1.0,20.0,0.0,76.0,1.0,Oregon St.
09/06/2013,@ Valparaiso,2-3,5.0,0,56.0,27.0,179.0,0.162,53.0,9.0,8.0,75.0,6.0,0.0,20.0,3.0,75.0,1.0,Valparaiso
09/07/2013,"Army West Point @ Valparaiso, Ind.",3-1,4.0,0,56.0,17.0,182.0,0.214,51.0,2.0,6.0,97.0,3.0,1.0,20.0,1.0,69.0,0.0,Army West Point
09/07/2013,"Iowa @ Valparaiso, Ind.",1-3,4.0,0,41.0,22.0,153.0,0.124,36.0,6.0,10.0,59.0,8.0,0.0,16.0,0.0,55.0,0.0,Iowa
09/10/2013,Oakland,3-0,3.0,0,42.0,14.0,122.0,0.23,40.0,5.0,10.0,58.0,6.0,1.0,16.0,0.0,56.0,0.0,Oakland
09/13/2013,"Bryant @ Providence, R.I.",3-0,3.0,0,30.0,8.0,76.0,0.289,29.0,13.0,5.0,31.0,3.0,1.0,11.0,1.0,49.5,0.0,Bryant
09/14/2013,"Holy Cross @ Providence, R.I.",3-0,3.0,0,40.0,11.0,90.0,0.322,38.0,9.0,8.0,45.0,6.0,1.0,16.0,0.0,58.0,0.0,Holy Cross
09/14/2013,@ Brown,3-0,3.0,0,36.0,8.0,105.0,0.267,33.0,8.0,4.0,50.0,5.0,1.0,16.0,1.0,53.0,1.0,Brown
09/17/2013,Purdue Fort Wayne,3-0,3.0,0,37.0,10.0,100.0,0.27,32.0,4.0,6.0,43.0,2.0,1.0,16.0,0.0,50.0,1.0,Purdue Fort Wayne
09/20/2013,@ Michigan St.,0-3,3.0,0,27.0,15.0,93.0,0.129,26.0,4.0,6.0,33.0,4.0,0.0,6.0,0.0,34.0,0.0,Michigan St.
09/21/2013,"Cincinnati @ East Lansing, Mich.",3-0,3.0,0,41.0,13.0,97.0,0.289,36.0,6.0,16.0,36.0,3.0,0.0,10.0,3.0,52.0,0.0,Cincinnati
09/21/2013,"Duquesne @ East Lansing, MI",3-1,4.0,0,61.0,18.0,162.0,0.265,60.0,8.0,5.0,58.0,3.0,1.0,20.0,2.0,80.0,1.0,Duquesne
09/27/2013,Ball St.,0-3,3.0,0,20.0,15.0,106.0,0.047,19.0,3.0,4.0,36.0,6.0,0.0,19.0,2.0,32.5,0.0,Ball St.
09/28/2013,Toledo,3-1,4.0,0,52.0,15.0,166.0,0.223,49.0,6.0,13.0,79.0,6.0,1.0,18.0,2.0,68.0,1.0,Toledo
10/04/2013,@ NIU,1-3,4.0,0,46.0,25.0,160.0,0.131,43.0,3.0,11.0,66.0,4.0,2.0,14.0,1.0,58.0,1.0,NIU
10/05/2013,@ Western Mich.,1-3,4.0,0,50.0,25.0,171.0,0.146,46.0,5.0,13.0,66.0,5.0,0.0,17.0,3.0,63.5,1.0,Western Mich.
10/10/2013,Central Mich.,0-3,3.0,0,33.0,19.0,115.0,0.122,29.0,4.0,8.0,44.0,1.0,1.0,10.0,0.0,43.0,1.0,Central Mich.
10/12/2013,Ohio,1-3,4.0,0,38.0,23.0,162.0,0.093,35.0,6.0,7.0,72.0,7.0,0.0,6.0,1.0,47.0,1.0,Ohio
10/17/2013,@ Miami (OH),2-3,5.0,0,67.0,22.0,227.0,0.198,62.0,8.0,8.0,117.0,5.0,0.0,12.0,2.0,81.0,1.0,Miami 
10/18/2013,@ Bowling Green,3-2,5.0,0,62.0,18.0,183.0,0.24,59.0,3.0,13.0,95.0,3.0,0.0,24.0,1.0,77.0,1.0,Bowling Green
10/25/2013,Akron,3-0,3.0,0,41.0,8.0,112.0,0.295,36.0,3.0,6.0,52.0,3.0,1.0,14.0,0.0,52.0,0.0,Akron
10/26/2013,Buffalo,3-1,4.0,0,55.0,21.0,149.0,0.228,50.0,4.0,7.0,73.0,3.0,0.0,18.0,1.0,68.0,0.0,Buffalo
11/01/2013,@ Toledo,1-3,4.0,0,52.0,23.0,173.0,0.168,51.0,1.0,4.0,86.0,3.0,1.0,10.0,2.0,59.0,2.0,Toledo
11/02/2013,@ Ball St.,0-3,3.0,0,31.0,25.0,152.0,0.039,26.0,1.0,2.0,81.0,1.0,0.0,8.0,2.0,36.0,0.0,Ball St.
11/08/2013,Western Mich.,1-3,4.0,0,56.0,20.0,190.0,0.189,52.0,5.0,7.0,95.0,3.0,2.0,16.0,2.0,71.0,1.0,Western Mich.
11/09/2013,NIU,1-3,4.0,0,54.0,24.0,160.0,0.188,52.0,4.0,9.0,80.0,7.0,3.0,4.0,3.0,63.0,0.0,NIU
11/14/2013,@ Central Mich.,3-0,3.0,0,31.0,11.0,95.0,0.211,30.0,4.0,6.0,49.0,2.0,1.0,22.0,1.0,47.0,1.0,Central Mich.
11/16/2013,@ Kent St.,3-1,4.0,0,51.0,21.0,147.0,0.204,47.0,8.0,4.0,80.0,3.0,2.0,20.0,0.0,71.0,1.0,Kent St.
11/22/2013,"Toledo @ Geneva, OH",3-2,5.0,0,72.0,34.0,202.0,0.188,69.0,4.0,8.0,80.0,4.0,0.0,21.0,4.0,86.5,1.0,Toledo
11/23/2013,"Western Mich. @ Geneva, Ohio",3-0,3.0,0,52.0,21.0,167.0,0.186,48.0,7.0,3.0,74.0,0.0,3.0,10.0,0.0,67.0,0.0,Western Mich.
11/24/2013,"Ohio @ Geneva, Ohio",0-3,3.0,0,33.0,11.0,111.0,0.198,32.0,5.0,4.0,47.0,5.0,0.0,0.0,1.0,38.0,1.0,Ohio
