date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
09/06/2013,Holy Cross,3-2,5.0,0,60.0,28.0,181.0,0.177,56.0,8.0,12.0,77.0,3.0,2.0,30.0,3.0,85.0,0.0,Holy Cross
09/07/2013,Hofstra,3-1,4.0,0,51.0,33.0,145.0,0.124,48.0,7.0,7.0,61.0,5.0,1.0,32.0,2.0,75.0,0.0,Hofstra
09/13/2013,@ San Diego St.,1-3,4.0,0,32.0,21.0,112.0,0.098,32.0,7.0,9.0,41.0,5.0,0.0,16.0,5.0,47.0,1.0,San Diego St.
09/14/2013,"SMU @ San Diego, Calif.",3-2,5.0,0,57.0,23.0,152.0,0.224,53.0,7.0,13.0,49.0,6.0,1.0,18.0,3.0,74.0,1.0,SMU
09/14/2013,"San Francisco @ San Diego, Calif.",1-3,4.0,0,45.0,22.0,121.0,0.19,40.0,3.0,8.0,43.0,8.0,2.0,14.0,1.0,57.0,2.0,San Francisco
09/18/2013,UMass Lowell,3-0,3.0,0,37.0,10.0,77.0,0.351,35.0,13.0,9.0,36.0,1.0,0.0,2.0,0.0,51.0,0.0,UMass Lowell
09/21/2013,@ Northeastern,1-3,4.0,0,37.0,24.0,154.0,0.084,35.0,5.0,6.0,72.0,4.0,2.0,22.0,2.0,55.0,2.0,Northeastern
09/22/2013,@ Boston College,3-1,4.0,0,54.0,15.0,121.0,0.322,50.0,3.0,16.0,46.0,5.0,1.0,8.0,0.0,62.0,0.0,Boston College
09/24/2013,New Hampshire,2-3,5.0,0,66.0,23.0,183.0,0.235,64.0,6.0,14.0,84.0,11.0,1.0,20.0,4.0,83.0,0.0,New Hampshire
09/27/2013,Dartmouth,3-0,3.0,0,47.0,10.0,107.0,0.346,45.0,6.0,6.0,50.0,1.0,0.0,10.0,0.0,58.0,0.0,Dartmouth
10/04/2013,@ Yale,0-3,3.0,0,15.0,18.0,90.0,-0.033,15.0,3.0,8.0,27.0,8.0,2.0,6.0,0.0,23.0,1.0,Yale
10/05/2013,@ Brown,2-3,5.0,0,61.0,22.0,158.0,0.247,57.0,5.0,11.0,65.0,5.0,1.0,16.0,6.0,75.0,0.0,Brown
10/11/2013,Cornell,3-1,4.0,0,59.0,26.0,147.0,0.224,53.0,6.0,9.0,70.0,2.0,2.0,12.0,3.0,73.0,0.0,Cornell
10/12/2013,Columbia,3-0,3.0,0,47.0,21.0,115.0,0.226,42.0,7.0,4.0,50.0,1.0,0.0,8.0,1.0,58.0,0.0,Columbia
10/18/2013,@ Penn,3-1,4.0,0,55.0,18.0,160.0,0.231,53.0,7.0,14.0,68.0,4.0,0.0,20.0,3.0,72.0,3.0,Penn
10/19/2013,@ Princeton,3-0,3.0,0,43.0,13.0,107.0,0.28,42.0,8.0,6.0,39.0,5.0,0.0,8.0,3.0,55.0,2.0,Princeton
10/25/2013,@ Dartmouth,2-3,5.0,0,67.0,33.0,185.0,0.184,62.0,6.0,14.0,75.0,7.0,1.0,8.0,0.0,78.0,0.0,Dartmouth
11/01/2013,Brown,3-1,4.0,0,54.0,17.0,130.0,0.285,49.0,6.0,14.0,55.0,0.0,3.0,16.0,2.0,71.0,0.0,Brown
11/02/2013,Yale,3-2,5.0,0,79.0,23.0,164.0,0.341,74.0,4.0,12.0,76.0,7.0,2.0,14.0,1.0,92.0,0.0,Yale
11/08/2013,Princeton,3-0,3.0,0,43.0,10.0,100.0,0.33,43.0,7.0,8.0,51.0,3.0,2.0,12.0,1.0,58.0,0.0,Princeton
11/09/2013,Penn,2-3,5.0,0,56.0,27.0,170.0,0.171,55.0,5.0,9.0,69.0,6.0,2.0,24.0,3.0,75.0,0.0,Penn
11/15/2013,@ Columbia,1-3,4.0,0,55.0,28.0,146.0,0.185,51.0,6.0,11.0,59.0,6.0,0.0,12.0,3.0,67.0,2.0,Columbia
11/16/2013,@ Cornell,3-0,3.0,0,40.0,19.0,118.0,0.178,40.0,5.0,5.0,56.0,1.0,1.0,18.0,0.0,55.0,1.0,Cornell
