date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,Omaha,1-3,4.0,0,47.0,37.0,169.0,0.059,45.0,3.0,7.0,75.0,3.0,1.0,10.0,2.0,56.0,0.0,Omaha
08/31/2013,Louisiana,3-0,3.0,0,49.0,12.0,120.0,0.308,46.0,2.0,9.0,60.0,2.0,1.0,10.0,3.0,57.0,2.0,Louisiana
08/31/2013,UTRGV,3-2,5.0,0,61.0,28.0,168.0,0.196,56.0,11.0,16.0,81.0,7.0,1.0,14.0,2.0,80.0,1.0,UTRGV
09/03/2013,Prairie View,3-0,3.0,0,42.0,18.0,95.0,0.253,41.0,3.0,4.0,47.0,1.0,0.0,14.0,4.0,52.0,1.0,Prairie View
09/05/2013,@ FIU,1-3,4.0,0,47.0,29.0,164.0,0.11,41.0,3.0,9.0,62.0,2.0,1.0,14.0,0.0,58.0,0.0,FIU
09/06/2013,"Alabama @ Miami, Fla.",3-0,3.0,0,38.0,15.0,116.0,0.198,36.0,4.0,9.0,50.0,3.0,0.0,4.0,0.0,44.0,0.0,Alabama
09/06/2013,"UNCW @ Miami, Fla.",1-3,4.0,0,46.0,28.0,140.0,0.129,43.0,2.0,4.0,53.0,4.0,2.0,6.0,0.0,53.0,0.0,UNCW
09/10/2013,@ Prairie View,3-0,3.0,0,42.0,8.0,76.0,0.447,37.0,4.0,3.0,30.0,4.0,4.0,4.0,0.0,52.0,0.0,Prairie View
09/13/2013,"NC State @ Houston, Texas",1-3,4.0,0,42.0,17.0,142.0,0.176,40.0,3.0,13.0,62.0,4.0,0.0,10.0,1.0,50.0,2.0,NC State
09/13/2013,@ Rice,1-3,4.0,0,52.0,24.0,162.0,0.173,46.0,7.0,9.0,77.0,5.0,2.0,14.0,4.0,68.0,3.0,Rice
09/14/2013,"Missouri @ Houston, Texas",0-3,3.0,0,40.0,16.0,104.0,0.231,35.0,2.0,8.0,34.0,1.0,0.0,2.0,2.0,43.0,0.0,Missouri
09/19/2013,A&M-Corpus Christi,0-3,3.0,0,38.0,20.0,129.0,0.14,38.0,2.0,3.0,46.0,3.0,0.0,12.0,1.0,46.0,1.0,A&M-Corpus Christi
09/21/2013,@ UTSA,0-3,3.0,0,34.0,23.0,144.0,0.076,32.0,1.0,4.0,54.0,0.0,0.0,4.0,4.0,37.0,1.0,UTSA
09/26/2013,@ Lamar University,2-3,5.0,0,55.0,26.0,172.0,0.169,52.0,9.0,9.0,64.0,9.0,2.0,14.0,2.0,73.0,4.0,Lamar University
09/28/2013,@ Sam Houston,0-3,3.0,0,45.0,20.0,133.0,0.188,44.0,5.0,3.0,61.0,3.0,0.0,4.0,0.0,52.0,0.0,Sam Houston
10/01/2013,@ Nicholls,3-0,3.0,0,46.0,15.0,106.0,0.292,45.0,3.0,7.0,44.0,3.0,0.0,12.0,5.0,55.0,3.0,Nicholls
10/03/2013,Abilene Christian,3-2,5.0,0,61.0,39.0,213.0,0.103,54.0,7.0,5.0,91.0,2.0,1.0,25.0,8.0,81.5,2.0,Abilene Christian
10/05/2013,UIW,1-3,4.0,0,49.0,14.0,145.0,0.241,45.0,2.0,8.0,64.0,4.0,1.0,10.0,2.0,57.0,2.0,UIW
10/10/2013,@ Southeastern La.,3-2,5.0,0,60.0,29.0,192.0,0.161,54.0,6.0,11.0,90.0,3.0,3.0,2.0,3.0,70.0,0.0,Southeastern La.
10/12/2013,@ New Orleans,3-0,3.0,0,42.0,9.0,88.0,0.375,39.0,6.0,7.0,40.0,1.0,3.0,4.0,0.0,53.0,0.0,New Orleans
10/17/2013,Northwestern St.,1-3,4.0,0,43.0,25.0,156.0,0.115,41.0,3.0,9.0,74.0,5.0,4.0,8.0,5.0,54.0,2.0,Northwestern St.
10/19/2013,SFA,3-2,5.0,0,64.0,23.0,154.0,0.266,62.0,6.0,5.0,77.0,6.0,0.0,19.0,4.0,79.5,3.0,SFA
10/24/2013,@ Central Ark.,1-3,4.0,0,55.0,22.0,143.0,0.231,55.0,3.0,5.0,61.0,6.0,2.0,12.0,0.0,66.0,2.0,Central Ark.
10/26/2013,@ Oral Roberts,0-3,3.0,0,36.0,23.0,115.0,0.113,34.0,2.0,1.0,43.0,1.0,1.0,2.0,4.0,40.0,0.0,Oral Roberts
10/31/2013,McNeese,3-1,4.0,0,72.0,20.0,155.0,0.335,67.0,4.0,8.0,67.0,2.0,0.0,19.0,3.0,85.5,1.0,McNeese
11/02/2013,Nicholls,3-2,5.0,0,58.0,25.0,165.0,0.2,54.0,7.0,2.0,69.0,9.0,2.0,14.0,4.0,74.0,3.0,Nicholls
11/07/2013,Rice,0-3,3.0,0,31.0,22.0,107.0,0.084,30.0,3.0,5.0,35.0,4.0,2.0,6.0,3.0,39.0,1.0,Rice
11/09/2013,@ A&M-Corpus Christi,3-0,3.0,0,46.0,17.0,133.0,0.218,43.0,4.0,4.0,68.0,2.0,1.0,10.0,3.0,56.0,2.0,A&M-Corpus Christi
11/12/2013,@ McNeese,2-3,5.0,0,67.0,29.0,181.0,0.21,65.0,8.0,5.0,67.0,2.0,1.0,6.0,1.0,79.0,0.0,McNeese
11/14/2013,Sam Houston,0-3,3.0,0,30.0,21.0,96.0,0.094,29.0,1.0,5.0,34.0,5.0,0.0,6.0,3.0,34.0,2.0,Sam Houston
11/16/2013,Lamar University,3-0,3.0,0,52.0,18.0,133.0,0.256,48.0,4.0,7.0,57.0,3.0,1.0,6.0,1.0,60.0,1.0,Lamar University
11/22/2013,"Oral Roberts @ Corpus Christi, TX",3-1,4.0,0,57.0,24.0,173.0,0.191,53.0,4.0,9.0,82.0,5.0,3.0,10.0,0.0,69.0,2.0,Oral Roberts
