date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,"South Dakota @ Columbia, Mo.",1-3,4.0,0,55.0,31.0,161.0,0.149,53.0,2.0,5.0,59.0,2.0,1.0,8.0,5.0,62.0,3.0,South Dakota
08/30/2013,"Arkansas St. @ Columbia, Mo.",3-0,3.0,0,45.0,15.0,100.0,0.3,43.0,7.0,6.0,31.0,6.0,0.0,12.0,4.0,58.0,0.0,Arkansas St.
08/31/2013,@ Missouri,0-3,3.0,0,36.0,18.0,90.0,0.2,33.0,6.0,3.0,30.0,11.0,0.0,4.0,0.0,44.0,0.0,Missouri
08/31/2013,"Pittsburgh @ Columbia, Mo.",3-0,3.0,0,38.0,11.0,84.0,0.321,36.0,3.0,5.0,30.0,3.0,2.0,20.0,1.0,53.0,1.0,Pittsburgh
09/06/2013,@ New Mexico,0-3,3.0,0,26.0,22.0,98.0,0.041,25.0,1.0,4.0,31.0,4.0,1.0,6.0,1.0,31.0,0.0,New Mexico
09/06/2013,"Georgia Tech @ Albuquerque, N.M.",3-0,3.0,0,42.0,16.0,109.0,0.239,40.0,4.0,8.0,45.0,4.0,0.0,14.0,3.0,53.0,1.0,Georgia Tech
09/07/2013,@ UC Riverside,3-0,3.0,0,41.0,11.0,103.0,0.291,39.0,5.0,7.0,50.0,1.0,1.0,16.0,2.0,55.0,0.0,UC Riverside
09/10/2013,Montana Western,3-0,3.0,0,52.0,18.0,113.0,0.301,48.0,4.0,7.0,47.0,1.0,3.0,10.0,0.0,64.0,0.0,Montana Western
09/13/2013,@ Utah Valley,3-2,5.0,0,65.0,21.0,163.0,0.27,62.0,7.0,5.0,84.0,6.0,0.0,15.0,1.0,79.5,1.0,Utah Valley
09/14/2013,"Utah @ Orem, Utah",1-3,4.0,0,40.0,26.0,137.0,0.102,37.0,4.0,4.0,49.0,9.0,1.0,9.0,1.0,49.5,1.0,Utah
09/14/2013,"UC Irvine @ Orem, Utah",1-3,4.0,0,59.0,22.0,146.0,0.253,56.0,7.0,10.0,69.0,7.0,2.0,2.0,6.0,69.0,0.0,UC Irvine
09/19/2013,@ Northern Ariz.,2-3,5.0,0,70.0,39.0,185.0,0.168,67.0,8.0,6.0,82.0,5.0,1.0,24.0,1.0,91.0,1.0,Northern Ariz.
09/21/2013,@ Southern Utah,3-0,3.0,0,37.0,26.0,114.0,0.096,35.0,12.0,6.0,48.0,0.0,0.0,10.0,0.0,54.0,1.0,Southern Utah
09/26/2013,@ Northern Colo.,3-0,3.0,0,50.0,12.0,115.0,0.33,47.0,7.0,1.0,51.0,1.0,0.0,6.0,2.0,60.0,2.0,Northern Colo.
09/28/2013,@ North Dakota,1-3,4.0,0,53.0,27.0,147.0,0.177,50.0,6.0,6.0,50.0,1.0,2.0,6.0,4.0,64.0,0.0,North Dakota
10/04/2013,Montana St.,3-0,3.0,0,40.0,18.0,94.0,0.234,37.0,2.0,6.0,38.0,2.0,3.0,22.0,0.0,56.0,0.0,Montana St.
10/05/2013,Montana,3-0,3.0,0,50.0,17.0,101.0,0.327,47.0,5.0,4.0,39.0,0.0,3.0,16.0,0.0,66.0,0.0,Montana
10/09/2013,@ Weber St.,3-2,5.0,0,56.0,28.0,139.0,0.201,51.0,5.0,11.0,46.0,5.0,10.0,6.0,1.0,74.0,1.0,Weber St.
10/12/2013,Sacramento St.,3-0,3.0,0,49.0,12.0,98.0,0.378,39.0,7.0,4.0,29.0,2.0,2.0,14.0,0.0,65.0,0.0,Sacramento St.
10/17/2013,@ Portland St.,1-3,4.0,0,54.0,25.0,162.0,0.179,48.0,2.0,3.0,83.0,9.0,0.0,8.0,3.0,60.0,2.0,Portland St.
10/19/2013,@ Eastern Wash.,3-1,4.0,0,55.0,22.0,142.0,0.232,53.0,6.0,5.0,66.0,5.0,2.0,14.0,4.0,70.0,1.0,Eastern Wash.
10/25/2013,Southern Utah,3-0,3.0,0,42.0,18.0,100.0,0.24,38.0,8.0,8.0,37.0,2.0,3.0,2.0,0.0,54.0,0.0,Southern Utah
10/26/2013,Northern Ariz.,2-3,5.0,0,84.0,24.0,163.0,0.368,83.0,5.0,5.0,55.0,4.0,4.0,6.0,0.0,96.0,0.0,Northern Ariz.
11/01/2013,North Dakota,2-3,5.0,0,63.0,28.0,172.0,0.203,57.0,7.0,5.0,56.0,2.0,5.0,16.0,0.0,83.0,0.0,North Dakota
11/02/2013,Northern Colo.,3-0,3.0,0,47.0,22.0,122.0,0.205,44.0,8.0,4.0,46.0,2.0,1.0,14.0,0.0,63.0,0.0,Northern Colo.
