date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,"Gardner-Webb @ Nashville, Tenn.",3-0,3.0,0,35.0,14.0,107.0,0.196,34.0,3.0,3.0,49.0,1.0,0.0,12.0,2.0,44.0,0.0,Gardner-Webb,3,11.666666666666666,4.666666666666667,35.666666666666664,11.333333333333334,1.0,1.0,16.333333333333332,0.3333333333333333,0.0,4.0,0.6666666666666666,14.666666666666666
08/31/2013,"Memphis @ Nashville, Tenn.",3-1,4.0,0,52.0,19.0,162.0,0.204,49.0,11.0,6.0,70.0,2.0,1.0,30.0,1.0,79.0,1.0,Memphis,4,13.0,4.75,40.5,12.25,2.75,1.5,17.5,0.5,0.25,7.5,0.25,19.75
08/31/2013,@ Belmont,3-0,3.0,0,29.0,7.0,81.0,0.272,28.0,1.0,6.0,46.0,6.0,3.0,14.0,0.0,40.0,0.0,Belmont,3,9.666666666666666,2.3333333333333335,27.0,9.333333333333334,0.3333333333333333,2.0,15.333333333333334,2.0,1.0,4.666666666666667,0.0,13.333333333333334
09/06/2013,Evansville,3-0,3.0,0,47.0,14.0,116.0,0.284,43.0,3.0,3.0,60.0,0.0,2.0,6.0,2.0,55.0,1.0,Evansville,3,15.666666666666666,4.666666666666667,38.666666666666664,14.333333333333334,1.0,1.0,20.0,0.0,0.6666666666666666,2.0,0.6666666666666666,18.333333333333332
09/07/2013,Northern Ky.,3-2,5.0,0,74.0,25.0,202.0,0.243,68.0,7.0,10.0,77.0,2.0,3.0,20.0,2.0,94.0,0.0,Northern Ky.,5,14.8,5.0,40.4,13.6,1.4,2.0,15.4,0.4,0.6,4.0,0.4,18.8
09/10/2013,@ Xavier,0-3,3.0,0,38.0,15.0,115.0,0.2,36.0,2.0,4.0,43.0,3.0,1.0,6.0,0.0,44.0,2.0,Xavier,3,12.666666666666666,5.0,38.333333333333336,12.0,0.6666666666666666,1.3333333333333333,14.333333333333334,1.0,0.3333333333333333,2.0,0.0,14.666666666666666
09/13/2013,@ Saint Louis,3-2,5.0,0,62.0,25.0,171.0,0.216,52.0,8.0,7.0,59.0,3.0,2.0,18.0,0.0,81.0,2.0,Saint Louis,5,12.4,5.0,34.2,10.4,1.6,1.4,11.8,0.6,0.4,3.6,0.0,16.2
09/14/2013,"Bradley @ St. Louis, MO",3-2,5.0,0,65.0,20.0,162.0,0.278,60.0,5.0,8.0,68.0,5.0,0.0,26.0,2.0,83.0,1.0,Bradley,5,13.0,4.0,32.4,12.0,1.0,1.6,13.6,1.0,0.0,5.2,0.4,16.6
09/14/2013,"Youngstown St. @ St. Louis, MO",3-2,5.0,0,67.0,24.0,189.0,0.228,63.0,5.0,4.0,80.0,7.0,5.0,10.0,2.0,82.0,4.0,Youngstown St.,5,13.4,4.8,37.8,12.6,1.0,0.8,16.0,1.4,1.0,2.0,0.4,16.4
09/20/2013,"IUPUI @ Evanston, Ill.",1-3,4.0,0,59.0,20.0,150.0,0.26,55.0,3.0,8.0,67.0,7.0,2.0,12.0,0.0,70.0,4.0,IUPUI,4,14.75,5.0,37.5,13.75,0.75,2.0,16.75,1.75,0.5,3.0,0.0,17.5
09/20/2013,@ Northwestern,0-3,3.0,0,28.0,12.0,100.0,0.16,25.0,6.0,5.0,50.0,5.0,4.0,12.0,2.0,44.0,0.0,Northwestern,3,9.333333333333334,4.0,33.333333333333336,8.333333333333334,2.0,1.6666666666666667,16.666666666666668,1.6666666666666667,1.3333333333333333,4.0,0.6666666666666666,14.666666666666666
09/21/2013,"South Fla. @ Evanston, Ill.",1-3,4.0,0,60.0,21.0,176.0,0.222,53.0,2.0,13.0,74.0,6.0,3.0,8.0,0.0,69.0,1.0,South Fla.,4,15.0,5.25,44.0,13.25,0.5,3.25,18.5,1.5,0.75,2.0,0.0,17.25
09/26/2013,Bowling Green,2-3,5.0,0,59.0,28.0,192.0,0.161,56.0,5.0,4.0,76.0,3.0,2.0,26.0,2.0,79.0,2.0,Bowling Green,5,11.8,5.6,38.4,11.2,1.0,0.8,15.2,0.6,0.4,5.2,0.4,15.8
09/28/2013,Western Mich.,2-3,5.0,0,59.0,22.0,192.0,0.193,58.0,8.0,6.0,80.0,2.0,5.0,16.0,5.0,80.0,2.0,Western Mich.,5,11.8,4.4,38.4,11.6,1.6,1.2,16.0,0.4,1.0,3.2,1.0,16.0
10/04/2013,@ Ohio,1-3,4.0,0,40.0,26.0,141.0,0.099,37.0,4.0,8.0,62.0,5.0,3.0,8.0,1.0,51.0,0.0,Ohio,4,10.0,6.5,35.25,9.25,1.0,2.0,15.5,1.25,0.75,2.0,0.25,12.75
10/05/2013,@ Kent St.,0-3,3.0,0,38.0,16.0,113.0,0.195,35.0,7.0,7.0,39.0,9.0,1.0,16.0,0.0,54.0,1.0,Kent St.,3,12.666666666666666,5.333333333333333,37.666666666666664,11.666666666666666,2.3333333333333335,2.3333333333333335,13.0,3.0,0.3333333333333333,5.333333333333333,0.0,18.0
10/11/2013,Akron,3-0,3.0,0,39.0,14.0,97.0,0.258,34.0,4.0,12.0,30.0,2.0,4.0,16.0,2.0,55.0,0.0,Akron,3,13.0,4.666666666666667,32.333333333333336,11.333333333333334,1.3333333333333333,4.0,10.0,0.6666666666666666,1.3333333333333333,5.333333333333333,0.6666666666666666,18.333333333333332
10/12/2013,Buffalo,1-3,4.0,0,38.0,25.0,125.0,0.104,27.0,10.0,6.0,43.0,4.0,2.0,6.0,2.0,53.0,1.0,Buffalo,4,9.5,6.25,31.25,6.75,2.5,1.5,10.75,1.0,0.5,1.5,0.5,13.25
10/17/2013,Eastern Mich.,3-2,5.0,0,69.0,27.0,228.0,0.184,65.0,5.0,8.0,128.0,8.0,3.0,16.0,2.0,85.0,0.0,Eastern Mich.,5,13.8,5.4,45.6,13.0,1.0,1.6,25.6,1.6,0.6,3.2,0.4,17.0
10/18/2013,Central Mich.,1-3,4.0,0,50.0,27.0,149.0,0.154,46.0,3.0,13.0,58.0,4.0,5.0,10.0,0.0,63.0,0.0,Central Mich.,4,12.5,6.75,37.25,11.5,0.75,3.25,14.5,1.0,1.25,2.5,0.0,15.75
10/25/2013,@ Toledo,1-3,4.0,0,58.0,21.0,151.0,0.245,57.0,7.0,7.0,62.0,6.0,1.0,12.0,0.0,72.0,0.0,Toledo,4,14.5,5.25,37.75,14.25,1.75,1.75,15.5,1.5,0.25,3.0,0.0,18.0
10/26/2013,@ Ball St.,1-3,4.0,0,52.0,23.0,165.0,0.176,51.0,5.0,6.0,67.0,0.0,3.0,8.0,1.0,64.0,1.0,Ball St.,4,13.0,5.75,41.25,12.75,1.25,1.5,16.75,0.0,0.75,2.0,0.25,16.0
10/31/2013,@ Bowling Green,2-3,5.0,0,68.0,26.0,190.0,0.221,64.0,6.0,10.0,79.0,2.0,0.0,18.0,0.0,83.0,0.0,Bowling Green,5,13.6,5.2,38.0,12.8,1.2,2.0,15.8,0.4,0.0,3.6,0.0,16.6
11/02/2013,@ NIU,1-3,4.0,0,58.0,22.0,162.0,0.222,56.0,1.0,8.0,83.0,2.0,1.0,10.0,1.0,65.0,0.0,NIU,4,14.5,5.5,40.5,14.0,0.25,2.0,20.75,0.5,0.25,2.5,0.25,16.25
11/08/2013,Kent St.,3-1,4.0,0,66.0,19.0,160.0,0.294,62.0,10.0,12.0,68.0,3.0,1.0,4.0,0.0,79.0,1.0,Kent St.,4,16.5,4.75,40.0,15.5,2.5,3.0,17.0,0.75,0.25,1.0,0.0,19.75
11/09/2013,Ohio,2-3,5.0,0,61.0,26.0,192.0,0.182,56.0,6.0,7.0,95.0,5.0,2.0,22.0,1.0,80.0,0.0,Ohio,5,12.2,5.2,38.4,11.2,1.2,1.4,19.0,1.0,0.4,4.4,0.2,16.0
11/15/2013,@ Buffalo,0-3,3.0,0,33.0,22.0,127.0,0.087,33.0,2.0,4.0,52.0,3.0,2.0,8.0,2.0,41.0,0.0,Buffalo,3,11.0,7.333333333333333,42.333333333333336,11.0,0.6666666666666666,1.3333333333333333,17.333333333333332,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,13.666666666666666
11/16/2013,@ Akron,3-1,4.0,0,68.0,21.0,169.0,0.278,60.0,7.0,8.0,76.0,4.0,5.0,2.0,0.0,81.0,2.0,Akron,4,17.0,5.25,42.25,15.0,1.75,2.0,19.0,1.0,1.25,0.5,0.0,20.25
