date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,@ Arizona,0-3,3.0,0,16.0,22.0,91.0,-0.066,16.0,0.0,4.0,38.0,7.0,0.0,2.0,1.0,17.0,0.0,Arizona,3,5.333333333333333,7.333333333333333,30.333333333333332,5.333333333333333,0.0,1.3333333333333333,12.666666666666666,2.333333333333333,0.0,0.6666666666666666,0.3333333333333333,5.666666666666667
08/31/2013,@ Central Ark.,0-3,3.0,0,21.0,18.0,76.0,0.039,20.0,4.0,9.0,25.0,8.0,0.0,2.0,0.0,26.0,0.0,Central Ark.,3,7.0,6.0,25.333333333333332,6.666666666666667,1.3333333333333333,3.0,8.333333333333334,2.6666666666666665,0.0,0.6666666666666666,0.0,8.666666666666666
08/31/2013,"Kansas @ Tucson, Ariz.",0-3,3.0,0,27.0,21.0,101.0,0.059,24.0,2.0,3.0,39.0,4.0,0.0,6.0,0.0,32.0,0.0,Kansas,3,9.0,7.0,33.666666666666664,8.0,0.6666666666666666,1.0,13.0,1.3333333333333333,0.0,2.0,0.0,10.666666666666666
09/06/2013,"Loyola Chicago @ Greenville, N.C.",2-3,5.0,0,46.0,30.0,133.0,0.12,40.0,7.0,13.0,42.0,10.0,2.0,16.0,0.0,63.0,0.0,Loyola Chicago,5,9.2,6.0,26.6,8.0,1.4,2.6,8.4,2.0,0.4,3.2,0.0,12.6
09/07/2013,@ East Carolina,0-3,3.0,0,31.0,28.0,128.0,0.023,29.0,9.0,3.0,53.0,6.0,0.0,12.0,0.0,46.0,0.0,East Carolina,3,10.333333333333334,9.333333333333334,42.666666666666664,9.666666666666666,3.0,1.0,17.666666666666668,2.0,0.0,4.0,0.0,15.333333333333334
09/07/2013,"The Citadel @ Greenville, N.C.",3-2,5.0,0,52.0,30.0,148.0,0.149,48.0,6.0,5.0,65.0,9.0,1.0,16.0,0.0,67.0,0.0,The Citadel,5,10.4,6.0,29.6,9.6,1.2,1.0,13.0,1.8,0.2,3.2,0.0,13.4
09/13/2013,@ Lehigh,3-2,5.0,0,45.0,31.0,153.0,0.092,43.0,4.0,4.0,71.0,9.0,5.0,18.0,2.0,63.0,1.0,Lehigh,5,9.0,6.2,30.6,8.6,0.8,0.8,14.2,1.8,1.0,3.6,0.4,12.6
09/14/2013,"Quinnipiac @ Easton, Pa.",1-3,4.0,0,40.0,26.0,148.0,0.095,36.0,3.0,9.0,73.0,14.0,2.0,18.0,1.0,54.0,0.0,Quinnipiac,4,10.0,6.5,37.0,9.0,0.75,2.25,18.25,3.5,0.5,4.5,0.25,13.5
09/14/2013,@ Lafayette,0-3,3.0,0,28.0,21.0,113.0,0.062,26.0,4.0,6.0,47.0,8.0,0.0,14.0,0.0,39.0,0.0,Lafayette,3,9.333333333333334,7.0,37.666666666666664,8.666666666666666,1.3333333333333333,2.0,15.666666666666666,2.6666666666666665,0.0,4.666666666666667,0.0,13.0
09/17/2013,La Salle,3-0,3.0,0,35.0,12.0,84.0,0.274,33.0,6.0,9.0,22.0,6.0,1.0,12.0,0.0,48.0,0.0,La Salle,3,11.666666666666666,4.0,28.0,11.0,2.0,3.0,7.333333333333333,2.0,0.3333333333333333,4.0,0.0,16.0
