date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,@ Canisius,3-0,3.0,0,44.0,12.0,100.0,0.32,42.0,7.0,12.0,52.0,2.0,0.0,9.0,0.0,55.5,4.0,Canisius
08/30/2013,"Cleveland St. @ Buffalo, N.Y.",3-0,3.0,0,47.0,17.0,107.0,0.28,42.0,4.0,4.0,44.0,3.0,0.0,12.0,0.0,57.0,0.0,Cleveland St.
08/31/2013,"Hartford @ Buffalo, N.Y.",3-0,3.0,0,33.0,12.0,76.0,0.276,30.0,7.0,6.0,31.0,6.0,2.0,20.0,1.0,52.0,0.0,Hartford
09/06/2013,App State,3-0,3.0,0,45.0,15.0,105.0,0.286,43.0,1.0,6.0,54.0,2.0,0.0,10.0,2.0,51.0,1.0,App State
09/07/2013,Towson,3-1,4.0,0,51.0,14.0,112.0,0.33,46.0,2.0,4.0,54.0,5.0,2.0,20.0,3.0,65.0,0.0,Towson
09/07/2013,Binghamton,3-0,3.0,0,47.0,13.0,101.0,0.337,43.0,2.0,6.0,46.0,2.0,1.0,14.0,0.0,57.0,1.0,Binghamton
09/13/2013,"Houston Christian @ Houston, Texas",3-1,4.0,0,59.0,13.0,143.0,0.322,50.0,4.0,9.0,71.0,3.0,0.0,12.0,3.0,69.0,0.0,Houston Christian
09/13/2013,"Missouri @ Houston, Texas",0-3,3.0,0,35.0,21.0,129.0,0.109,32.0,3.0,4.0,54.0,4.0,0.0,12.0,1.0,44.0,1.0,Missouri
09/14/2013,@ Rice,3-1,4.0,0,58.0,22.0,156.0,0.231,56.0,10.0,9.0,75.0,4.0,1.0,30.0,2.0,84.0,0.0,Rice
09/20/2013,Wisconsin,1-3,4.0,0,39.0,33.0,147.0,0.041,36.0,2.0,5.0,62.0,8.0,2.0,12.0,1.0,49.0,3.0,Wisconsin
09/21/2013,Colgate,2-3,5.0,0,72.0,29.0,204.0,0.211,68.0,6.0,7.0,87.0,5.0,3.0,12.0,6.0,87.0,1.0,Colgate
09/21/2013,VCU,3-1,4.0,0,44.0,33.0,150.0,0.073,43.0,7.0,5.0,49.0,4.0,2.0,22.0,4.0,64.0,1.0,VCU
09/25/2013,@ North Carolina,0-3,3.0,0,37.0,21.0,130.0,0.123,35.0,4.0,8.0,63.0,4.0,1.0,18.0,0.0,51.0,2.0,North Carolina
