date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,"Kansas City @ Fayetteville, Ark.",3-0,3.0,0,48.0,15.0,110.0,0.3,44.0,4.0,3.0,51.0,4.0,3.0,6.0,2.0,58.0,2.0,Kansas City
08/30/2013,@ Arkansas,2-3,5.0,0,48.0,24.0,144.0,0.167,44.0,8.0,10.0,53.0,14.0,0.0,14.0,2.0,63.0,1.0,Arkansas
08/31/2013,"Northwestern St. @ Fayetteville, Ark.",3-0,3.0,0,46.0,17.0,131.0,0.221,43.0,4.0,4.0,72.0,3.0,2.0,12.0,3.0,58.0,3.0,Northwestern St.
09/06/2013,Idaho St.,3-0,3.0,0,44.0,15.0,94.0,0.309,42.0,4.0,8.0,41.0,1.0,1.0,10.0,2.0,54.0,1.0,Idaho St.
09/06/2013,UC Riverside,3-0,3.0,0,39.0,11.0,104.0,0.269,36.0,4.0,4.0,60.0,1.0,3.0,16.0,4.0,54.0,2.0,UC Riverside
09/07/2013,Georgia Tech,3-1,4.0,0,54.0,25.0,143.0,0.203,49.0,2.0,8.0,64.0,6.0,4.0,4.0,3.0,62.0,0.0,Georgia Tech
09/13/2013,Towson,3-1,4.0,0,47.0,20.0,124.0,0.218,42.0,5.0,9.0,55.0,2.0,3.0,12.0,1.0,61.0,4.0,Towson
09/14/2013,Abilene Christian,3-0,3.0,0,36.0,16.0,95.0,0.211,35.0,7.0,8.0,40.0,2.0,3.0,14.0,3.0,53.0,1.0,Abilene Christian
09/14/2013,Northern Ariz.,3-0,3.0,0,43.0,18.0,107.0,0.234,39.0,4.0,4.0,54.0,2.0,8.0,12.0,0.0,61.0,0.0,Northern Ariz.
09/19/2013,@ Air Force,3-1,4.0,0,49.0,23.0,133.0,0.195,48.0,3.0,3.0,55.0,2.0,4.0,24.0,2.0,68.0,1.0,Air Force
09/23/2013,@ New Mexico St.,3-2,5.0,0,48.0,30.0,154.0,0.117,45.0,4.0,4.0,66.0,4.0,7.0,20.0,2.0,69.0,2.0,New Mexico St.
09/26/2013,Wyoming,3-0,3.0,0,42.0,10.0,92.0,0.348,39.0,2.0,3.0,42.0,1.0,5.0,14.0,1.0,56.0,0.0,Wyoming
09/28/2013,Colorado St.,2-3,5.0,0,62.0,24.0,161.0,0.236,61.0,4.0,7.0,66.0,6.0,8.0,14.0,4.0,81.0,3.0,Colorado St.
10/03/2013,@ Utah St.,3-0,3.0,0,42.0,14.0,120.0,0.233,36.0,1.0,4.0,60.0,2.0,2.0,24.0,3.0,57.0,1.0,Utah St.
10/05/2013,@ Boise St.,3-1,4.0,0,61.0,15.0,128.0,0.359,59.0,1.0,8.0,52.0,6.0,1.0,14.0,4.0,70.0,3.0,Boise St.
10/10/2013,San Diego St.,3-2,5.0,0,72.0,25.0,172.0,0.273,69.0,0.0,9.0,57.0,2.0,6.0,12.0,2.0,84.0,1.0,San Diego St.
10/12/2013,UNLV,1-3,4.0,0,60.0,29.0,191.0,0.162,58.0,1.0,7.0,90.0,2.0,2.0,10.0,1.0,68.0,2.0,UNLV
10/17/2013,@ Fresno St.,2-3,5.0,0,61.0,26.0,167.0,0.21,56.0,2.0,4.0,69.0,3.0,0.0,22.0,2.0,74.0,3.0,Fresno St.
10/19/2013,@ San Jose St.,3-1,4.0,0,51.0,20.0,143.0,0.217,46.0,4.0,11.0,68.0,2.0,5.0,14.0,2.0,67.0,0.0,San Jose St.
10/23/2013,@ Texas Tech,3-0,3.0,0,40.0,10.0,104.0,0.288,39.0,2.0,3.0,52.0,5.0,4.0,23.0,0.0,57.5,0.0,Texas Tech
10/26/2013,Nevada,3-0,3.0,0,44.0,8.0,81.0,0.444,40.0,2.0,0.0,39.0,2.0,4.0,12.0,0.0,56.0,0.0,Nevada
10/31/2013,@ UNLV,3-1,4.0,0,63.0,21.0,159.0,0.264,60.0,5.0,6.0,70.0,0.0,2.0,12.0,3.0,76.0,0.0,UNLV
11/02/2013,@ San Diego St.,0-3,3.0,0,39.0,18.0,98.0,0.214,37.0,3.0,4.0,39.0,6.0,1.0,10.0,2.0,48.0,1.0,San Diego St.
11/07/2013,Boise St.,3-1,4.0,0,61.0,16.0,131.0,0.344,59.0,4.0,4.0,57.0,3.0,4.0,18.0,5.0,78.0,1.0,Boise St.
11/09/2013,Utah St.,3-0,3.0,0,46.0,23.0,106.0,0.217,44.0,1.0,4.0,53.0,1.0,0.0,12.0,2.0,53.0,0.0,Utah St.
11/14/2013,@ Colorado St.,1-3,4.0,0,48.0,27.0,144.0,0.146,47.0,0.0,5.0,60.0,5.0,2.0,22.0,3.0,61.0,0.0,Colorado St.
11/16/2013,@ Wyoming,0-3,3.0,0,26.0,25.0,99.0,0.01,25.0,1.0,4.0,34.0,3.0,1.0,2.0,3.0,29.0,0.0,Wyoming
11/20/2013,Air Force,3-0,3.0,0,43.0,14.0,113.0,0.257,42.0,1.0,5.0,56.0,1.0,1.0,2.0,1.0,46.0,0.0,Air Force
11/23/2013,@ Nevada,3-0,3.0,0,40.0,13.0,95.0,0.284,40.0,6.0,3.0,49.0,2.0,3.0,10.0,1.0,54.0,1.0,Nevada
11/26/2013,Fresno St.,3-2,5.0,0,51.0,29.0,144.0,0.153,51.0,3.0,6.0,49.0,7.0,2.0,14.0,1.0,63.0,1.0,Fresno St.
11/27/2013,San Jose St.,3-0,3.0,0,42.0,8.0,90.0,0.378,40.0,3.0,3.0,55.0,5.0,2.0,14.0,0.0,54.0,2.0,San Jose St.
