date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/30/2013,Cal Poly,3-1,4.0,0,54.0,15.0,138.0,0.283,49.0,5.0,9.0,68.0,4.0,1.0,12.0,2.0,66.0,2.0,Cal Poly
08/31/2013,Baylor,3-0,3.0,0,47.0,10.0,110.0,0.336,44.0,4.0,5.0,46.0,3.0,0.0,10.0,4.0,56.0,2.0,Baylor
09/03/2013,@ Colorado St.,0-3,3.0,0,23.0,20.0,109.0,0.028,22.0,1.0,3.0,36.0,5.0,3.0,15.0,1.0,34.5,1.0,Colorado St.
09/06/2013,@ Creighton,0-3,3.0,0,24.0,20.0,112.0,0.036,22.0,0.0,8.0,55.0,4.0,2.0,4.0,1.0,28.0,2.0,Creighton
09/07/2013,"California @ Omaha, Neb.",0-3,3.0,0,28.0,24.0,116.0,0.034,25.0,2.0,11.0,50.0,3.0,1.0,6.0,1.0,34.0,2.0,California
09/07/2013,"South Fla. @ Omaha, Neb.",3-1,4.0,0,56.0,30.0,175.0,0.149,49.0,8.0,10.0,82.0,4.0,0.0,14.0,0.0,71.0,0.0,South Fla.
09/13/2013,"Texas St. @ Tulsa, Okla.",3-1,4.0,0,52.0,24.0,141.0,0.199,51.0,9.0,8.0,67.0,6.0,2.0,16.0,0.0,71.0,2.0,Texas St.
09/14/2013,@ Tulsa,1-3,4.0,0,45.0,21.0,158.0,0.152,45.0,0.0,7.0,80.0,9.0,1.0,27.0,3.0,59.5,3.0,Tulsa
09/14/2013,"Arkansas @ Tulsa, Okla.",0-3,3.0,0,32.0,21.0,91.0,0.121,28.0,5.0,4.0,38.0,7.0,1.0,13.0,2.0,44.5,0.0,Arkansas
09/20/2013,@ Montana,0-3,3.0,0,37.0,18.0,104.0,0.183,36.0,0.0,10.0,33.0,3.0,0.0,12.0,3.0,43.0,1.0,Montana
09/21/2013,@ Montana St.,3-1,4.0,0,58.0,18.0,135.0,0.296,55.0,4.0,5.0,54.0,1.0,1.0,14.0,1.0,70.0,1.0,Montana St.
09/22/2013,Texas A&M,1-3,4.0,0,53.0,20.0,174.0,0.19,50.0,0.0,3.0,63.0,3.0,2.0,18.0,1.0,64.0,2.0,Texas A&M
09/26/2013,Idaho St.,0-3,3.0,0,35.0,13.0,104.0,0.212,34.0,1.0,3.0,45.0,7.0,2.0,8.0,1.0,42.0,2.0,Idaho St.
09/28/2013,Weber St.,2-3,5.0,0,58.0,25.0,142.0,0.232,53.0,5.0,8.0,50.0,4.0,1.0,20.0,3.0,74.0,0.0,Weber St.
10/03/2013,@ Sacramento St.,2-3,5.0,0,65.0,19.0,140.0,0.329,63.0,10.0,14.0,55.0,12.0,1.0,8.0,0.0,80.0,0.0,Sacramento St.
10/07/2013,North Dakota,2-3,5.0,0,65.0,24.0,163.0,0.252,59.0,6.0,6.0,49.0,3.0,2.0,14.0,1.0,80.0,0.0,North Dakota
10/10/2013,Portland St.,1-3,4.0,0,59.0,27.0,174.0,0.184,55.0,3.0,3.0,80.0,5.0,1.0,12.0,3.0,69.0,4.0,Portland St.
10/12/2013,Eastern Wash.,3-1,4.0,0,55.0,18.0,133.0,0.278,54.0,5.0,5.0,80.0,6.0,4.0,12.0,0.0,70.0,2.0,Eastern Wash.
10/17/2013,@ Northern Ariz.,3-2,5.0,0,70.0,32.0,181.0,0.21,64.0,3.0,4.0,66.0,2.0,3.0,14.0,3.0,83.0,4.0,Northern Ariz.
10/19/2013,@ Southern Utah,3-0,3.0,0,50.0,20.0,110.0,0.273,47.0,5.0,8.0,56.0,1.0,0.0,8.0,0.0,59.0,0.0,Southern Utah
10/24/2013,Montana St.,3-0,3.0,0,49.0,12.0,116.0,0.319,48.0,4.0,7.0,53.0,2.0,1.0,8.0,2.0,58.0,2.0,Montana St.
10/26/2013,Montana,2-3,5.0,0,70.0,25.0,205.0,0.22,69.0,5.0,10.0,79.0,6.0,4.0,16.0,2.0,87.0,0.0,Montana
11/01/2013,@ Weber St.,2-3,5.0,0,63.0,23.0,146.0,0.274,59.0,3.0,11.0,50.0,2.0,3.0,10.0,0.0,74.0,5.0,Weber St.
11/02/2013,@ Idaho St.,0-3,3.0,0,45.0,22.0,118.0,0.195,41.0,2.0,5.0,47.0,8.0,3.0,6.0,0.0,53.0,0.0,Idaho St.
11/08/2013,@ North Dakota,3-1,4.0,0,51.0,18.0,150.0,0.22,49.0,2.0,9.0,86.0,8.0,10.0,14.0,0.0,70.0,0.0,North Dakota
11/11/2013,Sacramento St.,3-0,3.0,0,49.0,8.0,92.0,0.446,43.0,3.0,5.0,40.0,0.0,1.0,4.0,0.0,55.0,1.0,Sacramento St.
11/15/2013,@ Eastern Wash.,3-2,5.0,0,68.0,25.0,184.0,0.234,65.0,13.0,5.0,93.0,5.0,0.0,20.0,3.0,91.0,3.0,Eastern Wash.
11/16/2013,@ Portland St.,0-3,3.0,0,31.0,13.0,106.0,0.17,31.0,3.0,5.0,47.0,5.0,3.0,12.0,2.0,43.0,0.0,Portland St.
11/21/2013,Southern Utah,3-0,3.0,0,45.0,14.0,99.0,0.313,40.0,3.0,7.0,47.0,2.0,3.0,4.0,1.0,53.0,0.0,Southern Utah
11/23/2013,Northern Ariz.,3-2,5.0,0,63.0,31.0,201.0,0.159,58.0,8.0,5.0,96.0,7.0,8.0,10.0,3.0,84.0,1.0,Northern Ariz.
11/29/2013,"Idaho St. @ Portland, OR",1-3,4.0,0,47.0,19.0,147.0,0.19,41.0,3.0,5.0,57.0,7.0,2.0,14.0,2.0,59.0,0.0,Idaho St.
