date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,Eastern Wash.,3-0,3.0,0,53.0,15.0,113.0,0.336,50.0,3.0,11.0,49.0,1.0,2.0,8.0,3.0,62.0,0.0,Eastern Wash.,3,17.666666666666668,5.0,37.666666666666664,16.666666666666668,1.0,3.6666666666666665,16.333333333333332,0.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,20.666666666666668
08/31/2013,Ohio,0-3,3.0,0,42.0,17.0,125.0,0.2,40.0,4.0,5.0,45.0,3.0,3.0,4.0,1.0,51.0,0.0,Ohio,3,14.0,5.666666666666667,41.666666666666664,13.333333333333334,1.3333333333333333,1.6666666666666667,15.0,1.0,1.0,1.3333333333333333,0.3333333333333333,17.0
08/31/2013,Bryant,3-0,3.0,0,41.0,16.0,105.0,0.238,40.0,8.0,8.0,50.0,2.0,0.0,16.0,1.0,57.0,0.0,Bryant,3,13.666666666666666,5.333333333333333,35.0,13.333333333333334,2.6666666666666665,2.6666666666666665,16.666666666666668,0.6666666666666666,0.0,5.333333333333333,0.3333333333333333,19.0
09/03/2013,Portland St.,3-0,3.0,0,51.0,15.0,121.0,0.298,50.0,4.0,7.0,65.0,1.0,1.0,12.0,0.0,62.0,1.0,Portland St.,3,17.0,5.0,40.333333333333336,16.666666666666668,1.3333333333333333,2.3333333333333335,21.666666666666668,0.3333333333333333,0.3333333333333333,4.0,0.0,20.666666666666668
09/06/2013,@ Michigan St.,1-3,4.0,0,51.0,21.0,126.0,0.238,50.0,2.0,6.0,53.0,6.0,3.0,8.0,0.0,60.0,0.0,Michigan St.,4,12.75,5.25,31.5,12.5,0.5,1.5,13.25,1.5,0.75,2.0,0.0,15.0
09/07/2013,@ Michigan,0-3,3.0,0,39.0,17.0,115.0,0.191,35.0,2.0,5.0,45.0,5.0,2.0,8.0,1.0,47.0,0.0,Michigan,3,13.0,5.666666666666667,38.333333333333336,11.666666666666666,0.6666666666666666,1.6666666666666667,15.0,1.6666666666666667,0.6666666666666666,2.6666666666666665,0.3333333333333333,15.666666666666666
09/10/2013,Seattle U,3-0,3.0,0,45.0,11.0,91.0,0.374,44.0,7.0,6.0,38.0,2.0,1.0,14.0,2.0,60.0,0.0,Seattle U,3,15.0,3.6666666666666665,30.333333333333332,14.666666666666666,2.3333333333333335,2.0,12.666666666666666,0.6666666666666666,0.3333333333333333,4.666666666666667,0.6666666666666666,20.0
09/13/2013,"CSU Bakersfield @ Fresno, CA",3-0,3.0,0,45.0,16.0,104.0,0.279,41.0,4.0,5.0,31.0,1.0,2.0,12.0,3.0,57.0,0.0,CSU Bakersfield,3,15.0,5.333333333333333,34.666666666666664,13.666666666666666,1.3333333333333333,1.6666666666666667,10.333333333333334,0.3333333333333333,0.6666666666666666,4.0,1.0,19.0
09/14/2013,"Belmont @ Fresno, Calif.",3-0,3.0,0,43.0,11.0,90.0,0.356,40.0,3.0,4.0,41.0,3.0,1.0,20.0,1.0,57.0,0.0,Belmont,3,14.333333333333334,3.6666666666666665,30.0,13.333333333333334,1.0,1.3333333333333333,13.666666666666666,1.0,0.3333333333333333,6.666666666666667,0.3333333333333333,19.0
09/14/2013,@ Fresno St.,3-0,3.0,0,43.0,11.0,90.0,0.356,38.0,6.0,5.0,40.0,2.0,3.0,17.0,1.0,60.5,0.0,Fresno St.,3,14.333333333333334,3.6666666666666665,30.0,12.666666666666666,2.0,1.6666666666666667,13.333333333333334,0.6666666666666666,1.0,5.666666666666667,0.3333333333333333,20.166666666666668
