date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2013,"The Citadel @ Tampa, Fla.",3-0,3.0,0,41.0,16.0,104.0,0.24,41.0,9.0,6.0,56.0,2.0,1.0,6.0,0.0,54.0,0.0,The Citadel,3,13.666666666666666,5.333333333333333,34.666666666666664,13.666666666666666,3.0,2.0,18.666666666666668,0.6666666666666666,0.3333333333333333,2.0,0.0,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2013,Miami (FL),1-3,4.0,0,55.0,28.0,181.0,0.149,53.0,2.0,6.0,83.0,5.0,3.0,12.0,3.0,66.0,0.0,Miami ,4,13.75,7.0,45.25,13.25,0.5,1.5,20.75,1.25,0.75,3.0,0.75,16.5,,6.833333333333333,,2.6666666666666665,,17.333333333333332,,0.12,,6.833333333333333,,1.5,,1.0,,9.333333333333334,,0.16666666666666666,,1.0,,0.0,,9.0
08/31/2013,Ball St.,3-2,5.0,0,58.0,20.0,168.0,0.226,55.0,1.0,5.0,73.0,9.0,3.0,24.0,4.0,74.0,2.0,Ball St.,5,11.6,4.0,33.6,11.0,0.2,1.0,14.6,1.8,0.6,4.8,0.8,14.8,,9.138888888888888,,4.111111111111111,,26.638888888888886,,0.12966666666666668,,8.972222222222221,,1.1666666666666667,,1.1666666666666667,,13.138888888888891,,0.3611111111111111,,1.6666666666666667,,0.25,,11.5
08/31/2013,Austin Peay,3-1,4.0,0,52.0,24.0,160.0,0.175,49.0,4.0,9.0,78.0,2.0,5.0,18.0,6.0,70.0,0.0,Austin Peay,4,13.0,6.0,40.0,12.25,1.0,2.25,19.5,0.5,1.25,4.5,1.5,17.5,13.005555555555555,9.754166666666666,5.444444444444444,4.083333333333333,37.83888888888889,28.379166666666663,0.205,0.15375,12.638888888888888,9.479166666666666,1.2333333333333334,0.925,1.5,1.125,18.005555555555556,13.504166666666668,0.561111111111111,0.4208333333333333,3.266666666666667,2.45,0.5166666666666667,0.3875,16.433333333333334,12.325
09/06/2013,"California @ Omaha, Neb.",0-3,3.0,0,42.0,17.0,109.0,0.229,42.0,0.0,9.0,44.0,2.0,0.0,10.0,2.0,47.0,2.0,California,3,14.0,5.666666666666667,36.333333333333336,14.0,0.0,3.0,14.666666666666666,0.6666666666666666,0.0,3.333333333333333,0.6666666666666666,15.666666666666666,12.783333333333333,10.403333333333332,5.666666666666667,4.466666666666667,39.61666666666667,30.70333333333333,0.18333333333333335,0.158,12.166666666666666,10.033333333333333,0.5666666666666667,0.9400000000000001,1.5833333333333333,1.35,18.28333333333333,14.703333333333337,0.8666666666666666,0.5866666666666667,4.1000000000000005,2.8600000000000003,1.0166666666666666,0.61,16.266666666666666,13.36
09/07/2013,"Northern Colo. @ Omaha, Neb.",1-3,4.0,0,43.0,16.0,150.0,0.18,40.0,4.0,4.0,81.0,8.0,1.0,28.0,4.0,62.0,0.0,Northern Colo.,4,10.75,4.0,37.5,10.0,1.0,1.0,20.25,2.0,0.25,7.0,1.0,15.5,12.866666666666667,11.002777777777778,5.222222222222222,4.666666666666667,36.644444444444446,31.641666666666666,0.21,0.16983333333333336,12.416666666666666,10.694444444444443,0.39999999999999997,0.7833333333333333,2.0833333333333335,1.625,16.255555555555553,14.697222222222225,0.6166666666666666,0.4888888888888889,4.211111111111111,2.9388888888888887,0.9888888888888889,0.6194444444444444,15.988888888888889,13.744444444444445
09/07/2013,@ Creighton,0-3,3.0,0,28.0,25.0,112.0,0.027,27.0,3.0,5.0,38.0,6.0,2.0,8.0,7.0,37.0,1.0,Creighton,3,9.333333333333334,8.333333333333334,37.333333333333336,9.0,1.0,1.6666666666666667,12.666666666666666,2.0,0.6666666666666666,2.6666666666666665,2.333333333333333,12.333333333333334,12.583333333333334,10.966666666666667,5.222222222222222,4.571428571428571,37.94444444444445,32.47857142857143,0.19466666666666665,0.1712857142857143,12.083333333333334,10.595238095238093,0.6666666666666666,0.8142857142857143,2.0833333333333335,1.5357142857142858,18.13888888888889,15.490476190476192,0.5,0.45476190476190476,4.944444444444444,3.519047619047619,1.0555555555555556,0.6738095238095239,16.222222222222225,13.995238095238095
09/10/2013,@ FGCU,3-1,4.0,0,62.0,15.0,142.0,0.331,61.0,1.0,5.0,63.0,1.0,4.0,10.0,3.0,72.0,4.0,FGCU,4,15.5,3.75,35.5,15.25,0.25,1.25,15.75,0.25,1.0,2.5,0.75,18.0,11.361111111111112,10.7625,6.0,5.041666666666667,37.05555555555556,33.08541666666667,0.14533333333333334,0.15325,11.0,10.395833333333332,0.6666666666666666,0.8375,1.888888888888889,1.5520833333333333,15.861111111111109,15.137500000000003,0.3055555555555555,0.48124999999999996,4.333333333333333,3.4125,1.3333333333333333,0.88125,14.5,13.7875
09/13/2013,Pittsburgh,2-3,5.0,0,51.0,27.0,152.0,0.158,48.0,3.0,4.0,68.0,13.0,1.0,24.0,1.0,67.0,3.0,Pittsburgh,5,10.2,5.4,30.4,9.6,0.6,0.8,13.6,2.6,0.2,4.8,0.2,13.4,11.861111111111112,11.288888888888888,5.361111111111112,4.898148148148149,36.77777777777778,33.3537037037037,0.17933333333333334,0.173,11.416666666666666,10.935185185185183,0.75,0.7722222222222223,1.3055555555555556,1.5185185185185184,16.22222222222222,15.205555555555557,0.6388888888888888,0.5388888888888889,4.055555555555556,3.3111111111111113,1.3611111111111114,0.8666666666666667,15.277777777777779,14.255555555555556
09/14/2013,Fla. Atlantic,3-0,3.0,0,44.0,15.0,114.0,0.254,41.0,7.0,4.0,48.0,6.0,2.0,18.0,1.0,62.0,0.0,Fla. Atlantic,3,14.666666666666666,5.0,38.0,13.666666666666666,2.333333333333333,1.3333333333333333,16.0,2.0,0.6666666666666666,6.0,0.3333333333333333,20.666666666666668,11.677777777777777,11.18,5.827777777777778,4.948333333333333,34.41111111111112,33.05833333333333,0.17200000000000001,0.17149999999999999,11.283333333333333,10.801666666666666,0.6166666666666667,0.755,1.238888888888889,1.4466666666666668,14.005555555555555,15.045000000000002,0.6222222222222222,0.505,3.3222222222222215,3.46,1.0944444444444446,0.8,14.577777777777778,14.170000000000002
09/14/2013,Purdue,0-3,3.0,0,32.0,22.0,105.0,0.095,29.0,3.0,8.0,38.0,5.0,1.0,8.0,1.0,40.0,2.0,Purdue,3,10.666666666666666,7.333333333333333,35.0,9.666666666666666,1.0,2.6666666666666665,12.666666666666666,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.3333333333333333,13.333333333333334,13.455555555555554,11.496969696969698,4.716666666666667,4.953030303030303,34.63333333333333,33.50757575757576,0.24766666666666667,0.179,12.838888888888889,11.06212121212121,1.0611111111111111,0.8984848484848484,1.1277777777777775,1.4363636363636365,15.116666666666667,15.131818181818183,0.6222222222222222,0.5196969696969697,4.433333333333334,3.690909090909091,0.42777777777777787,0.7575757575757577,17.355555555555558,14.760606060606062
09/20/2013,@ Northwestern,2-3,5.0,0,59.0,25.0,167.0,0.204,57.0,4.0,1.0,70.0,8.0,1.0,14.0,1.0,71.0,0.0,Northwestern,5,11.8,5.0,33.4,11.4,0.8,0.2,14.0,1.6,0.2,2.8,0.2,14.2,11.844444444444443,11.427777777777777,5.911111111111111,5.1513888888888895,34.46666666666667,33.63194444444444,0.169,0.17200000000000001,10.97777777777778,10.945833333333333,1.3111111111111111,0.9069444444444444,1.5999999999999999,1.538888888888889,14.088888888888889,14.926388888888889,0.39999999999999997,0.5041666666666667,4.488888888888889,3.6055555555555556,0.28888888888888903,0.7222222222222223,15.800000000000002,14.641666666666667
09/20/2013,"IUPUI @ Evanston, Ill.",0-3,3.0,0,37.0,18.0,115.0,0.165,35.0,1.0,2.0,54.0,7.0,5.0,10.0,0.0,48.0,2.0,IUPUI,3,12.333333333333334,6.0,38.333333333333336,11.666666666666666,0.3333333333333333,0.6666666666666666,18.0,2.333333333333333,1.6666666666666667,3.333333333333333,0.0,16.0,12.377777777777778,11.456410256410257,5.777777777777778,5.139743589743589,35.46666666666666,33.61410256410256,0.18433333333333332,0.17446153846153847,11.577777777777778,10.98076923076923,1.3777777777777775,0.8987179487179487,1.4000000000000001,1.435897435897436,14.222222222222221,14.855128205128207,0.4000000000000001,0.4807692307692308,3.8222222222222215,3.5435897435897434,0.28888888888888903,0.6820512820512821,16.066666666666666,14.607692307692307
09/21/2013,"Miami (OH) @ Evanston, Ill.",3-1,4.0,0,55.0,15.0,152.0,0.263,52.0,6.0,2.0,80.0,2.0,2.0,12.0,0.0,69.0,1.0,Miami ,4,13.75,3.75,38.0,13.0,1.5,0.5,20.0,0.5,0.5,3.0,0.0,17.25,11.6,11.51904761904762,6.111111111111111,5.201190476190476,35.57777777777778,33.95119047619047,0.15466666666666665,0.1737857142857143,10.911111111111111,11.029761904761903,0.7111111111111111,0.8583333333333334,1.1777777777777778,1.3809523809523812,14.888888888888888,15.079761904761906,0.7333333333333334,0.5654761904761905,2.933333333333333,3.5285714285714285,0.17777777777777792,0.6333333333333334,14.511111111111111,14.707142857142857
09/27/2013,@ UCF,0-3,3.0,0,37.0,15.0,118.0,0.186,36.0,2.0,3.0,43.0,3.0,1.0,16.0,0.0,48.0,1.0,UCF,3,12.333333333333334,5.0,39.333333333333336,12.0,0.6666666666666666,1.0,14.333333333333334,1.0,0.3333333333333333,5.333333333333333,0.0,16.0,12.62777777777778,11.66777777777778,4.916666666666667,5.104444444444444,36.57777777777778,34.22111111111111,0.21066666666666667,0.17973333333333336,12.02222222222222,11.16111111111111,0.8777777777777778,0.9011111111111112,0.45555555555555555,1.3222222222222224,17.333333333333332,15.407777777777778,0.7888888888888889,0.5611111111111112,3.0444444444444443,3.493333333333333,0.06666666666666682,0.5911111111111111,15.816666666666665,14.876666666666667
10/04/2013,Rutgers,3-0,3.0,0,35.0,11.0,112.0,0.214,31.0,6.0,3.0,60.0,2.0,1.0,14.0,0.0,49.0,3.0,Rutgers,3,11.666666666666666,3.6666666666666665,37.333333333333336,10.333333333333334,2.0,1.0,20.0,0.6666666666666666,0.3333333333333333,4.666666666666667,0.0,16.333333333333332,12.805555555555555,11.709375000000001,4.916666666666667,5.097916666666666,38.55555555555556,34.540625,0.20466666666666666,0.180125,12.222222222222223,11.213541666666666,0.8333333333333334,0.8864583333333333,0.7222222222222223,1.3020833333333335,17.444444444444446,15.340625000000001,0.8333333333333334,0.5468750000000001,3.888888888888888,3.6083333333333334,0.0,0.5541666666666667,16.416666666666668,14.946875
10/06/2013,UConn,3-0,3.0,0,41.0,15.0,120.0,0.217,40.0,5.0,6.0,76.0,3.0,3.0,10.0,0.0,54.0,3.0,UConn,3,13.666666666666666,5.0,40.0,13.333333333333334,1.6666666666666667,2.0,25.33333333333333,1.0,1.0,3.333333333333333,0.0,18.0,12.583333333333334,11.70686274509804,4.138888888888889,5.013725490196078,38.22222222222223,34.70490196078431,0.22099999999999997,0.18211764705882352,11.777777777777779,11.161764705882353,1.3888888888888886,0.9519607843137255,0.8333333333333334,1.2843137254901962,18.11111111111111,15.614705882352943,0.38888888888888884,0.5343137254901962,4.333333333333333,3.6705882352941175,0.0,0.5215686274509804,16.527777777777775,15.02843137254902
10/11/2013,@ Louisville,0-3,3.0,0,40.0,14.0,113.0,0.23,37.0,0.0,4.0,53.0,2.0,0.0,10.0,1.0,45.0,2.0,Louisville,3,13.333333333333334,4.666666666666667,37.66666666666666,12.333333333333334,0.0,1.3333333333333333,17.666666666666668,0.6666666666666666,0.0,3.333333333333333,0.3333333333333333,15.0,12.555555555555555,11.815740740740742,4.555555555555556,5.012962962962963,38.88888888888889,34.99907407407407,0.20566666666666666,0.18405555555555556,11.888888888888891,11.282407407407408,1.4444444444444444,0.9916666666666667,1.3333333333333333,1.3240740740740742,19.88888888888889,16.154629629629632,0.5555555555555555,0.5601851851851853,4.444444444444444,3.651851851851852,0.0,0.49259259259259264,16.777777777777775,15.19351851851852
