date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,@ Dayton,1-3,4.0,0,55.0,31.0,160.0,0.15,53.0,6.0,9.0,65.0,6.0,2.0,10.0,1.0,68.0,1.0,Dayton,4,13.75,7.75,40.0,13.25,1.5,2.25,16.25,1.5,0.5,2.5,0.25,17.0
08/31/2013,"Northeastern @ Dayton, OH",3-2,5.0,0,61.0,31.0,182.0,0.165,57.0,4.0,6.0,86.0,3.0,1.0,12.0,4.0,72.0,3.0,Northeastern,5,12.2,6.2,36.4,11.4,0.8,1.2,17.2,0.6,0.2,2.4,0.8,14.4
08/31/2013,"Missouri St. @ Dayton, Ohio",3-0,3.0,0,45.0,16.0,131.0,0.221,44.0,4.0,7.0,52.0,5.0,3.0,12.0,1.0,58.0,1.0,Missouri St.,3,15.0,5.333333333333333,43.666666666666664,14.666666666666666,1.3333333333333333,2.3333333333333335,17.333333333333332,1.6666666666666667,1.0,4.0,0.3333333333333333,19.333333333333332
09/03/2013,Oral Roberts,3-2,5.0,0,62.0,33.0,191.0,0.152,61.0,5.0,6.0,93.0,5.0,6.0,12.0,0.0,79.0,2.0,Oral Roberts,5,12.4,6.6,38.2,12.2,1.0,1.2,18.6,1.0,1.2,2.4,0.0,15.8
09/06/2013,@ Baylor,3-0,3.0,0,45.0,12.0,100.0,0.33,42.0,1.0,5.0,49.0,1.0,3.0,8.0,0.0,53.0,0.0,Baylor,3,15.0,4.0,33.333333333333336,14.0,0.3333333333333333,1.6666666666666667,16.333333333333332,0.3333333333333333,1.0,2.6666666666666665,0.0,17.666666666666668
09/07/2013,"UT Arlington @ Waco, Texas",3-0,3.0,0,40.0,23.0,143.0,0.119,35.0,4.0,5.0,70.0,2.0,0.0,10.0,1.0,49.0,1.0,UT Arlington,3,13.333333333333334,7.666666666666667,47.666666666666664,11.666666666666666,1.3333333333333333,1.6666666666666667,23.333333333333332,0.6666666666666666,0.0,3.3333333333333335,0.3333333333333333,16.333333333333332
09/07/2013,"Mississippi St. @ Waco, Texas",3-2,5.0,0,65.0,28.0,186.0,0.199,63.0,5.0,6.0,92.0,6.0,1.0,8.0,2.0,75.0,1.0,Mississippi St.,5,13.0,5.6,37.2,12.6,1.0,1.2,18.4,1.2,0.2,1.6,0.4,15.0
09/10/2013,@ Kansas St.,1-3,4.0,0,60.0,31.0,165.0,0.176,57.0,1.0,10.0,75.0,1.0,3.0,8.0,1.0,68.0,0.0,Kansas St.,4,15.0,7.75,41.25,14.25,0.25,2.5,18.75,0.25,0.75,2.0,0.25,17.0
09/13/2013,Arkansas,1-3,4.0,0,54.0,18.0,150.0,0.24,50.0,5.0,3.0,67.0,3.0,3.0,8.0,3.0,66.0,1.0,Arkansas,4,13.5,4.5,37.5,12.5,1.25,0.75,16.75,0.75,0.75,2.0,0.75,16.5
09/14/2013,Northern Colo.,3-1,4.0,0,56.0,26.0,170.0,0.176,50.0,9.0,8.0,81.0,0.0,2.0,12.0,1.0,73.0,0.0,Northern Colo.,4,14.0,6.5,42.5,12.5,2.25,2.0,20.25,0.0,0.5,3.0,0.25,18.25
09/14/2013,Texas St.,3-1,4.0,0,60.0,18.0,144.0,0.292,53.0,6.0,8.0,65.0,4.0,0.0,10.0,5.0,71.0,1.0,Texas St.,4,15.0,4.5,36.0,13.25,1.5,2.0,16.25,1.0,0.0,2.5,1.25,17.75
09/17/2013,Oklahoma,2-3,5.0,0,54.0,30.0,210.0,0.114,51.0,6.0,9.0,97.0,6.0,4.0,12.0,5.0,70.0,1.0,Oklahoma,5,10.8,6.0,42.0,10.2,1.2,1.8,19.4,1.2,0.8,2.4,1.0,14.0
09/20/2013,"LIU @ Norman, Okla.",3-2,5.0,0,62.0,31.0,200.0,0.155,60.0,4.0,4.0,104.0,7.0,3.0,18.0,4.0,78.0,0.0,LIU,5,12.4,6.2,40.0,12.0,0.8,0.8,20.8,1.4,0.6,3.6,0.8,15.6
09/21/2013,"Miami (FL) @ Norman, Okla.",3-0,3.0,0,54.0,21.0,137.0,0.241,52.0,4.0,1.0,67.0,3.0,1.0,2.0,2.0,60.0,1.0,Miami ,3,18.0,7.0,45.666666666666664,17.333333333333332,1.3333333333333333,0.3333333333333333,22.333333333333332,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,20.0
09/21/2013,@ Omaha,3-0,3.0,0,42.0,22.0,122.0,0.164,38.0,5.0,2.0,53.0,0.0,0.0,8.0,2.0,51.0,0.0,Omaha,3,14.0,7.333333333333333,40.666666666666664,12.666666666666666,1.6666666666666667,0.6666666666666666,17.666666666666668,0.0,0.0,2.6666666666666665,0.6666666666666666,17.0
09/29/2013,@ UAB,3-2,5.0,0,78.0,29.0,225.0,0.218,73.0,8.0,2.0,125.0,4.0,1.0,10.0,1.0,92.0,0.0,UAB,5,15.6,5.8,45.0,14.6,1.6,0.4,25.0,0.8,0.2,2.0,0.2,18.4
10/04/2013,Rice,3-0,3.0,0,38.0,16.0,135.0,0.163,36.0,5.0,3.0,70.0,1.0,1.0,12.0,1.0,50.0,1.0,Rice,3,12.666666666666666,5.333333333333333,45.0,12.0,1.6666666666666667,1.0,23.333333333333332,0.3333333333333333,0.3333333333333333,4.0,0.3333333333333333,16.666666666666668
10/06/2013,North Texas,3-1,4.0,0,60.0,24.0,176.0,0.205,56.0,3.0,3.0,88.0,5.0,0.0,8.0,0.0,67.0,2.0,North Texas,4,15.0,6.0,44.0,14.0,0.75,0.75,22.0,1.25,0.0,2.0,0.0,16.75
10/11/2013,@ Fla. Atlantic,3-0,3.0,0,48.0,9.0,96.0,0.406,45.0,2.0,3.0,43.0,1.0,3.0,10.0,2.0,58.0,0.0,Fla. Atlantic,3,16.0,3.0,32.0,15.0,0.6666666666666666,1.0,14.333333333333334,0.3333333333333333,1.0,3.3333333333333335,0.6666666666666666,19.333333333333332
10/13/2013,@ FIU,3-0,3.0,0,43.0,17.0,102.0,0.255,43.0,11.0,3.0,47.0,0.0,3.0,2.0,0.0,58.0,0.0,FIU,3,14.333333333333334,5.666666666666667,34.0,14.333333333333334,3.6666666666666665,1.0,15.666666666666666,0.0,1.0,0.6666666666666666,0.0,19.333333333333332
10/18/2013,@ Charlotte,3-1,4.0,0,54.0,23.0,150.0,0.207,53.0,6.0,10.0,69.0,5.0,2.0,16.0,0.0,70.0,2.0,Charlotte,4,13.5,5.75,37.5,13.25,1.5,2.5,17.25,1.25,0.5,4.0,0.0,17.5
10/20/2013,East Carolina,3-1,4.0,0,57.0,35.0,164.0,0.134,54.0,7.0,6.0,69.0,2.0,0.0,6.0,0.0,67.0,0.0,East Carolina,4,14.25,8.75,41.0,13.5,1.75,1.5,17.25,0.5,0.0,1.5,0.0,16.75
10/25/2013,Louisiana Tech,3-0,3.0,0,46.0,19.0,114.0,0.237,44.0,5.0,3.0,49.0,2.0,1.0,2.0,0.0,53.0,0.0,Louisiana Tech,3,15.333333333333334,6.333333333333333,38.0,14.666666666666666,1.6666666666666667,1.0,16.333333333333332,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,17.666666666666668
10/27/2013,Southern Miss.,3-1,4.0,0,62.0,20.0,180.0,0.233,56.0,2.0,3.0,84.0,0.0,4.0,10.0,0.0,73.0,1.0,Southern Miss.,4,15.5,5.0,45.0,14.0,0.5,0.75,21.0,0.0,1.0,2.5,0.0,18.25
11/01/2013,@ Middle Tenn.,3-1,4.0,0,49.0,13.0,129.0,0.279,44.0,0.0,11.0,55.0,3.0,4.0,14.0,2.0,60.0,0.0,Middle Tenn.,4,12.25,3.25,32.25,11.0,0.0,2.75,13.75,0.75,1.0,3.5,0.5,15.0
11/08/2013,Tulane,0-3,3.0,0,25.0,18.0,134.0,0.052,21.0,1.0,3.0,52.0,2.0,1.0,16.0,1.0,35.0,0.0,Tulane,3,8.333333333333334,6.0,44.666666666666664,7.0,0.3333333333333333,1.0,17.333333333333332,0.6666666666666666,0.3333333333333333,5.333333333333333,0.3333333333333333,11.666666666666666
11/10/2013,Marshall,3-1,4.0,0,44.0,22.0,164.0,0.134,38.0,1.0,2.0,70.0,4.0,0.0,23.0,5.0,56.5,0.0,Marshall,4,11.0,5.5,41.0,9.5,0.25,0.5,17.5,1.0,0.0,5.75,1.25,14.125
11/15/2013,@ UTEP,3-2,5.0,0,68.0,27.0,191.0,0.215,67.0,3.0,9.0,81.0,3.0,2.0,10.0,3.0,78.0,0.0,UTEP,5,13.6,5.4,38.2,13.4,0.6,1.8,16.2,0.6,0.4,2.0,0.6,15.6
11/17/2013,@ UTSA,0-3,3.0,0,31.0,23.0,131.0,0.061,30.0,1.0,5.0,48.0,4.0,1.0,8.0,0.0,37.0,1.0,UTSA,3,10.333333333333334,7.666666666666667,43.666666666666664,10.0,0.3333333333333333,1.6666666666666667,16.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,12.333333333333334
11/22/2013,"FIU @ Murfreesboro, Tenn.",3-2,5.0,0,69.0,32.0,199.0,0.186,62.0,6.0,5.0,93.0,4.0,0.0,16.0,0.0,83.0,0.0,FIU,5,13.8,6.4,39.8,12.4,1.2,1.0,18.6,0.8,0.0,3.2,0.0,16.6
11/23/2013,"Tulane @ Murfreesboro, Tenn.",1-3,4.0,0,51.0,25.0,170.0,0.153,44.0,7.0,5.0,59.0,2.0,1.0,10.0,0.0,64.0,0.0,Tulane,4,12.75,6.25,42.5,11.0,1.75,1.25,14.75,0.5,0.25,2.5,0.0,16.0
