date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2013,@ Texas Tech,0-3,3.0,0,24.0,18.0,107.0,0.056,23.0,1.0,7.0,40.0,5.0,0.0,10.0,0.0,30.0,1.0,Texas Tech,3,8.0,6.0,35.666666666666664,7.666666666666667,0.3333333333333333,2.333333333333333,13.333333333333334,1.6666666666666667,0.0,3.333333333333333,0.0,10.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/31/2013,@ Weber St.,2-3,5.0,0,50.0,31.0,164.0,0.116,46.0,7.0,17.0,63.0,9.0,4.0,8.0,2.0,65.0,1.0,Weber St.,5,10.0,6.2,32.8,9.2,1.4,3.4,12.6,1.8,0.8,1.6,0.4,13.0,,4.0,,3.0,,17.833333333333332,,0.028,,3.8333333333333335,,0.16666666666666666,,1.1666666666666665,,6.666666666666667,,0.0,,1.6666666666666665,,0.0,,5.0
08/31/2013,"Seattle U @ Ogden, Utah",0-3,3.0,0,36.0,15.0,100.0,0.21,34.0,1.0,3.0,36.0,8.0,0.0,2.0,1.0,38.0,2.0,Seattle U,3,12.0,5.0,33.333333333333336,11.333333333333334,0.3333333333333333,1.0,12.0,2.6666666666666665,0.0,0.6666666666666666,0.3333333333333333,12.666666666666666,,6.0,,4.066666666666666,,22.822222222222223,,0.05733333333333334,,5.622222222222223,,0.5777777777777777,,1.9111111111111108,,8.644444444444444,,0.26666666666666666,,1.6444444444444446,,0.13333333333333333,,7.666666666666667
09/06/2013,@ Georgia Tech,1-3,4.0,0,38.0,23.0,122.0,0.123,36.0,2.0,13.0,57.0,10.0,2.0,6.0,3.0,45.0,1.0,Georgia Tech,4,9.5,5.75,30.5,9.0,0.5,3.25,14.25,2.5,0.5,1.5,0.75,11.25,10.0,7.5,5.733333333333333,4.3,33.93333333333333,25.450000000000003,0.12733333333333333,0.0955,9.4,7.050000000000001,0.6888888888888888,0.5166666666666666,2.244444444444444,1.6833333333333331,12.644444444444446,9.483333333333334,0.26666666666666666,0.2,1.8666666666666665,1.4000000000000001,0.24444444444444446,0.18333333333333335,11.888888888888888,8.916666666666666
09/06/2013,@ New Mexico,0-3,3.0,0,29.0,22.0,114.0,0.061,28.0,1.0,9.0,47.0,4.0,0.0,2.0,2.0,31.0,1.0,New Mexico,3,9.666666666666666,7.333333333333333,38.0,9.333333333333334,0.3333333333333333,3.0,15.666666666666666,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,10.333333333333334,10.5,7.9,5.6499999999999995,4.59,32.21111111111111,26.46,0.14966666666666664,0.101,9.844444444444443,7.44,0.7444444444444445,0.5133333333333333,2.5500000000000003,1.9966666666666666,12.949999999999998,10.436666666666667,0.43333333333333335,0.26,1.2555555555555555,1.4200000000000002,0.49444444444444446,0.2966666666666667,12.305555555555555,9.383333333333333
09/07/2013,Idaho St.,0-3,3.0,0,33.0,18.0,103.0,0.146,31.0,1.0,9.0,45.0,5.0,0.0,2.0,1.0,35.0,1.0,Idaho St.,3,11.0,6.0,34.333333333333336,10.333333333333334,0.3333333333333333,3.0,15.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,11.666666666666666,10.388888888888888,8.194444444444445,6.027777777777779,5.047222222222222,33.94444444444445,28.383333333333336,0.13133333333333333,0.09433333333333334,9.88888888888889,7.755555555555556,0.38888888888888884,0.48333333333333334,2.4166666666666665,2.1638888888888888,13.972222222222221,11.308333333333335,0.16666666666666666,0.21666666666666667,0.9444444444444443,1.2944444444444445,0.5833333333333334,0.35833333333333334,11.416666666666666,9.541666666666666
09/13/2013,@ Pacific,0-3,3.0,0,25.0,23.0,110.0,0.018,24.0,3.0,4.0,48.0,9.0,0.0,10.0,1.0,33.0,1.0,Pacific,3,8.333333333333334,7.666666666666667,36.66666666666666,8.0,1.0,1.3333333333333333,16.0,3.0,0.0,3.333333333333333,0.3333333333333333,11.0,10.055555555555555,8.595238095238095,6.361111111111112,5.183333333333333,34.27777777777778,29.233333333333338,0.10999999999999999,0.10171428571428573,9.555555555555557,8.123809523809525,0.38888888888888884,0.46190476190476193,3.0833333333333335,2.283333333333333,14.972222222222221,11.835714285714287,0.16666666666666666,0.18571428571428572,0.9444444444444443,1.2047619047619047,0.5833333333333334,0.3547619047619048,11.083333333333334,9.845238095238097
09/14/2013,"Winthrop @ Stockton, Calif.",3-1,4.0,0,55.0,19.0,146.0,0.247,51.0,11.0,13.0,59.0,3.0,2.0,8.0,1.0,72.0,3.0,Winthrop,4,13.75,4.75,36.5,12.75,2.75,3.25,14.75,0.75,0.5,2.0,0.25,18.0,9.666666666666666,8.5625,7.0,5.4937499999999995,36.333333333333336,30.1625,0.07499999999999998,0.09125000000000001,9.222222222222223,8.108333333333334,0.5555555555555555,0.5291666666666667,2.444444444444444,2.1645833333333333,15.555555555555555,12.356250000000001,0.0,0.1625,1.5555555555555554,1.4708333333333332,0.4444444444444444,0.35208333333333336,11.0,9.989583333333334
09/14/2013,"San Jose St. @ Stockton, Calif.",0-3,3.0,0,39.0,20.0,117.0,0.162,36.0,2.0,5.0,54.0,3.0,2.0,2.0,4.0,44.0,2.0,San Jose St.,3,13.0,6.666666666666667,39.0,12.0,0.6666666666666666,1.6666666666666667,18.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,14.666666666666666,11.027777777777779,9.13888888888889,6.138888888888889,5.4111111111111105,35.833333333333336,30.866666666666667,0.13699999999999998,0.10855555555555557,10.361111111111112,8.624074074074075,1.361111111111111,0.7759259259259259,2.527777777777778,2.285185185185185,15.25,12.622222222222224,0.16666666666666666,0.2,2.0,1.5296296296296295,0.3055555555555555,0.3407407407407408,13.555555555555555,10.87962962962963
09/20/2013,"Wyoming @ USAFA,CO",1-3,4.0,0,47.0,38.0,152.0,0.059,45.0,7.0,5.0,64.0,7.0,2.0,8.0,0.0,60.0,0.0,Wyoming,4,11.75,9.5,38.0,11.25,1.75,1.25,16.0,1.75,0.5,2.0,0.0,15.0,11.694444444444445,9.525,6.361111111111112,5.536666666666666,37.388888888888886,31.68,0.1423333333333333,0.1139,10.916666666666666,8.961666666666668,1.472222222222222,0.765,2.0833333333333335,2.2233333333333336,16.25,13.160000000000002,0.38888888888888884,0.24666666666666667,1.9999999999999998,1.4433333333333331,0.6388888888888888,0.44000000000000006,14.555555555555555,11.258333333333335
