date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/30/2013,@ Bradley,1-3,4.0,0,49.0,26.0,146.0,0.158,48.0,6.0,14.0,56.0,3.0,1.0,20.0,3.0,66.0,1.0,Bradley,4,12.25,6.5,36.5,12.0,1.5,3.5,14.0,0.75,0.25,5.0,0.75,16.5
08/31/2013,"UMES @ Peoria, Ill.",3-1,4.0,0,48.0,20.0,117.0,0.239,47.0,9.0,9.0,57.0,3.0,2.0,14.0,2.0,66.0,0.0,UMES,4,12.0,5.0,29.25,11.75,2.25,2.25,14.25,0.75,0.5,3.5,0.5,16.5
08/31/2013,"UT Martin @ Peoria, Ill.",3-1,4.0,0,59.0,13.0,136.0,0.338,56.0,4.0,11.0,65.0,3.0,0.0,8.0,4.0,67.0,0.0,UT Martin,4,14.75,3.25,34.0,14.0,1.0,2.75,16.25,0.75,0.0,2.0,1.0,16.75
09/04/2013,@ NIU,2-3,5.0,0,57.0,37.0,186.0,0.108,56.0,3.0,10.0,88.0,5.0,6.0,8.0,1.0,70.0,1.0,NIU,5,11.4,7.4,37.2,11.2,0.6,2.0,17.6,1.0,1.2,1.6,0.2,14.0
09/06/2013,"Duke @ Minneapolis, MN",0-3,3.0,0,30.0,15.0,101.0,0.149,28.0,1.0,4.0,41.0,3.0,1.0,6.0,0.0,35.0,1.0,Duke,3,10.0,5.0,33.666666666666664,9.333333333333334,0.3333333333333333,1.3333333333333333,13.666666666666666,1.0,0.3333333333333333,2.0,0.0,11.666666666666666
09/07/2013,@ Ball St.,0-3,3.0,0,35.0,24.0,111.0,0.099,34.0,4.0,4.0,43.0,5.0,0.0,2.0,0.0,40.0,1.0,Ball St.,3,11.666666666666666,8.0,37.0,11.333333333333334,1.3333333333333333,1.3333333333333333,14.333333333333334,1.6666666666666667,0.0,0.6666666666666666,0.0,13.333333333333334
09/07/2013,@ Minnesota,0-3,3.0,0,29.0,22.0,96.0,0.073,28.0,5.0,8.0,39.0,4.0,0.0,2.0,1.0,35.0,0.0,Minnesota,3,9.666666666666666,7.333333333333333,32.0,9.333333333333334,1.6666666666666667,2.6666666666666665,13.0,1.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,11.666666666666666
09/10/2013,Chicago St.,3-0,3.0,0,47.0,10.0,92.0,0.402,47.0,6.0,10.0,30.0,2.0,0.0,8.0,4.0,57.0,0.0,Chicago St.,3,15.666666666666666,3.3333333333333335,30.666666666666668,15.666666666666666,2.0,3.3333333333333335,10.0,0.6666666666666666,0.0,2.6666666666666665,1.3333333333333333,19.0
09/13/2013,"UIC @ Iowa City, Iowa",3-0,3.0,0,34.0,17.0,92.0,0.185,30.0,11.0,9.0,39.0,3.0,4.0,12.0,0.0,55.0,0.0,UIC,3,11.333333333333334,5.666666666666667,30.666666666666668,10.0,3.6666666666666665,3.0,13.0,1.0,1.3333333333333333,4.0,0.0,18.333333333333332
09/13/2013,"Ball St. @ Iowa City, Iowa",1-3,4.0,0,48.0,29.0,134.0,0.142,46.0,3.0,8.0,50.0,6.0,1.0,6.0,0.0,55.0,0.0,Ball St.,4,12.0,7.25,33.5,11.5,0.75,2.0,12.5,1.5,0.25,1.5,0.0,13.75
09/14/2013,@ Iowa,1-3,4.0,0,40.0,30.0,144.0,0.069,36.0,8.0,12.0,56.0,7.0,5.0,0.0,0.0,53.0,0.0,Iowa,4,10.0,7.5,36.0,9.0,2.0,3.0,14.0,1.75,1.25,0.0,0.0,13.25
09/14/2013,"Drake @ Iowa City, Iowa",2-3,5.0,0,73.0,40.0,202.0,0.163,69.0,5.0,11.0,89.0,6.0,2.0,14.0,3.0,87.0,0.0,Drake,5,14.6,8.0,40.4,13.8,1.0,2.2,17.8,1.2,0.4,2.8,0.6,17.4
09/17/2013,@ Chicago St.,3-0,3.0,0,47.0,8.0,97.0,0.402,46.0,3.0,5.0,46.0,2.0,1.0,8.0,3.0,55.0,3.0,Chicago St.,3,15.666666666666666,2.6666666666666665,32.333333333333336,15.333333333333334,1.0,1.6666666666666667,15.333333333333334,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.0,18.333333333333332
09/20/2013,"George Washington @ DeKalb, Ill.",2-3,5.0,0,47.0,23.0,140.0,0.171,45.0,6.0,11.0,54.0,8.0,2.0,4.0,1.0,57.0,3.0,George Washington,5,9.4,4.6,28.0,9.0,1.2,2.2,10.8,1.6,0.4,0.8,0.2,11.4
09/20/2013,"Oakland @ DeKalb, Ill.",3-2,5.0,0,66.0,27.0,201.0,0.194,65.0,8.0,13.0,90.0,4.0,1.0,8.0,4.0,79.0,0.0,Oakland,5,13.2,5.4,40.2,13.0,1.6,2.6,18.0,0.8,0.2,1.6,0.8,15.8
09/28/2013,@ Omaha,3-0,3.0,0,46.0,7.0,76.0,0.513,42.0,6.0,3.0,43.0,1.0,2.0,10.0,1.0,59.0,0.0,Omaha,3,15.333333333333334,2.3333333333333335,25.333333333333332,14.0,2.0,1.0,14.333333333333334,0.3333333333333333,0.6666666666666666,3.3333333333333335,0.3333333333333333,19.666666666666668
10/04/2013,@ IUPUI,0-3,3.0,0,35.0,15.0,103.0,0.194,33.0,2.0,7.0,28.0,2.0,2.0,6.0,1.0,42.0,0.0,IUPUI,3,11.666666666666666,5.0,34.333333333333336,11.0,0.6666666666666666,2.3333333333333335,9.333333333333334,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,14.0
