date,opponent/venue,result,sets,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/30/2013,Idaho,3-2,5.0,0,76.0,28.0,171.0,0.281,69.0,3.0,3.0,74.0,6.0,2.0,20.0,2.0,91.0,0.0,Idaho,5,15.2,5.6,34.2,13.8,0.6,0.6,14.8,1.2,0.4,4.0,0.4,18.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2013,Stetson,3-0,3.0,0,47.0,16.0,137.0,0.226,42.0,1.0,7.0,52.0,2.0,2.0,26.0,2.0,63.0,4.0,Stetson,3,15.666666666666666,5.333333333333333,45.66666666666666,14.0,0.3333333333333333,2.333333333333333,17.333333333333332,0.6666666666666666,0.6666666666666666,8.666666666666666,0.6666666666666666,21.0,,7.6,,2.8,,17.1,,0.1405,,6.9,,0.3,,0.3,,7.4,,0.2,,2.0,,0.2,,9.1
08/31/2013,Montana St.,3-1,4.0,0,59.0,23.0,156.0,0.231,56.0,6.0,5.0,55.0,6.0,5.0,28.0,4.0,84.0,1.0,Montana St.,4,14.75,5.75,39.0,14.0,1.5,1.25,13.75,1.5,1.25,7.0,1.0,21.0,,10.28888888888889,,3.6444444444444444,,26.62222222222222,,0.169,,9.266666666666667,,0.3111111111111111,,0.9777777777777777,,10.71111111111111,,0.35555555555555557,,4.222222222222222,,0.35555555555555557,,13.066666666666668
08/31/2013,Drake,3-0,3.0,0,40.0,15.0,102.0,0.245,37.0,4.0,5.0,49.0,3.0,1.0,16.0,1.0,53.0,0.0,Drake,3,13.333333333333334,5.0,34.0,12.333333333333334,1.3333333333333333,1.6666666666666667,16.333333333333332,1.0,0.3333333333333333,5.333333333333333,0.3333333333333333,17.666666666666668,15.205555555555556,11.404166666666667,5.561111111111111,4.170833333333333,39.62222222222222,29.716666666666665,0.246,0.1845,13.933333333333332,10.45,0.8111111111111112,0.6083333333333334,1.3944444444444446,1.0458333333333334,15.294444444444444,11.470833333333333,0.7722222222222221,0.5791666666666666,6.5555555555555545,4.916666666666666,0.6888888888888888,0.5166666666666666,20.066666666666666,15.05
09/06/2013,@ James Madison,3-1,4.0,0,57.0,15.0,143.0,0.294,57.0,6.0,2.0,74.0,4.0,2.0,15.0,1.0,72.5,1.0,James Madison,4,14.25,3.75,35.75,14.25,1.5,0.5,18.5,1.0,0.5,3.75,0.25,18.125,14.583333333333334,11.790000000000001,5.361111111111111,4.336666666666667,39.55555555555555,30.573333333333334,0.23399999999999999,0.1966,13.444444444444445,10.826666666666666,1.0555555555555556,0.7533333333333333,1.75,1.1700000000000002,15.805555555555555,12.443333333333333,0.75,0.53,7.0,4.999999999999999,0.6666666666666666,0.48,19.88888888888889,15.573333333333334
09/07/2013,"CSU Bakersfield @ Harrisonburg, Va.",1-3,4.0,0,38.0,28.0,163.0,0.061,33.0,7.0,4.0,66.0,5.0,1.0,23.0,0.0,57.5,0.0,CSU Bakersfield,4,9.5,7.0,40.75,8.25,1.75,1.0,16.5,1.25,0.25,5.75,0.0,14.375,14.111111111111112,12.200000000000001,4.833333333333333,4.238888888888889,36.25,31.436111111111114,0.25666666666666665,0.21283333333333332,13.527777777777779,11.39722222222222,1.4444444444444446,0.8777777777777778,1.138888888888889,1.0583333333333333,16.194444444444443,13.452777777777778,0.6944444444444443,0.525,5.361111111111111,4.791666666666666,0.5277777777777778,0.44166666666666665,18.930555555555557,15.998611111111112
09/07/2013,"Presbyterian @ Harrisonburg, Va.",3-0,3.0,0,42.0,13.0,106.0,0.274,39.0,7.0,4.0,51.0,6.0,1.0,14.0,2.0,57.0,1.0,Presbyterian,3,14.0,4.333333333333333,35.333333333333336,13.0,2.333333333333333,1.3333333333333333,17.0,2.0,0.3333333333333333,4.666666666666667,0.6666666666666666,19.0,12.361111111111112,11.814285714285715,5.25,4.633333333333334,36.833333333333336,32.766666666666666,0.19999999999999996,0.19114285714285711,11.611111111111112,10.947619047619046,1.527777777777778,1.0023809523809524,1.0555555555555556,1.05,17.11111111111111,13.888095238095238,0.3611111111111111,0.4857142857142857,4.944444444444444,4.928571428571429,0.19444444444444442,0.37857142857142856,16.722222222222225,15.766666666666667
09/13/2013,@ Indiana,1-3,4.0,0,35.0,13.0,100.0,0.22,30.0,5.0,9.0,36.0,7.0,3.0,16.0,2.0,51.0,3.0,Indiana,4,8.75,3.25,25.0,7.5,1.25,2.25,9.0,1.75,0.75,4.0,0.5,12.75,12.583333333333334,12.0875,5.027777777777778,4.595833333333334,37.27777777777778,33.0875,0.20966666666666667,0.20149999999999998,11.833333333333334,11.204166666666666,1.861111111111111,1.16875,0.9444444444444443,1.0854166666666667,17.333333333333332,14.277083333333334,0.3611111111111111,0.4666666666666667,4.722222222222222,4.895833333333333,0.3055555555555556,0.4145833333333333,17.166666666666668,16.170833333333334
09/14/2013,"Tennessee St. @ Bloomington, Ind.",3-1,4.0,0,49.0,13.0,114.0,0.316,47.0,2.0,9.0,59.0,8.0,2.0,22.0,4.0,64.0,3.0,Tennessee St.,4,12.25,3.25,28.5,11.75,0.5,2.25,14.75,2.0,0.5,5.5,1.0,16.0,10.75,11.716666666666667,4.861111111111111,4.446296296296297,33.69444444444445,32.18888888888889,0.18500000000000003,0.20355555555555555,9.583333333333334,10.792592592592591,1.7777777777777777,1.1777777777777778,1.5277777777777777,1.2148148148148148,14.166666666666666,13.690740740740742,0.4444444444444444,0.4981481481481482,4.805555555555556,4.796296296296296,0.3888888888888889,0.42407407407407405,15.375,15.790740740740741
09/14/2013,"UAB @ Bloomington, Ind.",2-3,5.0,0,61.0,28.0,183.0,0.18,59.0,5.0,4.0,82.0,5.0,3.0,27.0,1.0,82.5,0.0,UAB,5,12.2,5.6,36.6,11.8,1.0,0.8,16.4,1.0,0.6,5.4,0.2,16.5,11.666666666666666,11.77,3.6111111111111107,4.326666666666667,29.611111111111114,31.82,0.27,0.21479999999999996,10.75,10.888333333333332,1.361111111111111,1.1099999999999999,1.9444444444444444,1.3183333333333334,13.583333333333334,13.796666666666667,0.5277777777777778,0.49833333333333335,4.722222222222222,4.866666666666666,0.7222222222222223,0.48166666666666663,15.916666666666666,15.811666666666667
