date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,Winthrop,3-0,3.0,0,0,44.0,14.0,97.0,0.309,42.0,3.0,5.0,28.0,2.0,1.0,12.0,1.0,54.0,1.0,Winthrop,3,14.666666666666666,4.666666666666667,32.333333333333336,14.0,1.0,1.6666666666666667,9.333333333333334,0.6666666666666666,0.3333333333333333,4.0,0.3333333333333333,18.0
08/30/2014,SIUE,2-3,5.0,0,0,62.0,30.0,169.0,0.189,59.0,5.0,9.0,66.0,4.0,2.0,8.0,2.0,73.0,1.0,SIUE,5,12.4,6.0,33.8,11.8,1.0,1.8,13.2,0.8,0.4,1.6,0.4,14.6
08/30/2014,Rutgers,1-3,4.0,0,0,41.0,27.0,132.0,0.106,37.0,3.0,3.0,51.0,9.0,2.0,12.0,5.0,52.0,1.0,Rutgers,4,10.25,6.75,33.0,9.25,0.75,0.75,12.75,2.25,0.5,3.0,1.25,13.0
08/31/2014,California,2-3,5.0,0,0,67.0,28.0,184.0,0.212,63.0,2.0,4.0,69.0,1.0,0.0,12.0,1.0,75.0,3.0,California,5,13.4,5.6,36.8,12.6,0.4,0.8,13.8,0.2,0.0,2.4,0.2,15.0
09/05/2014,Marist,3-0,3.0,0,0,50.0,11.0,95.0,0.411,45.0,2.0,5.0,45.0,3.0,2.0,8.0,2.0,58.0,0.0,Marist,3,16.666666666666668,3.6666666666666665,31.666666666666668,15.0,0.6666666666666666,1.6666666666666667,15.0,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,19.333333333333332
09/06/2014,Weber St.,3-1,4.0,0,0,52.0,17.0,140.0,0.25,51.0,5.0,1.0,47.0,2.0,4.0,10.0,0.0,66.0,1.0,Weber St.,4,13.0,4.25,35.0,12.75,1.25,0.25,11.75,0.5,1.0,2.5,0.0,16.5
09/06/2014,Houston Christian,3-0,3.0,0,0,47.0,12.0,100.0,0.35,47.0,6.0,6.0,36.0,2.0,2.0,4.0,1.0,57.0,1.0,Houston Christian,3,15.666666666666666,4.0,33.333333333333336,15.666666666666666,2.0,2.0,12.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,19.0
09/12/2014,"Canisius @ St. Louis, Mo.",3-0,3.0,0,0,50.0,13.0,105.0,0.352,49.0,6.0,8.0,47.0,2.0,1.0,4.0,2.0,59.0,0.0,Canisius,3,16.666666666666668,4.333333333333333,35.0,16.333333333333332,2.0,2.6666666666666665,15.666666666666666,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.6666666666666666,19.666666666666668
09/13/2014,"Omaha @ St. Louis, Mo.",2-3,5.0,0,0,62.0,29.0,153.0,0.216,58.0,8.0,10.0,68.0,8.0,0.0,4.0,0.0,72.0,0.0,Omaha,5,12.4,5.8,30.6,11.6,1.6,2.0,13.6,1.6,0.0,0.8,0.0,14.4
09/13/2014,@ Saint Louis,1-3,4.0,0,0,52.0,16.0,137.0,0.263,46.0,5.0,6.0,44.0,8.0,1.0,16.0,6.0,66.0,2.0,Saint Louis,4,13.0,4.0,34.25,11.5,1.25,1.5,11.0,2.0,0.25,4.0,1.5,16.5
09/16/2014,Denver,0-3,3.0,0,0,44.0,23.0,122.0,0.172,42.0,5.0,8.0,48.0,6.0,0.0,6.0,2.0,52.0,1.0,Denver,3,14.666666666666666,7.666666666666667,40.666666666666664,14.0,1.6666666666666667,2.6666666666666665,16.0,2.0,0.0,2.0,0.6666666666666666,17.333333333333332
09/19/2014,"Weber St. @ Lubbock, Texas",1-3,4.0,0,0,52.0,22.0,150.0,0.2,49.0,8.0,8.0,61.0,3.0,0.0,8.0,4.0,64.0,0.0,Weber St.,4,13.0,5.5,37.5,12.25,2.0,2.0,15.25,0.75,0.0,2.0,1.0,16.0
09/19/2014,"Abilene Christian @ Lubbock, Texas",3-0,3.0,0,0,39.0,11.0,117.0,0.239,39.0,5.0,6.0,58.0,2.0,1.0,10.0,0.0,50.0,0.0,Abilene Christian,3,13.0,3.6666666666666665,39.0,13.0,1.6666666666666667,2.0,19.333333333333332,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.0,16.666666666666668
09/20/2014,@ Texas Tech,1-3,4.0,0,0,63.0,15.0,167.0,0.287,61.0,0.0,7.0,75.0,4.0,0.0,6.0,1.0,66.0,4.0,Texas Tech,4,15.75,3.75,41.75,15.25,0.0,1.75,18.75,1.0,0.0,1.5,0.25,16.5
09/25/2014,@ Nevada,3-2,5.0,0,0,52.0,22.0,160.0,0.188,47.0,2.0,13.0,73.0,3.0,4.0,10.0,5.0,63.0,4.0,Nevada,5,10.4,4.4,32.0,9.4,0.4,2.6,14.6,0.6,0.8,2.0,1.0,12.6
09/27/2014,@ San Jose St.,3-1,4.0,0,0,72.0,17.0,157.0,0.35,67.0,3.0,12.0,58.0,10.0,4.0,10.0,4.0,84.0,1.0,San Jose St.,4,18.0,4.25,39.25,16.75,0.75,3.0,14.5,2.5,1.0,2.5,1.0,21.0
10/02/2014,Boise St.,3-1,4.0,0,0,64.0,18.0,152.0,0.303,57.0,6.0,3.0,52.0,5.0,2.0,8.0,3.0,76.0,0.0,Boise St.,4,16.0,4.5,38.0,14.25,1.5,0.75,13.0,1.25,0.5,2.0,0.75,19.0
10/04/2014,Utah St.,2-3,5.0,0,0,65.0,23.0,178.0,0.236,61.0,4.0,4.0,72.0,8.0,3.0,16.0,5.0,80.0,2.0,Utah St.,5,13.0,4.6,35.6,12.2,0.8,0.8,14.4,1.6,0.6,3.2,1.0,16.0
10/09/2014,@ UNLV,1-3,4.0,0,0,55.0,27.0,165.0,0.17,54.0,2.0,5.0,65.0,3.0,3.0,6.0,2.0,63.0,0.0,UNLV,4,13.75,6.75,41.25,13.5,0.5,1.25,16.25,0.75,0.75,1.5,0.5,15.75
10/11/2014,@ San Diego St.,0-3,3.0,0,0,28.0,15.0,94.0,0.138,28.0,1.0,6.0,32.0,10.0,4.0,8.0,2.0,37.0,2.0,San Diego St.,3,9.333333333333334,5.0,31.333333333333332,9.333333333333334,0.3333333333333333,2.0,10.666666666666666,3.333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,12.333333333333334
10/16/2014,Wyoming,1-3,4.0,0,0,55.0,23.0,141.0,0.227,55.0,0.0,2.0,55.0,8.0,2.0,20.0,2.0,67.0,1.0,Wyoming,4,13.75,5.75,35.25,13.75,0.0,0.5,13.75,2.0,0.5,5.0,0.5,16.75
10/17/2014,Colorado St.,0-3,3.0,0,0,38.0,16.0,122.0,0.18,37.0,0.0,6.0,48.0,4.0,0.0,10.0,3.0,43.0,2.0,Colorado St.,3,12.666666666666666,5.333333333333333,40.666666666666664,12.333333333333334,0.0,2.0,16.0,1.3333333333333333,0.0,3.3333333333333335,1.0,14.333333333333334
10/23/2014,San Jose St.,3-1,4.0,0,0,55.0,19.0,122.0,0.295,51.0,3.0,5.0,49.0,6.0,3.0,18.0,4.0,70.0,1.0,San Jose St.,4,13.75,4.75,30.5,12.75,0.75,1.25,12.25,1.5,0.75,4.5,1.0,17.5
10/25/2014,Nevada,3-1,4.0,0,0,55.0,12.0,121.0,0.355,52.0,5.0,4.0,43.0,4.0,2.0,10.0,5.0,67.0,0.0,Nevada,4,13.75,3.0,30.25,13.0,1.25,1.0,10.75,1.0,0.5,2.5,1.25,16.75
10/30/2014,@ Utah St.,0-3,3.0,0,0,37.0,18.0,102.0,0.186,36.0,1.0,6.0,41.0,4.0,1.0,4.0,4.0,41.0,2.0,Utah St.,3,12.333333333333334,6.0,34.0,12.0,0.3333333333333333,2.0,13.666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,13.666666666666666
11/01/2014,@ Boise St.,0-3,3.0,0,0,30.0,19.0,89.0,0.124,30.0,1.0,5.0,36.0,5.0,1.0,12.0,2.0,38.0,0.0,Boise St.,3,10.0,6.333333333333333,29.666666666666668,10.0,0.3333333333333333,1.6666666666666667,12.0,1.6666666666666667,0.3333333333333333,4.0,0.6666666666666666,12.666666666666666
11/06/2014,San Diego St.,3-0,3.0,0,0,41.0,15.0,108.0,0.241,38.0,1.0,2.0,43.0,4.0,4.0,8.0,2.0,50.0,1.0,San Diego St.,3,13.666666666666666,5.0,36.0,12.666666666666666,0.3333333333333333,0.6666666666666666,14.333333333333334,1.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,16.666666666666668
11/08/2014,UNLV,1-3,4.0,0,0,54.0,27.0,155.0,0.174,53.0,4.0,8.0,67.0,4.0,3.0,10.0,2.0,66.0,0.0,UNLV,4,13.5,6.75,38.75,13.25,1.0,2.0,16.75,1.0,0.75,2.5,0.5,16.5
11/13/2014,@ Colorado St.,0-3,3.0,0,0,24.0,23.0,109.0,0.009,23.0,8.0,5.0,37.0,8.0,1.0,14.0,0.0,40.0,0.0,Colorado St.,3,8.0,7.666666666666667,36.333333333333336,7.666666666666667,2.6666666666666665,1.6666666666666667,12.333333333333334,2.6666666666666665,0.3333333333333333,4.666666666666667,0.0,13.333333333333334
11/15/2014,@ Wyoming,1-3,4.0,0,0,51.0,24.0,137.0,0.197,46.0,0.0,6.0,57.0,6.0,0.0,22.0,0.0,62.0,2.0,Wyoming,4,12.75,6.0,34.25,11.5,0.0,1.5,14.25,1.5,0.0,5.5,0.0,15.5
11/19/2014,Fresno St.,3-2,5.0,0,0,61.0,21.0,153.0,0.261,59.0,0.0,6.0,58.0,4.0,1.0,34.0,1.0,79.0,0.0,Fresno St.,5,12.2,4.2,30.6,11.8,0.0,1.2,11.6,0.8,0.2,6.8,0.2,15.8
11/25/2014,@ New Mexico,0-3,3.0,0,0,28.0,18.0,101.0,0.099,25.0,2.0,6.0,35.0,2.0,2.0,10.0,1.0,37.0,0.0,New Mexico,3,9.333333333333334,6.0,33.666666666666664,8.333333333333334,0.6666666666666666,2.0,11.666666666666666,0.6666666666666666,0.6666666666666666,3.3333333333333335,0.3333333333333333,12.333333333333334
