date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2014,"Chicago St. @ Terre Haute, Ind.",3-1,4.0,0,0,47.0,28.0,133.0,0.143,41.0,10.0,18.0,43.0,7.0,2.0,6.0,2.0,62.0,0.0,Chicago St.
08/29/2014,@ Indiana St.,0-3,3.0,0,0,22.0,19.0,87.0,0.034,19.0,1.0,5.0,26.0,5.0,0.0,8.0,2.0,27.0,0.0,Indiana St.
08/30/2014,"N.C. A&T @ Terre Haute, Ind",3-0,3.0,0,0,37.0,13.0,102.0,0.235,31.0,9.0,8.0,47.0,3.0,1.0,6.0,2.0,50.0,0.0,N.C. A&T
09/02/2014,@ Cleveland St.,0-3,3.0,0,0,33.0,23.0,110.0,0.091,33.0,2.0,6.0,48.0,3.0,3.0,6.0,3.0,41.0,1.0,Cleveland St.
09/05/2014,Binghamton,3-1,4.0,0,0,53.0,20.0,142.0,0.232,49.0,7.0,5.0,65.0,4.0,4.0,4.0,4.0,66.0,1.0,Binghamton
09/05/2014,Bryant,3-0,3.0,0,0,46.0,20.0,118.0,0.22,43.0,2.0,9.0,56.0,2.0,4.0,6.0,2.0,55.0,1.0,Bryant
09/06/2014,Austin Peay,3-0,3.0,0,0,37.0,12.0,104.0,0.24,36.0,14.0,6.0,51.0,2.0,4.0,4.0,3.0,57.0,2.0,Austin Peay
09/06/2014,Drake,1-3,4.0,0,0,48.0,38.0,164.0,0.061,46.0,12.0,4.0,74.0,3.0,6.0,16.0,1.0,74.0,3.0,Drake
09/12/2014,"Colgate @ Lincoln, Nebraska",0-3,3.0,0,0,34.0,20.0,98.0,0.143,31.0,6.0,4.0,37.0,6.0,0.0,4.0,2.0,42.0,3.0,Colgate
09/13/2014,"Denver @ Lincoln, Nebraska",0-3,3.0,0,0,32.0,20.0,105.0,0.114,30.0,4.0,7.0,45.0,5.0,0.0,8.0,1.0,40.0,2.0,Denver
09/16/2014,Robert Morris,3-0,3.0,0,0,46.0,26.0,132.0,0.152,41.0,3.0,4.0,56.0,5.0,2.0,14.0,1.0,58.0,2.0,Robert Morris
09/19/2014,"James Madison @ New Brunswick, N.J.",0-3,3.0,0,0,33.0,18.0,92.0,0.163,31.0,0.0,5.0,38.0,5.0,0.0,6.0,0.0,36.0,3.0,James Madison
09/19/2014,@ Rutgers,1-3,4.0,0,0,31.0,29.0,118.0,0.017,26.0,8.0,11.0,55.0,10.0,0.0,4.0,2.0,41.0,2.0,Rutgers
09/20/2014,"American @ New Brunswick, N.J.",0-3,3.0,0,0,32.0,13.0,99.0,0.192,28.0,1.0,6.0,38.0,9.0,3.0,12.0,1.0,42.0,2.0,American
09/20/2014,"Princeton @ New Brunswick, N.J.",2-3,5.0,0,0,53.0,20.0,170.0,0.194,49.0,10.0,11.0,81.0,7.0,5.0,22.0,2.0,79.0,1.0,Princeton
09/26/2014,Miami (OH),1-3,4.0,0,0,52.0,27.0,163.0,0.153,44.0,7.0,9.0,61.0,2.0,4.0,10.0,2.0,68.0,3.0,Miami 
09/27/2014,Bowling Green,3-0,3.0,0,0,46.0,16.0,118.0,0.254,40.0,2.0,7.0,47.0,4.0,1.0,8.0,1.0,53.0,5.0,Bowling Green
10/03/2014,@ Kent St.,1-3,4.0,0,0,48.0,24.0,133.0,0.18,43.0,3.0,10.0,47.0,4.0,2.0,12.0,1.0,59.0,2.0,Kent St.
10/04/2014,@ Ohio,0-3,3.0,0,0,20.0,21.0,79.0,-0.013,19.0,1.0,3.0,32.0,9.0,0.0,2.0,0.0,22.0,0.0,Ohio
10/09/2014,Buffalo,0-3,3.0,0,0,30.0,16.0,96.0,0.146,27.0,4.0,4.0,30.0,9.0,5.0,10.0,3.0,44.0,2.0,Buffalo
