date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,Dayton,1-3,4.0,0,0,45.0,24.0,128.0,0.164,44.0,8.0,9.0,56.0,11.0,1.0,10.0,0.0,59.0,1.0,Dayton,4,11.25,6.0,32.0,11.0,2.0,2.25,14.0,2.75,0.25,2.5,0.0,14.75
08/30/2014,Pittsburgh,0-3,3.0,0,0,19.0,10.0,81.0,0.111,19.0,1.0,7.0,27.0,10.0,0.0,10.0,3.0,25.0,3.0,Pittsburgh,3,6.333333333333333,3.3333333333333335,27.0,6.333333333333333,0.3333333333333333,2.3333333333333335,9.0,3.333333333333333,0.0,3.3333333333333335,1.0,8.333333333333334
08/30/2014,Middle Tenn.,2-3,5.0,0,0,46.0,30.0,142.0,0.113,41.0,4.0,11.0,42.0,9.0,4.0,20.0,7.0,64.0,1.0,Middle Tenn.,5,9.2,6.0,28.4,8.2,0.8,2.2,8.4,1.8,0.8,4.0,1.4,12.8
09/05/2014,CSU Bakersfield @ Wright State,3-2,5.0,0,0,54.0,23.0,147.0,0.211,48.0,7.0,10.0,65.0,6.0,2.0,30.0,1.0,78.0,2.0,CSU Bakersfield,5,10.8,4.6,29.4,9.6,1.4,2.0,13.0,1.2,0.4,6.0,0.2,15.6
09/06/2014,Purdue Fort Wayne @ Wright State,0-3,3.0,0,0,17.0,19.0,74.0,-0.027,17.0,3.0,4.0,28.0,8.0,2.0,6.0,1.0,25.0,2.0,Purdue Fort Wayne,3,5.666666666666667,6.333333333333333,24.666666666666668,5.666666666666667,1.0,1.3333333333333333,9.333333333333334,2.6666666666666665,0.6666666666666666,2.0,0.3333333333333333,8.333333333333334
09/06/2014,@ Wright St.,3-2,5.0,0,0,71.0,22.0,190.0,0.258,66.0,3.0,14.0,77.0,3.0,0.0,20.0,4.0,84.0,1.0,Wright St.,5,14.2,4.4,38.0,13.2,0.6,2.8,15.4,0.6,0.0,4.0,0.8,16.8
09/12/2014,"Wichita St. @ Omaha, Neb.",2-3,5.0,0,0,68.0,34.0,192.0,0.177,65.0,7.0,11.0,84.0,3.0,3.0,22.0,3.0,89.0,1.0,Wichita St.,5,13.6,6.8,38.4,13.0,1.4,2.2,16.8,0.6,0.6,4.4,0.6,17.8
09/13/2014,"Pepperdine @ Omaha, Neb.",0-3,3.0,0,0,29.0,16.0,93.0,0.14,30.0,2.0,7.0,37.0,8.0,0.0,10.0,5.0,36.0,0.0,Pepperdine,3,9.666666666666666,5.333333333333333,31.0,10.0,0.6666666666666666,2.3333333333333335,12.333333333333334,2.6666666666666665,0.0,3.3333333333333335,1.6666666666666667,12.0
09/13/2014,@ Creighton,0-3,3.0,0,0,25.0,19.0,90.0,0.067,24.0,2.0,7.0,40.0,7.0,2.0,8.0,2.0,33.0,1.0,Creighton,3,8.333333333333334,6.333333333333333,30.0,8.0,0.6666666666666666,2.3333333333333335,13.333333333333334,2.333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,11.0
09/19/2014,@ Oakland,0-3,3.0,0,0,25.0,19.0,86.0,0.07,22.0,2.0,1.0,34.0,6.0,3.0,8.0,0.0,34.0,0.0,Oakland,3,8.333333333333334,6.333333333333333,28.666666666666668,7.333333333333333,0.6666666666666666,0.3333333333333333,11.333333333333334,2.0,1.0,2.6666666666666665,0.0,11.333333333333334
09/20/2014,"UC Irvine @ Rochester, Mich.",0-3,3.0,0,0,31.0,20.0,99.0,0.111,29.0,3.0,4.0,39.0,6.0,1.0,10.0,2.0,40.0,0.0,UC Irvine,3,10.333333333333334,6.666666666666667,33.0,9.666666666666666,1.0,1.3333333333333333,13.0,2.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,13.333333333333334
09/20/2014,"Robert Morris @ Rochester, Mich.",3-2,5.0,0,0,64.0,27.0,174.0,0.213,52.0,4.0,9.0,69.0,7.0,2.0,24.0,3.0,82.0,1.0,Robert Morris,5,12.8,5.4,34.8,10.4,0.8,1.8,13.8,1.4,0.4,4.8,0.6,16.4
09/26/2014,@ Buffalo,0-3,3.0,0,0,32.0,19.0,88.0,0.148,29.0,3.0,7.0,34.0,3.0,1.0,10.0,1.0,41.0,1.0,Buffalo,3,10.666666666666666,6.333333333333333,29.333333333333332,9.666666666666666,1.0,2.3333333333333335,11.333333333333334,1.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,13.666666666666666
09/27/2014,@ Akron,0-3,3.0,0,0,37.0,18.0,108.0,0.176,32.0,4.0,7.0,47.0,2.0,4.0,8.0,2.0,49.0,3.0,Akron,3,12.333333333333334,6.0,36.0,10.666666666666666,1.3333333333333333,2.3333333333333335,15.666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.6666666666666666,16.333333333333332
10/02/2014,Miami (OH),1-3,4.0,0,0,49.0,33.0,154.0,0.104,48.0,7.0,12.0,73.0,3.0,1.0,12.0,1.0,63.0,0.0,Miami ,4,12.25,8.25,38.5,12.0,1.75,3.0,18.25,0.75,0.25,3.0,0.25,15.75
10/04/2014,Western Mich.,2-3,5.0,0,0,53.0,25.0,167.0,0.168,53.0,6.0,10.0,80.0,3.0,1.0,14.0,1.0,67.0,0.0,Western Mich.,5,10.6,5.0,33.4,10.6,1.2,2.0,16.0,0.6,0.2,2.8,0.2,13.4
10/10/2014,Kent St.,3-0,3.0,0,0,42.0,13.0,101.0,0.287,39.0,5.0,5.0,44.0,2.0,1.0,16.0,3.0,56.0,0.0,Kent St.,3,14.0,4.333333333333333,33.666666666666664,13.0,1.6666666666666667,1.6666666666666667,14.666666666666666,0.6666666666666666,0.3333333333333333,5.333333333333333,1.0,18.666666666666668
10/11/2014,Ohio,0-3,3.0,0,0,38.0,16.0,111.0,0.198,38.0,0.0,3.0,63.0,6.0,1.0,4.0,0.0,41.0,3.0,Ohio,3,12.666666666666666,5.333333333333333,37.0,12.666666666666666,0.0,1.0,21.0,2.0,0.3333333333333333,1.3333333333333333,0.0,13.666666666666666
10/16/2014,@ Central Mich.,1-3,4.0,0,0,47.0,18.0,136.0,0.213,46.0,5.0,7.0,50.0,8.0,0.0,20.0,1.0,62.0,0.0,Central Mich.,4,11.75,4.5,34.0,11.5,1.25,1.75,12.5,2.0,0.0,5.0,0.25,15.5
10/18/2014,@ Eastern Mich.,0-3,3.0,0,0,34.0,15.0,104.0,0.183,33.0,2.0,4.0,54.0,8.0,0.0,14.0,0.0,43.0,2.0,Eastern Mich.,3,11.333333333333334,5.0,34.666666666666664,11.0,0.6666666666666666,1.3333333333333333,18.0,2.6666666666666665,0.0,4.666666666666667,0.0,14.333333333333334
10/24/2014,Toledo,3-1,4.0,0,0,57.0,16.0,156.0,0.263,53.0,5.0,8.0,74.0,5.0,1.0,10.0,3.0,68.0,1.0,Toledo,4,14.25,4.0,39.0,13.25,1.25,2.0,18.5,1.25,0.25,2.5,0.75,17.0
