date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2014,@ App State,0-3,3.0,0,0,34.0,22.0,102.0,0.118,34.0,4.0,8.0,31.0,0.0,3.0,6.0,0.0,44.0,0.0,App State
08/30/2014,"Tennessee Tech @ Boone, N.C.",3-0,3.0,0,0,31.0,19.0,103.0,0.117,26.0,13.0,6.0,52.0,2.0,2.0,6.0,0.0,49.0,0.0,Tennessee Tech
08/30/2014,"Tennessee @ Boone, N.C.",1-3,4.0,0,0,52.0,30.0,174.0,0.126,52.0,5.0,7.0,89.0,2.0,1.0,16.0,0.0,66.0,0.0,Tennessee
09/02/2014,Akron,3-0,3.0,0,0,41.0,17.0,111.0,0.216,38.0,3.0,8.0,46.0,2.0,0.0,12.0,2.0,50.0,0.0,Akron
09/05/2014,"Georgetown @ Philadelphia, Pa.",3-0,3.0,0,0,47.0,11.0,119.0,0.303,45.0,4.0,8.0,57.0,2.0,1.0,2.0,0.0,53.0,1.0,Georgetown
09/06/2014,"Colgate @ Philadelphia, Pa.",0-3,3.0,0,0,36.0,32.0,128.0,0.031,35.0,2.0,4.0,60.0,3.0,0.0,14.0,1.0,45.0,3.0,Colgate
09/06/2014,@ Penn,0-3,3.0,0,0,37.0,13.0,109.0,0.22,35.0,2.0,5.0,53.0,6.0,0.0,18.0,2.0,48.0,2.0,Penn
09/12/2014,Navy,3-0,3.0,0,0,37.0,18.0,130.0,0.146,35.0,8.0,7.0,71.0,1.0,1.0,22.0,2.0,57.0,0.0,Navy
09/13/2014,Dayton,3-1,4.0,0,0,53.0,18.0,156.0,0.224,51.0,3.0,10.0,79.0,3.0,3.0,10.0,1.0,64.0,1.0,Dayton
09/13/2014,Toledo,3-0,3.0,0,0,38.0,14.0,112.0,0.214,34.0,5.0,10.0,59.0,2.0,4.0,20.0,4.0,57.0,1.0,Toledo
09/19/2014,@ Kansas,1-3,4.0,0,0,39.0,16.0,124.0,0.185,36.0,1.0,7.0,52.0,3.0,1.0,10.0,0.0,46.0,2.0,Kansas
09/19/2014,"Arkansas @ Lawrence, Kan.",0-3,3.0,0,0,35.0,17.0,107.0,0.168,34.0,3.0,4.0,50.0,3.0,0.0,8.0,3.0,42.0,1.0,Arkansas
09/20/2014,"North Texas @ Lawrence, Kan.",3-2,5.0,0,0,52.0,20.0,152.0,0.211,50.0,5.0,10.0,75.0,2.0,4.0,18.0,3.0,70.0,2.0,North Texas
09/26/2014,Wright St.,3-0,3.0,0,0,38.0,12.0,103.0,0.252,35.0,2.0,8.0,59.0,1.0,0.0,18.0,3.0,49.0,2.0,Wright St.
09/27/2014,Oakland,2-3,5.0,0,0,58.0,21.0,176.0,0.21,53.0,9.0,14.0,90.0,2.0,1.0,24.0,0.0,80.0,3.0,Oakland
10/03/2014,@ UIC,3-1,4.0,0,0,51.0,19.0,126.0,0.254,47.0,6.0,8.0,42.0,2.0,5.0,16.0,6.0,70.0,0.0,UIC
10/04/2014,@ Valparaiso,1-3,4.0,0,0,46.0,24.0,146.0,0.151,44.0,1.0,9.0,63.0,4.0,2.0,10.0,3.0,54.0,4.0,Valparaiso
10/10/2014,Milwaukee,0-3,3.0,0,0,32.0,12.0,114.0,0.175,31.0,4.0,2.0,42.0,10.0,1.0,8.0,7.0,41.0,1.0,Milwaukee
10/11/2014,Green Bay,3-0,3.0,0,0,49.0,15.0,132.0,0.258,46.0,5.0,10.0,60.0,3.0,1.0,18.0,2.0,64.0,0.0,Green Bay
10/17/2014,Youngstown St.,1-3,4.0,0,0,54.0,30.0,145.0,0.166,53.0,5.0,7.0,58.0,2.0,4.0,8.0,2.0,67.0,3.0,Youngstown St.
10/24/2014,@ Oakland,2-3,5.0,0,0,61.0,23.0,194.0,0.196,54.0,3.0,8.0,99.0,4.0,3.0,16.0,2.0,75.0,5.0,Oakland
10/25/2014,@ Wright St.,3-0,3.0,0,0,38.0,10.0,89.0,0.315,34.0,6.0,10.0,38.0,3.0,2.0,12.0,2.0,52.0,0.0,Wright St.
10/31/2014,Valparaiso,0-3,3.0,0,0,21.0,19.0,115.0,0.017,18.0,0.0,5.0,45.0,9.0,2.0,8.0,2.0,27.0,1.0,Valparaiso
11/01/2014,UIC,2-3,5.0,0,0,56.0,24.0,142.0,0.225,53.0,6.0,11.0,47.0,3.0,3.0,16.0,2.0,73.0,0.0,UIC
11/07/2014,@ Green Bay,3-1,4.0,0,0,61.0,22.0,156.0,0.25,58.0,5.0,13.0,74.0,4.0,2.0,10.0,2.0,73.0,0.0,Green Bay
11/08/2014,@ Milwaukee,3-1,4.0,0,0,53.0,19.0,141.0,0.241,51.0,0.0,9.0,60.0,5.0,3.0,20.0,1.0,66.0,0.0,Milwaukee
11/14/2014,@ Youngstown St.,3-1,4.0,0,0,55.0,25.0,137.0,0.219,53.0,9.0,9.0,59.0,4.0,2.0,18.0,1.0,75.0,1.0,Youngstown St.
11/21/2014,"Youngstown St. @ Rochester, Mich.",0-3,3.0,0,0,36.0,20.0,104.0,0.154,32.0,0.0,5.0,27.0,4.0,2.0,4.0,4.0,40.0,2.0,Youngstown St.
