date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,"NJIT @ Philadelphia, PA",3-0,3.0,0,0,47.0,14.0,116.0,0.284,42.0,2.0,8.0,64.0,4.0,0.0,10.0,3.0,54.0,3.0,NJIT,3,15.666666666666666,4.666666666666667,38.66666666666666,14.0,0.6666666666666666,2.6666666666666665,21.33333333333333,1.3333333333333333,0.0,3.333333333333333,1.0,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2014,"Loyola Maryland @ Philadelphia, Pa.",3-1,4.0,0,0,50.0,24.0,136.0,0.191,47.0,6.0,2.0,67.0,9.0,2.0,8.0,0.0,62.0,5.0,Loyola Maryland,4,12.5,6.0,34.0,11.75,1.5,0.5,16.75,2.25,0.5,2.0,0.0,15.5,,7.833333333333333,,2.3333333333333335,,19.33333333333333,,0.142,,7.0,,0.3333333333333333,,1.3333333333333333,,10.666666666666664,,0.0,,1.6666666666666665,,0.5,,9.0
08/30/2014,@ La Salle,2-3,5.0,0,0,67.0,18.0,152.0,0.322,65.0,4.0,6.0,72.0,12.0,2.0,6.0,3.0,76.0,3.0,La Salle,5,13.4,3.6,30.4,13.0,0.8,1.2,14.4,2.4,0.4,1.2,0.6,15.2,,9.388888888888888,,3.555555555555556,,24.222222222222218,,0.15833333333333333,,8.583333333333334,,0.7222222222222222,,1.0555555555555556,,12.694444444444443,,0.16666666666666666,,1.7777777777777777,,0.3333333333333333,,11.166666666666666
08/30/2014,"Manhattan @ Philadelphia, Pa.",2-3,5.0,0,0,56.0,24.0,168.0,0.19,50.0,11.0,12.0,67.0,9.0,1.0,13.0,1.0,74.5,1.0,Manhattan,5,11.2,4.8,33.6,10.0,2.2,2.4,13.4,1.8,0.2,2.6,0.2,14.9,13.855555555555554,10.391666666666666,4.7555555555555555,3.566666666666667,34.355555555555554,25.766666666666666,0.26566666666666666,0.19924999999999998,12.916666666666666,9.6875,0.9888888888888889,0.7416666666666667,1.4555555555555555,1.0916666666666666,17.494444444444444,13.120833333333332,0.3,0.225,2.1777777777777776,1.6333333333333333,0.5333333333333333,0.4,16.233333333333334,12.175
09/05/2014,"La Salle @ Towson, Md.",3-0,3.0,0,0,47.0,13.0,104.0,0.327,47.0,5.0,3.0,60.0,4.0,1.0,14.0,1.0,60.0,0.0,La Salle,3,15.666666666666666,4.333333333333333,34.666666666666664,15.666666666666666,1.6666666666666667,1.0,20.0,1.3333333333333333,0.3333333333333333,4.666666666666667,0.3333333333333333,20.0,12.366666666666667,10.553333333333333,4.8,3.8133333333333335,32.666666666666664,27.333333333333332,0.2343333333333333,0.19739999999999996,11.583333333333334,9.75,1.5,1.0333333333333334,1.3666666666666665,1.353333333333333,14.85,13.176666666666666,0.3666666666666667,0.22000000000000003,1.9333333333333333,1.8266666666666667,0.26666666666666666,0.36,15.200000000000001,12.72
09/06/2014,@ Towson,1-3,4.0,0,0,36.0,26.0,120.0,0.083,34.0,4.0,6.0,45.0,8.0,4.0,4.0,4.0,46.0,2.0,Towson,4,9.0,6.5,30.0,8.5,1.0,1.5,11.25,2.0,1.0,1.0,1.0,11.5,13.422222222222222,11.405555555555557,4.244444444444444,3.9,32.888888888888886,28.555555555555554,0.2796666666666667,0.21899999999999997,12.888888888888888,10.736111111111112,1.5555555555555556,1.138888888888889,1.5333333333333332,1.2944444444444443,15.933333333333332,14.313888888888888,0.3111111111111111,0.2388888888888889,2.8222222222222224,2.3000000000000003,0.37777777777777777,0.35555555555555557,16.7,13.933333333333332
09/06/2014,"Saint Peter's @ Towson, Md.",3-2,5.0,0,0,62.0,29.0,175.0,0.189,60.0,7.0,9.0,84.0,12.0,1.0,8.0,3.0,74.0,0.0,Saint Peter's,5,12.4,5.8,35.0,12.0,1.4,1.8,16.8,2.4,0.2,1.6,0.6,14.8,11.955555555555556,11.061904761904762,5.211111111111111,4.271428571428571,32.75555555555555,28.76190476190476,0.19999999999999998,0.19957142857142854,11.388888888888888,10.416666666666668,1.6222222222222225,1.119047619047619,1.6333333333333335,1.3238095238095238,14.883333333333335,13.876190476190475,0.5111111111111111,0.34761904761904766,2.755555555555555,2.1142857142857143,0.5111111111111111,0.44761904761904764,15.466666666666669,13.585714285714285
09/10/2014,@ American,0-3,3.0,0,0,30.0,20.0,88.0,0.114,29.0,1.0,3.0,37.0,7.0,0.0,4.0,1.0,33.0,0.0,American,3,10.0,6.666666666666667,29.33333333333333,9.666666666666666,0.3333333333333333,1.0,12.333333333333334,2.333333333333333,0.0,1.3333333333333333,0.3333333333333333,11.0,12.355555555555554,11.229166666666668,5.544444444444444,4.4624999999999995,33.22222222222222,29.541666666666664,0.19966666666666666,0.19824999999999998,12.055555555555555,10.614583333333334,1.3555555555555558,1.1541666666666668,1.4333333333333336,1.3833333333333333,16.016666666666666,14.241666666666665,0.5111111111111112,0.3291666666666667,2.4222222222222225,2.0500000000000003,0.6444444444444445,0.4666666666666667,15.433333333333332,13.737499999999999
09/13/2014,@ UMBC,3-0,3.0,0,0,40.0,19.0,95.0,0.221,40.0,5.0,6.0,40.0,2.0,5.0,2.0,1.0,51.0,0.0,UMBC,3,13.333333333333334,6.333333333333333,31.666666666666668,13.333333333333334,1.6666666666666667,2.0,13.333333333333334,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,17.0,10.466666666666667,11.092592592592593,6.322222222222223,4.707407407407406,31.444444444444446,29.518518518518515,0.12866666666666668,0.18888888888888888,10.055555555555555,10.50925925925926,0.9111111111111111,1.062962962962963,1.4333333333333336,1.3407407407407408,13.46111111111111,14.029629629629628,0.4000000000000001,0.2925925925925926,1.3111111111111111,1.9703703703703705,0.6444444444444445,0.45185185185185184,12.433333333333332,13.433333333333332
09/13/2014,"Eastern Mich. @ Baltimore, Md.",0-3,3.0,0,0,38.0,19.0,113.0,0.168,38.0,3.0,5.0,45.0,1.0,3.0,18.0,1.0,53.0,4.0,Eastern Mich.,3,12.666666666666666,6.333333333333333,37.66666666666666,12.666666666666666,1.0,1.6666666666666667,15.0,0.3333333333333333,1.0,6.0,0.3333333333333333,17.666666666666668,11.911111111111111,11.316666666666666,6.266666666666667,4.869999999999999,32.0,29.73333333333333,0.17466666666666666,0.1921,11.666666666666666,10.791666666666668,1.1333333333333335,1.1233333333333335,1.6000000000000003,1.4066666666666667,14.155555555555557,13.959999999999999,0.6222222222222223,0.43000000000000005,1.2,1.8400000000000003,0.4222222222222222,0.43999999999999995,14.266666666666666,13.789999999999997
09/19/2014,@ Arizona,0-3,3.0,0,0,28.0,16.0,97.0,0.124,28.0,1.0,2.0,43.0,4.0,0.0,12.0,2.0,35.0,2.0,Arizona,3,9.333333333333334,5.333333333333333,32.333333333333336,9.333333333333334,0.3333333333333333,0.6666666666666666,14.333333333333334,1.3333333333333333,0.0,4.0,0.6666666666666666,11.666666666666666,12.0,11.43939393939394,6.444444444444444,5.003030303030303,32.888888888888886,30.454545454545453,0.16766666666666666,0.18990909090909092,11.888888888888888,10.962121212121213,1.0000000000000002,1.1121212121212123,1.555555555555556,1.4303030303030302,13.555555555555557,14.054545454545455,0.888888888888889,0.48181818181818187,2.6666666666666665,2.2181818181818183,0.3333333333333333,0.43030303030303024,15.222222222222223,14.142424242424239
09/19/2014,@ UMBC,3-2,5.0,0,0,47.0,27.0,139.0,0.144,47.0,2.0,4.0,59.0,9.0,0.0,6.0,3.0,52.0,3.0,UMBC,5,9.4,5.4,27.8,9.4,0.4,0.8,11.8,1.8,0.0,1.2,0.6,10.4,11.777777777777779,11.263888888888891,6.0,5.030555555555556,33.888888888888886,30.61111111111111,0.171,0.18441666666666667,11.777777777777779,10.826388888888891,1.0000000000000002,1.0472222222222223,1.4444444444444446,1.3666666666666665,14.222222222222221,14.077777777777778,0.888888888888889,0.4416666666666667,3.555555555555556,2.3666666666666667,0.4444444444444445,0.44999999999999996,15.444444444444445,13.936111111111108
