date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,@ UCF,0-3,3.0,0,0,36.0,17.0,114.0,0.167,34.0,0.0,3.0,42.0,2.0,0.0,4.0,3.0,38.0,0.0,UCF,3,12.0,5.666666666666667,38.0,11.333333333333334,0.0,1.0,14.0,0.6666666666666666,0.0,1.3333333333333333,1.0,12.666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2014,"Northeastern @ Orlando, Fla.",3-2,5.0,0,0,67.0,22.0,185.0,0.243,62.0,7.0,11.0,68.0,2.0,3.0,6.0,3.0,80.0,1.0,Northeastern,5,13.4,4.4,37.0,12.4,1.4,2.2,13.6,0.4,0.6,1.2,0.6,16.0,,6.0,,2.8333333333333335,,19.0,,0.0835,,5.666666666666667,,0.0,,0.5,,7.0,,0.0,,0.6666666666666666,,0.5,,6.333333333333333
08/30/2014,"Western Caro. @ Orlando, Fla.",3-0,3.0,0,0,47.0,10.0,115.0,0.322,41.0,7.0,5.0,55.0,4.0,2.0,0.0,3.0,56.0,2.0,Western Caro.,3,15.666666666666666,3.333333333333333,38.333333333333336,13.666666666666666,2.333333333333333,1.6666666666666667,18.33333333333333,1.3333333333333333,0.6666666666666666,0.0,1.0,18.666666666666668,,8.466666666666667,,3.3555555555555556,,25.0,,0.1366666666666667,,7.911111111111111,,0.4666666666666666,,1.0666666666666667,,9.200000000000001,,0.19999999999999998,,0.8444444444444444,,0.5333333333333333,,9.555555555555555
08/30/2014,"FIU @ Orlando, Fla.",3-0,3.0,0,0,39.0,12.0,91.0,0.297,34.0,9.0,8.0,39.0,5.0,1.0,10.0,3.0,54.0,0.0,FIU,3,13.0,4.0,30.33333333333333,11.333333333333334,3.0,2.6666666666666665,13.0,1.6666666666666667,0.3333333333333333,3.333333333333333,1.0,18.0,13.688888888888888,10.266666666666666,4.466666666666667,3.3499999999999996,37.77777777777778,28.333333333333336,0.244,0.183,12.466666666666667,9.35,1.2444444444444442,0.9333333333333332,1.6222222222222225,1.2166666666666668,15.31111111111111,11.483333333333333,0.4222222222222222,0.31666666666666665,0.8444444444444444,0.6333333333333333,0.8666666666666667,0.65,15.777777777777779,11.833333333333332
09/03/2014,Marshall,3-1,4.0,0,0,55.0,18.0,133.0,0.278,48.0,2.0,8.0,55.0,7.0,4.0,10.0,2.0,66.0,0.0,Marshall,4,13.75,4.5,33.25,12.0,0.5,2.0,13.75,1.75,1.0,2.5,0.5,16.5,14.02222222222222,10.813333333333333,3.9111111111111114,3.4799999999999995,35.22222222222222,28.733333333333338,0.2873333333333333,0.20579999999999998,12.466666666666667,9.746666666666666,2.244444444444444,1.3466666666666665,2.1777777777777776,1.5066666666666666,14.977777777777776,11.786666666666665,0.5333333333333333,0.31999999999999995,1.511111111111111,1.1733333333333333,0.8666666666666667,0.72,17.555555555555557,13.066666666666666
09/05/2014,@ Wright St.,3-0,3.0,0,0,41.0,14.0,111.0,0.243,35.0,4.0,8.0,53.0,2.0,4.0,2.0,0.0,50.0,2.0,Wright St.,3,13.666666666666666,4.666666666666667,37.0,11.666666666666666,1.3333333333333333,2.6666666666666665,17.666666666666668,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.0,16.666666666666668,14.138888888888891,11.302777777777777,3.944444444444444,3.65,33.97222222222222,29.486111111111114,0.299,0.21783333333333332,12.333333333333334,10.122222222222222,1.944444444444444,1.2055555555555555,2.111111111111111,1.5888888888888888,15.027777777777777,12.113888888888889,0.6666666666666666,0.4333333333333333,1.9444444444444444,1.3944444444444446,0.8333333333333334,0.6833333333333332,17.722222222222225,13.638888888888888
09/06/2014,"Nebraska @ Dayton, OH",0-3,3.0,0,0,25.0,20.0,94.0,0.053,22.0,4.0,7.0,29.0,5.0,0.0,4.0,1.0,31.0,2.0,Nebraska,3,8.333333333333334,6.666666666666667,31.33333333333333,7.333333333333333,1.3333333333333333,2.333333333333333,9.666666666666666,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,10.333333333333334,13.472222222222221,11.64047619047619,4.388888888888889,3.795238095238095,33.52777777777778,30.559523809523814,0.27266666666666667,0.2214285714285714,11.666666666666666,10.342857142857143,1.611111111111111,1.2238095238095237,2.444444444444444,1.7428571428571427,14.805555555555557,12.907142857142858,0.888888888888889,0.5619047619047618,2.1666666666666665,1.2904761904761906,0.5,0.5857142857142856,17.055555555555557,14.071428571428571
09/06/2014,Purdue Fort Wayne @ Wright State,3-0,3.0,0,0,44.0,8.0,89.0,0.404,43.0,4.0,4.0,35.0,6.0,0.0,10.0,1.0,53.0,2.0,Purdue Fort Wayne,3,14.666666666666666,2.6666666666666665,29.666666666666668,14.333333333333334,1.3333333333333333,1.3333333333333333,11.666666666666666,2.0,0.0,3.333333333333333,0.3333333333333333,17.666666666666668,11.916666666666666,11.227083333333333,5.277777777777779,4.154166666666667,33.86111111111111,30.65625,0.19133333333333336,0.20037499999999997,10.333333333333334,9.966666666666667,1.0555555555555556,1.2375,2.3333333333333335,1.8166666666666664,13.694444444444445,12.502083333333335,0.7777777777777777,0.4916666666666666,1.5,1.2958333333333334,0.27777777777777773,0.5541666666666666,14.5,13.604166666666666
09/09/2014,Wright St.,3-1,4.0,0,0,54.0,17.0,139.0,0.266,52.0,8.0,12.0,67.0,4.0,0.0,6.0,1.0,65.0,6.0,Wright St.,4,13.5,4.25,34.75,13.0,2.0,3.0,16.75,1.0,0.0,1.5,0.25,16.25,12.222222222222221,11.60925925925926,4.666666666666667,3.988888888888889,32.666666666666664,30.546296296296298,0.2333333333333333,0.22299999999999998,11.111111111111109,10.45185185185185,1.3333333333333333,1.2481481481481482,2.111111111111111,1.7629629629629628,13.0,12.409259259259262,0.4444444444444444,0.43703703703703695,1.7777777777777777,1.5222222222222221,0.2222222222222222,0.5296296296296296,14.888888888888891,14.055555555555555
09/12/2014,"Indiana @ Chicago, Ill.",1-3,4.0,0,0,49.0,21.0,128.0,0.219,46.0,1.0,11.0,48.0,4.0,1.0,10.0,2.0,56.0,0.0,Indiana,4,12.25,5.25,32.0,11.5,0.25,2.75,12.0,1.0,0.25,2.5,0.5,14.0,12.166666666666666,11.798333333333334,4.527777777777778,4.015,31.916666666666668,30.96666666666667,0.24100000000000002,0.22729999999999997,11.555555555555557,10.706666666666667,1.5555555555555556,1.3233333333333335,2.222222222222222,1.8866666666666667,12.694444444444443,12.843333333333334,0.0,0.39333333333333326,2.0555555555555554,1.52,0.3055555555555555,0.5016666666666666,14.750000000000002,14.275
