date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,@ Florida,0-3,3.0,0,0,20.0,31.0,86.0,-0.128,20.0,0.0,10.0,25.0,4.0,1.0,4.0,0.0,23.0,2.0,Florida,3,6.666666666666667,10.333333333333334,28.666666666666668,6.666666666666667,0.0,3.3333333333333335,8.333333333333334,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,7.666666666666667
08/29/2014,"Oklahoma @ Gainesville, Fla.",1-3,4.0,0,0,48.0,22.0,115.0,0.226,43.0,6.0,9.0,46.0,10.0,4.0,8.0,1.0,62.0,0.0,Oklahoma,4,12.0,5.5,28.75,10.75,1.5,2.25,11.5,2.5,1.0,2.0,0.25,15.5
08/30/2014,"Idaho @ Gainesville, Fla.",1-3,4.0,0,0,53.0,24.0,150.0,0.193,51.0,6.0,9.0,67.0,5.0,3.0,12.0,1.0,68.0,0.0,Idaho,4,13.25,6.0,37.5,12.75,1.5,2.25,16.75,1.25,0.75,3.0,0.25,17.0
09/05/2014,"Pittsburgh @ Boulder, Colo.",0-3,3.0,0,0,34.0,14.0,82.0,0.244,30.0,7.0,6.0,15.0,2.0,2.0,4.0,2.0,45.0,0.0,Pittsburgh,3,11.333333333333334,4.666666666666667,27.333333333333332,10.0,2.3333333333333335,2.0,5.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,15.0
09/06/2014,"Portland St. @ Boulder, CO",1-3,4.0,0,0,37.0,26.0,118.0,0.093,34.0,2.0,5.0,38.0,11.0,1.0,20.0,2.0,50.0,2.0,Portland St.,4,9.25,6.5,29.5,8.5,0.5,1.25,9.5,2.75,0.25,5.0,0.5,12.5
09/06/2014,@ Colorado,0-3,3.0,0,0,30.0,29.0,90.0,0.011,27.0,0.0,5.0,27.0,3.0,0.0,6.0,0.0,33.0,1.0,Colorado,3,10.0,9.666666666666666,30.0,9.0,0.0,1.6666666666666667,9.0,1.0,0.0,2.0,0.0,11.0
09/12/2014,"VCU @ Chapel Hill, N.C.",1-3,4.0,0,0,55.0,25.0,135.0,0.222,52.0,0.0,5.0,53.0,7.0,2.0,6.0,6.0,60.0,4.0,VCU,4,13.75,6.25,33.75,13.0,0.0,1.25,13.25,1.75,0.5,1.5,1.5,15.0
09/13/2014,@ North Carolina,0-3,3.0,0,0,26.0,25.0,84.0,0.012,25.0,2.0,5.0,27.0,6.0,2.0,8.0,2.0,34.0,1.0,North Carolina,3,8.666666666666666,8.333333333333334,28.0,8.333333333333334,0.6666666666666666,1.6666666666666667,9.0,2.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,11.333333333333334
09/13/2014,"Kentucky @ Chapel Hill, N.C.",1-3,4.0,0,0,48.0,22.0,136.0,0.191,46.0,3.0,10.0,39.0,4.0,2.0,12.0,3.0,59.0,0.0,Kentucky,4,12.0,5.5,34.0,11.5,0.75,2.5,9.75,1.0,0.5,3.0,0.75,14.75
09/17/2014,@ Troy,1-3,4.0,0,0,52.0,26.0,128.0,0.203,50.0,8.0,7.0,46.0,3.0,2.0,4.0,5.0,64.0,1.0,Troy,4,13.0,6.5,32.0,12.5,2.0,1.75,11.5,0.75,0.5,1.0,1.25,16.0
09/19/2014,App State,0-3,3.0,0,0,41.0,20.0,122.0,0.172,36.0,1.0,3.0,51.0,3.0,1.0,2.0,4.0,44.0,0.0,App State,3,13.666666666666666,6.666666666666667,40.666666666666664,12.0,0.3333333333333333,1.0,17.0,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,14.666666666666666
09/21/2014,Arkansas St.,1-3,4.0,0,0,66.0,22.0,173.0,0.254,63.0,1.0,5.0,84.0,7.0,2.0,10.0,1.0,74.0,2.0,Arkansas St.,4,16.5,5.5,43.25,15.75,0.25,1.25,21.0,1.75,0.5,2.5,0.25,18.5
09/26/2014,@ ULM,3-1,4.0,0,0,49.0,23.0,124.0,0.21,46.0,4.0,7.0,62.0,5.0,2.0,26.0,0.0,68.0,0.0,ULM,4,12.25,5.75,31.0,11.5,1.0,1.75,15.5,1.25,0.5,6.5,0.0,17.0
09/27/2014,@ Louisiana,0-3,3.0,0,0,36.0,25.0,113.0,0.097,35.0,6.0,10.0,42.0,1.0,0.0,14.0,1.0,49.0,0.0,Louisiana,3,12.0,8.333333333333334,37.666666666666664,11.666666666666666,2.0,3.3333333333333335,14.0,0.3333333333333333,0.0,4.666666666666667,0.3333333333333333,16.333333333333332
10/03/2014,Troy,3-0,3.0,0,0,51.0,11.0,101.0,0.396,46.0,2.0,4.0,42.0,2.0,1.0,12.0,0.0,60.0,1.0,Troy,3,17.0,3.6666666666666665,33.666666666666664,15.333333333333334,0.6666666666666666,1.3333333333333333,14.0,0.6666666666666666,0.3333333333333333,4.0,0.0,20.0
10/05/2014,Little Rock,1-3,4.0,0,0,49.0,33.0,154.0,0.104,45.0,4.0,4.0,60.0,1.0,1.0,22.0,0.0,65.0,0.0,Little Rock,4,12.25,8.25,38.5,11.25,1.0,1.0,15.0,0.25,0.25,5.5,0.0,16.25
10/08/2014,@ Georgia St.,1-3,4.0,0,0,40.0,27.0,150.0,0.087,40.0,5.0,2.0,61.0,6.0,3.0,7.0,4.0,51.5,0.0,Georgia St.,4,10.0,6.75,37.5,10.0,1.25,0.5,15.25,1.5,0.75,1.75,1.0,12.875
