date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2014,"Howard @ Washington, D.C.",1-3,4.0,0,0,40.0,26.0,126.0,0.111,37.0,4.0,13.0,51.0,4.0,4.0,24.0,1.0,60.0,1.0,Howard
08/30/2014,American,0-3,3.0,0,0,21.0,21.0,102.0,0.0,19.0,3.0,2.0,36.0,9.0,0.0,0.0,0.0,24.0,0.0,American
08/30/2014,Georgetown,1-3,4.0,0,0,50.0,34.0,169.0,0.095,44.0,3.0,7.0,77.0,6.0,3.0,8.0,3.0,60.0,1.0,Georgetown
09/05/2014,Lehigh,0-3,3.0,0,0,27.0,22.0,104.0,0.048,26.0,5.0,9.0,45.0,4.0,1.0,15.0,0.0,40.5,0.0,Lehigh
09/05/2014,ETSU,0-3,3.0,0,0,27.0,23.0,115.0,0.035,24.0,3.0,7.0,45.0,7.0,1.0,12.0,0.0,37.0,0.0,ETSU
09/06/2014,Maryland,2-3,5.0,0,0,50.0,29.0,164.0,0.128,50.0,10.0,8.0,69.0,4.0,0.0,18.0,3.0,69.0,0.0,Maryland
09/06/2014,William & Mary,3-1,4.0,0,0,59.0,20.0,159.0,0.245,55.0,2.0,7.0,83.0,2.0,0.0,25.0,1.0,73.5,0.0,William & Mary
09/12/2014,"Princeton @ Newark, Del.",2-3,5.0,0,0,42.0,30.0,148.0,0.081,37.0,8.0,8.0,49.0,7.0,3.0,10.0,1.0,58.0,3.0,Princeton
09/12/2014,"Manhattan @ Newark, Del.",3-2,5.0,0,0,45.0,20.0,168.0,0.149,38.0,8.0,13.0,78.0,7.0,5.0,36.0,2.0,76.0,1.0,Manhattan
09/13/2014,@ Delaware,0-3,3.0,0,0,27.0,18.0,88.0,0.102,25.0,1.0,5.0,19.0,5.0,2.0,11.0,1.0,35.5,0.0,Delaware
09/19/2014,"Loyola Maryland @ Loretto, Pa.",3-0,3.0,0,0,27.0,9.0,81.0,0.222,25.0,7.0,4.0,32.0,5.0,3.0,11.0,0.0,42.5,1.0,Loyola Maryland
09/20/2014,"Morgan St. @ Loretto, Pa.",2-3,5.0,0,0,63.0,23.0,153.0,0.261,58.0,4.0,2.0,64.0,5.0,1.0,25.0,4.0,80.5,0.0,Morgan St.
09/20/2014,@ Saint Francis (PA),3-1,4.0,0,0,54.0,28.0,156.0,0.167,50.0,9.0,5.0,68.0,3.0,3.0,16.0,4.0,74.0,1.0,Saint Francis 
09/26/2014,Fordham,3-0,3.0,0,0,33.0,14.0,88.0,0.216,30.0,2.0,5.0,40.0,1.0,3.0,14.0,2.0,45.0,0.0,Fordham
09/27/2014,Rhode Island,1-3,4.0,0,0,34.0,21.0,133.0,0.098,31.0,6.0,4.0,40.0,5.0,3.0,18.0,2.0,52.0,0.0,Rhode Island
10/03/2014,George Washington,1-3,4.0,0,0,39.0,28.0,132.0,0.083,37.0,2.0,5.0,50.0,3.0,0.0,16.0,0.0,49.0,0.0,George Washington
10/10/2014,Dayton,0-3,3.0,0,0,22.0,21.0,100.0,0.01,21.0,2.0,2.0,36.0,6.0,2.0,6.0,3.0,29.0,0.0,Dayton
10/11/2014,Saint Louis,0-3,3.0,0,0,21.0,19.0,100.0,0.02,20.0,1.0,7.0,37.0,2.0,1.0,4.0,1.0,25.0,0.0,Saint Louis
10/17/2014,@ VCU,0-3,3.0,0,0,24.0,20.0,86.0,0.047,24.0,5.0,3.0,29.0,5.0,1.0,8.0,1.0,34.0,1.0,VCU
10/19/2014,@ Davidson,3-2,5.0,0,0,54.0,23.0,153.0,0.203,50.0,4.0,6.0,84.0,8.0,7.0,16.0,0.0,73.0,4.0,Davidson
10/24/2014,@ Duquesne,0-3,3.0,0,0,30.0,17.0,95.0,0.137,28.0,2.0,1.0,34.0,7.0,2.0,4.0,1.0,36.0,1.0,Duquesne
10/26/2014,@ La Salle,1-3,4.0,0,0,46.0,23.0,144.0,0.16,44.0,6.0,2.0,78.0,8.0,1.0,14.0,3.0,60.0,4.0,La Salle
10/31/2014,@ George Washington,0-3,3.0,0,0,36.0,18.0,106.0,0.17,33.0,2.0,2.0,36.0,3.0,1.0,14.0,0.0,46.0,2.0,George Washington
11/07/2014,Davidson,1-3,4.0,0,0,40.0,21.0,137.0,0.139,38.0,3.0,6.0,63.0,8.0,3.0,6.0,0.0,49.0,0.0,Davidson
11/08/2014,VCU,0-3,3.0,0,0,27.0,19.0,100.0,0.08,27.0,5.0,3.0,31.0,2.0,9.0,0.0,0.0,41.0,0.0,VCU
11/14/2014,@ Rhode Island,0-3,3.0,0,0,23.0,18.0,102.0,0.049,23.0,2.0,1.0,35.0,7.0,2.0,10.0,2.0,32.0,0.0,Rhode Island
11/15/2014,@ Fordham,1-3,4.0,0,0,48.0,21.0,124.0,0.218,48.0,4.0,7.0,48.0,2.0,0.0,18.0,4.0,61.0,1.0,Fordham
