date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,"Central Conn. St. @ Storrs, Conn.",3-0,3.0,0,0,42.0,16.0,93.0,0.28,38.0,7.0,3.0,42.0,4.0,4.0,16.0,0.0,61.0,0.0,Central Conn. St.,3,14.0,5.333333333333333,31.0,12.666666666666666,2.333333333333333,1.0,14.0,1.3333333333333333,1.3333333333333333,5.333333333333333,0.0,20.33333333333333,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2014,@ UConn,3-2,5.0,0,0,64.0,33.0,167.0,0.186,62.0,5.0,10.0,78.0,2.0,1.0,20.0,0.0,80.0,1.0,UConn,5,12.8,6.6,33.4,12.4,1.0,2.0,15.6,0.4,0.2,4.0,0.0,16.0,,7.0,,2.6666666666666665,,15.5,,0.14,,6.333333333333333,,1.1666666666666665,,0.5,,7.0,,0.6666666666666666,,2.6666666666666665,,0.0,,10.166666666666664
08/30/2014,"New Hampshire @ Storrs, Conn.",3-1,4.0,0,0,62.0,30.0,177.0,0.181,59.0,8.0,12.0,77.0,4.0,2.0,20.0,0.0,82.0,0.0,New Hampshire,4,15.5,7.5,44.25,14.75,2.0,3.0,19.25,1.0,0.5,5.0,0.0,20.5,,8.933333333333334,,3.977777777777778,,21.46666666666667,,0.15533333333333335,,8.355555555555556,,1.111111111111111,,1.0,,9.866666666666667,,0.5111111111111111,,3.1111111111111107,,0.0,,12.111111111111109
09/05/2014,Miami (OH),3-1,4.0,0,0,64.0,27.0,149.0,0.248,59.0,13.0,13.0,58.0,2.0,0.0,16.0,1.0,85.0,0.0,Miami ,4,16.0,6.75,37.25,14.75,3.25,3.25,14.5,0.5,0.0,4.0,0.25,21.25,14.1,10.575,6.477777777777778,4.858333333333333,36.21666666666667,27.1625,0.21566666666666667,0.16175,13.27222222222222,9.954166666666666,1.7777777777777777,1.3333333333333333,2.0,1.5,16.283333333333335,12.2125,0.6777777777777777,0.5083333333333333,4.777777777777778,3.583333333333333,0.0,0.0,18.944444444444443,14.208333333333332
09/06/2014,Southeast Mo. St.,3-0,3.0,0,0,41.0,15.0,98.0,0.265,37.0,5.0,6.0,44.0,2.0,0.0,10.0,2.0,51.0,0.0,Southeast Mo. St.,3,13.666666666666666,5.0,32.666666666666664,12.333333333333334,1.6666666666666667,2.0,14.666666666666666,0.6666666666666666,0.0,3.333333333333333,0.6666666666666666,17.0,14.766666666666666,11.66,6.95,5.236666666666666,38.300000000000004,29.18,0.205,0.179,13.966666666666669,10.913333333333332,2.0833333333333335,1.7166666666666663,2.75,1.85,16.45,12.67,0.2333333333333333,0.4066666666666666,4.333333333333333,3.6666666666666665,0.08333333333333333,0.05,19.25,15.616666666666665
09/06/2014,Mississippi St.,3-1,4.0,0,0,63.0,27.0,155.0,0.232,56.0,11.0,6.0,60.0,3.0,0.0,10.0,3.0,79.0,0.0,Mississippi St.,4,15.75,6.75,38.75,14.0,2.75,1.5,15.0,0.75,0.0,2.5,0.75,19.75,15.055555555555555,11.994444444444445,6.416666666666667,5.197222222222222,38.05555555555555,29.76111111111111,0.2313333333333333,0.19333333333333336,13.944444444444445,11.149999999999999,2.305555555555556,1.708333333333333,2.75,1.875,16.13888888888889,13.002777777777778,0.16666666666666666,0.33888888888888885,4.111111111111112,3.6111111111111107,0.3055555555555555,0.15277777777777776,19.583333333333332,15.847222222222221
09/12/2014,"Eastern Ky. @ Chicago, Ill.",3-1,4.0,0,0,55.0,20.0,129.0,0.271,54.0,4.0,9.0,56.0,1.0,4.0,8.0,2.0,67.0,0.0,Eastern Ky.,4,13.75,5.0,32.25,13.5,1.0,2.25,14.0,0.25,1.0,2.0,0.5,16.75,15.138888888888888,12.530952380952382,6.166666666666667,5.419047619047619,36.22222222222222,31.045238095238094,0.24833333333333332,0.19885714285714287,13.694444444444445,11.557142857142855,2.555555555555556,1.857142857142857,2.25,1.8214285714285714,14.722222222222221,13.288095238095238,0.0,0.29047619047619044,3.2777777777777772,3.452380952380952,0.5555555555555555,0.23809523809523808,19.333333333333332,16.404761904761905
09/12/2014,@ UIC,2-3,5.0,0,0,59.0,28.0,153.0,0.203,58.0,5.0,8.0,45.0,3.0,4.0,22.0,7.0,79.0,0.0,UIC,5,11.8,5.6,30.6,11.6,1.0,1.6,9.0,0.6,0.8,4.4,1.4,15.8,14.388888888888888,12.683333333333334,5.583333333333333,5.366666666666667,34.55555555555555,31.195833333333333,0.256,0.20787500000000003,13.277777777777779,11.799999999999999,1.8055555555555556,1.7499999999999998,1.9166666666666667,1.875,14.555555555555555,13.377083333333333,0.3333333333333333,0.37916666666666665,2.611111111111111,3.270833333333333,0.6388888888888888,0.2708333333333333,17.833333333333332,16.447916666666664
09/17/2014,@ IUPUI,1-3,4.0,0,0,53.0,32.0,144.0,0.146,49.0,1.0,13.0,58.0,9.0,0.0,10.0,4.0,59.0,1.0,IUPUI,4,13.25,8.0,36.0,12.25,0.25,3.25,14.5,2.25,0.0,2.5,1.0,14.75,13.766666666666667,12.585185185185185,5.783333333333332,5.392592592592593,33.86666666666667,31.129629629629633,0.23533333333333337,0.20733333333333337,13.033333333333331,11.777777777777777,1.5833333333333333,1.6666666666666665,1.7833333333333332,1.8444444444444446,12.666666666666666,12.89074074074074,0.6,0.4259259259259259,2.966666666666667,3.396296296296296,0.8833333333333333,0.39629629629629626,17.433333333333334,16.375925925925927
09/19/2014,Buffalo,3-1,4.0,0,0,61.0,25.0,147.0,0.245,54.0,2.0,7.0,56.0,0.0,2.0,18.0,2.0,74.0,0.0,Buffalo,4,15.25,6.25,36.75,13.5,0.5,1.75,14.0,0.0,0.5,4.5,0.5,18.5,12.933333333333335,12.651666666666667,6.199999999999999,5.653333333333334,32.949999999999996,31.616666666666667,0.2066666666666667,0.20120000000000005,12.449999999999998,11.825,0.75,1.525,2.3666666666666667,1.985,12.5,13.051666666666666,0.6,0.3833333333333333,2.966666666666667,3.306666666666666,0.9666666666666667,0.45666666666666667,15.766666666666666,16.21333333333333
